Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
02/12/2015,0,0,0(0.00 %),0,0,0,0,3919987,0.0
03/12/2015,0,0,0(0.00 %),0,0,0,0,3919987,0.0
04/12/2015,0,0,0(0.00 %),0,0,0,0,3919987,0.0
07/12/2015,0,0,18.2(0.00 %),0,0,0,0,3919987,0.0
08/12/2015,0,0,20.9(14.84 %),0,0,0,0,3919987,0.0
09/12/2015,0,0,24(14.83 %),0,0,0,0,3919987,0.0
10/12/2015,0,0,27.6(15.00 %),0,0,0,0,3919987,0.0
11/12/2015,0,0,31.7(14.86 %),0,0,0,0,3919987,0.0
14/12/2015,0,0,36.4(14.83 %),0,0,0,0,3919987,0.0
15/12/2015,0,0,36.4(0.00 %),0,0,0,0,3919987,0.0
16/12/2015,0,0,41.8(14.84 %),0,0,0,0,3919987,0.0
17/12/2015,0,0,48(14.83 %),0,0,0,0,3919987,0.0
18/12/2015,0,0,55.2(15.00 %),0,0,0,0,3919987,0.0
21/12/2015,0,0,63.4(14.86 %),0,0,0,0,3919987,0.0
22/12/2015,0,0,72.9(14.98 %),0,0,0,0,3919987,0.0
23/12/2015,0,0,79(8.37 %),0,0,0,0,3919987,0.0
24/12/2015,0,0,73(-12.05 %),0,0,0,0,3919987,0.0
25/12/2015,3200,235400000,74.5(-2.99 %),3200,235400000,0,0,3916787,0.04
28/12/2015,0,0,80.1(14.92 %),0,0,0,0,3916787,0.04
29/12/2015,0,0,80(5.96 %),0,0,0,0,3916787,0.04
30/12/2015,0,0,82(2.50 %),0,0,0,0,3916787,0.04
31/12/2015,0,0,82(-0.24 %),0,0,0,0,3916787,0.04
04/01/2016,0,0,74(-9.98 %),0,0,0,0,3916787,0.04
05/01/2016,0,0,74(0.00 %),0,0,0,0,3916787,0.04
06/01/2016,2300,172500000,75(1.35 %),2300,172500000,0,0,3914487,0.07
07/01/2016,0,0,75(0.00 %),0,0,0,0,3914487,0.07
08/01/2016,0,0,76(1.33 %),0,0,0,0,3914487,0.07
11/01/2016,0,0,75(1.90 %),0,0,0,0,3914487,0.07
12/01/2016,2700,205350000,77(2.94 %),2700,205350000,0,0,3911787,0.1
13/01/2016,0,0,74.6(-1.71 %),0,0,0,0,3911787,0.1
14/01/2016,3000,224000000,75(0.81 %),3000,224000000,0,0,3908787,0.14
15/01/2016,0,0,76(1.60 %),0,0,0,0,3908787,0.14
18/01/2016,0,0,76(0.00 %),0,0,0,0,3908787,0.14
19/01/2016,2200,157640000,72(-5.26 %),2200,157640000,0,0,3906587,0.17
20/01/2016,2000,143600000,72(0.14 %),2000,143600000,0,0,3904587,0.19
21/01/2016,4000,286860000,71(-0.42 %),4000,286860000,0,0,3900587,0.24
22/01/2016,4700,333200000,69(-3.36 %),4700,333200000,0,0,3895887,0.3
25/01/2016,0,0,70(-1.13 %),0,0,0,0,3895887,0.3
