Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
21/04/2011,1.78,11.4,-6.6(-36.67 %),492500,5777690000.0,0,0,18.0,20.0,11.0
22/04/2011,1.7,10.9,-0.8(-6.84 %),65800,725000000.0,0,0,11.8,11.9,10.9
25/04/2011,1.67,10.7,-0.3(-2.73 %),53000,585840000.0,0,0,11.0,11.5,10.6
26/04/2011,1.62,10.4,-0.7(-6.31 %),69000,747000000.0,0,0,11.4,11.7,10.4
27/04/2011,1.61,10.3,-0.5(-4.63 %),215900,2199570000.0,0,0,10.8,11.0,10.1
28/04/2011,1.68,10.8,0.6(5.88 %),214800,2303370000.0,0,0,10.5,10.9,10.3
29/04/2011,1.73,11.1,0.4(3.74 %),79100,880160000.0,25000,285000000,11.0,11.2,11.0
04/05/2011,1.67,10.7,-0.4(-3.60 %),14200,151250000.0,0,0,11.3,11.3,10.5
05/05/2011,1.64,10.5,-0.2(-1.87 %),55300,592750000.0,0,0,10.7,10.9,10.1
06/05/2011,1.59,10.2,-0.5(-4.67 %),47400,494720000.0,0,0,11.0,11.0,10.0
09/05/2011,1.64,10.5,0.1(0.96 %),47100,495530000.0,0,0,10.5,10.6,10.1
10/05/2011,1.64,10.5,0(0.00 %),37700,400700000.0,35000,368000000,10.8,10.8,10.5
11/05/2011,1.62,10.4,-0.2(-1.89 %),76500,776670000.0,0,0,10.4,10.4,10.0
12/05/2011,1.7,10.9,0.7(6.86 %),215300,2324040000.0,0,0,10.5,10.9,10.5
13/05/2011,1.79,11.5,0.7(6.48 %),291400,3340060000.0,0,0,11.3,11.5,11.3
16/05/2011,1.82,11.7,0.2(1.74 %),147000,1740950000.0,0,0,11.7,12.2,11.6
17/05/2011,1.75,11.2,-0.6(-5.08 %),141600,1588580000.0,0,0,11.8,11.8,11.0
18/05/2011,1.78,11.4,0.2(1.79 %),201900,2314050000.0,0,0,10.7,11.7,10.6
19/05/2011,1.79,11.5,0(0.00 %),256100,2999940000.0,0,0,11.7,11.9,11.4
20/05/2011,1.81,11.6,-0.1(-0.85 %),132800,1521770000.0,0,0,11.8,11.8,11.1
23/05/2011,1.7,10.9,-0.6(-5.22 %),147800,1662610000.0,0,0,11.6,11.7,10.7
24/05/2011,1.64,10.5,-0.7(-6.25 %),69300,742140000.0,0,0,11.2,11.3,10.5
25/05/2011,1.59,10.2,-0.5(-4.67 %),57000,579490000.0,0,0,10.8,10.9,10.0
26/05/2011,1.57,10.1,-0.1(-0.98 %),209400,2082000000.0,0,0,10.2,10.3,9.5
27/05/2011,1.56,10.0,0.1(1.01 %),110000,1115370000.0,0,0,10.2,10.3,9.6
30/05/2011,1.47,9.4,-0.7(-6.93 %),26700,261730000.0,0,0,10.5,10.5,9.4
31/05/2011,1.47,9.4,-0.4(-4.08 %),92300,859330000.0,0,0,9.7,9.8,9.2
01/06/2011,1.51,9.7,0.4(4.30 %),84000,804310000.0,0,0,9.6,9.9,9.2
02/06/2011,1.59,10.2,0.6(6.25 %),92200,929270000.0,0,0,9.9,10.2,9.7
03/06/2011,1.56,10.0,-0.1(-0.99 %),34800,362150000.0,0,0,10.1,10.8,9.6
06/06/2011,1.53,9.8,-0.6(-5.77 %),44000,431660000.0,0,0,10.4,10.5,9.7
07/06/2011,1.54,9.9,0.1(1.02 %),80600,804850000.0,0,0,10.1,10.2,9.8
08/06/2011,1.54,9.9,-0.1(-1.00 %),44400,442380000.0,0,0,10.1,10.2,9.6
09/06/2011,1.56,10.0,0(0.00 %),51800,529120000.0,0,0,10.2,10.4,10.0
10/06/2011,1.62,10.4,0.2(1.96 %),48500,502810000.0,0,0,10.4,10.6,10.1
13/06/2011,1.62,10.4,0(0.00 %),46600,490700000.0,0,0,10.7,10.8,10.1
14/06/2011,1.54,9.9,-0.6(-5.71 %),74000,749450000.0,0,0,10.7,10.7,9.8
15/06/2011,1.47,9.4,-0.7(-6.93 %),63200,608640000.0,0,0,10.3,10.3,9.4
16/06/2011,1.48,9.5,-0.1(-1.04 %),8100,77550000.0,0,0,9.6,9.8,9.5
17/06/2011,1.4,9.0,-0.6(-6.25 %),88200,807970000.0,0,0,9.5,9.6,9.0
20/06/2011,1.43,9.2,0(0.00 %),50300,453410000.0,0,0,9.2,9.2,8.9
21/06/2011,1.45,9.3,0.3(3.33 %),20300,189090000.0,0,0,9.4,9.4,9.0
22/06/2011,1.36,8.7,-0.6(-6.45 %),68100,598090000.0,0,0,9.0,9.0,8.7
23/06/2011,1.28,8.2,-0.6(-6.82 %),87200,719560000.0,0,0,8.6,8.6,8.2
24/06/2011,1.37,8.8,0.5(6.02 %),50100,423400000.0,0,0,8.4,8.8,8.3
27/06/2011,1.4,9.0,0.5(5.88 %),45200,402550000.0,0,0,8.7,9.0,8.5
28/06/2011,1.36,8.7,-0.2(-2.25 %),18000,160900000.0,0,0,9.1,9.1,8.6
29/06/2011,1.33,8.5,-0.4(-4.49 %),43100,360110000.0,0,0,8.5,8.5,8.3
30/06/2011,1.31,8.4,0(0.00 %),46900,395830000.0,0,0,8.7,8.7,8.3
01/07/2011,1.29,8.3,-0.1(-1.19 %),28200,232540000.0,0,0,8.3,8.3,8.2
04/07/2011,1.31,8.4,0.2(2.44 %),6900,57520000.0,0,0,8.3,8.5,8.3
05/07/2011,1.37,8.8,0.5(6.02 %),56700,497340000.0,0,0,8.6,8.8,8.5
06/07/2011,1.34,8.6,-0.2(-2.27 %),29700,256510000.0,0,0,9.2,9.2,8.4
07/07/2011,1.36,8.7,0.1(1.16 %),25900,224920000.0,0,0,8.8,8.8,8.6
08/07/2011,1.37,8.8,0.1(1.15 %),27000,233380000.0,0,0,8.8,8.8,8.5
11/07/2011,1.33,8.5,-0.1(-1.16 %),52800,452420000.0,0,0,8.6,8.7,8.5
12/07/2011,1.36,8.7,0.1(1.16 %),45500,388450000.0,0,0,8.6,8.7,8.5
13/07/2011,1.4,8.0,0.4(5.26 %),22000,177700000.0,0,0,8.1,8.1,8.0
14/07/2011,1.34,7.7,-0.4(-4.94 %),7800,63000000.0,0,0,8.6,8.6,7.7
15/07/2011,1.48,8.5,0.4(4.94 %),23500,196290000.0,0,0,7.8,8.5,7.8
18/07/2011,1.4,8.0,-0.4(-4.76 %),16500,136530000.0,0,0,8.6,8.7,8.0
19/07/2011,1.41,8.1,-0.2(-2.41 %),5000,40700000.0,0,0,8.3,8.3,8.1
20/07/2011,1.41,8.1,0(0.00 %),12800,103980000.0,0,0,8.1,8.2,8.1
21/07/2011,1.46,8.4,0.3(3.70 %),38300,316420000.0,0,0,8.1,8.4,8.1
22/07/2011,1.45,8.3,0(0.00 %),29600,245980000.0,0,0,8.3,8.4,8.3
25/07/2011,1.53,8.8,0.5(6.02 %),33100,289400000.0,0,0,8.0,8.8,8.0
26/07/2011,1.53,8.8,0.1(1.15 %),14000,124400000.0,0,0,8.9,9.0,8.8
27/07/2011,1.52,8.7,-0.2(-2.25 %),17000,151150000.0,0,0,9.1,9.1,8.3
28/07/2011,1.46,8.4,-0.5(-5.62 %),16000,142000000.0,0,0,9.1,9.1,8.4
29/07/2011,1.46,8.4,-0.5(-5.62 %),25900,229910000.0,0,0,9.2,9.3,8.4
01/08/2011,1.48,8.5,-0.4(-4.49 %),19700,167470000.0,0,0,8.5,8.6,8.5
02/08/2011,1.46,8.4,-0.1(-1.18 %),15000,131220000.0,0,0,8.8,9.0,8.3
03/08/2011,1.57,9.0,0.3(3.45 %),9000,81000000.0,0,0,9.0,9.0,9.0
04/08/2011,1.46,8.4,-0.6(-6.67 %),3000,25240000.0,0,0,8.4,8.6,8.4
05/08/2011,1.48,8.5,0.1(1.19 %),16500,140570000.0,0,0,8.5,8.7,8.3
08/08/2011,1.53,8.8,0.3(3.53 %),6000,52300000.0,0,0,8.7,8.8,8.7
09/08/2011,1.43,8.2,-0.5(-5.75 %),43200,361940000.0,0,0,8.9,8.9,8.2
10/08/2011,1.53,8.8,0.4(4.76 %),7000,60950000.0,0,0,8.7,8.8,8.7
11/08/2011,1.45,8.3,-0.4(-4.60 %),10000,84000000.0,0,0,8.8,8.8,8.3
12/08/2011,1.38,7.9,-0.5(-5.95 %),6000,51050000.0,0,0,8.6,8.6,7.9
15/08/2011,1.52,8.7,0.2(2.35 %),5000,43150000.0,0,0,8.6,8.7,8.6
16/08/2011,1.53,8.8,0.2(2.33 %),2000,17600000.0,0,0,8.8,8.8,8.8
17/08/2011,1.57,9.0,0.2(2.27 %),2000,18000000.0,0,0,9.0,9.0,9.0
18/08/2011,1.48,8.5,-0.5(-5.56 %),17600,151650000.0,0,0,9.2,9.2,8.5
19/08/2011,1.46,8.4,-0.2(-2.33 %),13200,110580000.0,0,0,8.4,8.4,8.1
22/08/2011,1.46,8.4,0(0.00 %),14000,116500000.0,0,0,8.4,8.4,8.2
23/08/2011,1.43,8.2,-0.1(-1.20 %),14300,119160000.0,0,0,8.5,8.5,8.2
24/08/2011,1.45,8.3,0(0.00 %),9100,75730000.0,0,0,8.4,8.4,8.3
25/08/2011,1.43,8.2,-0.1(-1.20 %),20200,165740000.0,0,0,8.2,8.3,8.2
26/08/2011,1.45,8.3,0.1(1.22 %),3000,24900000.0,0,0,8.3,8.3,8.3
29/08/2011,1.48,8.5,0.2(2.41 %),12000,101900000.0,0,0,8.4,8.5,8.4
30/08/2011,1.48,8.5,0(0.00 %),23400,199100000.0,0,0,8.6,8.6,8.5
31/08/2011,1.48,8.5,0(0.00 %),11100,95200000.0,0,0,8.7,8.7,8.4
01/09/2011,1.55,8.9,0.3(3.49 %),33300,289850000.0,0,0,8.8,9.0,8.5
05/09/2011,1.55,8.9,0.2(2.30 %),47800,416020000.0,0,0,9.0,9.0,8.5
06/09/2011,1.52,8.7,0(0.00 %),14600,126750000.0,0,0,8.9,8.9,8.5
07/09/2011,1.6,9.2,0.5(5.75 %),48400,436200000.0,0,0,8.9,9.3,8.7
08/09/2011,1.64,9.4,0.4(4.44 %),41900,396480000.0,0,0,9.3,9.6,9.0
09/09/2011,1.62,9.3,-0.2(-2.11 %),36800,348330000.0,0,0,9.8,9.8,9.0
12/09/2011,1.66,9.5,0(0.00 %),29100,272360000.0,0,0,9.5,9.5,8.9
13/09/2011,1.69,9.7,0.3(3.19 %),40100,388970000.0,0,0,9.7,9.8,9.5
14/09/2011,1.62,9.3,-0.4(-4.12 %),28300,274290000.0,0,0,9.7,9.8,9.3
15/09/2011,1.62,9.3,-0.4(-4.12 %),16500,160290000.0,0,0,9.7,9.9,9.1
16/09/2011,1.64,9.4,-0.3(-3.09 %),41400,401660000.0,0,0,10.0,10.0,9.4
19/09/2011,1.67,9.6,-0.1(-1.03 %),9000,86400000.0,0,0,9.6,9.6,9.6
20/09/2011,1.78,10.2,0.6(6.25 %),271600,2756000000.0,0,0,9.6,10.2,9.6
21/09/2011,1.85,10.6,0.5(4.95 %),75400,798080000.0,0,0,10.3,10.8,10.3
22/09/2011,1.87,10.7,0.1(0.94 %),87000,916340000.0,0,0,10.7,10.7,10.2
23/09/2011,1.9,10.9,0.4(3.81 %),241600,2670580000.0,0,0,10.7,11.2,10.6
26/09/2011,2.06,11.8,0.7(6.31 %),306900,3595380000.0,5040,52416000,11.3,11.8,11.3
27/09/2011,2.14,12.3,0.6(5.13 %),236300,2927860000.0,0,0,12.5,12.5,11.8
