Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
11/03/2015,0,0,0(0.00 %),0,0,0,0,6125000,0.0
12/03/2015,0,0,0(0.00 %),0,0,0,0,6125000,0.0
13/03/2015,0,0,0(0.00 %),0,0,0,0,6125000,0.0
16/03/2015,0,0,0(0.00 %),0,0,0,0,6125000,0.0
17/03/2015,0,0,0(0.00 %),0,0,0,0,6125000,0.0
18/03/2015,0,0,0(0.00 %),0,0,0,0,6125000,0.0
19/03/2015,0,0,0(0.00 %),0,0,0,0,6125000,0.0
20/03/2015,1000,20700000,0(0.00 %),1000,20700000,0,0,6124000,0.01
23/03/2015,500,10300000,0(0.00 %),500,10300000,0,0,6123500,0.01
24/03/2015,0,0,0(0.00 %),0,0,0,0,6123500,0.01
25/03/2015,-1000,-19900000,0(0.00 %),0,0,1000,19900000,6123500,0.01
26/03/2015,0,0,0(0.00 %),0,0,0,0,6123500,0.01
27/03/2015,-500,-9900000,0(0.00 %),0,0,500,9900000,6123500,0.01
30/03/2015,0,0,0(0.00 %),0,0,0,0,6123500,0.01
31/03/2015,0,0,0(0.00 %),0,0,0,0,6124500,0.0
01/04/2015,0,0,0(0.00 %),0,0,0,0,6124500,0.0
02/04/2015,0,0,0(0.00 %),0,0,0,0,6125000,0.0
03/04/2015,0,0,0(0.00 %),0,0,0,0,6125000,0.0
06/04/2015,0,0,0(0.00 %),0,0,0,0,6125000,0.0
07/04/2015,0,0,0(0.00 %),0,0,0,0,6125000,0.0
08/04/2015,0,0,0(0.00 %),0,0,0,0,6125000,0.0
09/04/2015,0,0,0(0.00 %),0,0,0,0,6125000,0.0
10/04/2015,1500,29550000,0(0.00 %),1500,29550000,0,0,6123500,0.01
13/04/2015,0,0,0(0.00 %),0,0,0,0,6123500,0.01
14/04/2015,0,0,0(0.00 %),0,0,0,0,6123500,0.01
15/04/2015,-1000,-22700000,0(0.00 %),0,0,1000,22700000,6123500,0.01
16/04/2015,500,10650000,0(0.00 %),500,10650000,0,0,6123000,0.02
17/04/2015,-500,-11350000,0(0.00 %),0,0,500,11350000,6123000,0.02
20/04/2015,0,0,0(0.00 %),0,0,0,0,6123000,0.02
21/04/2015,1000,22350000,0(0.00 %),1000,22350000,0,0,6123000,0.02
22/04/2015,2000,45300000,0(0.00 %),2000,45300000,0,0,6121000,0.03
23/04/2015,0,0,0(0.00 %),0,0,0,0,6121500,0.03
24/04/2015,-1300,-38870000,0(0.00 %),0,0,1300,38870000,6121500,0.03
27/04/2015,-500,-15040000,0(0.00 %),0,0,500,15040000,6121500,0.03
04/05/2015,0,0,0(0.00 %),0,0,0,0,6121500,0.03
05/05/2015,0,0,0(0.00 %),0,0,0,0,6121500,0.03
06/05/2015,0,0,0(0.00 %),0,0,0,0,6122800,0.02
07/05/2015,0,0,0(0.00 %),0,0,0,0,6123300,0.01
08/05/2015,0,0,0(0.00 %),0,0,0,0,6123300,0.01
11/05/2015,0,0,0(0.00 %),0,0,0,0,6123300,0.01
12/05/2015,500,11250000,0(0.00 %),500,11250000,0,0,6122800,0.02
13/05/2015,0,0,0(0.00 %),0,0,0,0,6122800,0.02
14/05/2015,0,0,0(0.00 %),0,0,0,0,6122800,0.02
15/05/2015,0,0,0(0.00 %),0,0,0,0,6122800,0.02
18/05/2015,0,0,0(0.00 %),0,0,0,0,6122800,0.02
19/05/2015,0,0,0(0.00 %),0,0,0,0,6122800,0.02
20/05/2015,0,0,0(0.00 %),0,0,0,0,6122800,0.02
21/05/2015,200,3960000,0(0.00 %),200,3960000,0,0,6122600,0.02
22/05/2015,0,0,0(0.00 %),0,0,0,0,6122600,0.02
25/05/2015,-700,-13230000,0(0.00 %),0,0,700,13230000,6122600,0.02
26/05/2015,0,0,0(0.00 %),0,0,0,0,6122600,0.02
27/05/2015,0,0,0(0.00 %),0,0,0,0,6122600,0.02
28/05/2015,0,0,0(0.00 %),0,0,0,0,6122600,0.02
29/05/2015,1000,17000000,0(0.00 %),1000,17000000,0,0,6122300,0.02
01/06/2015,200,3400000,0(0.00 %),200,3400000,0,0,6122100,0.02
02/06/2015,0,0,0(0.00 %),0,0,0,0,6122100,0.02
03/06/2015,0,0,0(0.00 %),0,0,0,0,6122100,0.02
04/06/2015,0,0,0(0.00 %),0,0,0,0,6122100,0.02
05/06/2015,0,0,0(0.00 %),0,0,0,0,6122100,0.02
08/06/2015,0,0,0(0.00 %),0,0,0,0,6122100,0.02
09/06/2015,0,0,0(0.00 %),0,0,0,0,6122100,0.02
10/06/2015,0,0,0(0.00 %),0,0,0,0,6122100,0.02
11/06/2015,0,0,0(0.00 %),0,0,0,0,6122100,0.02
12/06/2015,0,0,0(0.00 %),0,0,0,0,6122100,0.02
15/06/2015,-1000,-19100000,0(0.00 %),0,0,1000,19100000,6122100,0.02
16/06/2015,-500,-9600000,0(0.00 %),0,0,500,9600000,6122100,0.02
