Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
NKG,22/08/2025,400,4600,6100000,72015000
NKG,21/08/2025,0,1200,0,19400000
NKG,20/08/2025,3000,0,48850000,0
NKG,19/08/2025,1000,0,17000000,0
NKG,18/08/2025,7200,14000,123600000,242395000
NKG,15/08/2025,0,53500,0,902060000
NKG,13/08/2025,36400,1900,616980000,31560000
NKG,12/08/2025,35900,1600,606620000,27240000
NKG,08/08/2025,0,57100,0,950875000
NKG,07/08/2025,20000,2800,335500000,46340000
NKG,06/08/2025,0,362,0,5799000
NKG,04/08/2025,0,38400,0,600000000
NKG,31/07/2025,38100,30000,614365000,489000000
NKG,30/07/2025,0,800,0,13000000
NKG,29/07/2025,0,254100,0,4142055000
NKG,28/07/2025,33000,250000,531150000,4000000000
NKG,25/07/2025,4000,400,59100000,5880000
NKG,24/07/2025,2000,400,29400000,5880000
NKG,23/07/2025,0,1100,0,16140000
NKG,22/07/2025,0,800,0,11460000
NKG,21/07/2025,0,10000,0,145240000
NKG,18/07/2025,20300,1600,290535000,22900000
NKG,17/07/2025,8000,2400,115600000,34340000
NKG,16/07/2025,0,4700,0,66940000
NKG,15/07/2025,0,400,0,5780000
NKG,14/07/2025,0,6400,0,88960000
NKG,11/07/2025,0,23000,0,322230000
NKG,10/07/2025,2000,1700,28100000,23700000
NKG,09/07/2025,6000,52,84200000,728000
NKG,08/07/2025,25000,1600,348750000,22160000
NKG,07/07/2025,4000,0,54800000,0
NKG,04/07/2025,0,400,0,5480000
NKG,03/07/2025,0,1400,0,19310000
NKG,30/06/2025,0,400,0,5280000
NKG,26/06/2025,0,0,0,0
NKG,25/06/2025,0,400,0,5300000
NKG,23/06/2025,0,400,0,5180000
NKG,20/06/2025,1600,500,21040000,6570000
NKG,19/06/2025,4000,0,52560000,0
NKG,18/06/2025,800,0,10680000,0
NKG,17/06/2025,800,800,10680000,10600000
NKG,16/06/2025,0,1200,0,15600000
NKG,13/06/2025,0,73,0,960000
NKG,12/06/2025,0,2000,0,26450000
NKG,11/06/2025,0,4000,0,52200000
NKG,06/06/2025,0,400,0,5340000
NKG,03/06/2025,0,400,0,5240000
NKG,02/06/2025,2000,0,25700000,0
NKG,29/05/2025,8000,400,105200000,5220000
NKG,27/05/2025,0,1200,0,15480000
NKG,22/05/2025,0,17,0,219000
NKG,21/05/2025,0,1200,0,14940000
NKG,19/05/2025,0,400,0,5080000
NKG,16/05/2025,0,1200,0,15580000
NKG,17/04/2025,4000,0,46800000,0
NKG,16/04/2025,0,100,0,1180000
NKG,15/04/2025,0,180000,0,2189225000
NKG,11/04/2025,800,9500,9925000,113905000
NKG,04/04/2025,0,4000,0,53040000
NKG,03/04/2025,500,0,7190000,0
NKG,02/04/2025,0,100,0,1555000
NKG,01/04/2025,0,700,0,10580000
NKG,31/03/2025,1800,9600,26990000,144320000
NKG,28/03/2025,400,10400,6030000,157960000
NKG,27/03/2025,900,800,13755000,12360000
NKG,26/03/2025,0,40600,0,629425000
NKG,25/03/2025,300,0,4600000,0
NKG,24/03/2025,16300,0,249395000,0
NKG,21/03/2025,500,0,7685000,0
NKG,20/03/2025,3200,40400,48640000,614140000
NKG,19/03/2025,1700,75200,26010000,1155460000
NKG,18/03/2025,1000,160000,15790000,2531425000
NKG,17/03/2025,100,20000,1595000,319160000
NKG,14/03/2025,100,1500300,1585000,23404830000
NKG,13/03/2025,22100,308500,356535000,5031045000
NKG,12/03/2025,1503100,491400,25399685000,7924440000
NKG,11/03/2025,72500,151500,1133255000,2428025000
NKG,10/03/2025,8000,49100,127120000,780130000
NKG,07/03/2025,184000,229700,2944435000,3685300000
NKG,06/03/2025,375000,0,6001355000,0
NKG,05/03/2025,476800,300,7448590000,4710000
NKG,04/03/2025,635300,1600,10065945000,25640000
NKG,03/03/2025,16800,0,265480000,0
NKG,28/02/2025,0,8000,0,124480000
NKG,26/02/2025,0,50600,0,733825000
NKG,25/02/2025,0,2000,0,28800000
NKG,24/02/2025,6400,150000,92160000,2168900000
NKG,21/02/2025,4800,0,67720000,0
NKG,20/02/2025,100000,0,1426900000,0
