Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
24/08/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
27/08/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
28/08/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
29/08/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
30/08/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
31/08/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
04/09/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
05/09/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
06/09/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
07/09/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
10/09/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
11/09/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
12/09/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
13/09/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
14/09/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
17/09/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
18/09/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
19/09/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
20/09/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
21/09/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
24/09/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
25/09/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
26/09/2012,2.49,8.0,0(0.00 %),0,0,0,0,8.0,8.0,8.0
