Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
12/01/2011,7.37,10.0,0(0.00 %),5200,81520000,0,0,11.0,18.9,10.0
13/01/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
14/01/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
17/01/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
18/01/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
19/01/2011,11.57,15.7,0(0.00 %),0,0,0,0,15.7,15.7,15.7
20/01/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
21/01/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
24/01/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
25/01/2011,7.37,10.0,-5.7(-36.31 %),0,0,150000,2130000000,15.7,15.7,15.7
26/01/2011,11.57,15.7,0(0.00 %),0,0,0,0,15.7,15.7,15.7
27/01/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
28/01/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
08/02/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
09/02/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
10/02/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
11/02/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
14/02/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
15/02/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
16/02/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
17/02/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
18/02/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
21/02/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
22/02/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
23/02/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
24/02/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
25/02/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
28/02/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
01/03/2011,7.37,10.0,-5.7(-36.31 %),0,0,0,0,15.7,15.7,15.7
02/03/2011,7.37,10.0,-5.7(-36.31 %),0,0,17000,241400000,15.7,15.7,15.7
03/03/2011,10.46,14.2,-1.5(-9.55 %),100,1420000,0,0,14.2,14.2,14.2
04/03/2011,10.46,14.2,0(0.00 %),0,0,0,0,14.2,14.2,14.2
07/03/2011,10.46,14.2,0(0.00 %),0,0,0,0,14.2,14.2,14.2
08/03/2011,10.46,14.2,0(0.00 %),0,0,0,0,14.2,14.2,14.2
09/03/2011,10.46,14.2,0(0.00 %),0,0,0,0,14.2,14.2,14.2
10/03/2011,10.46,14.2,0(0.00 %),0,0,0,0,14.2,14.2,14.2
11/03/2011,10.46,14.2,0(0.00 %),0,0,0,0,14.2,14.2,14.2
14/03/2011,10.46,14.2,0(0.00 %),0,0,0,0,14.2,14.2,14.2
15/03/2011,10.46,14.2,0(0.00 %),0,0,0,0,14.2,14.2,14.2
16/03/2011,10.46,14.2,0(0.00 %),0,0,0,0,14.2,14.2,14.2
17/03/2011,10.46,14.2,0(0.00 %),0,0,0,0,14.2,14.2,14.2
18/03/2011,10.46,14.2,0(0.00 %),0,0,0,0,14.2,14.2,14.2
21/03/2011,10.46,14.2,0(0.00 %),0,0,0,0,14.2,14.2,14.2
22/03/2011,10.46,14.2,0(0.00 %),0,0,0,0,14.2,14.2,14.2
23/03/2011,10.46,14.2,0(0.00 %),0,0,0,0,14.2,14.2,14.2
24/03/2011,10.46,14.2,0(0.00 %),0,0,0,0,14.2,14.2,14.2
25/03/2011,9.43,12.8,-1.4(-9.86 %),100,1280000,0,0,12.8,12.8,12.8
28/03/2011,8.55,11.6,-1.2(-9.37 %),100,1160000,0,0,11.6,11.6,11.6
29/03/2011,8.55,11.6,0(0.00 %),0,0,0,0,11.6,11.6,11.6
30/03/2011,8.55,11.6,0(0.00 %),0,0,0,0,11.6,11.6,11.6
31/03/2011,8.55,11.6,0(0.00 %),0,0,0,0,11.6,11.6,11.6
01/04/2011,8.55,11.6,0(0.00 %),0,0,0,0,11.6,11.6,11.6
04/04/2011,8.55,11.6,0(0.00 %),0,0,0,0,11.6,11.6,11.6
05/04/2011,8.55,11.6,0(0.00 %),0,0,0,0,11.6,11.6,11.6
06/04/2011,8.55,11.6,0(0.00 %),0,0,0,0,11.6,11.6,11.6
07/04/2011,8.55,11.6,0(0.00 %),0,0,0,0,11.6,11.6,11.6
08/04/2011,8.55,11.6,0(0.00 %),0,0,0,0,11.6,11.6,11.6
13/04/2011,8.55,11.6,0(0.00 %),0,0,0,0,11.6,11.6,11.6
14/04/2011,8.55,11.6,0(0.00 %),0,0,0,0,11.6,11.6,11.6
