Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
25/08/2025,21.45,0.0,-21.35(-100.00 %),1689100,21450,0,0,21.45,21.9,21.35
22/08/2025,21.35,21.35,-0.05(-0.23 %),1736000,36808145000,0,0,21.2,21.7,20.8
21/08/2025,21.4,21.4,-0.2(-0.93 %),1007200,21626995000,0,0,21.7,21.75,21.2
20/08/2025,21.6,21.6,-0.8(-3.57 %),2740000,59043550000,0,0,22.4,22.4,21.1
19/08/2025,22.4,22.4,0.2(0.90 %),2232900,50136715000,0,0,22.2,22.75,22.2
18/08/2025,22.2,22.2,0.5(2.30 %),2024400,44807475000,0,0,21.7,22.4,21.7
15/08/2025,21.7,21.7,-0.1(-0.46 %),1798700,39283065000,0,0,21.95,22.35,21.55
14/08/2025,21.8,21.8,-0.35(-1.58 %),1685800,36924010000,0,0,22.3,22.3,21.7
13/08/2025,22.15,22.15,-0.3(-1.34 %),2678100,59334255000,0,0,22.5,22.55,21.85
12/08/2025,22.45,22.45,0.4(1.81 %),3275700,73258815000,0,0,22.2,22.85,22.0
11/08/2025,22.05,22.05,0.4(1.85 %),2115800,46199925000,0,0,21.8,22.1,21.6
08/08/2025,21.65,21.65,-0.25(-1.14 %),2081900,45017845000,0,0,21.95,22.05,21.4
07/08/2025,21.9,21.9,0.45(2.10 %),2501700,54566675000,0,0,21.9,22.15,21.55
06/08/2025,21.45,21.45,-0.15(-0.69 %),2027400,43623900000,0,0,21.6,21.8,21.35
05/08/2025,21.6,21.6,-0.3(-1.37 %),4191900,92576180000,0,0,22.8,22.8,21.2
04/08/2025,21.9,21.9,1.4(6.83 %),4594900,99682465000,0,0,21.05,21.9,21.05
01/08/2025,20.5,20.5,0.3(1.49 %),1537500,31235145000,0,0,20.25,20.5,20.1
31/07/2025,20.2,20.2,0.2(1.00 %),1353700,27126795000,0,0,20.1,20.35,19.75
30/07/2025,20.0,20.0,0(0.00 %),1371900,27331415000,0,0,19.95,20.2,19.65
29/07/2025,20.0,20.0,-0.7(-3.38 %),3100200,63663185000,0,0,20.8,20.9,19.95
28/07/2025,20.7,20.7,0.2(0.98 %),1942000,40049300000,0,0,20.85,20.85,20.5
25/07/2025,20.5,20.5,-0.1(-0.49 %),2181000,44859075000,20000,418000000,20.65,20.9,20.5
24/07/2025,20.6,20.6,0(0.00 %),2097600,43074695000,0,0,20.8,20.8,20.35
23/07/2025,20.6,20.6,0.15(0.73 %),2598200,53707450000,0,0,20.5,20.9,20.45
22/07/2025,20.45,20.45,-0.15(-0.73 %),1654900,33970835000,0,0,20.7,20.85,20.3
21/07/2025,20.6,20.6,0.5(2.49 %),3315900,68870995000,0,0,21.0,21.05,20.5
18/07/2025,20.1,20.1,0.3(1.52 %),1550700,31008695000,0,0,19.8,20.25,19.75
17/07/2025,19.8,19.8,-0.15(-0.75 %),1499500,29905900000,0,0,20.0,20.2,19.75
16/07/2025,19.95,19.95,0.65(3.37 %),2135600,42248555000,900000,17910000000,19.4,20.1,19.35
15/07/2025,19.3,19.3,-0.3(-1.53 %),984100,19191095000,80490,1468942500,19.6,19.75,19.3
14/07/2025,19.6,19.6,0.2(1.03 %),882800,17344105000,900000,18000000000,19.5,19.85,19.5
11/07/2025,19.4,19.4,-0.3(-1.52 %),860700,16783130000,0,0,19.6,19.75,19.4
10/07/2025,19.7,19.7,-0.05(-0.25 %),760600,15044345000,0,0,19.85,19.9,19.65
09/07/2025,19.75,19.75,0.05(0.25 %),1202100,23778625000,0,0,19.75,19.9,19.65
08/07/2025,19.7,19.7,0.25(1.29 %),1844100,36156420000,0,0,19.5,19.75,19.4
07/07/2025,19.45,19.45,-0.05(-0.26 %),920700,17891865000,0,0,19.65,19.65,19.35
04/07/2025,19.5,19.5,0.5(2.63 %),900400,17318375000,0,0,19.0,19.5,19.0
03/07/2025,19.0,19.0,0(0.00 %),824600,15727970000,0,0,19.0,19.3,18.9
02/07/2025,19.0,19.0,-0.1(-0.52 %),809500,15403490000,0,0,19.2,19.2,18.95
01/07/2025,19.1,19.1,-0.15(-0.78 %),869200,16565920000,0,0,19.15,19.3,18.9
30/06/2025,19.25,19.25,-0.05(-0.26 %),1043000,20115750000,0,0,19.4,19.4,19.15
27/06/2025,19.3,19.3,0.1(0.52 %),799400,15350550000,0,0,19.25,19.3,19.1
26/06/2025,19.2,19.2,-0.2(-1.03 %),803800,15439865000,0,0,19.4,19.45,19.1
