Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
NTL,17/07/2023,120000,0,3155500000,0
NTL,21/07/2023,230000,0,6054430000,0
NTL,26/07/2023,0,350000,0,9095670000
NTL,06/10/2023,3000,0,80600000,0
NTL,09/10/2023,5000,0,133800000,0
NTL,11/10/2023,1000,0,27650000,0
NTL,16/10/2023,8000,0,224500000,0
NTL,17/10/2023,3000,0,82300000,0
NTL,20/10/2023,0,20000,0,487290000
NTL,25/10/2023,12000,0,301400000,0
NTL,30/10/2023,8000,0,193900000,0
NTL,06/11/2023,18000,0,426800000,0
NTL,08/11/2023,36000,0,863800000,0
NTL,10/11/2023,47000,0,1187600000,0
NTL,13/11/2023,10800,0,269995000,0
NTL,14/11/2023,0,45700,0,1145595000
NTL,15/11/2023,13000,0,328825000,0
NTL,16/11/2023,3900,0,97825000,0
NTL,17/11/2023,23100,0,576695000,0
NTL,20/11/2023,11000,0,270550000,0
NTL,27/11/2023,0,20000,0,577000000
NTL,29/11/2023,0,35000,0,1015050000
NTL,30/11/2023,20000,5000,572765000,145000000
NTL,01/12/2023,20000,0,566000000,0
NTL,05/12/2023,5000,0,150750000,0
NTL,06/12/2023,3100,0,93620000,0
NTL,07/12/2023,9800,0,291550000,0
NTL,12/12/2023,47000,0,1464400000,0
NTL,26/12/2023,10000,0,284500000,0
NTL,27/12/2023,10000,0,284750000,0
NTL,12/01/2024,15000,0,437500000,0
NTL,21/03/2024,1900,0,71125000,0
NTL,25/03/2024,6000,0,221800000,0
NTL,19/04/2024,0,2000,0,78400000
NTL,24/04/2024,0,5000,0,203750000
NTL,26/04/2024,0,2000,0,81600000
NTL,02/05/2024,0,3200,0,131345000
NTL,03/05/2024,0,2000,0,82000000
NTL,06/05/2024,0,2000,0,87200000
NTL,08/05/2024,0,2000,0,90000000
NTL,09/05/2024,0,1000,0,46000000
NTL,13/05/2024,746000,9000,34316000000,411200000
NTL,15/05/2024,0,746000,0,32335370000
NTL,17/05/2024,0,5000,0,216000000
NTL,20/05/2024,0,1000,0,43950000
NTL,27/05/2024,0,2000,0,84800000
NTL,28/05/2024,0,2000,0,86800000
NTL,31/05/2024,0,2000,0,91500000
NTL,20/06/2024,0,2000,0,98200000
NTL,28/06/2024,0,6000,0,274000000
NTL,01/07/2024,0,6000,0,276250000
NTL,02/07/2024,0,4000,0,183700000
NTL,03/07/2024,0,4000,0,180250000
NTL,04/07/2024,0,10000,0,238500000
NTL,05/07/2024,0,11000,0,268100000
NTL,08/07/2024,0,7000,0,172450000
NTL,09/07/2024,0,9000,0,224800000
NTL,10/07/2024,0,5000,0,132450000
NTL,11/07/2024,0,6000,0,169300000
NTL,16/07/2024,0,6000,0,168400000
NTL,18/07/2024,0,5000,0,137500000
NTL,19/07/2024,0,10000,0,265500000
NTL,22/07/2024,0,10000,0,264000000
NTL,23/07/2024,0,10000,0,250000000
NTL,24/07/2024,0,11000,0,283340000
NTL,25/07/2024,0,4000,0,105250000
NTL,26/07/2024,0,4000,0,105300000
NTL,29/07/2024,0,4000,0,110000000
NTL,30/07/2024,0,10000,0,269000000
NTL,01/08/2024,0,40000,0,972340000
NTL,13/08/2024,127100,0,2985715000,0
NTL,14/08/2024,61700,163400,1439450000,3774160000
NTL,15/08/2024,0,127100,0,2985217000
NTL,16/08/2024,0,61700,0,1447976000
NTL,23/08/2024,100000,0,2429200000,0
NTL,27/08/2024,0,100000,0,2433200000
NTL,04/09/2024,54000,0,1163700000,0
NTL,06/09/2024,0,54000,0,1176840000
NTL,11/09/2024,60000,0,1230785000,0
NTL,13/09/2024,0,60000,0,1194000000
NTL,17/09/2024,30000,0,623205000,0
NTL,19/09/2024,100000,0,2121835000,0
NTL,23/09/2024,100000,130000,2192000000,2821550000
NTL,24/09/2024,10000,0,217500000,0
NTL,25/09/2024,60000,20000,1309500000,440000000
NTL,26/09/2024,50200,0,1099370000,0
NTL,27/09/2024,0,200,0,4400000
NTL,30/09/2024,0,100000,0,2218000000
NTL,01/10/2024,1000000,0,22580365000,0
NTL,02/10/2024,1100000,0,25066495000,0
NTL,03/10/2024,1000000,0,21061005000,0
NTL,04/10/2024,1000000,193600,20746785000,4013700000
NTL,07/10/2024,1000000,6400,20938385000,132800000
NTL,08/10/2024,900000,0,18960610000,0
NTL,09/10/2024,100000,0,2099760000,0
NTL,10/10/2024,1102400,5900000,23348740000,125298300000
NTL,11/10/2024,507700,100000,11181595000,2140000000
NTL,14/10/2024,1000000,1400,21774625000,30310000
NTL,15/10/2024,1200000,200000,26199660000,4323020000
NTL,17/10/2024,0,3593700,0,77968704000
NTL,28/10/2024,3400,0,72250000,0
NTL,30/10/2024,1700,0,35105000,0
NTL,04/11/2024,4500,0,88200000,0
NTL,06/11/2024,50000,0,992500000,0
NTL,08/11/2024,600,50000,11760000,994100000
NTL,11/11/2024,3600,100,70620000,1965000
NTL,13/12/2024,2100,0,39060000,0
NTL,26/12/2024,0,4700,0,90585000
NTL,27/12/2024,0,5000,0,95005000
NTL,06/01/2025,2100,0,37590000,0
NTL,07/01/2025,2100,0,35910000,0
NTL,03/02/2025,0,21100,0,359150000
NTL,14/02/2025,0,4300,0,74390000
NTL,04/03/2025,100,0,1855000,0
NTL,01/07/2025,2600,0,46800000,0
NTL,01/08/2025,0,2600,0,50830000
NTL,06/08/2025,0,20,0,399000
NTL,08/08/2025,0,100,0,2040000
NTL,22/08/2025,0,0,0,0
