Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
30/03/2016,6.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
31/03/2016,6.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
01/04/2016,6.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
04/04/2016,6.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
05/04/2016,3.91,6.0,-4(-40.00 %),3100,18600000,0,0,6.0,6.0,6.0
06/04/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
07/04/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
08/04/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
11/04/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
12/04/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
13/04/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
14/04/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
15/04/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
19/04/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
20/04/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
21/04/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
22/04/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
25/04/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
26/04/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
27/04/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
28/04/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
29/04/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
04/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
05/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
06/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
09/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
10/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
11/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
12/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
13/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
16/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
17/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
18/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
19/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
20/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
23/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
24/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
25/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
26/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
27/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
30/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
31/05/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
01/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
02/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
03/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
06/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
07/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
08/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
09/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
10/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
13/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
14/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
15/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
16/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
17/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
20/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
21/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
22/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
23/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
24/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
27/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
28/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
29/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
30/06/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
01/07/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
04/07/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
05/07/2016,3.91,6.0,0(0.00 %),0,0,0,0,6.0,6.0,6.0
