Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
30/10/2008,4.59,62.5,-15.5(-19.87 %),600,37500000,0,0,62.5,62.5,62.5
31/10/2008,4.37,59.5,-3(-4.80 %),250,14875000,0,0,59.5,59.5,59.5
03/11/2008,4.18,57.0,-2.5(-4.20 %),360,20520000,0,0,57.0,57.0,57.0
04/11/2008,4.0,54.5,-2.5(-4.39 %),900,49050000,0,0,54.5,54.5,54.5
05/11/2008,3.82,52.0,-2.5(-4.59 %),2000,104000000,0,0,52.0,52.0,52.0
06/11/2008,3.62,49.4,-2.55(-4.91 %),110,5434000,0,0,49.4,49.4,49.4
07/11/2008,3.45,47.0,-2.25(-4.57 %),160,7520000,0,0,47.0,47.0,47.0
10/11/2008,3.28,44.7,-2.3(-4.89 %),210,9387000,0,0,44.7,44.7,44.7
11/11/2008,3.12,42.5,-2.2(-4.92 %),1360,57800000,0,0,42.5,42.5,42.5
12/11/2008,2.96,40.4,-2.1(-4.94 %),40,1616000,0,0,40.4,40.4,40.4
13/11/2008,2.82,38.4,-2(-4.95 %),60,2304000,0,0,38.4,38.4,38.4
14/11/2008,2.68,36.5,-1.9(-4.95 %),81310,2977759000,0,0,36.5,39.0,36.5
17/11/2008,2.55,34.7,-1.8(-4.93 %),25150,872795000,0,0,34.7,34.8,34.7
18/11/2008,2.42,33.0,-1.7(-4.90 %),2230,73590000,0,0,33.0,33.0,33.0
19/11/2008,2.3,31.4,-1.6(-4.85 %),17200,540080000,0,0,31.4,31.4,31.4
20/11/2008,2.19,29.9,-1.5(-4.78 %),5550,165945000,0,0,29.9,29.9,29.9
21/11/2008,2.09,28.5,-1.4(-4.68 %),2430,69358000,0,0,28.6,28.6,28.5
24/11/2008,1.99,27.1,-1.4(-4.91 %),2300,62330000,0,0,27.1,27.1,27.1
25/11/2008,1.89,25.8,-1.3(-4.80 %),1910,49278000,0,0,25.8,25.8,25.8
26/11/2008,1.9,25.9,0.1(0.39 %),142180,3567334000,0,0,24.6,27.0,24.6
27/11/2008,1.89,25.8,-0.1(-0.39 %),28420,733790000,0,0,26.8,26.8,24.8
28/11/2008,1.91,26.0,0.2(0.78 %),35720,942167000,0,0,26.8,26.8,26.0
01/12/2008,1.83,25.0,-1(-3.85 %),46090,1141934000,0,0,26.0,26.0,24.7
02/12/2008,1.75,23.8,-1.2(-4.80 %),41810,997338000,0,0,23.9,24.0,23.8
03/12/2008,1.67,22.7,-1.1(-4.62 %),65560,1501935000,0,0,23.8,23.8,22.7
04/12/2008,1.63,21.6,-0.5(-2.26 %),32360,705079000,0,0,21.1,22.4,21.1
05/12/2008,1.56,20.7,-0.9(-4.17 %),67760,1404560000,0,0,21.0,21.0,20.6
08/12/2008,1.51,20.0,-0.7(-3.38 %),13590,270265000,0,0,20.0,20.7,19.7
09/12/2008,1.58,21.0,1(5.00 %),4810,100470000,0,0,20.8,21.0,20.8
10/12/2008,1.66,22.0,1(4.76 %),3810,83820000,0,0,22.0,22.0,22.0
11/12/2008,1.74,23.1,1.1(5.00 %),154440,3557097000,0,0,23.1,23.1,22.5
12/12/2008,1.82,24.2,1.1(4.76 %),2390,57838000,0,0,24.2,24.2,24.2
15/12/2008,1.91,25.4,1.2(4.96 %),19000,482600000,0,0,25.4,25.4,25.4
16/12/2008,2.0,26.6,1.2(4.72 %),233980,6214774000,0,0,26.6,26.6,25.8
17/12/2008,2.0,26.6,0(0.00 %),85360,2247956000,0,0,25.6,27.5,25.6
18/12/2008,1.97,26.1,-0.5(-1.88 %),14520,386029000,0,0,26.6,26.9,26.0
19/12/2008,2.0,26.5,0.4(1.53 %),35930,943306000,0,0,25.9,26.5,25.8
22/12/2008,2.06,27.4,0.9(3.40 %),74180,2033750000,0,0,27.6,27.6,26.5
23/12/2008,1.99,26.4,-1(-3.65 %),42110,1115068000,0,0,26.6,26.8,26.2
24/12/2008,1.98,26.3,-0.1(-0.38 %),28110,733954000,0,0,25.5,26.4,25.5
25/12/2008,2.0,26.5,0.2(0.76 %),5190,137907000,0,0,27.0,27.0,26.3
26/12/2008,2.0,26.6,0.1(0.38 %),26570,701250000,0,0,26.0,26.7,26.0
29/12/2008,2.03,27.0,0.4(1.50 %),27610,743600000,0,0,26.1,27.0,26.1
30/12/2008,2.06,27.4,0.4(1.48 %),40230,1097410000,0,0,27.1,27.5,27.0
31/12/2008,2.06,27.3,-0.1(-0.36 %),17060,466091000,0,0,27.4,27.8,26.6
02/01/2009,2.03,26.9,-0.4(-1.47 %),5500,148207000,0,0,27.3,27.3,26.8
05/01/2009,2.04,27.1,0.2(0.74 %),25000,674796000,0,0,27.0,27.1,26.5
06/01/2009,2.06,27.3,0.2(0.74 %),35710,973244000,0,0,27.8,27.8,27.1
07/01/2009,2.06,27.4,0.1(0.37 %),48800,1338402000,0,0,27.3,27.7,27.3
08/01/2009,2.03,27.0,-0.4(-1.46 %),13720,373955000,0,0,26.8,27.5,26.8
09/01/2009,2.06,27.3,0.3(1.11 %),2900,79320000,0,0,27.4,27.4,27.3
12/01/2009,2.04,27.1,-0.2(-0.73 %),13950,376979000,0,0,27.0,27.1,26.9
13/01/2009,2.03,27.0,-0.1(-0.37 %),10310,278326000,0,0,27.1,27.2,26.6
14/01/2009,2.0,26.6,-0.4(-1.48 %),23760,641189000,0,0,27.0,27.1,26.6
15/01/2009,2.0,26.5,-0.1(-0.38 %),2620,69664000,0,0,26.6,26.9,26.5
16/01/2009,2.03,27.0,0.5(1.89 %),18410,502450000,0,0,27.8,27.8,26.5
19/01/2009,2.05,27.2,0.2(0.74 %),4800,130380000,0,0,27.5,27.5,27.0
20/01/2009,2.06,27.3,0.1(0.37 %),2560,69753000,0,0,27.4,27.4,27.0
21/01/2009,2.04,27.1,-0.2(-0.73 %),12530,341554000,0,0,27.3,27.3,27.0
22/01/2009,2.06,27.3,0.2(0.74 %),6260,170159000,0,0,27.1,27.3,27.1
23/01/2009,2.05,27.2,-0.1(-0.37 %),670,18330000,0,0,27.5,27.5,27.2
02/02/2009,2.0,26.6,-0.6(-2.21 %),390,10438000,0,0,27.2,27.2,26.6
03/02/2009,1.93,25.6,-1(-3.76 %),34190,884185000,0,0,25.8,26.0,25.5
04/02/2009,1.94,25.7,0.1(0.39 %),2600,66736000,0,0,25.6,25.8,25.6
05/02/2009,1.91,25.4,-0.3(-1.17 %),15210,386804000,0,0,26.0,26.0,25.1
06/02/2009,2.0,26.6,1.2(4.72 %),34560,898263000,0,0,25.5,26.6,25.5
09/02/2009,2.03,26.9,0.3(1.13 %),7970,214544000,0,0,27.1,27.1,26.8
10/02/2009,1.97,26.2,-0.7(-2.60 %),12620,334379000,0,0,26.9,26.9,25.9
11/02/2009,1.98,26.3,0.1(0.38 %),8440,221566000,0,0,26.1,26.4,25.5
12/02/2009,1.98,26.3,0(0.00 %),10040,266004000,0,0,26.3,26.5,26.3
13/02/2009,1.98,26.3,0(0.00 %),2530,67602000,0,0,27.0,27.0,26.3
16/02/2009,1.95,25.9,-0.4(-1.52 %),1690,43528000,0,0,25.7,26.4,25.7
17/02/2009,1.89,25.1,-0.8(-3.09 %),22360,563887000,0,0,25.5,25.5,25.0
18/02/2009,1.87,24.8,-0.3(-1.20 %),7310,181468000,0,0,25.0,25.0,24.8
19/02/2009,1.91,25.3,0.5(2.02 %),6450,163174000,0,0,25.2,25.9,25.2
20/02/2009,1.88,24.9,-0.4(-1.58 %),17200,435950000,0,0,25.4,25.5,24.9
23/02/2009,1.83,24.3,-0.6(-2.41 %),16770,412501000,0,0,25.0,25.0,24.3
24/02/2009,1.79,23.7,-0.6(-2.47 %),4790,112845000,0,0,24.3,23.7,23.5
25/02/2009,1.87,24.8,1.1(4.64 %),20200,500960000,0,0,23.7,24.8,24.8
26/02/2009,1.88,25.0,0.2(0.81 %),6470,161779000,0,0,24.8,25.3,24.8
27/02/2009,1.88,25.0,0(0.00 %),21420,535506000,0,0,25.0,25.5,25.0
02/03/2009,1.89,25.1,0.1(0.40 %),5100,129610000,0,0,25.0,25.5,25.1
03/03/2009,1.86,24.7,-0.4(-1.59 %),1810,44707000,0,0,25.1,24.7,24.7
04/03/2009,1.91,25.3,0.6(2.43 %),10550,267830000,0,0,24.7,25.5,24.9
05/03/2009,1.93,25.6,0.3(1.19 %),21810,556996000,0,0,25.3,25.8,25.4
06/03/2009,1.94,25.8,0.2(0.78 %),29770,763298000,0,0,25.6,25.8,25.6
09/03/2009,2.03,27.0,1.2(4.65 %),17610,472224000,0,0,25.8,27.0,25.8
10/03/2009,2.03,26.9,-0.1(-0.37 %),6750,181887000,0,0,27.0,27.0,26.5
11/03/2009,1.97,26.1,-0.8(-2.97 %),9860,263672000,0,0,26.9,27.1,26.1
12/03/2009,1.92,25.5,-0.6(-2.30 %),17800,453104000,0,0,26.1,25.6,25.4
13/03/2009,1.96,26.0,0.5(1.96 %),1560,40820000,0,0,25.5,26.5,25.7
