Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
27/01/2015,0,0,0(0.00 %),0,0,0,0,1599850,0.0
28/01/2015,0,0,0(0.00 %),0,0,0,0,1599850,0.0
29/01/2015,8000,186400000,0(0.00 %),8000,186400000,0,0,1591850,0.25
30/01/2015,0,0,0(0.00 %),0,0,0,0,1591850,0.25
02/02/2015,0,0,0(0.00 %),0,0,0,0,1591850,0.25
03/02/2015,5100,96850000,0(0.00 %),5100,96850000,0,0,1586750,0.4
04/02/2015,0,0,0(0.00 %),0,0,0,0,1586750,0.4
05/02/2015,0,0,0(0.00 %),0,0,0,0,1586750,0.4
06/02/2015,0,0,0(0.00 %),0,0,0,0,1586750,0.4
09/02/2015,0,0,0(0.00 %),0,0,0,0,1586750,0.4
10/02/2015,3000,51300000,17.2(-3.91 %),3000,51300000,0,0,1583750,0.49
11/02/2015,1300,24570000,18.5(7.56 %),1300,24570000,0,0,1582450,0.53
13/02/2015,100,1850000,18.3(-2.14 %),100,1850000,0,0,1582350,0.54
24/02/2015,-1300,-23270000,18(-1.64 %),0,0,1300,23270000,1582350,0.54
25/02/2015,0,0,17.9(-0.56 %),0,0,0,0,1582350,0.54
26/02/2015,-100,-1750000,17.4(-2.79 %),0,0,100,1750000,1582350,0.54
27/02/2015,100,1730000,19(9.20 %),100,1730000,0,0,1582250,0.54
02/03/2015,0,0,17.7(-6.84 %),0,0,0,0,1583550,0.5
03/03/2015,0,0,18.1(2.26 %),0,0,0,0,1583550,0.5
04/03/2015,0,0,18.2(0.55 %),0,0,0,0,1583650,0.5
05/03/2015,0,0,18(-1.10 %),0,0,0,0,1583650,0.5
06/03/2015,-200,-3720000,19.8(10.00 %),0,0,200,3720000,1583650,0.5
09/03/2015,0,0,21(6.06 %),0,0,0,0,1583650,0.5
10/03/2015,0,0,20.2(-3.81 %),0,0,0,0,1583650,0.5
11/03/2015,0,0,19.4(-3.96 %),0,0,0,0,1583650,0.5
12/03/2015,0,0,19.5(0.52 %),0,0,0,0,1583850,0.49
13/03/2015,0,0,19.2(-1.54 %),0,0,0,0,1583850,0.49
16/03/2015,0,0,19(-1.04 %),0,0,0,0,1583850,0.49
17/03/2015,0,0,19.6(3.16 %),0,0,0,0,1583850,0.49
18/03/2015,0,0,19.2(-2.04 %),0,0,0,0,1583850,0.49
19/03/2015,0,0,19(-1.04 %),0,0,0,0,1583850,0.49
20/03/2015,0,0,19.4(2.11 %),0,0,0,0,1583850,0.49
23/03/2015,0,0,18.6(-4.12 %),0,0,0,0,1583850,0.49
24/03/2015,0,0,18.5(-0.54 %),0,0,0,0,1583850,0.49
25/03/2015,0,0,18.1(-2.16 %),0,0,0,0,1583850,0.49
26/03/2015,0,0,19.1(5.52 %),0,0,0,0,1583850,0.49
27/03/2015,0,0,18.9(-1.05 %),0,0,0,0,1583850,0.49
30/03/2015,0,0,18.1(-4.23 %),0,0,0,0,1583850,0.49
31/03/2015,0,0,18.6(2.76 %),0,0,0,0,1583850,0.49
01/04/2015,0,0,17.8(-4.30 %),0,0,0,0,1583850,0.49
02/04/2015,0,0,18.1(1.69 %),0,0,0,0,1583850,0.49
03/04/2015,0,0,18.1(0.00 %),0,0,0,0,1583850,0.49
06/04/2015,0,0,18.6(2.76 %),0,0,0,0,1583850,0.49
07/04/2015,0,0,18.6(0.00 %),0,0,0,0,1583850,0.49
08/04/2015,0,0,18.5(-0.54 %),0,0,0,0,1583850,0.49
09/04/2015,0,0,18.6(0.54 %),0,0,0,0,1583850,0.49
10/04/2015,0,0,18.5(-0.54 %),0,0,0,0,1583850,0.49
13/04/2015,0,0,18.4(-0.54 %),0,0,0,0,1583850,0.49
14/04/2015,0,0,18.4(0.00 %),0,0,0,0,1583850,0.49
15/04/2015,0,0,18.3(-0.54 %),0,0,0,0,1583850,0.49
16/04/2015,0,0,18.1(-1.09 %),0,0,0,0,1583850,0.49
17/04/2015,0,0,18.1(0.00 %),0,0,0,0,1583850,0.49
20/04/2015,0,0,17.9(-1.10 %),0,0,0,0,1583850,0.49
21/04/2015,0,0,18.2(1.68 %),0,0,0,0,1583850,0.49
22/04/2015,0,0,18(-1.10 %),0,0,0,0,1583850,0.49
23/04/2015,0,0,18.3(1.67 %),0,0,0,0,1583850,0.49
24/04/2015,0,0,18.5(1.09 %),0,0,0,0,1583850,0.49
27/04/2015,0,0,18.8(1.62 %),0,0,0,0,1583850,0.49
04/05/2015,0,0,17.8(-5.32 %),0,0,0,0,1583850,0.49
05/05/2015,0,0,18.3(2.81 %),0,0,0,0,1583850,0.49
06/05/2015,0,0,18.8(2.73 %),0,0,0,0,1583850,0.49
07/05/2015,0,0,18.7(-0.53 %),0,0,0,0,1583850,0.49
08/05/2015,0,0,18.1(-3.21 %),0,0,0,0,1583850,0.49
11/05/2015,0,0,18.3(1.10 %),0,0,0,0,1583850,0.49
12/05/2015,-2000,-36400000,18.2(-0.55 %),0,0,2000,36400000,1583850,0.49
13/05/2015,0,0,18.1(-0.55 %),0,0,0,0,1583850,0.49
14/05/2015,0,0,18.1(0.00 %),0,0,0,0,1583850,0.49
15/05/2015,0,0,15.6(-3.11 %),0,0,0,0,1583850,0.49
18/05/2015,0,0,15.3(-1.92 %),0,0,0,0,1585850,0.43
19/05/2015,0,0,15.8(3.27 %),0,0,0,0,1585850,0.43
20/05/2015,0,0,16.1(1.90 %),0,0,0,0,1585850,0.43
21/05/2015,0,0,16.1(0.00 %),0,0,0,0,1585850,0.43
22/05/2015,0,0,15.9(-1.24 %),0,0,0,0,1585850,0.43
25/05/2015,0,0,15.7(-1.26 %),0,0,0,0,1585850,0.43
26/05/2015,0,0,15.9(1.27 %),0,0,0,0,1585850,0.43
27/05/2015,0,0,15.9(0.00 %),0,0,0,0,1585850,0.43
28/05/2015,0,0,15.9(0.00 %),0,0,0,0,1585850,0.43
29/05/2015,0,0,15.5(-2.52 %),0,0,0,0,1585850,0.43
01/06/2015,0,0,15.8(1.94 %),0,0,0,0,1585850,0.43
02/06/2015,0,0,15.8(0.00 %),0,0,0,0,1585850,0.43
03/06/2015,0,0,15.8(0.00 %),0,0,0,0,1585850,0.43
04/06/2015,0,0,15.9(0.63 %),0,0,0,0,1585850,0.43
05/06/2015,0,0,16.9(6.29 %),0,0,0,0,1585850,0.43
08/06/2015,0,0,16(-5.33 %),0,0,0,0,1585850,0.43
09/06/2015,0,0,16(0.00 %),0,0,0,0,1585850,0.43
10/06/2015,0,0,16.2(1.25 %),0,0,0,0,1585850,0.43
11/06/2015,0,0,16(-1.23 %),0,0,0,0,1585850,0.43
12/06/2015,0,0,16(0.00 %),0,0,0,0,1585850,0.43
15/06/2015,0,0,16(0.00 %),0,0,0,0,1585850,0.43
16/06/2015,0,0,16(0.00 %),0,0,0,0,1585850,0.43
17/06/2015,0,0,16.2(1.25 %),0,0,0,0,1585850,0.43
18/06/2015,0,0,16(-1.23 %),0,0,0,0,1585850,0.43
19/06/2015,0,0,16.1(0.62 %),0,0,0,0,1585850,0.43
22/06/2015,0,0,16.1(0.00 %),0,0,0,0,1585850,0.43
23/06/2015,-3900,-62790000,16.1(0.00 %),0,0,3900,62790000,1585850,0.43
24/06/2015,0,0,16.1(0.00 %),0,0,0,0,1585850,0.43
25/06/2015,0,0,16(-0.62 %),0,0,0,0,1585850,0.43
26/06/2015,0,0,16(0.00 %),0,0,0,0,1585850,0.43
29/06/2015,0,0,15.9(-0.62 %),0,0,0,0,1589750,0.31
30/06/2015,0,0,15.8(-0.63 %),0,0,0,0,1589750,0.31
01/07/2015,0,0,15.8(0.00 %),0,0,0,0,1589750,0.31
02/07/2015,0,0,16(1.27 %),0,0,0,0,1589750,0.31
03/07/2015,0,0,15.9(-0.62 %),0,0,0,0,1589750,0.31
06/07/2015,0,0,15.9(0.00 %),0,0,0,0,1589750,0.31
07/07/2015,0,0,15.8(-0.63 %),0,0,0,0,1589750,0.31
08/07/2015,0,0,15.9(0.63 %),0,0,0,0,1589750,0.31
09/07/2015,0,0,15.8(-0.63 %),0,0,0,0,1589750,0.31
10/07/2015,-10100,-160590000,15.9(0.63 %),0,0,10100,160590000,1589750,0.31
13/07/2015,0,0,15.8(-0.63 %),0,0,0,0,1589750,0.31
14/07/2015,0,0,15.8(0.00 %),0,0,0,0,1589750,0.31
15/07/2015,0,0,15.7(-0.63 %),0,0,0,0,1589750,0.31
16/07/2015,0,0,15.9(1.27 %),0,0,0,0,1599850,0.0
17/07/2015,0,0,15.8(-0.63 %),0,0,0,0,1599850,0.0
20/07/2015,0,0,15.9(0.63 %),0,0,0,0,1599850,0.0
21/07/2015,0,0,15.9(0.00 %),0,0,0,0,1599850,0.0
22/07/2015,0,0,15.9(0.00 %),0,0,0,0,1599850,0.0
23/07/2015,0,0,15.8(-0.63 %),0,0,0,0,1599850,0.0
24/07/2015,0,0,15.8(0.00 %),0,0,0,0,1599850,0.0
27/07/2015,15000,241500000,16.5(4.43 %),15000,241500000,0,0,1584850,0.46
28/07/2015,4000,65600000,16.4(-0.61 %),4000,65600000,0,0,1580850,0.58
29/07/2015,2500,40500000,16.3(-0.61 %),2500,40500000,0,0,1578350,0.66
30/07/2015,10000,160000000,16(-1.84 %),10000,160000000,0,0,1568350,0.96
31/07/2015,0,0,16.3(1.88 %),0,0,0,0,1568350,0.96
03/08/2015,0,0,16.2(-0.61 %),0,0,0,0,1568350,0.96
04/08/2015,100,1610000,16.1(-0.62 %),100,1610000,0,0,1568250,0.97
05/08/2015,0,0,16.1(0.00 %),0,0,0,0,1568250,0.97
06/08/2015,0,0,16.2(0.62 %),0,0,0,0,1568250,0.97
07/08/2015,0,0,16.7(3.09 %),0,0,0,0,1568250,0.97
10/08/2015,0,0,16.3(-2.40 %),0,0,0,0,1568250,0.97
11/08/2015,0,0,16.5(1.23 %),0,0,0,0,1568250,0.97
12/08/2015,0,0,16.4(-0.61 %),0,0,0,0,1568250,0.97
13/08/2015,0,0,16(-2.44 %),0,0,0,0,1568250,0.97
14/08/2015,0,0,15.8(-1.25 %),0,0,0,0,1568250,0.97
17/08/2015,0,0,16(1.27 %),0,0,0,0,1568250,0.97
18/08/2015,0,0,15.9(-0.62 %),0,0,0,0,1568250,0.97
19/08/2015,0,0,16(0.63 %),0,0,0,0,1568250,0.97
20/08/2015,0,0,15.9(-0.62 %),0,0,0,0,1568250,0.97
21/08/2015,0,0,16(0.63 %),0,0,0,0,1568250,0.97
24/08/2015,0,0,14.6(-8.75 %),0,0,0,0,1568250,0.97
25/08/2015,0,0,15.7(7.53 %),0,0,0,0,1568250,0.97
26/08/2015,0,0,16(1.91 %),0,0,0,0,1568250,0.97
27/08/2015,0,0,17(6.25 %),0,0,0,0,1568250,0.97
28/08/2015,0,0,16(-5.88 %),0,0,0,0,1568250,0.97
31/08/2015,0,0,15.9(-0.62 %),0,0,0,0,1568250,0.97
01/09/2015,0,0,15.9(0.00 %),0,0,0,0,1568250,0.97
03/09/2015,0,0,15.8(-0.63 %),0,0,0,0,1568250,0.97
04/09/2015,0,0,15.9(0.63 %),0,0,0,0,1568250,0.97
07/09/2015,0,0,15.9(0.00 %),0,0,0,0,1568250,0.97
08/09/2015,0,0,16.1(1.26 %),0,0,0,0,1568250,0.97
09/09/2015,0,0,15.8(-1.86 %),0,0,0,0,1568250,0.97
10/09/2015,0,0,15.8(0.00 %),0,0,0,0,1568250,0.97
11/09/2015,0,0,15.8(0.00 %),0,0,0,0,1568250,0.97
14/09/2015,0,0,15.8(0.00 %),0,0,0,0,1568250,0.97
15/09/2015,0,0,15.9(0.63 %),0,0,0,0,1568250,0.97
16/09/2015,0,0,15.9(0.00 %),0,0,0,0,1568250,0.97
