Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
05/08/2010,0,0,0(0.00 %),0,0,0,0,11270000,0.0
06/08/2010,0,0,0(0.00 %),0,0,0,0,11270000,0.0
09/08/2010,0,0,0(0.00 %),0,0,0,0,11270000,0.0
10/08/2010,0,0,0(0.00 %),0,0,0,0,11270000,0.0
11/08/2010,0,0,0(0.00 %),0,0,0,0,11270000,0.0
12/08/2010,0,0,0(0.00 %),0,0,0,0,11270000,0.0
13/08/2010,0,0,0(0.00 %),0,0,0,0,11270000,0.0
16/08/2010,0,0,0(0.00 %),0,0,0,0,11270000,0.0
17/08/2010,0,0,0(0.00 %),0,0,0,0,11270000,0.0
18/08/2010,0,0,0(0.00 %),0,0,0,0,11270000,0.0
19/08/2010,0,0,0(0.00 %),0,0,0,0,11270000,0.0
20/08/2010,0,0,7.9(-1.25 %),0,0,0,0,11270000,0.0
23/08/2010,0,0,7.2(-8.86 %),0,0,0,0,11270000,0.0
24/08/2010,0,0,7(-5.41 %),0,0,0,0,11270000,0.0
25/08/2010,0,0,6.7(-2.90 %),0,0,0,0,11270000,0.0
26/08/2010,0,0,7.1(4.41 %),0,0,0,0,11270000,0.0
27/08/2010,0,0,7(0.00 %),0,0,0,0,11270000,0.0
30/08/2010,0,0,7.3(4.29 %),0,0,0,0,11270000,0.0
31/08/2010,0,0,7.6(4.11 %),0,0,0,0,11270000,0.0
01/09/2010,0,0,7(-6.67 %),0,0,0,0,11270000,0.0
06/09/2010,0,0,7.5(5.63 %),0,0,0,0,11270000,0.0
07/09/2010,0,0,7(-6.67 %),0,0,0,0,11270000,0.0
08/09/2010,0,0,6.8(-4.23 %),0,0,0,0,11270000,0.0
09/09/2010,0,0,7(0.00 %),0,0,0,0,11270000,0.0
10/09/2010,0,0,7(0.00 %),0,0,0,0,11270000,0.0
13/09/2010,0,0,6.5(-7.14 %),0,0,0,0,11270000,0.0
14/09/2010,0,0,7.1(7.58 %),0,0,0,0,11270000,0.0
15/09/2010,0,0,7(0.00 %),0,0,0,0,11270000,0.0
16/09/2010,0,0,7(0.00 %),0,0,0,0,11270000,0.0
17/09/2010,0,0,7(0.00 %),0,0,0,0,11270000,0.0
20/09/2010,0,0,7(0.00 %),0,0,0,0,11270000,0.0
21/09/2010,0,0,7(0.00 %),0,0,0,0,11270000,0.0
22/09/2010,0,0,7.3(4.29 %),0,0,0,0,11270000,0.0
23/09/2010,0,0,7.2(0.00 %),0,0,0,0,11270000,0.0
24/09/2010,0,0,7.2(0.00 %),0,0,0,0,11270000,0.0
27/09/2010,0,0,7.3(2.82 %),0,0,0,0,11270000,0.0
28/09/2010,0,0,7.5(0.00 %),0,0,0,0,11270000,0.0
29/09/2010,0,0,7.2(-6.49 %),0,0,0,0,11270000,0.0
30/09/2010,0,0,8(2.56 %),0,0,0,0,11270000,0.0
01/10/2010,0,0,7.7(-2.53 %),0,0,0,0,11270000,0.0
04/10/2010,0,0,7(-5.41 %),0,0,0,0,11270000,0.0
05/10/2010,0,0,6.8(-4.23 %),0,0,0,0,11270000,0.0
06/10/2010,0,0,7.1(4.41 %),0,0,0,0,11270000,0.0
07/10/2010,0,0,7.3(2.82 %),0,0,0,0,11270000,0.0
08/10/2010,0,0,6.8(-4.23 %),0,0,0,0,11270000,0.0
11/10/2010,0,0,6.8(0.00 %),0,0,0,0,11270000,0.0
12/10/2010,0,0,6.7(-1.47 %),0,0,0,0,11270000,0.0
13/10/2010,0,0,7(4.48 %),0,0,0,0,11270000,0.0
14/10/2010,0,0,6.6(-2.94 %),0,0,0,0,11270000,0.0
15/10/2010,0,0,6.7(1.52 %),0,0,0,0,11270000,0.0
18/10/2010,0,0,6.4(-3.03 %),0,0,0,0,11270000,0.0
19/10/2010,0,0,6.7(4.69 %),0,0,0,0,11270000,0.0
20/10/2010,0,0,6.4(0.00 %),0,0,0,0,11270000,0.0
21/10/2010,0,0,6.6(3.12 %),0,0,0,0,11270000,0.0
22/10/2010,0,0,6.7(0.00 %),0,0,0,0,11270000,0.0
26/10/2010,0,0,6.3(-3.08 %),0,0,0,0,11270000,0.0
27/10/2010,0,0,6(-4.76 %),0,0,0,0,11270000,0.0
28/10/2010,0,0,5.8(-4.92 %),0,0,0,0,11270000,0.0
29/10/2010,0,0,6(5.26 %),0,0,0,0,11270000,0.0
01/11/2010,0,0,6.3(8.62 %),0,0,0,0,11270000,0.0
02/11/2010,0,0,6.2(-1.59 %),0,0,0,0,11270000,0.0
03/11/2010,0,0,6.3(1.61 %),0,0,0,0,11270000,0.0
04/11/2010,0,0,6.3(0.00 %),0,0,0,0,11270000,0.0
05/11/2010,0,0,6.4(0.00 %),0,0,0,0,11270000,0.0
08/11/2010,0,0,6.2(-3.12 %),0,0,0,0,11270000,0.0
09/11/2010,0,0,6(-3.23 %),0,0,0,0,11270000,0.0
10/11/2010,0,0,6.1(1.67 %),0,0,0,0,11270000,0.0
11/11/2010,0,0,5.4(-10.00 %),0,0,0,0,11270000,0.0
12/11/2010,0,0,5.9(7.27 %),0,0,0,0,11270000,0.0
15/11/2010,0,0,5.5(-6.78 %),0,0,0,0,11270000,0.0
16/11/2010,0,0,6(5.26 %),0,0,0,0,11270000,0.0
17/11/2010,0,0,5.5(-8.33 %),0,0,0,0,11270000,0.0
18/11/2010,0,0,6.4(3.23 %),0,0,0,0,11270000,0.0
19/11/2010,0,0,5.8(-9.37 %),0,0,0,0,11270000,0.0
22/11/2010,0,0,5.5(-5.17 %),0,0,0,0,11270000,0.0
23/11/2010,0,0,5.9(9.26 %),0,0,0,0,11270000,0.0
24/11/2010,0,0,5.9(0.00 %),0,0,0,0,11270000,0.0
25/11/2010,0,0,5.9(0.00 %),0,0,0,0,11270000,0.0
26/11/2010,0,0,5.8(-1.69 %),0,0,0,0,11270000,0.0
29/11/2010,0,0,0(0.00 %),0,0,0,0,11270000,0.0
30/11/2010,0,0,6.4(3.23 %),0,0,0,0,11270000,0.0
01/12/2010,0,0,6.1(-4.69 %),0,0,0,0,11270000,0.0
02/12/2010,0,0,6.3(8.62 %),0,0,0,0,11270000,0.0
03/12/2010,0,0,6.7(9.84 %),0,0,0,0,11270000,0.0
06/12/2010,0,0,6.4(-3.03 %),0,0,0,0,11270000,0.0
07/12/2010,0,0,6.5(-2.99 %),0,0,0,0,11270000,0.0
08/12/2010,0,0,6.1(-8.96 %),0,0,0,0,11270000,0.0
09/12/2010,0,0,6.2(1.64 %),0,0,0,0,11270000,0.0
10/12/2010,0,0,6.1(8.93 %),0,0,0,0,11270000,0.0
13/12/2010,0,0,6.2(8.77 %),0,0,0,0,11270000,0.0
14/12/2010,0,0,5.7(-8.06 %),0,0,0,0,11270000,0.0
15/12/2010,0,0,5.9(1.72 %),0,0,0,0,11270000,0.0
16/12/2010,0,0,5.6(-1.75 %),0,0,0,0,11270000,0.0
17/12/2010,0,0,5.9(5.36 %),0,0,0,0,11270000,0.0
20/12/2010,0,0,5.6(-5.08 %),0,0,0,0,11270000,0.0
21/12/2010,0,0,5.7(3.64 %),0,0,0,0,11270000,0.0
22/12/2010,0,0,5.6(-1.75 %),0,0,0,0,11270000,0.0
23/12/2010,0,0,5.7(5.56 %),0,0,0,0,11270000,0.0
24/12/2010,0,0,5.8(3.57 %),0,0,0,0,11270000,0.0
27/12/2010,0,0,5.7(-1.72 %),0,0,0,0,11270000,0.0
28/12/2010,0,0,5.8(7.41 %),0,0,0,0,11270000,0.0
29/12/2010,0,0,5.8(0.00 %),0,0,0,0,11270000,0.0
30/12/2010,0,0,5.3(-8.62 %),0,0,0,0,11270000,0.0
31/12/2010,0,0,5.7(5.56 %),0,0,0,0,11270000,0.0
04/01/2011,0,0,5.3(-3.64 %),0,0,0,0,11270000,0.0
05/01/2011,0,0,5.7(3.64 %),0,0,0,0,11270000,0.0
06/01/2011,0,0,5.6(-1.75 %),0,0,0,0,11270000,0.0
07/01/2011,0,0,5.2(-7.14 %),0,0,0,0,11270000,0.0
10/01/2011,0,0,5(-7.41 %),0,0,0,0,11270000,0.0
11/01/2011,0,0,5(-1.96 %),0,0,0,0,11270000,0.0
12/01/2011,0,0,5.2(0.00 %),0,0,0,0,11270000,0.0
13/01/2011,0,0,5.2(0.00 %),0,0,0,0,11270000,0.0
14/01/2011,0,0,5.2(0.00 %),0,0,0,0,11270000,0.0
17/01/2011,0,0,5.2(4.00 %),0,0,0,0,11270000,0.0
18/01/2011,0,0,5.1(-1.92 %),0,0,0,0,11270000,0.0
19/01/2011,0,0,0(0.00 %),0,0,0,0,11270000,0.0
20/01/2011,0,0,5.1(0.00 %),0,0,0,0,11270000,0.0
21/01/2011,0,0,5.1(-1.92 %),0,0,0,0,11270000,0.0
24/01/2011,0,0,5(0.00 %),0,0,0,0,11270000,0.0
25/01/2011,0,0,5.2(4.00 %),0,0,0,0,11270000,0.0
26/01/2011,0,0,0(0.00 %),0,0,0,0,11270000,0.0
27/01/2011,0,0,5.3(1.92 %),0,0,0,0,11270000,0.0
28/01/2011,0,0,5.2(-1.89 %),0,0,0,0,11270000,0.0
08/02/2011,0,0,5.3(0.00 %),0,0,0,0,11270000,0.0
09/02/2011,0,0,5.3(-3.64 %),0,0,0,0,11270000,0.0
10/02/2011,0,0,5.1(-7.27 %),0,0,0,0,11270000,0.0
11/02/2011,0,0,4.9(-2.00 %),0,0,0,0,11270000,0.0
14/02/2011,0,0,5.2(6.12 %),0,0,0,0,11270000,0.0
15/02/2011,0,0,5(-3.85 %),0,0,0,0,11270000,0.0
16/02/2011,0,0,4.7(-6.00 %),0,0,0,0,11270000,0.0
17/02/2011,0,0,5(2.04 %),0,0,0,0,11270000,0.0
18/02/2011,0,0,4.8(0.00 %),0,0,0,0,11270000,0.0
21/02/2011,0,0,4.4(-8.33 %),0,0,0,0,11270000,0.0
