Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
20/04/2017,0,0,0(0.00 %),0,0,0,0,9796700,-8.63
21/04/2017,0,0,0(0.00 %),0,0,0,0,9796700,-8.63
24/04/2017,0,0,0(0.00 %),0,0,0,0,9796700,-8.63
25/04/2017,0,0,0(0.00 %),0,0,0,0,9796700,-8.63
26/04/2017,0,0,0(0.00 %),0,0,0,0,9796700,-8.63
27/04/2017,0,0,0(0.00 %),0,0,0,0,9796700,-8.63
28/04/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
03/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
04/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
05/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
08/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
09/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
10/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
11/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
12/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
15/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
16/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
17/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
18/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
19/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
22/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
23/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
24/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
25/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
26/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
29/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
30/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
31/05/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
01/06/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
02/06/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
05/06/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
06/06/2017,0,0,10.2(0.00 %),0,0,0,0,9796700,-8.63
07/06/2017,0,0,6.2(-39.22 %),0,0,0,0,9796700,-8.63
08/06/2017,0,0,6.2(0.00 %),0,0,0,0,9796700,-8.63
