Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
09/06/2010,17.25,21.0,1(5.00 %),118700,2159290000,0,0,20.0,21.0,16.5
10/06/2010,15.36,18.7,0.5(2.75 %),15000,286350000,490000,9506000000,19.4,19.4,18.7
11/06/2010,14.95,18.2,-0.9(-4.71 %),14900,273630000,10000,178000000,19.1,19.1,17.8
14/06/2010,14.13,17.2,-1.2(-6.52 %),100100,1721840000,25000,457500000,18.3,18.3,17.2
15/06/2010,13.23,16.1,-1.1(-6.40 %),490200,7864330000,100000,1650000000,16.0,16.5,16.0
16/06/2010,14.05,17.1,1.1(6.88 %),174600,2985500000,0,0,17.0,17.1,17.0
17/06/2010,14.95,18.2,1.1(6.43 %),248100,4498220000,0,0,18.2,18.2,17.7
18/06/2010,14.87,18.1,0(0.00 %),138800,2637370000,250000,4825000000,19.1,19.3,18.0
21/06/2010,14.54,17.7,-1.3(-6.84 %),24000,424850000,0,0,17.8,17.8,17.7
22/06/2010,13.88,16.9,-0.8(-4.52 %),159200,2642700000,250000,4125000000,16.8,17.0,16.5
23/06/2010,13.64,16.6,0(0.00 %),32100,530980000,195300,3280810000,17.4,17.4,16.4
24/06/2010,13.47,16.4,-0.1(-0.61 %),26200,431620000,30000,528000000,16.5,16.7,16.3
25/06/2010,13.56,16.5,0(0.00 %),82300,1377260000,111000,1885400000,16.3,16.9,16.0
28/06/2010,13.23,16.1,-0.6(-3.59 %),12100,194820000,0,0,16.0,16.2,16.0
29/06/2010,13.14,16.0,-0.1(-0.62 %),9100,146890000,26600,457520000,15.8,16.6,15.8
30/06/2010,12.73,15.5,-0.6(-3.73 %),29500,469110000,0,0,15.7,16.0,15.5
01/07/2010,12.73,15.5,-0.4(-2.52 %),27200,446180000,110000,1848000000,16.4,16.7,15.5
02/07/2010,12.73,15.5,-0.9(-5.49 %),49200,774940000,61000,1067500000,16.0,16.1,15.3
05/07/2010,12.49,15.2,-0.6(-3.80 %),21400,332490000,100000,1690000000,15.5,16.6,15.2
06/07/2010,12.32,15.0,-0.5(-3.23 %),22200,333460000,0,0,15.3,15.3,14.9
07/07/2010,13.06,15.9,0.9(6.00 %),52600,826680000,590500,9387500000,15.4,16.0,15.4
08/07/2010,13.31,16.2,0.5(3.18 %),91600,1496520000,36600,603900000,16.2,16.6,16.0
09/07/2010,12.57,15.3,-1(-6.13 %),137500,2195870000,13500,234900000,16.4,16.6,15.2
12/07/2010,13.14,16.0,0(0.00 %),72000,1149250000,0,0,15.5,16.1,15.2
13/07/2010,13.47,16.4,0.4(2.50 %),131800,2171380000,0,0,16.0,16.6,16.0
14/07/2010,13.06,15.9,-0.6(-3.64 %),80600,1299350000,22700,397250000,16.4,16.6,15.4
15/07/2010,13.06,15.9,-0.2(-1.24 %),71200,1119530000,100000,1600000000,15.7,16.1,15.4
16/07/2010,13.31,16.2,0.5(3.18 %),61000,980100000,100000,1600000000,15.9,16.2,15.9
19/07/2010,12.98,15.8,-0.3(-1.86 %),42800,684020000,30000,516000000,16.2,16.2,15.8
20/07/2010,12.82,15.6,-0.4(-2.50 %),13400,211450000,100000,1600000000,16.0,16.0,15.6
21/07/2010,12.57,15.3,-0.5(-3.16 %),81900,1264560000,0,0,15.8,16.0,15.2
22/07/2010,12.49,15.2,-0.2(-1.30 %),18700,281820000,0,0,15.3,15.3,15.0
23/07/2010,11.91,14.5,-0.6(-3.97 %),89400,1353710000,0,0,15.3,15.5,14.5
26/07/2010,11.67,14.2,-0.9(-5.96 %),35800,530640000,70000,1102000000,15.0,15.3,14.2
27/07/2010,11.91,14.5,-0.3(-2.03 %),35700,527130000,174000,2578000000,14.8,14.9,14.0
28/07/2010,12.16,14.8,0(0.00 %),22400,314970000,52000,806000000,14.2,14.8,14.0
29/07/2010,11.83,14.4,0.3(2.13 %),3300,46970000,176000,2640000000,14.2,14.4,14.1
30/07/2010,11.67,14.2,0(0.00 %),8000,114230000,12000,174000000,14.4,14.5,14.2
02/08/2010,11.17,13.6,-0.7(-4.90 %),19000,268270000,30000,450000000,14.5,14.5,13.6
