Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
20/11/2017,10.5,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
21/11/2017,10.5,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
22/11/2017,10.5,10.5,0(0.00 %),0,0,0,0,10.5,10.5,10.5
23/11/2017,14.7,14.7,4.2(40.00 %),100,1470000,0,0,14.7,14.7,14.7
24/11/2017,12.5,12.5,-2.2(-14.97 %),500,6250000,0,0,12.5,12.5,12.5
27/11/2017,10.7,10.7,-1.8(-14.40 %),600,6420000,0,0,10.7,10.7,10.7
28/11/2017,9.1,9.1,-1.6(-14.95 %),900,8190000,0,0,9.1,9.1,9.1
29/11/2017,7.8,7.8,-1.3(-14.29 %),500,3900000,0,0,7.8,7.8,7.8
30/11/2017,6.7,6.7,-1.1(-14.10 %),8206,54980200,0,0,6.7,6.7,6.7
01/12/2017,7.7,7.7,1(14.93 %),200,1340000,0,0,5.7,7.7,5.7
04/12/2017,6.7,6.7,0(0.00 %),200,1240000,0,0,5.7,6.7,5.7
05/12/2017,6.2,6.2,0(0.00 %),3100,19620000,0,0,7.0,7.0,6.2
06/12/2017,6.3,6.3,0(0.00 %),400,2520000,0,0,6.3,6.3,6.3
07/12/2017,6.3,6.3,0(0.00 %),0,0,0,0,6.3,6.3,6.3
08/12/2017,6.3,6.3,0(0.00 %),300,1890000,0,0,6.3,6.3,6.3
11/12/2017,6.3,6.3,0(0.00 %),1400,8766000,0,0,6.3,6.3,6.3
12/12/2017,6.3,6.3,0(0.00 %),0,0,0,0,6.3,6.3,6.3
13/12/2017,6.3,6.3,0(0.00 %),0,0,0,0,6.3,6.3,6.3
14/12/2017,6.3,6.3,0(0.00 %),100,630000,0,0,6.3,6.3,6.3
15/12/2017,6.3,6.3,0(0.00 %),900,5670000,0,0,6.3,6.3,6.3
18/12/2017,6.3,6.3,0(0.00 %),1100,6930000,0,0,6.3,6.3,6.3
19/12/2017,6.3,6.3,0(0.00 %),1400,8820000,0,0,6.3,6.3,6.3
20/12/2017,6.3,6.3,0(0.00 %),400,2520000,0,0,6.3,6.3,6.3
21/12/2017,6.3,6.3,0(0.00 %),800,5040000,0,0,6.3,6.3,6.3
22/12/2017,6.3,6.3,0(0.00 %),20,114000,0,0,6.3,6.3,6.3
