Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
PLX,22/08/2025,26500,13200,959520000,481985000
PLX,21/08/2025,62200,41800,2296350000,1542655000
PLX,20/08/2025,49100,10500,1816850000,392420000
PLX,19/08/2025,40800,56400,1576875000,2195110000
PLX,18/08/2025,7200,259100,278120000,10007580000
PLX,15/08/2025,4200,78100,161685000,3041715000
PLX,14/08/2025,10500,55400,397395000,2097295000
PLX,13/08/2025,1300,405800,49550000,15288050000
PLX,12/08/2025,2700,19400,102495000,737300000
PLX,11/08/2025,1500,13000,56760000,492945000
PLX,08/08/2025,300,20000,11160000,750990000
PLX,07/08/2025,0,133400,0,4956110000
PLX,06/08/2025,25600,14960,951535000,553733000
PLX,05/08/2025,34000,17700,1253875000,649840000
PLX,04/08/2025,39600,1900,1447755000,69190000
PLX,01/08/2025,238400,400,8542275000,14355000
PLX,31/07/2025,279500,17100,10178215000,619940000
PLX,30/07/2025,2100,9100,76655000,330695000
PLX,29/07/2025,20100,13300,755445000,495405000
PLX,28/07/2025,361300,700,13735710000,26630000
PLX,25/07/2025,154600,1900,5883000000,72865000
PLX,24/07/2025,500,9900,18810000,373795000
PLX,23/07/2025,300,8900,11145000,330865000
PLX,22/07/2025,1200,1700,44490000,62915000
PLX,21/07/2025,2300,8400,85355000,314620000
PLX,18/07/2025,179000,9900,6695080000,369525000
PLX,17/07/2025,7200,9800,267945000,364070000
PLX,16/07/2025,2400,4300,89625000,159680000
PLX,15/07/2025,1500,22600,56025000,846405000
PLX,14/07/2025,76500,17600,2864275000,660795000
PLX,11/07/2025,189100,300,7144460000,11340000
PLX,10/07/2025,7200,1000,273585000,37525000
PLX,09/07/2025,3900,300,146505000,11280000
PLX,08/07/2025,93800,2600,3489360000,96610000
PLX,07/07/2025,51500,1400,1908225000,52060000
PLX,04/07/2025,391400,800,14525870000,29670000
PLX,03/07/2025,300,7000,11115000,260735000
PLX,02/07/2025,900,3000,33240000,110685000
PLX,01/07/2025,141300,3400,5236510000,125840000
PLX,30/06/2025,2100,1500,77910000,55605000
PLX,27/06/2025,35000,18900,1296750000,705115000
PLX,26/06/2025,144700,23100,5357900000,860800000
PLX,25/06/2025,0,67300,0,2512815000
PLX,24/06/2025,200,2300,7625000,88095000
PLX,23/06/2025,76000,42500,2774000000,1769220000
PLX,20/06/2025,200,27900,7800000,1092180000
PLX,19/06/2025,1800,900,70305000,34650000
PLX,18/06/2025,56300,100,2210745000,3900000
PLX,17/06/2025,0,7300,0,286110000
PLX,16/06/2025,0,37600,0,1505280000
PLX,13/06/2025,515500,209204,19045695000,7742328000
PLX,12/06/2025,6900,4800,244460000,169010000
PLX,11/06/2025,1800,4200,63660000,148425000
PLX,10/06/2025,20100,2400,717875000,85260000
PLX,09/06/2025,11400,0,420490000,0
PLX,06/06/2025,3000,100900,112200000,3703935000
PLX,05/06/2025,3600,48100,130275000,1738275000
PLX,04/06/2025,600,65100,21840000,2355375000
PLX,03/06/2025,3000,58400,107125000,2087730000
PLX,02/06/2025,6500,210100,228250000,7389155000
PLX,30/05/2025,2700,900,93265000,31335000
PLX,29/05/2025,0,100,0,3485000
PLX,28/05/2025,0,45100,0,1600975000
PLX,27/05/2025,0,11100,0,386335000
PLX,26/05/2025,1200,15300,40620000,519300000
PLX,23/05/2025,7200,4600,247720000,157765000
PLX,22/05/2025,1900,11300,66420000,394785000
PLX,21/05/2025,9300,19900,324970000,698165000
PLX,20/05/2025,9900,21000,345300000,733090000
PLX,19/05/2025,11700,5400,412185000,189995000
PLX,16/05/2025,9300,35500,332790000,1269355000
PLX,15/05/2025,22500,14100,801310000,501885000
PLX,14/05/2025,4300,620300,154105000,22186355000
PLX,13/05/2025,0,136400,0,4871780000
PLX,12/05/2025,83300,19300,2949400000,683360000
PLX,09/05/2025,5500,95800,193970000,3358120000
PLX,08/05/2025,30900,439600,1076740000,15605985000
PLX,07/05/2025,15800,1500,529080000,50130000
PLX,06/05/2025,16000,6100,547335000,206770000
PLX,05/05/2025,1900,12200,63750000,409130000
PLX,29/04/2025,11600,145800,393280000,5007020000
PLX,28/04/2025,800,10300,27030000,348485000
PLX,25/04/2025,155400,16900,5318080000,571235000
PLX,24/04/2025,1400,11600,47355000,391615000
PLX,23/04/2025,5800,0,193380000,0
PLX,22/04/2025,34400,2600,1132465000,86740000
PLX,21/04/2025,7600,11100,256620000,375615000
PLX,18/04/2025,7600,1600,260300000,54630000
PLX,17/04/2025,15000,400,500085000,13400000
PLX,16/04/2025,6600,2000,220755000,67000000
PLX,15/04/2025,1000,182500,33780000,6244400000
PLX,14/04/2025,0,3800,0,131840000
PLX,11/04/2025,11900,52900,403355000,1803095000
PLX,09/04/2025,38700,50800,1210390000,1608205000
PLX,08/04/2025,700,36200,23560000,1208835000
PLX,04/04/2025,785500,15600,27465990000,548520000
PLX,03/04/2025,720800,0,27082625000,0
PLX,02/04/2025,145200,14300,5844270000,575260000
PLX,01/04/2025,259500,4400,10359085000,176020000
PLX,31/03/2025,218800,6300,8589070000,247760000
PLX,28/03/2025,6600,172300,264855000,6934045000
PLX,27/03/2025,600,25800,24540000,1056370000
PLX,26/03/2025,5100,23400,210540000,966010000
PLX,25/03/2025,9200,10800,378390000,443660000
PLX,24/03/2025,700,13400,28750000,548995000
PLX,21/03/2025,0,32800,0,1354320000
PLX,20/03/2025,9500,68800,393135000,2832210000
PLX,19/03/2025,20500,20100,847640000,828280000
PLX,18/03/2025,1300,44400,54180000,1849795000
PLX,17/03/2025,1600,72800,65930000,3003690000
PLX,14/03/2025,9300,9300,383730000,384600000
PLX,13/03/2025,47800,10800,1993920000,455240000
PLX,12/03/2025,9800,1600,418800000,68800000
PLX,11/03/2025,12000,17000,515720000,723345000
PLX,10/03/2025,2200,174800,93420000,7408180000
PLX,07/03/2025,8200,192800,354440000,8255495000
PLX,06/03/2025,60100,56800,2590775000,2462555000
PLX,05/03/2025,63700,1000,2802670000,44050000
PLX,04/03/2025,3500,163800,154225000,7182900000
PLX,03/03/2025,10800,142200,475325000,6263595000
PLX,28/02/2025,600,13400,25930000,580040000
PLX,27/02/2025,12400,269800,532570000,11583765000
PLX,26/02/2025,4400,600,189690000,25950000
PLX,25/02/2025,11600,3400,500960000,146845000
PLX,24/02/2025,4000,12400,171190000,531695000
PLX,21/02/2025,1400,13200,60160000,567940000
PLX,20/02/2025,282400,13000,12181325000,561110000
PLX,19/02/2025,85200,6400,3677755000,275670000
PLX,18/02/2025,205200,17000,8729125000,719715000
PLX,17/02/2025,6100,2200,259335000,93170000
PLX,14/02/2025,5600,109500,237740000,4642185000
PLX,13/02/2025,82000,105600,3397130000,4436260000
PLX,12/02/2025,69600,4000,2871060000,164890000
PLX,11/02/2025,117700,8600,4823870000,353265000
PLX,10/02/2025,6300,11400,255095000,459100000
PLX,07/02/2025,5400,12000,214810000,477010000
PLX,06/02/2025,9000,1900,357750000,75475000
PLX,05/02/2025,6600,1500,263350000,59795000
PLX,04/02/2025,10800,47300,428430000,1890950000
PLX,03/02/2025,61500,20500,2397870000,799190000
PLX,24/01/2025,77300,18400,3040450000,723350000
PLX,23/01/2025,80900,15900,3163980000,622840000
PLX,22/01/2025,14000,11000,550640000,431010000
PLX,21/01/2025,151200,19200,6014545000,759045000
PLX,20/01/2025,9600,4800,383055000,191600000
PLX,17/01/2025,10400,8200,414530000,327410000
PLX,16/01/2025,25700,25300,1028850000,1009335000
PLX,15/01/2025,1200,21400,47600000,857845000
PLX,14/01/2025,12400,13300,491680000,526950000
PLX,13/01/2025,9200,99200,355980000,3848580000
PLX,10/01/2025,29800,22700,1160090000,870050000
PLX,09/01/2025,6500,10200,252520000,394435000
PLX,08/01/2025,15900,9200,601890000,346820000
PLX,07/01/2025,12000,17800,458610000,676415000
PLX,06/01/2025,13800,1000,531385000,38400000
PLX,03/01/2025,4800,10400,184870000,399880000
PLX,02/01/2025,3400,23800,129560000,904500000
PLX,31/12/2024,1600,9100,61170000,345800000
PLX,30/12/2024,4400,28200,169240000,1083270000
PLX,27/12/2024,4200,22100,161155000,849720000
PLX,26/12/2024,4000,40200,156300000,1565630000
PLX,25/12/2024,46600,21600,1807930000,835020000
PLX,24/12/2024,24800,2000,952630000,77190000
PLX,23/12/2024,18700,0,729265000,0
PLX,20/12/2024,2400,11000,93735000,432420000
PLX,19/12/2024,3000,62100,118450000,2443145000
PLX,18/12/2024,6300,22200,244585000,861450000
PLX,17/12/2024,12500,65800,485190000,2550060000
PLX,16/12/2024,8400,120700,325600000,4680745000
PLX,13/12/2024,17500,27200,683350000,1066055000
PLX,12/12/2024,12400,16000,493985000,632920000
PLX,11/12/2024,7000,66600,280210000,2667225000
PLX,10/12/2024,2600,71900,104680000,2896555000
PLX,09/12/2024,21800,107200,877325000,4309660000
PLX,06/12/2024,18900,52700,764380000,2133340000
PLX,05/12/2024,54600,4600,2209665000,185310000
PLX,04/12/2024,16000,10000,645105000,403270000
PLX,03/12/2024,13600,10500,542715000,415080000
PLX,02/12/2024,4000,8200,159000000,326050000
PLX,29/11/2024,10000,9500,402720000,382305000
PLX,28/11/2024,9100,46800,361055000,1876560000
PLX,27/11/2024,6200,6900,243000000,270370000
PLX,26/11/2024,9100,26000,356770000,1019295000
PLX,25/11/2024,12200,28000,479350000,1097500000
PLX,22/11/2024,19900,8300,778275000,323920000
PLX,21/11/2024,44200,37300,1720205000,1433750000
PLX,20/11/2024,11300,31200,436455000,1199015000
PLX,19/11/2024,26700,51000,1029030000,1955255000
PLX,18/11/2024,52800,45100,2001600000,1720320000
PLX,15/11/2024,12000,29100,465410000,1128455000
PLX,14/11/2024,23300,13400,913630000,522390000
PLX,13/11/2024,13300,16700,518860000,651090000
PLX,12/11/2024,17400,19900,684240000,781675000
PLX,11/11/2024,51300,8400,2026635000,333050000
PLX,08/11/2024,44100,12900,1774540000,517810000
PLX,07/11/2024,11200,3700,452845000,149625000
PLX,06/11/2024,32000,20600,1290310000,828700000
PLX,05/11/2024,8100,5700,324725000,228340000
PLX,04/11/2024,27500,26000,1108085000,1045560000
PLX,01/11/2024,9700,20900,395670000,852350000
PLX,31/10/2024,16000,17700,658415000,728615000
PLX,30/10/2024,13500,16300,559260000,677840000
PLX,29/10/2024,5600,46600,234035000,1940915000
PLX,28/10/2024,27000,6200,1106145000,255085000
PLX,25/10/2024,65400,11200,2722935000,466170000
PLX,24/10/2024,94700,5800,3962710000,243750000
PLX,23/10/2024,10700,12000,451680000,506505000
PLX,22/10/2024,171800,10200,7175190000,424590000
PLX,21/10/2024,86400,4800,3608740000,200725000
PLX,18/10/2024,4000,6200,170540000,263260000
PLX,17/10/2024,1400,26300,58860000,1104170000
PLX,16/10/2024,82900,11900,3479920000,506360000
PLX,15/10/2024,10400,21200,455220000,913935000
PLX,14/10/2024,6500,19000,289450000,845665000
PLX,11/10/2024,11700,2600,523050000,116290000
PLX,10/10/2024,8800,25600,393455000,1143585000
PLX,09/10/2024,18000,9200,800480000,409470000
PLX,08/10/2024,8400,12100,378660000,546250000
PLX,07/10/2024,5400,8000,242950000,358915000
PLX,04/10/2024,13600,4500,613120000,201525000
PLX,03/10/2024,33300,12800,1486715000,569315000
PLX,02/10/2024,0,29100,0,1309770000
PLX,01/10/2024,2200,13800,98380000,615735000
PLX,30/09/2024,6000,6600,267410000,294965000
PLX,27/09/2024,17100,52700,770885000,2374490000
PLX,26/09/2024,36700,16000,1674310000,730210000
PLX,25/09/2024,1600,38600,73010000,1757240000
PLX,24/09/2024,20300,2800,919495000,126890000
PLX,23/09/2024,2800,1400,127320000,63720000
PLX,20/09/2024,38400,7200,1755790000,328620000
PLX,19/09/2024,39900,1600,1787710000,72020000
PLX,18/09/2024,9400,8000,424560000,361405000
PLX,17/09/2024,14100,18700,631790000,836380000
PLX,16/09/2024,10800,3700,490590000,168555000
PLX,13/09/2024,3200,1700,146200000,77305000
PLX,12/09/2024,23000,4000,1048410000,183470000
PLX,11/09/2024,23100,2600,1066290000,120210000
PLX,10/09/2024,20900,9600,971600000,445200000
PLX,09/09/2024,12100,3400,565070000,158145000
PLX,06/09/2024,14600,12400,673500000,581575000
PLX,05/09/2024,7400,11400,341800000,537880000
PLX,04/09/2024,1000,23500,48250000,1122650000
PLX,30/08/2024,15600,0,759650000,0
PLX,29/08/2024,17200,2800,842590000,137830000
PLX,28/08/2024,13000,49400,642710000,2443975000
PLX,27/08/2024,1400,11700,68580000,574085000
PLX,26/08/2024,5200,56400,254780000,2764625000
PLX,23/08/2024,12400,4000,607985000,195380000
PLX,22/08/2024,43100,9600,2117250000,471650000
PLX,21/08/2024,52300,81600,2589260000,4002960000
PLX,20/08/2024,21500,3600,1086950000,181080000
PLX,19/08/2024,11200,7800,568240000,396140000
PLX,16/08/2024,5400,30500,274330000,1552115000
PLX,15/08/2024,6200,20800,303585000,1020925000
PLX,14/08/2024,4800,41600,239070000,2081870000
PLX,13/08/2024,10400,25500,513250000,1255425000
PLX,12/08/2024,4100,37500,202515000,1851120000
PLX,09/08/2024,2800,8000,132465000,380110000
PLX,08/08/2024,500,16100,23895000,768825000
PLX,07/08/2024,2400,319100,112390000,15022560000
PLX,06/08/2024,15900,189400,730930000,8881710000
PLX,05/08/2024,7600,40400,344580000,1858380000
PLX,02/08/2024,5300,24600,241405000,1126535000
PLX,01/08/2024,66900,16900,3096645000,780045000
PLX,31/07/2024,13500,22400,634785000,1055420000
PLX,30/07/2024,11700,20400,553655000,974965000
PLX,29/07/2024,1100,7400,52540000,355150000
PLX,26/07/2024,6000,28700,285760000,1366645000
PLX,25/07/2024,10600,15200,488200000,701660000
PLX,24/07/2024,121600,52700,5429320000,2372940000
PLX,23/07/2024,35800,90000,1652075000,4179120000
PLX,22/07/2024,19900,24400,912870000,1128410000
PLX,19/07/2024,4400,19400,205580000,913425000
PLX,18/07/2024,42000,13600,1947990000,618970000
PLX,17/07/2024,20200,22100,927495000,1018265000
PLX,16/07/2024,9200,12600,440630000,602615000
PLX,15/07/2024,4000,131400,189150000,6213675000
PLX,12/07/2024,6600,30700,307365000,1428985000
PLX,11/07/2024,20700,52400,961865000,2443840000
PLX,10/07/2024,29800,2800,1389720000,129920000
PLX,09/07/2024,41000,37600,1893700000,1731890000
PLX,08/07/2024,142400,161300,6565130000,7265055000
PLX,05/07/2024,5000,58800,219950000,2591640000
PLX,04/07/2024,462700,55200,19748185000,2375325000
PLX,03/07/2024,16800,64400,698485000,2675610000
PLX,02/07/2024,2200,19400,90530000,797815000
PLX,01/07/2024,8000,5000,325830000,204875000
PLX,28/06/2024,23800,5200,987010000,213935000
PLX,27/06/2024,9600,22900,399960000,959470000
PLX,26/06/2024,8400,14600,350555000,605670000
PLX,25/06/2024,23000,8800,942070000,361990000
PLX,24/06/2024,42800,7100,1773495000,292210000
PLX,21/06/2024,145400,30400,6019820000,1257960000
PLX,20/06/2024,32000,17100,1321410000,706055000
PLX,19/06/2024,29900,114700,1227090000,4842580000
PLX,18/06/2024,16000,7500,656480000,306195000
PLX,17/06/2024,18000,12800,726370000,516825000
PLX,14/06/2024,17600,14600,717750000,612995000
PLX,13/06/2024,80800,454000,3428110000,19321840000
PLX,12/06/2024,12800,431200,546975000,18395235000
PLX,11/06/2024,34900,37800,1506140000,1624960000
PLX,10/06/2024,31000,3400,1300530000,142160000
PLX,07/06/2024,68300,7800,2851455000,324920000
PLX,06/06/2024,465200,17000,19556785000,712280000
PLX,05/06/2024,412000,13600,17282505000,567920000
PLX,04/06/2024,4400,21600,183175000,899920000
PLX,03/06/2024,15600,44200,651395000,1853460000
PLX,31/05/2024,8900,4800,364905000,196775000
PLX,30/05/2024,10600,13400,431430000,547170000
PLX,29/05/2024,147400,64200,6199225000,2715235000
PLX,28/05/2024,7400,24600,305885000,1022090000
PLX,27/05/2024,9200,29600,378630000,1219390000
PLX,24/05/2024,11200,92600,456595000,3838665000
PLX,23/05/2024,3400,337000,130490000,13084660000
PLX,22/05/2024,11000,367200,413740000,13800575000
PLX,21/05/2024,5200,769000,195460000,28761200000
PLX,20/05/2024,172600,45600,6591575000,1738730000
PLX,17/05/2024,207000,7500,7833265000,283290000
PLX,16/05/2024,27500,10600,1058615000,406980000
PLX,15/05/2024,9000,186700,344330000,7098260000
PLX,14/05/2024,900,104200,33745000,3945825000
PLX,13/05/2024,10800,34500,432585000,1385590000
PLX,10/05/2024,6700,310200,268790000,12407025000
PLX,09/05/2024,21400,51700,850295000,2060175000
PLX,08/05/2024,0,71400,0,2832590000
PLX,07/05/2024,0,194800,0,7459390000
PLX,06/05/2024,7400,31800,271165000,1164310000
PLX,03/05/2024,1000,136600,36090000,4924790000
PLX,02/05/2024,250200,73800,8979310000,2643835000
PLX,26/04/2024,82600,23400,2940345000,825570000
