Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
25/11/2016,10.31,20.0,-1(-4.76 %),3800,102240000,0,0,29.4,29.4,20.0
28/11/2016,11.81,22.9,-4(-14.87 %),3400,77860000,0,0,22.9,22.9,22.9
29/11/2016,10.31,20.0,-2.9(-12.66 %),3200,64000000,0,0,20.0,20.0,20.0
30/11/2016,9.28,18.0,-2(-10.00 %),7700,143400000,0,0,19.5,19.5,18.0
01/12/2016,9.08,17.6,-1(-5.38 %),1200,21140000,0,0,17.6,17.7,17.6
02/12/2016,8.77,17.0,-0.6(-3.41 %),3800,64620000,0,0,17.1,17.1,17.0
05/12/2016,8.77,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
06/12/2016,7.99,15.5,-1.5(-8.82 %),11600,185450000,0,0,16.5,16.5,15.5
07/12/2016,7.74,15.0,-1(-6.25 %),900,12700000,0,0,14.0,15.0,14.0
08/12/2016,7.22,14.0,-0.1(-0.71 %),12600,181760000,0,0,15.0,15.0,14.0
09/12/2016,6.5,12.6,-1.8(-12.50 %),7000,92240000,0,0,14.0,14.0,12.5
12/12/2016,6.81,13.2,0(0.00 %),8100,106920000,0,0,13.2,13.2,13.2
13/12/2016,7.48,14.5,1.3(9.85 %),100,1450000,0,0,14.5,14.5,14.5
14/12/2016,6.7,13.0,-1.5(-10.34 %),10500,136640000,0,0,14.4,14.4,13.0
15/12/2016,6.45,12.5,-0.5(-3.85 %),17100,219950000,0,0,13.0,13.0,12.5
16/12/2016,6.24,12.1,-0.8(-6.20 %),23300,287040000,0,0,12.5,12.5,12.1
19/12/2016,6.29,12.2,-0.1(-0.81 %),1800,21880000,0,0,12.1,12.2,12.1
20/12/2016,6.19,12.0,-0.2(-1.64 %),9300,112540000,0,0,12.2,12.3,12.0
21/12/2016,6.14,11.9,-0.2(-1.65 %),5800,69440000,0,0,12.0,12.1,11.9
22/12/2016,6.14,11.9,-0.1(-0.83 %),2300,27370000,0,0,11.9,11.9,11.9
23/12/2016,6.24,12.1,0.2(1.68 %),2000,24040000,0,0,12.1,12.1,11.9
26/12/2016,6.19,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
27/12/2016,6.14,11.9,-0.1(-0.83 %),1400,16840000,0,0,12.0,12.5,11.9
28/12/2016,6.14,11.9,-0.1(-0.83 %),1100,13150000,0,0,12.0,12.0,11.9
29/12/2016,6.19,12.0,0(0.00 %),1700,20240000,0,0,11.9,12.0,11.9
30/12/2016,6.24,12.1,0.2(1.68 %),500,6040000,0,0,12.0,12.1,12.0
03/01/2017,6.24,12.1,0(0.00 %),7000,83400000,0,0,11.9,12.1,11.9
04/01/2017,6.14,11.9,0(0.00 %),2000,23820000,0,0,12.1,12.1,11.9
05/01/2017,6.14,11.9,0(0.00 %),0,0,0,0,11.9,11.9,11.9
06/01/2017,6.09,11.8,-0.1(-0.84 %),2000,23600000,0,0,11.8,11.8,11.8
09/01/2017,6.03,11.7,-0.1(-0.85 %),7000,81900000,0,0,11.7,11.7,11.7
10/01/2017,5.93,11.5,-0.2(-1.71 %),1000,11500000,0,0,11.5,11.5,11.5
11/01/2017,6.19,12.0,0.5(4.35 %),400,4800000,0,0,12.0,12.0,12.0
12/01/2017,6.19,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
13/01/2017,6.19,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
16/01/2017,6.19,12.0,0(0.00 %),10100,116200000,0,0,11.5,12.0,11.5
17/01/2017,5.93,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
18/01/2017,5.88,11.4,-0.1(-0.87 %),3500,39900000,0,0,11.4,11.4,11.4
19/01/2017,5.83,11.3,-0.1(-0.88 %),8000,90410000,0,0,11.4,11.4,11.3
20/01/2017,6.14,11.9,0.6(5.31 %),900,10310000,0,0,11.4,11.9,11.4
23/01/2017,5.93,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
24/01/2017,5.93,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
25/01/2017,5.93,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
02/02/2017,5.83,11.3,-0.2(-1.74 %),1600,18080000,0,0,11.3,11.3,11.3
03/02/2017,5.83,11.3,0(0.00 %),0,0,0,0,11.3,11.3,11.3
06/02/2017,6.19,12.0,0.7(6.19 %),100,1200000,0,0,12.0,12.0,12.0
07/02/2017,6.14,11.9,-0.1(-0.83 %),1100,13190000,0,0,12.0,12.0,11.9
08/02/2017,6.19,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
09/02/2017,6.19,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
10/02/2017,5.98,11.6,-0.4(-3.33 %),1500,17300000,0,0,11.5,11.6,11.5
13/02/2017,5.93,11.5,0(0.00 %),8000,92000000,0,0,11.5,11.5,11.5
14/02/2017,5.93,11.5,0(0.00 %),9500,109250000,0,0,11.5,11.5,11.5
15/02/2017,6.09,11.8,0.3(2.61 %),6000,69800000,0,0,11.6,11.8,11.6
16/02/2017,5.98,11.6,0(0.00 %),0,0,0,0,11.6,11.6,11.6
17/02/2017,6.14,11.9,0.3(2.59 %),6400,75240000,0,0,11.7,12.0,11.7
20/02/2017,6.09,11.8,0(0.00 %),7600,89680000,0,0,11.8,11.8,11.8
21/02/2017,6.14,11.9,0.1(0.85 %),3300,39040000,0,0,11.8,11.9,11.8
22/02/2017,6.14,11.9,0.1(0.85 %),1300,15520000,0,0,12.0,12.0,11.9
23/02/2017,6.19,12.0,0.1(0.84 %),7500,90000000,0,0,12.0,12.0,12.0
24/02/2017,6.19,12.0,0(0.00 %),1000,12000000,0,0,12.0,12.0,12.0
27/02/2017,6.19,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
28/02/2017,6.24,12.1,0.1(0.83 %),8000,96820000,0,0,12.2,12.2,12.1
01/03/2017,6.24,12.1,0(0.00 %),23200,282190000,0,0,12.1,12.3,12.1
02/03/2017,6.29,12.2,0(0.00 %),6000,73200000,0,0,12.2,12.2,12.2
03/03/2017,6.39,12.4,0.2(1.64 %),12000,147700000,0,0,12.2,12.4,12.2
06/03/2017,6.39,12.4,0.1(0.81 %),8600,105640000,0,0,12.2,12.4,12.2
07/03/2017,6.29,12.2,-0.1(-0.81 %),11000,134240000,0,0,12.3,12.3,12.2
08/03/2017,6.29,12.2,0(0.00 %),2000,24400000,0,0,12.2,12.2,12.2
09/03/2017,6.24,12.1,-0.1(-0.82 %),19500,235950000,0,0,12.1,12.1,12.1
10/03/2017,6.19,12.0,-0.1(-0.83 %),7400,89080000,0,0,12.1,12.1,12.0
13/03/2017,6.14,11.9,-0.1(-0.83 %),5500,65500000,0,0,12.0,12.0,11.9
14/03/2017,6.09,11.8,-0.1(-0.84 %),5000,59010000,0,0,11.9,11.9,11.8
15/03/2017,6.03,11.7,-0.1(-0.85 %),2100,24600000,0,0,12.0,12.0,11.7
16/03/2017,5.93,11.5,-0.2(-1.71 %),10000,115500000,0,0,11.6,11.6,11.5
17/03/2017,5.83,11.3,-0.3(-2.59 %),15700,180210000,0,0,11.6,11.6,11.3
20/03/2017,5.93,11.5,0(0.00 %),3500,40250000,0,0,11.5,11.5,11.5
21/03/2017,5.93,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
22/03/2017,5.93,11.5,0(0.00 %),11000,126800000,0,0,11.5,11.6,11.5
