Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
POW,22/08/2025,1100,9000,18150000,148780000
POW,21/08/2025,84000,1800,1352400000,28830000
POW,20/08/2025,0,200000,0,3131870000
POW,19/08/2025,100000,0,1637500000,0
POW,18/08/2025,0,21000,0,339150000
POW,15/08/2025,200,201800,3200000,3228710000
POW,14/08/2025,7200,237,118320000,3848000
POW,13/08/2025,5200,2500,86060000,41155000
POW,12/08/2025,300,2400,4680000,36930000
POW,11/08/2025,0,100000,0,1510000000
POW,08/08/2025,200000,55900,2990000000,847335000
POW,07/08/2025,100000,91600,1462500000,1358420000
POW,06/08/2025,0,20,0,292000
POW,05/08/2025,50000,0,735000000,0
POW,04/08/2025,0,100000,0,1470000000
POW,01/08/2025,50000,0,722500000,0
POW,31/07/2025,130000,0,1883500000,0
POW,30/07/2025,0,1800,0,26070000
POW,29/07/2025,0,8600,0,128530000
POW,28/07/2025,2000,0,28800000,0
POW,25/07/2025,9700,50600,139025000,726110000
POW,24/07/2025,4000,600,55600000,8400000
POW,23/07/2025,50000,1200,700000000,16770000
POW,22/07/2025,0,1200,0,16590000
POW,21/07/2025,0,23600,0,333260000
POW,18/07/2025,300,2400,4140000,33000000
POW,17/07/2025,16000,5200,221200000,71470000
POW,16/07/2025,0,8600,0,118620000
POW,15/07/2025,0,600,0,8310000
POW,14/07/2025,0,5200,0,72540000
POW,10/07/2025,4000,2400,54000000,32490000
POW,09/07/2025,12000,50,162400000,685000
POW,08/07/2025,4000,2400,53400000,32280000
POW,07/07/2025,8000,2120100,107200000,27349335000
POW,04/07/2025,0,600,0,8010000
POW,03/07/2025,2220100,8600,29951315000,114150000
POW,30/06/2025,100,1018,1305000,13234000
POW,25/06/2025,0,600,0,7830000
POW,23/06/2025,0,600,0,7830000
POW,20/06/2025,2400,114300,31140000,1491555000
POW,19/06/2025,6000,0,77520000,0
POW,18/06/2025,114900,600,1499445000,7860000
POW,17/06/2025,1200,1200,15660000,15660000
POW,16/06/2025,0,1800,0,23370000
POW,13/06/2025,0,100049,0,1275633000
POW,12/06/2025,0,220800,0,2872955000
POW,11/06/2025,0,73600,0,956800000
POW,09/06/2025,257600,0,3420560000,0
POW,06/06/2025,36800,1200,493120000,16200000
POW,05/06/2025,0,100,0,1355000
POW,03/06/2025,0,600,0,8040000
POW,02/06/2025,4000,0,52200000,0
POW,29/05/2025,16000,600,213200000,7950000
POW,27/05/2025,0,1800,0,24480000
POW,22/05/2025,100,600,1360000,8070000
POW,21/05/2025,0,1800,0,23400000
POW,19/05/2025,0,600,0,7860000
POW,16/05/2025,0,1800,0,23250000
POW,15/05/2025,50000,0,647500000,0
POW,14/05/2025,0,50000,0,645000000
POW,12/05/2025,0,10000,0,129000000
POW,09/05/2025,200,0,2550000,0
POW,08/05/2025,10000,0,127000000,0
POW,07/05/2025,0,0,0,0
POW,06/05/2025,0,0,0,0
POW,22/04/2025,0,50000,0,582500000
POW,17/04/2025,6000,0,71370000,0
POW,15/04/2025,0,5600,0,65365000
POW,14/04/2025,0,2700,0,31455000
POW,11/04/2025,1200,28200,13505000,316610000
POW,09/04/2025,0,11800,0,117056000
POW,08/04/2025,50000,0,552500000,0
POW,04/04/2025,23900,8400,267680000,95700000
POW,03/04/2025,50900,0,608500000,0
POW,02/04/2025,600,18500,7715000,240580000
POW,01/04/2025,0,100,0,1285000
POW,31/03/2025,2800,55200,35920000,714655000
POW,28/03/2025,1200,17100,15540000,220325000
POW,27/03/2025,0,13300,0,172840000
POW,25/03/2025,400,3500,5225000,44970000
POW,24/03/2025,24000,100,301985000,1265000
POW,21/03/2025,700,0,8800000,0
POW,20/03/2025,4900,50100,63375000,651300000
POW,19/03/2025,2400,157500,31080000,2026125000
POW,18/03/2025,0,73100,0,924035000
POW,17/03/2025,0,30000,0,362460000
POW,14/03/2025,51000,0,601850000,0
POW,13/03/2025,12400,12000,149030000,145200000
POW,12/03/2025,3600,0,43560000,0
POW,11/03/2025,3600,6000,43320000,71700000
POW,10/03/2025,12000,0,145440000,0
POW,07/03/2025,98300,28800,1189345000,348480000
POW,06/03/2025,118700,0,1424460000,0
POW,05/03/2025,74700,0,901680000,0
POW,04/03/2025,3000,2400,36625000,29400000
POW,03/03/2025,25200,0,311820000,0
POW,28/02/2025,0,12000,0,146220000
POW,25/02/2025,0,1200,0,14820000
POW,24/02/2025,9600,0,118200000,0
POW,21/02/2025,7200,3400,88980000,41990000
POW,20/02/2025,0,4000,0,49400000
POW,19/02/2025,0,21200,0,261060000
POW,14/02/2025,8000,3000,97600000,36450000
POW,13/02/2025,50000,0,602500000,0
POW,12/02/2025,3400,0,40480000,0
POW,11/02/2025,0,2400,0,28560000
POW,07/02/2025,3600,0,43440000,0
POW,04/02/2025,0,477900,0,5512890000
POW,03/02/2025,0,48800,0,564040000
POW,24/01/2025,354000,72200,4070600000,825920000
POW,23/01/2025,0,90100,0,1029340000
POW,22/01/2025,56800,63000,648665000,718535000
POW,21/01/2025,105600,80800,1227040000,929970000
POW,20/01/2025,36000,17600,422160000,207200000
POW,17/01/2025,93200,32800,1097510000,386440000
POW,16/01/2025,52800,304400,626120000,3580980000
POW,15/01/2025,27100,60500,317595000,714045000
POW,14/01/2025,52000,67100,612880000,790000000
POW,13/01/2025,56000,182600,658800000,2149115000
POW,10/01/2025,59200,94600,705220000,1112870000
POW,09/01/2025,22400,31200,260680000,363400000
POW,08/01/2025,124800,27200,1448080000,314880000
POW,07/01/2025,78400,66400,906720000,764900000
POW,06/01/2025,244000,6400,2861290000,74760000
POW,03/01/2025,11200,157500,133720000,1867655000
POW,02/01/2025,10400,107000,125040000,1285035000
POW,31/12/2024,4000,148600,48440000,1791950000
POW,30/12/2024,32000,274500,385640000,3303565000
POW,27/12/2024,15200,139600,184220000,1677110000
POW,26/12/2024,19200,56900,233880000,691450000
POW,25/12/2024,227400,8000,2769770000,97240000
POW,24/12/2024,90600,205800,1087895000,2475310000
POW,23/12/2024,94100,108900,1147185000,1323650000
POW,20/12/2024,9000,119200,110600000,1462870000
POW,19/12/2024,12000,456300,148800000,5647980000
POW,18/12/2024,63900,8800,801250000,109320000
POW,17/12/2024,50700,189500,627430000,2337780000
POW,16/12/2024,66700,247800,823720000,3063960000
POW,13/12/2024,53400,162900,655575000,1998755000
