Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
23/08/2017,10.15,21.0,-4(-16.00 %),7100,161500000,0,0,27.0,27.0,21.0
24/08/2017,10.0,20.7,-2(-8.81 %),3900,82210000,0,0,21.5,21.5,20.7
25/08/2017,9.86,20.4,-0.7(-3.32 %),700,14300000,0,0,20.5,20.5,20.4
28/08/2017,9.86,20.4,0(0.00 %),0,0,11449,199212600,20.4,20.4,20.4
29/08/2017,9.18,19.0,-1.4(-6.86 %),2700,51300000,0,0,19.0,19.0,19.0
30/08/2017,9.61,19.9,0.9(4.74 %),20100,355990000,21600,349920000,17.7,19.9,17.7
31/08/2017,8.21,17.0,-0.7(-3.95 %),20700,352110000,658664,10011692800,17.3,17.3,17.0
01/09/2017,9.37,19.4,2.4(14.12 %),2700,48890000,0,0,17.5,19.5,17.0
05/09/2017,10.0,20.7,2.6(14.36 %),100,2070000,3700,59200000,20.7,20.7,20.7
06/09/2017,10.0,20.7,0(0.00 %),100,1970000,20000,356000000,19.7,20.7,20.7
07/09/2017,9.18,19.0,-0.7(-3.55 %),100,1900000,0,0,19.0,19.0,19.0
08/09/2017,9.18,19.0,0(0.00 %),0,0,0,0,19.0,19.0,19.0
12/09/2017,8.31,17.2,0.7(4.24 %),1900,32350000,0,0,18.8,18.8,16.5
13/09/2017,7.97,16.5,-0.5(-2.94 %),5500,93410000,0,0,17.0,17.1,16.5
14/09/2017,8.41,17.4,0.4(2.35 %),300,5000000,0,0,16.3,17.4,16.3
15/09/2017,7.78,16.1,-0.6(-3.59 %),2800,45430000,0,0,16.7,16.7,16.1
18/09/2017,7.78,16.1,-0.1(-0.62 %),1200,19400000,0,0,16.2,16.2,16.1
19/09/2017,8.21,17.0,0.8(4.94 %),20000,340000000,0,0,17.0,17.0,17.0
20/09/2017,8.31,17.2,0.2(1.18 %),100,1720000,0,0,17.2,17.2,17.2
21/09/2017,8.31,17.2,0(0.00 %),1500,25800000,0,0,17.2,17.2,17.2
22/09/2017,8.31,17.2,0(0.00 %),500,8600000,0,0,17.2,17.2,17.2
25/09/2017,8.31,17.2,0(0.00 %),25700,443870000,0,0,17.5,17.5,17.2
26/09/2017,8.45,17.5,0.2(1.16 %),13600,235900000,0,0,17.2,17.5,17.2
27/09/2017,8.5,17.6,0.3(1.73 %),2200,37520000,0,0,17.0,17.6,17.0
28/09/2017,8.26,17.1,0(0.00 %),0,0,0,0,17.1,17.1,17.1
29/09/2017,8.99,18.6,1.5(8.77 %),100,1860000,0,0,18.6,18.6,18.6
02/10/2017,8.99,18.6,0(0.00 %),0,0,0,0,18.6,18.6,18.6
03/10/2017,8.31,17.2,-1.4(-7.53 %),20800,357760000,0,0,17.2,17.2,17.2
04/10/2017,8.31,17.2,0(0.00 %),0,0,0,0,17.2,17.2,17.2
05/10/2017,8.31,17.2,0(0.00 %),9500,163400000,0,0,17.2,17.2,17.2
06/10/2017,8.31,17.2,0(0.00 %),0,0,0,0,17.2,17.2,17.2
09/10/2017,9.32,19.3,2.1(12.21 %),2100,36940000,0,0,17.2,19.6,17.2
10/10/2017,8.5,17.6,0(0.00 %),0,0,0,0,17.6,17.6,17.6
11/10/2017,8.5,17.6,0(0.00 %),8100,155600000,600,9600000,20.2,20.2,17.6
12/10/2017,8.21,17.0,-2.2(-11.46 %),1000,17000000,0,0,17.0,17.0,17.0
16/10/2017,8.21,17.0,0(0.00 %),500,8500000,0,0,17.0,17.0,17.0
17/10/2017,8.21,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
18/10/2017,8.21,17.0,0(0.00 %),800,13600000,0,0,17.0,17.0,17.0
19/10/2017,9.37,19.4,2.4(14.12 %),100,1940000,0,0,19.4,19.4,19.4
20/10/2017,8.89,18.4,-1(-5.15 %),400,7360000,0,0,18.4,18.4,18.4
23/10/2017,8.12,16.8,-1.6(-8.70 %),5400,90720000,0,0,16.8,16.8,16.8
24/10/2017,8.12,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
25/10/2017,8.12,16.8,0(0.00 %),5000,84000000,0,0,16.8,16.8,16.8
26/10/2017,8.12,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
27/10/2017,8.12,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
30/10/2017,8.12,16.8,0(0.00 %),200,3360000,0,0,16.8,16.8,16.8
31/10/2017,8.12,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
01/11/2017,7.97,16.5,-0.3(-1.79 %),7800,128700000,0,0,16.5,16.5,16.5
02/11/2017,7.97,16.5,0(0.00 %),0,0,0,0,16.5,16.5,16.5
03/11/2017,7.73,16.0,-0.5(-3.03 %),11100,177600000,40971,577691100,16.0,16.0,16.0
06/11/2017,7.73,16.0,0(0.00 %),0,0,7500,102000000,16.0,16.0,16.0
07/11/2017,7.73,16.0,0(0.00 %),0,0,2600,35360000,16.0,16.0,16.0
08/11/2017,7.73,16.0,0(0.00 %),1100,17600000,0,0,16.0,16.0,16.0
09/11/2017,7.73,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
10/11/2017,7.73,16.0,0(0.00 %),29000,438000000,0,0,14.0,16.0,14.0
13/11/2017,7.73,16.0,0.9(5.96 %),59500,952000000,0,0,16.0,16.0,16.0
14/11/2017,7.73,16.0,0(0.00 %),21000,336000000,0,0,16.0,16.0,16.0
15/11/2017,7.73,16.0,0(0.00 %),4400,70400000,0,0,16.0,16.0,16.0
16/11/2017,7.73,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
17/11/2017,7.73,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
20/11/2017,7.73,16.0,0(0.00 %),300,4800000,0,0,16.0,16.0,16.0
21/11/2017,7.73,16.0,0(0.00 %),71300,1140800000,0,0,16.0,16.0,16.0
22/11/2017,7.73,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
23/11/2017,7.73,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
24/11/2017,7.73,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
27/11/2017,7.97,16.5,0.5(3.12 %),72000,1135150000,0,0,15.5,16.5,15.5
28/11/2017,7.73,16.0,0.2(1.27 %),6900,110400000,0,0,16.0,16.0,16.0
29/11/2017,7.73,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
30/11/2017,7.83,16.2,0.2(1.25 %),6900,113560000,11000,149600000,16.1,16.5,16.1
01/12/2017,7.88,16.3,-0.2(-1.21 %),700,11350000,0,0,16.0,16.3,16.0
04/12/2017,7.78,16.1,-0.1(-0.62 %),7900,127700000,0,0,16.3,16.3,16.1
05/12/2017,7.97,16.5,0.3(1.85 %),2000,33000000,0,0,16.5,16.5,16.5
06/12/2017,7.97,16.5,0(0.00 %),0,0,0,0,16.5,16.5,16.5
07/12/2017,7.97,16.5,0(0.00 %),0,0,0,0,16.5,16.5,16.5
08/12/2017,7.34,15.2,-1.3(-7.88 %),4000,60800000,0,0,15.2,15.2,15.2
11/12/2017,7.73,16.0,0.8(5.26 %),7500,121040000,0,0,16.2,16.2,16.0
12/12/2017,7.39,15.3,-0.8(-4.97 %),15800,252240000,0,0,16.0,16.0,15.3
13/12/2017,7.73,16.0,0(0.00 %),11600,185600000,0,0,16.0,16.0,16.0
14/12/2017,7.73,16.0,0(0.00 %),12300,196800000,0,0,16.0,16.0,16.0
15/12/2017,7.73,16.0,0(0.00 %),100,1600000,0,0,16.0,16.0,16.0
18/12/2017,7.78,16.1,0.1(0.62 %),8000,128800000,0,0,16.1,16.1,16.1
19/12/2017,7.78,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
20/12/2017,7.78,16.1,0(0.00 %),0,0,0,0,16.1,16.1,16.1
21/12/2017,7.73,16.0,-0.1(-0.62 %),5000,80000000,0,0,16.0,16.0,16.0
22/12/2017,7.63,15.8,-0.2(-1.25 %),53900,851620000,0,0,15.8,15.8,15.8
25/12/2017,7.73,16.0,0.2(1.27 %),26600,421580000,0,0,15.8,16.0,15.8
26/12/2017,7.63,15.8,0(0.00 %),0,0,0,0,15.8,15.8,15.8
27/12/2017,7.78,16.1,0.3(1.90 %),26200,419210000,0,0,16.0,16.1,16.0
28/12/2017,7.83,16.2,0.2(1.25 %),25700,411320000,0,0,16.0,16.2,16.0
29/12/2017,7.73,16.0,0(0.00 %),200,3200000,0,0,16.0,16.0,16.0
02/01/2018,8.12,16.8,0.8(5.00 %),59700,984710000,0,0,16.4,16.8,16.0
03/01/2018,8.12,16.8,0.3(1.82 %),500,8400000,0,0,16.8,16.8,16.8
04/01/2018,8.02,16.6,-0.2(-1.19 %),8900,148510000,0,0,16.4,16.8,16.4
05/01/2018,8.07,16.7,0(0.00 %),92900,1551670000,0,0,16.9,16.9,16.7
08/01/2018,8.12,16.8,0.1(0.60 %),12036,202321000,0,0,16.8,16.9,16.8
09/01/2018,8.12,16.8,0(0.00 %),3200,53790000,0,0,16.9,16.9,16.8
10/01/2018,8.32,16.0,0.4(2.56 %),300,4800000,0,0,16.0,16.0,16.0
11/01/2018,7.8,15.0,-1(-6.25 %),2000,31000000,0,0,15.6,15.6,15.0
12/01/2018,8.06,15.5,0(0.00 %),0,0,0,0,15.5,15.5,15.5
15/01/2018,8.06,15.5,0(0.00 %),0,0,0,0,15.5,15.5,15.5
16/01/2018,8.06,15.5,0(0.00 %),9800,151900000,0,0,15.5,15.5,15.5
17/01/2018,7.8,15.0,-0.5(-3.23 %),1200,18080000,0,0,15.4,15.4,15.0
18/01/2018,7.28,14.0,-1.1(-7.28 %),5000,69990000,0,0,14.5,14.5,13.9
19/01/2018,7.28,14.0,0(0.00 %),1500,21000000,0,0,14.0,14.0,14.0
22/01/2018,7.28,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
23/01/2018,7.28,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
24/01/2018,8.32,16.0,2(14.29 %),7500,120000000,0,0,16.0,16.0,16.0
25/01/2018,8.32,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
26/01/2018,7.34,14.1,-1.9(-11.88 %),1500,21250000,0,0,14.3,14.3,14.1
29/01/2018,7.54,14.5,0.3(2.11 %),2800,40770000,0,0,15.5,15.5,14.5
30/01/2018,7.8,15.0,0.4(2.74 %),700,10590000,0,0,15.9,15.9,15.0
31/01/2018,7.54,14.5,-0.6(-3.97 %),7400,108350000,0,0,15.1,15.1,14.5
01/02/2018,7.54,14.5,-0.1(-0.68 %),32900,477250000,0,0,14.5,14.6,14.5
02/02/2018,8.01,15.4,0.9(6.21 %),1500,23100000,0,0,15.4,15.4,15.4
05/02/2018,8.01,15.4,0(0.00 %),0,0,0,0,15.4,15.4,15.4
06/02/2018,7.54,14.5,-0.9(-5.84 %),16100,233760000,0,0,14.5,14.9,14.5
07/02/2018,8.32,16.0,1.5(10.34 %),11000,173330000,0,0,15.1,16.0,15.0
08/02/2018,8.06,15.5,-0.3(-1.90 %),7010,105849000,0,0,15.8,15.8,15.0
09/02/2018,7.91,15.2,0.1(0.66 %),31500,477380000,0,0,15.0,15.4,15.0
12/02/2018,8.32,16.0,0.8(5.26 %),5746,85183200,0,0,14.0,16.0,14.0
13/02/2018,7.7,14.8,0(0.00 %),0,0,0,0,14.8,14.8,14.8
21/02/2018,7.91,15.2,0.4(2.70 %),300,4560000,0,0,15.2,15.2,15.2
22/02/2018,7.91,15.2,0(0.00 %),0,0,0,0,15.2,15.2,15.2
23/02/2018,8.32,16.0,0.8(5.26 %),185,2875000,0,0,16.0,16.0,16.0
26/02/2018,8.58,16.5,0.5(3.12 %),400,6600000,0,0,16.5,16.5,16.5
27/02/2018,8.58,16.5,0(0.00 %),0,0,0,0,16.5,16.5,16.5
28/02/2018,8.32,16.0,-0.5(-3.03 %),23300,372670000,0,0,15.9,16.0,15.9
01/03/2018,8.32,16.0,0(0.00 %),21935,351032200,0,0,16.1,16.1,15.8
02/03/2018,8.32,16.0,0(0.00 %),17,310400,0,0,16.0,16.0,16.0
05/03/2018,8.32,16.0,0(0.00 %),11500,184000000,0,0,16.0,16.0,16.0
06/03/2018,8.32,16.0,0(0.00 %),7600,121600000,0,0,16.0,16.0,16.0
07/03/2018,8.32,16.0,0(0.00 %),12602,201627200,0,0,16.0,16.0,16.0
08/03/2018,8.43,16.2,0.2(1.25 %),26300,427560000,0,0,16.2,16.3,16.2
09/03/2018,8.32,16.0,-0.3(-1.84 %),15033,240537900,0,0,16.0,16.0,16.0
12/03/2018,8.32,16.0,0(0.00 %),71,1100500,0,0,16.0,16.0,16.0
13/03/2018,8.32,16.0,0(0.00 %),2600,41600000,0,0,16.0,16.0,16.0
14/03/2018,8.32,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
15/03/2018,8.32,16.0,0(0.00 %),10100,161600000,0,0,16.0,16.0,16.0
16/03/2018,8.27,15.9,-0.1(-0.62 %),500,7950000,0,0,15.9,15.9,15.9
19/03/2018,8.32,16.0,0.1(0.63 %),600,9600000,0,0,16.0,16.0,16.0
20/03/2018,8.32,16.0,0(0.00 %),6,110400,0,0,16.0,16.0,16.0
21/03/2018,8.32,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
22/03/2018,8.43,16.2,0.2(1.25 %),15700,251410000,0,0,16.0,16.2,16.0
23/03/2018,8.32,16.0,0(0.00 %),11000,176000000,0,0,16.0,16.0,16.0
26/03/2018,8.32,16.0,0(0.00 %),0,0,50000,680000000,16.0,16.0,16.0
