Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
24/12/2020,12.94,19.9,-0.1(-0.50 %),307200,6181740000,0,0,26.0,26.0,19.9
25/12/2020,12.94,19.9,0(0.00 %),41900,827720000,0,0,20.0,20.0,19.7
28/12/2020,13.0,20.0,0.1(0.50 %),6430,127704000,0,0,20.0,20.0,19.8
29/12/2020,13.0,20.0,0(0.00 %),196500,3938560000,0,0,20.0,20.4,19.9
30/12/2020,13.39,20.6,0.6(3.00 %),53400,1072130000,0,0,20.0,20.9,20.0
31/12/2020,13.0,20.0,-0.6(-2.91 %),81630,1636161000,0,0,20.7,21.6,20.0
04/01/2021,13.2,19.4,0.3(1.57 %),125200,2411410000,0,0,20.0,20.0,19.0
05/01/2021,13.2,19.4,0(0.00 %),53400,1028840000,0,0,19.5,19.5,19.2
06/01/2021,13.07,19.2,-0.2(-1.03 %),35100,674130000,0,0,19.5,19.9,19.1
07/01/2021,12.8,18.8,-0.4(-2.08 %),48500,906490000,0,0,19.1,19.1,18.4
08/01/2021,12.86,18.9,0.1(0.53 %),33200,627700000,0,0,18.9,19.0,18.8
11/01/2021,12.86,18.9,0(0.00 %),21200,399260000,0,0,19.0,19.1,18.7
12/01/2021,12.52,18.4,-0.5(-2.65 %),39900,732510000,0,0,18.8,18.8,18.2
13/01/2021,12.52,18.4,0(0.00 %),21900,402210000,0,0,18.3,18.5,18.3
14/01/2021,12.8,18.8,0.4(2.17 %),46500,866180000,0,0,18.3,19.0,18.3
15/01/2021,12.73,18.7,-0.1(-0.53 %),16000,297520000,0,0,18.7,18.7,18.5
18/01/2021,12.73,18.7,0(0.00 %),15900,297000000,0,0,18.7,18.8,18.6
19/01/2021,12.39,18.2,-0.5(-2.67 %),41300,755250000,0,0,18.7,18.9,17.9
20/01/2021,12.25,18.0,-0.2(-1.10 %),21400,379640000,0,0,18.2,18.2,17.5
21/01/2021,12.32,18.1,0.1(0.56 %),10700,193000000,0,0,18.3,18.3,17.8
22/01/2021,12.32,18.1,0(0.00 %),6200,112020000,0,0,18.3,18.9,18.0
25/01/2021,12.25,18.0,-0.1(-0.55 %),16900,303470000,0,0,18.0,18.0,17.9
26/01/2021,11.91,17.5,-0.5(-2.78 %),11700,208160000,0,0,17.9,17.9,17.5
27/01/2021,11.71,17.2,-0.3(-1.71 %),11100,192010000,0,0,17.4,17.5,17.0
28/01/2021,10.55,15.5,-1.7(-9.88 %),30000,465860000,0,0,16.9,16.9,15.5
29/01/2021,11.5,16.9,1.4(9.03 %),11000,175290000,0,0,15.5,17.0,15.5
01/02/2021,11.43,16.8,-0.1(-0.59 %),1900,32020000,0,0,17.0,17.0,16.8
02/02/2021,10.69,15.7,-1.1(-6.55 %),5800,92680000,0,0,16.5,16.7,15.6
03/02/2021,11.23,16.5,0.8(5.10 %),10000,159140000,0,0,15.6,16.7,15.6
04/02/2021,11.23,16.5,0(0.00 %),3600,58380000,0,0,16.2,16.5,16.2
05/02/2021,11.23,16.5,0(0.00 %),3800,62700000,0,0,16.5,16.5,16.5
08/02/2021,11.16,16.4,-0.1(-0.61 %),17100,278820000,0,0,16.4,16.5,15.8
09/02/2021,11.5,16.9,0.5(3.05 %),2500,41630000,0,0,16.5,16.9,16.5
17/02/2021,11.43,16.8,-0.1(-0.59 %),7000,115190000,0,0,16.9,16.9,16.0
18/02/2021,11.5,16.9,0.1(0.60 %),4200,70750000,0,0,16.8,17.0,16.8
19/02/2021,11.5,16.9,0(0.00 %),7200,121520000,0,0,16.9,16.9,16.7
22/02/2021,11.43,16.8,-0.1(-0.59 %),14600,247160000,0,0,16.9,17.0,16.8
23/02/2021,11.5,16.9,0.1(0.60 %),4000,67350000,0,0,16.9,16.9,16.7
24/02/2021,11.3,16.6,-0.3(-1.78 %),7800,130560000,0,0,16.9,16.9,16.6
25/02/2021,11.23,16.5,-0.1(-0.60 %),5900,97680000,0,0,16.8,16.8,16.5
26/02/2021,11.23,16.5,0(0.00 %),2700,44350000,0,0,16.1,16.5,16.1
01/03/2021,11.43,16.8,0.3(1.82 %),4700,78740000,0,0,16.5,16.8,16.5
02/03/2021,11.37,16.7,-0.1(-0.60 %),2500,41630000,0,0,16.8,16.8,16.6
03/03/2021,11.3,16.6,-0.1(-0.60 %),10000,166540000,0,0,16.7,16.8,16.6
04/03/2021,11.37,16.7,0.1(0.60 %),7000,116820000,0,0,16.6,16.8,16.6
05/03/2021,11.3,16.6,-0.1(-0.60 %),4300,71970000,0,0,16.8,16.8,16.6
08/03/2021,11.3,16.6,0(0.00 %),8447,141681700,0,0,16.7,16.9,16.6
09/03/2021,11.5,16.9,0.3(1.81 %),17700,299200000,0,0,16.7,17.1,16.7
10/03/2021,11.84,17.4,0.5(2.96 %),10900,187820000,0,0,17.9,18.0,17.1
11/03/2021,11.98,17.6,0.2(1.15 %),6710,116904000,0,0,17.3,17.6,17.2
12/03/2021,11.84,17.4,-0.2(-1.14 %),17900,312260000,0,0,18.0,18.0,17.4
15/03/2021,11.91,17.5,0.1(0.57 %),9526,166085000,0,0,17.6,17.6,17.2
16/03/2021,11.84,17.4,-0.1(-0.57 %),4800,83090000,69,1207500,17.3,17.4,17.3
17/03/2021,11.84,17.4,0(0.00 %),700,12180000,0,0,17.4,17.4,17.4
18/03/2021,11.64,17.1,-0.3(-1.72 %),8000,136140000,0,0,17.4,17.4,16.9
19/03/2021,11.57,17.0,-0.1(-0.58 %),11900,200700000,0,0,16.9,17.0,16.8
22/03/2021,11.5,16.9,-0.1(-0.59 %),4600,77400000,0,0,16.8,16.9,16.8
23/03/2021,11.57,17.0,0.1(0.59 %),3700,62630000,0,0,17.0,17.8,16.8
24/03/2021,11.23,16.5,-0.5(-2.94 %),6369,106043700,0,0,17.0,17.0,16.5
25/03/2021,11.37,16.7,0.2(1.21 %),6100,100910000,0,0,16.5,16.7,16.5
26/03/2021,11.16,16.4,-0.3(-1.80 %),1800,29670000,0,0,16.7,16.7,16.4
29/03/2021,11.23,16.5,0.1(0.61 %),7700,127050000,0,0,16.5,16.5,16.5
30/03/2021,11.5,16.9,0.4(2.42 %),2005,33132000,0,0,16.4,16.9,16.4
31/03/2021,11.43,16.8,-0.1(-0.59 %),4300,71040000,0,0,16.8,16.8,16.5
01/04/2021,11.43,16.8,0(0.00 %),11050,184165000,0,0,16.8,17.1,16.6
02/04/2021,11.3,16.6,-0.2(-1.19 %),17009,282028500,0,0,16.8,16.8,16.4
05/04/2021,11.3,16.6,0(0.00 %),7800,129500000,0,0,16.6,16.7,16.6
06/04/2021,11.23,16.5,-0.1(-0.60 %),12900,213980000,0,0,16.7,16.7,16.5
07/04/2021,11.3,16.6,0.1(0.61 %),2909,48168500,0,0,16.6,16.6,16.5
08/04/2021,11.23,16.5,-0.1(-0.60 %),12800,211510000,0,0,16.6,16.6,16.5
09/04/2021,11.16,16.4,-0.1(-0.61 %),5000,82080000,0,0,16.5,16.5,16.4
12/04/2021,11.23,16.5,0.1(0.61 %),23900,389400000,0,0,16.5,16.5,16.2
13/04/2021,11.3,16.6,0.1(0.61 %),19900,330210000,0,0,16.5,16.8,16.5
14/04/2021,11.43,16.8,0.2(1.20 %),22200,368290000,0,0,16.6,16.8,16.5
15/04/2021,11.37,16.7,-0.1(-0.60 %),15900,266650000,0,0,16.8,16.9,16.7
16/04/2021,11.3,16.6,-0.1(-0.60 %),18500,305310000,0,0,16.6,16.6,16.4
19/04/2021,11.23,16.5,-0.1(-0.60 %),16500,272110000,0,0,16.6,16.6,16.4
20/04/2021,11.23,16.5,0(0.00 %),10200,168600000,0,0,16.5,16.6,16.5
22/04/2021,11.23,16.5,0(0.00 %),18500,306220000,0,0,16.5,16.7,16.5
23/04/2021,11.23,16.5,0(0.00 %),10800,178360000,0,0,16.6,16.6,16.4
26/04/2021,11.23,16.5,0(0.00 %),19700,323140000,0,0,16.5,16.6,16.2
27/04/2021,11.09,16.3,-0.2(-1.21 %),3100,50440000,0,0,16.2,16.3,16.2
28/04/2021,11.23,16.5,0.2(1.23 %),2100,34250000,0,0,16.3,16.5,16.3
29/04/2021,11.16,16.4,-0.1(-0.61 %),3800,61940000,0,0,16.3,16.4,16.2
