Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
PTB,06/08/2025,0,75,0,4007000
PTB,18/07/2025,0,100,0,5550000
PTB,08/07/2025,0,100,0,5430000
PTB,20/06/2025,200,0,10420000,0
PTB,19/06/2025,500,0,26060000,0
PTB,18/06/2025,100,0,5210000,0
PTB,17/06/2025,100,0,5220000,0
PTB,16/06/2025,0,100,0,5170000
PTB,27/05/2025,0,100,0,5540000
PTB,22/05/2025,0,142,0,7524000
PTB,21/05/2025,0,100,0,5220000
PTB,16/05/2025,0,100,0,5320000
PTB,11/04/2025,100,700,5000000,35140000
PTB,09/04/2025,0,1600,0,71520000
PTB,08/04/2025,0,204900,0,9879515000
PTB,04/04/2025,0,500,0,25290000
PTB,02/04/2025,0,100,0,5660000
PTB,31/03/2025,200,16400,11360000,933540000
PTB,28/03/2025,100,1400,5720000,80410000
PTB,27/03/2025,0,1300,0,74990000
PTB,26/03/2025,28500,0,1653000000,0
PTB,25/03/2025,147600,0,8647290000,0
PTB,24/03/2025,47100,0,2722610000,0
PTB,20/03/2025,400,0,23730000,0
PTB,19/03/2025,200,0,11880000,0
PTB,18/03/2025,0,7500,0,438950000
PTB,17/03/2025,0,25700,0,1491470000
PTB,13/03/2025,800,1000,47000000,58890000
PTB,12/03/2025,300,0,17370000,0
PTB,11/03/2025,300,500,17540000,29260000
PTB,10/03/2025,1000,0,58860000,0
PTB,07/03/2025,500,2400,29670000,142930000
PTB,06/03/2025,100,0,5960000,0
PTB,05/03/2025,600,0,35900000,0
PTB,04/03/2025,200,200,12030000,12050000
PTB,03/03/2025,2100,0,128160000,0
PTB,28/02/2025,0,1000,0,59880000
PTB,24/02/2025,800,0,48570000,0
PTB,21/02/2025,600,700,36570000,42560000
PTB,20/02/2025,0,800,0,48640000
PTB,19/02/2025,0,2000,0,120840000
PTB,11/02/2025,0,100,0,6090000
PTB,07/02/2025,300,0,18700000,0
PTB,06/02/2025,100,0,6360000,0
PTB,03/02/2025,0,800,0,49440000
PTB,23/01/2025,31000,0,1888080000,0
PTB,21/01/2025,100,0,6230000,0
PTB,20/01/2025,700,0,43800000,0
PTB,17/01/2025,0,14800,0,901910000
PTB,16/01/2025,0,46700,0,2851950000
PTB,15/01/2025,0,31300,0,1894140000
PTB,31/12/2024,100,196500,6570000,13280560000
PTB,27/12/2024,0,17600,0,1153760000
PTB,26/12/2024,1400,5000,92460000,329900000
