Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
02/03/2011,0,0,14.6(-2.67 %),0,0,0,0,22050000,0.0
03/03/2011,0,0,14.7(-0.68 %),0,0,0,0,22050000,0.0
04/03/2011,0,0,14(-4.76 %),0,0,0,0,22050000,0.0
07/03/2011,0,0,13.3(-6.99 %),0,0,0,0,22050000,0.0
08/03/2011,0,0,13.7(1.48 %),0,0,0,0,22050000,0.0
09/03/2011,0,0,13.8(0.00 %),0,0,0,0,22050000,0.0
10/03/2011,0,0,14.7(6.52 %),0,0,0,0,22050000,0.0
11/03/2011,0,0,14.5(0.69 %),0,0,0,0,0,0.0
14/03/2011,0,0,13.9(-4.79 %),0,0,0,0,0,0.0
15/03/2011,0,0,14(-1.41 %),0,0,0,0,0,0.0
16/03/2011,0,0,14.1(0.00 %),0,0,0,0,22050000,0.0
17/03/2011,0,0,14.1(0.00 %),0,0,0,0,22050000,0.0
18/03/2011,0,0,14.3(1.42 %),0,0,0,0,22050000,0.0
21/03/2011,0,0,14.2(0.00 %),0,0,0,0,22050000,0.0
22/03/2011,0,0,13.8(-3.50 %),0,0,0,0,22050000,0.0
23/03/2011,0,0,13.7(-2.14 %),0,0,0,0,22050000,0.0
24/03/2011,0,0,13.7(-0.72 %),0,0,0,0,22050000,0.0
25/03/2011,0,0,13.7(-0.72 %),0,0,0,0,22050000,0.0
28/03/2011,0,0,13.6(-0.73 %),0,0,0,0,22050000,0.0
29/03/2011,0,0,13.5(-0.74 %),0,0,0,0,22050000,0.0
30/03/2011,0,0,13.5(-0.74 %),0,0,0,0,22050000,0.0
31/03/2011,0,0,13.5(1.50 %),0,0,0,0,22050000,0.0
01/04/2011,0,0,13.2(-2.22 %),0,0,0,0,22050000,0.0
04/04/2011,0,0,12.9(-2.27 %),0,0,0,0,22050000,0.0
05/04/2011,0,0,13.3(3.10 %),0,0,0,0,22050000,0.0
06/04/2011,0,0,13.2(0.76 %),0,0,0,0,22050000,0.0
07/04/2011,0,0,13(-2.26 %),0,0,0,0,22050000,0.0
08/04/2011,0,0,13.1(1.55 %),0,0,0,0,22050000,0.0
13/04/2011,0,0,13.1(1.55 %),0,0,0,0,22050000,0.0
14/04/2011,0,0,12.9(-0.77 %),0,0,0,0,22050000,0.0
15/04/2011,100,1250000,12.1(-5.47 %),100,1250000,0,0,22049900,0.0
18/04/2011,0,0,12.5(0.00 %),0,0,0,0,22049900,0.0
19/04/2011,0,0,12.6(0.80 %),0,0,0,0,22049900,0.0
20/04/2011,0,0,12.5(-0.79 %),0,0,0,0,22049900,0.0
21/04/2011,0,0,11.9(-4.80 %),0,0,0,0,22049900,0.0
22/04/2011,0,0,12.2(0.00 %),0,0,0,0,22049900,0.0
25/04/2011,0,0,12.9(6.61 %),0,0,0,0,22049900,0.0
