Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
30/07/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
31/07/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
01/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
02/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
03/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
06/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
07/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
08/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
09/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
10/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
13/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
14/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
15/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
16/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
17/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
20/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
21/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
22/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
23/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
24/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
27/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
28/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
29/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
30/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
31/08/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
04/09/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
05/09/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
06/09/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
07/09/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
10/09/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
11/09/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
12/09/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
13/09/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
14/09/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
17/09/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
18/09/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
19/09/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
20/09/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
21/09/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
24/09/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
25/09/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
26/09/2018,0.51,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
