Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
12/12/2008,5.4,13.9,-7.1(-33.81 %),56600,781920000.0,0,0,21.0,21.0,12.5
15/12/2008,5.02,12.9,-0.9(-6.52 %),1000,12900000.0,0,0,12.9,12.9,12.9
16/12/2008,4.67,12.0,-0.9(-6.98 %),2000,24000000.0,0,0,12.0,12.0,12.0
17/12/2008,4.35,11.2,-0.8(-6.67 %),3500,39200000.0,0,0,11.2,11.2,11.2
18/12/2008,4.08,10.5,-0.7(-6.25 %),2100,22050000.0,0,0,10.5,10.5,10.5
19/12/2008,3.97,10.2,-0.3(-2.86 %),93600,927490000.0,0,0,9.8,11.2,9.8
22/12/2008,3.89,10.0,0.1(1.01 %),5200,52980000.0,0,0,10.2,10.5,9.7
23/12/2008,3.81,9.8,-0.4(-3.92 %),6100,58950000.0,0,0,9.7,9.8,9.5
24/12/2008,3.77,9.7,0(0.00 %),12800,123160000.0,0,0,9.5,9.7,9.5
25/12/2008,3.5,9.0,-0.6(-6.25 %),14000,127750000.0,0,0,9.3,9.6,9.0
26/12/2008,3.42,8.8,-0.3(-3.30 %),2900,25640000.0,0,0,9.0,9.0,8.8
29/12/2008,3.46,8.9,0.1(1.14 %),6700,60200000.0,0,0,9.0,9.0,8.9
30/12/2008,3.46,8.9,-0.1(-1.11 %),9300,81890000.0,0,0,8.8,9.0,8.7
31/12/2008,3.46,8.9,0.1(1.14 %),15400,135480000.0,0,0,8.7,8.9,8.7
02/01/2009,3.42,8.8,0(0.00 %),6000,53000000.0,0,0,9.0,9.0,8.8
05/01/2009,3.58,9.2,0.4(4.55 %),400,3670000.0,0,0,9.1,9.2,9.1
06/01/2009,3.62,9.3,0.1(1.09 %),100,930000.0,0,0,9.3,9.3,9.3
07/01/2009,3.62,9.3,0(0.00 %),3900,36660000.0,0,0,9.6,9.6,9.2
08/01/2009,3.42,8.8,-0.6(-6.38 %),14300,125880000.0,0,0,9.0,9.0,8.8
09/01/2009,3.5,9.0,0.2(2.27 %),500,4480000.0,0,0,9.0,9.0,8.9
12/01/2009,3.54,9.1,0.1(1.11 %),100,910000.0,0,0,9.1,9.1,9.1
13/01/2009,3.54,9.1,0(0.00 %),200,1830000.0,0,0,9.2,9.2,9.1
14/01/2009,3.58,9.2,0(0.00 %),0,0.0,0,0,9.2,9.2,9.2
15/01/2009,3.34,8.6,-0.6(-6.52 %),3800,32690000.0,0,0,8.6,8.7,8.6
16/01/2009,3.15,8.1,-0.5(-5.81 %),1100,9050000.0,0,0,9.0,9.0,8.1
19/01/2009,3.38,8.7,0.5(6.10 %),100,870000.0,0,0,8.7,8.7,8.7
20/01/2009,3.3,8.5,-0.2(-2.30 %),700,6020000.0,0,0,9.2,9.2,8.5
21/01/2009,3.3,8.5,-0.1(-1.16 %),1800,15410000.0,0,0,9.0,9.0,8.5
22/01/2009,3.46,8.9,0.3(3.49 %),100,890000.0,0,0,8.9,8.9,8.9
23/01/2009,3.69,9.5,0.6(6.74 %),8700,81280000.0,0,0,8.9,9.5,8.9
02/02/2009,3.62,9.3,0(0.00 %),0,0.0,0,0,9.3,9.3,9.3
03/02/2009,3.38,8.7,-0.6(-6.45 %),3100,28770000.0,0,0,9.2,9.4,8.7
04/02/2009,3.54,9.1,-0.2(-2.15 %),15700,140860000.0,0,0,9.0,9.5,8.7
