Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
06/12/2006,4360,540640,0(0.00 %),4360,540640,0,0,0,0.0
07/12/2006,200,23600,0(0.00 %),200,23600,0,0,0,0.0
08/12/2006,1000,113000,0(0.00 %),1000,113000,0,0,0,0.0
11/12/2006,100000,11618800,0(0.00 %),100000,11618800,0,0,0,0.0
12/12/2006,105150,12603000,0(0.00 %),110150,13218000,5000,615000,0,0.0
13/12/2006,99320,12514320,0(0.00 %),99320,12514320,0,0,0,0.0
14/12/2006,110830,14629560,0(0.00 %),110830,14629560,0,0,0,0.0
15/12/2006,31800,4388400,0(0.00 %),38800,5354400,7000,966000,0,0.0
18/12/2006,112730,16233120,0(0.00 %),112730,16233120,0,0,0,0.0
19/12/2006,69300,10464300,0(0.00 %),69300,10464300,0,0,0,0.0
20/12/2006,75080,11862640,0(0.00 %),78080,12336640,3000,474000,0,0.0
21/12/2006,484450,75423350,0(0.00 %),484450,75423350,0,0,0,0.0
22/12/2006,140030,20304350,0(0.00 %),240890,34929050,100860,14624700,0,0.0
25/12/2006,-214170,-32558040,0(0.00 %),300,41400,214470,32599440,0,0.0
26/12/2006,135410,21524190,0(0.00 %),135410,21524190,0,0,0,0.0
27/12/2006,202940,33688040,0(0.00 %),202940,33688040,0,0,0,0.0
28/12/2006,340470,56518020,0(0.00 %),340470,56518020,0,0,0,0.0
29/12/2006,76870,12800030,0(0.00 %),76870,12800030,0,0,0,0.0
01/03/2007,67830,19625350000,290(-2.68 %),99800,29036950000,31970,9411600000,0,0.0
02/03/2007,139770,41003470000,295(1.72 %),143970,42222970000,4200,1219500000,0,0.0
05/03/2007,71360,21351140000,289(-2.03 %),105110,31584890000,33750,10233750000,0,0.0
06/03/2007,-148950,-41120950000,275(-4.84 %),14980,4184800000,163930,45305750000,0,0.0
07/03/2007,-5630,-1568860000,278(1.09 %),3000,840000000,8630,2408860000,0,0.0
08/03/2007,-8780,-2468340000,277(-0.36 %),51590,14213910000,60370,16682250000,0,0.0
09/03/2007,-12700,-3517900000,277(0.00 %),51900,14376300000,64600,17894200000,0,0.0
12/03/2007,7410,2116800000,280(1.08 %),9430,2686500000,2020,569700000,0,0.0
13/03/2007,-42710,-11297200000,270(-3.57 %),37900,10487500000,80610,21784700000,0,0.0
14/03/2007,-52110,-13503220000,259(-4.07 %),12440,3233540000,64550,16736760000,0,0.0
15/03/2007,-17680,-4420000000,250(-3.47 %),800,200000000,18480,4620000000,0,0.0
16/03/2007,-25700,-6723800000,262(4.80 %),500,126200000,26200,6850000000,0,0.0
19/03/2007,-74450,-19750420000,262(0.00 %),2820,744640000,77270,20495060000,0,0.0
