Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
02/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
03/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
04/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
07/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
08/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
09/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
10/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
11/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
14/01/2008,1000,75000000,0(0.00 %),1000,75000000,0,0,0,0.0
15/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
16/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
17/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
18/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
21/01/2008,0,0,69.2(-4.55 %),0,0,0,0,0,0.0
22/01/2008,0,0,68(-2.16 %),0,0,0,0,0,0.0
23/01/2008,0,0,64(-5.88 %),0,0,0,0,0,0.0
24/01/2008,0,0,61.5(-5.24 %),0,0,0,0,0,0.0
25/01/2008,0,0,58(-6.90 %),0,0,0,0,0,0.0
28/01/2008,0,0,58(-3.65 %),0,0,0,0,0,0.0
29/01/2008,0,0,61(7.02 %),0,0,0,0,0,0.0
30/01/2008,0,0,65.6(9.88 %),0,0,0,0,0,0.0
31/01/2008,0,0,65(-0.61 %),0,0,0,0,0,0.0
01/02/2008,0,0,66(1.07 %),0,0,0,0,0,0.0
12/02/2008,0,0,65(-3.13 %),0,0,0,0,0,0.0
13/02/2008,0,0,65(0.15 %),0,0,0,0,0,0.0
14/02/2008,0,0,65(0.00 %),0,0,0,0,0,0.0
15/02/2008,0,0,62(-4.47 %),0,0,0,0,0,0.0
18/02/2008,0,0,57.5(-9.87 %),0,0,0,0,0,0.0
19/02/2008,0,0,57(-1.04 %),0,0,0,0,0,0.0
20/02/2008,0,0,52(-9.25 %),0,0,0,0,0,0.0
21/02/2008,0,0,48.1(-9.93 %),0,0,0,0,0,0.0
22/02/2008,0,0,44(-8.52 %),0,0,0,0,0,0.0
25/02/2008,0,0,48.6(9.95 %),0,0,0,0,0,0.0
26/02/2008,0,0,43.2(-10.00 %),0,0,0,0,0,0.0
27/02/2008,100,4200000,42(-7.08 %),100,4200000,0,0,0,0.0
28/02/2008,0,0,42.6(0.00 %),0,0,0,0,0,0.0
29/02/2008,0,0,42.6(-0.47 %),0,0,0,0,0,0.0
03/03/2008,0,0,36.6(-9.85 %),0,0,0,0,0,0.0
04/03/2008,0,0,33.2(-9.78 %),0,0,0,0,0,0.0
05/03/2008,0,0,30(-9.91 %),0,0,0,0,0,0.0
06/03/2008,0,0,33.2(9.93 %),0,0,0,0,0,0.0
07/03/2008,0,0,36.5(9.94 %),0,0,0,0,0,0.0
10/03/2008,45000,1804480000,40.1(9.86 %),45000,1804480000,0,0,0,0.0
11/03/2008,0,0,36.1(-9.98 %),0,0,0,0,0,0.0
12/03/2008,0,0,38.5(4.90 %),0,0,0,0,0,0.0
13/03/2008,0,0,39(1.56 %),0,0,0,0,0,0.0
14/03/2008,500,19930000,37.1(-5.60 %),500,19930000,0,0,0,0.0
17/03/2008,0,0,34.6(-9.90 %),0,0,0,0,0,0.0
18/03/2008,0,0,31.5(-10.00 %),0,0,0,0,0,0.0
19/03/2008,-34400,-1033700000,28.5(-9.52 %),0,0,34400,1033700000,0,0.0
20/03/2008,-10600,-300400000,28.4(-5.96 %),0,0,10600,300400000,0,0.0
21/03/2008,0,0,28.3(0.00 %),0,0,0,0,0,0.0
24/03/2008,300,8400000,27(-4.59 %),300,8400000,0,0,0,0.0
25/03/2008,0,0,25.5(-5.90 %),0,0,0,0,0,0.0
26/03/2008,0,0,27.3(9.64 %),0,0,0,0,0,0.0
27/03/2008,0,0,27.8(1.83 %),0,0,0,0,0,0.0
28/03/2008,0,0,28(1.82 %),0,0,0,0,0,0.0
31/03/2008,0,0,28.5(1.79 %),0,0,0,0,0,0.0
01/04/2008,0,0,29(1.75 %),0,0,0,0,0,0.0
02/04/2008,0,0,29.5(1.72 %),0,0,0,0,0,0.0
03/04/2008,0,0,30(1.69 %),0,0,0,0,0,0.0
04/04/2008,0,0,30.6(2.00 %),0,0,0,0,0,0.0
07/04/2008,0,0,31.5(2.94 %),0,0,0,0,0,0.0
08/04/2008,100,3240000,32.4(2.86 %),100,3240000,0,0,0,0.0
09/04/2008,1000,32000000,31.5(-2.78 %),1000,32000000,0,0,0,0.0
10/04/2008,0,0,31.3(-2.80 %),0,0,0,0,0,0.0
11/04/2008,0,0,30.4(-2.88 %),0,0,0,0,0,0.0
16/04/2008,0,0,29.5(-2.96 %),0,0,0,0,0,0.0
17/04/2008,0,0,30.3(2.71 %),0,0,0,0,0,0.0
18/04/2008,0,0,29.9(2.75 %),0,0,0,0,0,0.0
21/04/2008,0,0,30.7(2.68 %),0,0,0,0,0,0.0
22/04/2008,0,0,29.2(0.00 %),0,0,0,0,0,0.0
23/04/2008,0,0,28.4(-2.74 %),0,0,0,0,0,0.0
24/04/2008,0,0,28.7(1.06 %),0,0,0,0,0,0.0
25/04/2008,0,0,28(0.00 %),0,0,0,0,0,0.0
28/04/2008,0,0,28.6(2.88 %),0,0,0,0,0,0.0
29/04/2008,0,0,29.4(2.80 %),0,0,0,0,0,0.0
05/05/2008,0,0,29.8(1.71 %),0,0,0,0,0,0.0
06/05/2008,0,0,29.6(1.72 %),0,0,0,0,0,0.0
07/05/2008,0,0,28.8(-2.70 %),0,0,0,0,0,0.0
08/05/2008,0,0,28.1(-2.77 %),0,0,0,0,0,0.0
09/05/2008,0,0,27.5(-2.14 %),0,0,0,0,0,0.0
12/05/2008,500,13350000,26.7(-2.91 %),500,13350000,0,0,0,0.0
13/05/2008,0,0,25.9(-3.00 %),0,0,0,0,0,0.0
14/05/2008,0,0,25.2(-2.70 %),0,0,0,0,0,0.0
15/05/2008,0,0,24.5(-2.78 %),0,0,0,0,0,0.0
16/05/2008,0,0,23.8(-2.86 %),0,0,0,0,0,0.0
19/05/2008,0,0,23.8(0.00 %),0,0,0,0,0,0.0
20/05/2008,0,0,23.1(-2.94 %),0,0,0,0,0,0.0
21/05/2008,0,0,22.5(-2.60 %),0,0,0,0,0,0.0
22/05/2008,0,0,21.9(-2.67 %),0,0,0,0,0,0.0
23/05/2008,1000,21300000,21.3(-2.74 %),1000,21300000,0,0,0,0.0
26/05/2008,0,0,20.7(-2.82 %),0,0,0,0,0,0.0
27/05/2008,0,0,20.7(0.00 %),0,0,0,0,0,0.0
28/05/2008,0,0,20.1(-2.90 %),0,0,0,0,0,0.0
29/05/2008,0,0,19.5(-2.99 %),0,0,0,0,0,0.0
30/05/2008,0,0,19(-2.56 %),0,0,0,0,0,0.0
02/06/2008,0,0,18.5(-2.63 %),0,0,0,0,0,0.0
03/06/2008,0,0,18(-2.70 %),0,0,0,0,0,0.0
04/06/2008,0,0,17.5(-2.78 %),0,0,0,0,0,0.0
05/06/2008,0,0,17(-2.86 %),0,0,0,0,0,0.0
06/06/2008,1000,16500000,16.5(-2.94 %),1000,16500000,0,0,0,0.0
09/06/2008,0,0,16.1(-2.42 %),0,0,0,0,0,0.0
10/06/2008,0,0,16.5(2.48 %),0,0,0,0,0,0.0
11/06/2008,0,0,16.9(2.42 %),0,0,0,0,0,0.0
12/06/2008,0,0,17.4(2.96 %),0,0,0,0,0,0.0
13/06/2008,0,0,17.9(2.87 %),0,0,0,0,0,0.0
16/06/2008,0,0,17.9(0.00 %),0,0,0,0,0,0.0
17/06/2008,0,0,18.4(2.79 %),0,0,0,0,0,0.0
18/06/2008,0,0,17.9(-2.72 %),0,0,0,0,0,0.0
19/06/2008,100,1810000,18.1(-3.72 %),100,1810000,0,0,0,0.0
20/06/2008,0,0,17.4(-3.87 %),0,0,0,0,0,0.0
23/06/2008,0,0,18(3.45 %),0,0,0,0,0,0.0
24/06/2008,0,0,18.2(1.11 %),0,0,0,0,0,0.0
25/06/2008,300,5460000,18.2(0.00 %),300,5460000,0,0,0,0.0
26/06/2008,0,0,17.2(-3.91 %),0,0,0,0,0,0.0
27/06/2008,0,0,18.2(2.82 %),0,0,0,0,0,0.0
30/06/2008,100,1800000,18(0.56 %),100,1800000,0,0,0,0.0
01/07/2008,0,0,18.7(3.89 %),0,0,0,0,0,0.0
02/07/2008,0,0,19.2(3.78 %),0,0,0,0,0,0.0
03/07/2008,0,0,19.9(3.65 %),0,0,0,0,0,0.0
04/07/2008,0,0,20.6(3.52 %),0,0,0,0,0,0.0
07/07/2008,0,0,20.1(-2.43 %),0,0,0,0,0,0.0
08/07/2008,0,0,21(-0.94 %),0,0,0,0,0,0.0
09/07/2008,0,0,21.5(3.86 %),0,0,0,0,0,0.0
10/07/2008,0,0,22.3(3.72 %),0,0,0,0,0,0.0
11/07/2008,0,0,23.1(3.59 %),0,0,0,0,0,0.0
14/07/2008,0,0,24(3.90 %),0,0,0,0,0,0.0
15/07/2008,0,0,24.9(3.75 %),0,0,0,0,0,0.0
16/07/2008,0,0,25.8(3.61 %),0,0,0,0,0,0.0
17/07/2008,0,0,25.8(3.61 %),0,0,0,0,0,0.0
18/07/2008,0,0,24.8(-3.88 %),0,0,0,0,0,0.0
21/07/2008,0,0,25(-3.85 %),0,0,0,0,0,0.0
22/07/2008,0,0,24(-4.00 %),0,0,0,0,0,0.0
23/07/2008,-300,-6930000,23.1(-3.75 %),0,0,300,6930000,0,0.0
24/07/2008,0,0,22.2(-3.90 %),0,0,0,0,0,0.0
25/07/2008,0,0,21.4(-3.60 %),0,0,0,0,0,0.0
28/07/2008,0,0,22.2(3.74 %),0,0,0,0,0,0.0
29/07/2008,0,0,23(3.60 %),0,0,0,0,0,0.0
30/07/2008,0,0,23(0.00 %),0,0,0,0,0,0.0
31/07/2008,0,0,22.8(-3.80 %),0,0,0,0,0,0.0
01/08/2008,0,0,21.9(-3.95 %),0,0,0,0,0,0.0
04/08/2008,0,0,21.1(-3.65 %),0,0,0,0,0,0.0
05/08/2008,0,0,20.3(-3.79 %),0,0,0,0,0,0.0
06/08/2008,0,0,19.5(-3.94 %),0,0,0,0,0,0.0
07/08/2008,0,0,20.2(3.59 %),0,0,0,0,0,0.0
08/08/2008,0,0,20(-0.99 %),0,0,0,0,0,0.0
11/08/2008,0,0,20.3(3.57 %),0,0,0,0,0,0.0
12/08/2008,0,0,19.5(-3.94 %),0,0,0,0,0,0.0
13/08/2008,0,0,20.5(-0.97 %),0,0,0,0,0,0.0
14/08/2008,0,0,20.9(3.98 %),0,0,0,0,0,0.0
15/08/2008,0,0,21.2(3.92 %),0,0,0,0,0,0.0
18/08/2008,0,0,22.6(6.60 %),0,0,0,0,0,0.0
19/08/2008,0,0,24.1(6.64 %),0,0,0,0,0,0.0
20/08/2008,0,0,24.5(2.08 %),0,0,0,0,0,0.0
21/08/2008,0,0,26(7.00 %),0,0,0,0,0,0.0
22/08/2008,0,0,26.9(6.75 %),0,0,0,0,0,0.0
25/08/2008,0,0,28.7(6.69 %),0,0,0,0,0,0.0
26/08/2008,0,0,30.7(6.97 %),0,0,0,0,0,0.0
27/08/2008,0,0,32.8(6.84 %),0,0,0,0,0,0.0
28/08/2008,0,0,35(6.71 %),0,0,0,0,0,0.0
29/08/2008,0,0,37(6.94 %),0,0,0,0,0,0.0
03/09/2008,0,0,39.5(6.76 %),0,0,0,0,0,0.0
04/09/2008,0,0,42.2(6.84 %),0,0,0,0,0,0.0
05/09/2008,0,0,39.2(-6.89 %),0,0,0,0,0,0.0
08/09/2008,0,0,37(-6.80 %),0,0,0,0,0,0.0
09/09/2008,0,0,34.5(-6.76 %),0,0,0,0,0,0.0
10/09/2008,0,0,32.6(-6.86 %),0,0,0,0,0,0.0
11/09/2008,0,0,31.2(-6.87 %),0,0,0,0,0,0.0
12/09/2008,0,0,29.3(-6.98 %),0,0,0,0,0,0.0
15/09/2008,0,0,29(-1.02 %),0,0,0,0,0,0.0
16/09/2008,0,0,27(-6.90 %),0,0,0,0,0,0.0
17/09/2008,0,0,25.2(-6.67 %),0,0,0,0,0,0.0
18/09/2008,0,0,23.5(-6.75 %),0,0,0,0,0,0.0
19/09/2008,0,0,25.1(6.81 %),0,0,0,0,0,0.0
22/09/2008,0,0,25.8(6.61 %),0,0,0,0,0,0.0
23/09/2008,0,0,27.6(6.98 %),0,0,0,0,0,0.0
24/09/2008,0,0,26(0.00 %),0,0,0,0,0,0.0
25/09/2008,0,0,26.8(3.08 %),0,0,0,0,0,0.0
26/09/2008,0,0,27(5.47 %),0,0,0,0,0,0.0
29/09/2008,0,0,28(2.94 %),0,0,0,0,0,0.0
30/09/2008,0,0,28(0.00 %),0,0,0,0,0,0.0
01/10/2008,0,0,29(3.57 %),0,0,0,0,0,0.0
02/10/2008,0,0,27(-4.59 %),0,0,0,0,0,0.0
03/10/2008,0,0,25.5(-6.93 %),0,0,0,0,0,0.0
06/10/2008,0,0,23.8(-6.67 %),0,0,0,0,0,0.0
07/10/2008,0,0,23(-4.17 %),0,0,0,0,0,0.0
08/10/2008,200,4340000,21.7(-3.98 %),200,4340000,0,0,0,0.0
09/10/2008,300,6600000,23.9(1.70 %),300,6600000,0,0,0,0.0
10/10/2008,0,0,21(-6.67 %),0,0,0,0,0,0.0
13/10/2008,0,0,21(0.00 %),0,0,0,0,0,0.0
14/10/2008,0,0,22.4(6.67 %),0,0,0,0,0,0.0
15/10/2008,0,0,23.9(6.70 %),0,0,0,0,0,0.0
16/10/2008,0,0,22.3(-6.69 %),0,0,0,0,0,0.0
17/10/2008,0,0,23.8(6.73 %),0,0,0,0,0,0.0
20/10/2008,0,0,20(-6.54 %),0,0,0,0,0,0.0
21/10/2008,0,0,20.1(0.00 %),0,0,0,0,0,0.0
22/10/2008,0,0,19(-5.47 %),0,0,0,0,0,0.0
23/10/2008,0,0,17.5(-6.91 %),0,0,0,0,0,0.0
24/10/2008,0,0,18.7(6.86 %),0,0,0,0,0,0.0
27/10/2008,0,0,17.1(-6.56 %),0,0,0,0,0,0.0
28/10/2008,0,0,18.2(6.43 %),0,0,0,0,0,0.0
29/10/2008,0,0,17.8(6.59 %),0,0,0,0,0,0.0
30/10/2008,0,0,19(6.74 %),0,0,0,0,0,0.0
31/10/2008,0,0,19(5.56 %),0,0,0,0,0,0.0
03/11/2008,0,0,20.2(6.88 %),0,0,0,0,0,0.0
04/11/2008,0,0,21.6(6.93 %),0,0,0,0,0,0.0
05/11/2008,0,0,22.7(6.57 %),0,0,0,0,0,0.0
06/11/2008,0,0,21.3(-6.17 %),0,0,0,0,0,0.0
07/11/2008,0,0,20(-6.54 %),0,0,0,0,0,0.0
10/11/2008,0,0,18.6(-7.00 %),0,0,0,0,0,0.0
11/11/2008,0,0,17.5(-6.42 %),0,0,0,0,0,0.0
12/11/2008,0,0,17(-2.30 %),0,0,0,0,0,0.0
13/11/2008,0,0,17.4(6.75 %),0,0,0,0,0,0.0
14/11/2008,0,0,17.9(9.82 %),0,0,0,0,0,0.0
17/11/2008,0,0,19(6.15 %),0,0,0,0,0,0.0
18/11/2008,0,0,19.5(2.09 %),0,0,0,0,0,0.0
19/11/2008,0,0,19.4(0.00 %),0,0,0,0,0,0.0
20/11/2008,0,0,18.1(-6.70 %),0,0,0,0,0,0.0
21/11/2008,0,0,17.5(-3.31 %),0,0,0,0,0,0.0
24/11/2008,0,0,18.3(6.40 %),0,0,0,0,0,0.0
25/11/2008,0,0,19.4(6.01 %),0,0,0,0,0,0.0
26/11/2008,0,0,18.1(-6.70 %),0,0,0,0,0,0.0
27/11/2008,0,0,16.9(-6.63 %),0,0,0,0,0,0.0
28/11/2008,0,0,17.8(5.33 %),0,0,0,0,0,0.0
01/12/2008,0,0,16.2(-6.36 %),0,0,0,0,0,0.0
02/12/2008,0,0,16.5(-6.78 %),0,0,0,0,0,0.0
03/12/2008,0,0,16(-3.03 %),0,0,0,0,0,0.0
04/12/2008,0,0,17(6.25 %),0,0,0,0,0,0.0
05/12/2008,0,0,15.2(-2.56 %),0,0,0,0,0,0.0
08/12/2008,0,0,14.7(-6.96 %),0,0,0,0,0,0.0
09/12/2008,0,0,15.5(-1.90 %),0,0,0,0,0,0.0
10/12/2008,0,0,14.9(-6.88 %),0,0,0,0,0,0.0
11/12/2008,0,0,14.9(0.00 %),0,0,0,0,0,0.0
12/12/2008,0,0,15.4(3.36 %),0,0,0,0,0,0.0
