Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
24/04/2023,2.2,2.2,0(0.00 %),0,0,0,0,2.2,2.2,2.2
25/04/2023,2.2,2.2,0(0.00 %),0,0,0,0,2.2,2.2,2.2
26/04/2023,2.2,2.2,0(0.00 %),0,0,0,0,2.2,2.2,2.2
27/04/2023,2.2,2.2,0(0.00 %),0,0,0,0,2.2,2.2,2.2
28/04/2023,2.1,2.1,-0.1(-4.55 %),2317900,4723990000,0,0,2.0,2.3,1.8
04/05/2023,2.0,2.0,0(0.00 %),0,0,0,0,2.0,2.0,2.0
05/05/2023,2.1,2.1,0.1(5.00 %),1054519,2182355300,0,0,2.0,2.2,1.9
08/05/2023,2.1,2.1,0(0.00 %),0,0,0,0,2.1,2.1,2.1
09/05/2023,2.1,2.1,0(0.00 %),0,0,0,0,2.1,2.1,2.1
10/05/2023,2.1,2.1,0(0.00 %),0,0,0,0,2.1,2.1,2.1
11/05/2023,2.1,2.1,0(0.00 %),0,0,0,0,2.1,2.1,2.1
12/05/2023,2.0,2.0,-0.1(-4.76 %),1003115,2105448100,0,0,2.0,2.2,2.0
15/05/2023,2.1,2.1,0(0.00 %),0,0,0,0,2.1,2.1,2.1
16/05/2023,2.1,2.1,0(0.00 %),0,0,0,0,2.1,2.1,2.1
17/05/2023,2.1,2.1,0(0.00 %),0,0,0,0,2.1,2.1,2.1
18/05/2023,2.1,2.1,0(0.00 %),0,0,0,0,2.1,2.1,2.1
19/05/2023,2.1,2.1,0(0.00 %),1154316,2374896800,0,0,2.1,2.2,2.0
22/05/2023,2.1,2.1,0(0.00 %),0,0,0,0,2.1,2.1,2.1
23/05/2023,2.1,2.1,0(0.00 %),0,0,0,0,2.1,2.1,2.1
24/05/2023,2.1,2.1,0(0.00 %),0,0,0,0,2.1,2.1,2.1
25/05/2023,2.1,2.1,0(0.00 %),0,0,0,0,2.1,2.1,2.1
26/05/2023,2.2,2.2,0.1(4.76 %),1052526,2201754600,0,0,2.1,2.2,2.0
29/05/2023,2.1,2.1,0(0.00 %),0,0,0,0,2.1,2.1,2.1
30/05/2023,2.1,2.1,0(0.00 %),0,0,0,0,2.1,2.1,2.1
31/05/2023,2.1,2.1,0(0.00 %),0,0,0,0,2.1,2.1,2.1
01/06/2023,2.1,2.1,0(0.00 %),0,0,0,0,2.1,2.1,2.1
02/06/2023,2.4,2.4,0.3(14.29 %),1627169,3883811500,0,0,2.2,2.4,2.2
05/06/2023,2.4,2.4,0(0.00 %),0,0,0,0,2.4,2.4,2.4
06/06/2023,2.4,2.4,0(0.00 %),0,0,0,0,2.4,2.4,2.4
07/06/2023,2.4,2.4,0(0.00 %),0,0,0,0,2.4,2.4,2.4
08/06/2023,2.4,2.4,0(0.00 %),0,0,0,0,2.4,2.4,2.4
09/06/2023,2.7,2.7,0.3(12.50 %),783133,2096539100,0,0,2.6,2.7,2.6
12/06/2023,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
13/06/2023,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
14/06/2023,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
15/06/2023,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
16/06/2023,2.5,2.5,-0.2(-7.41 %),2727215,7474756500,0,0,3.1,3.1,2.3
19/06/2023,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
20/06/2023,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
21/06/2023,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
22/06/2023,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
23/06/2023,2.6,2.6,-0.1(-3.70 %),868525,2212035000,0,0,2.6,2.7,2.5
26/06/2023,2.5,2.5,0(0.00 %),0,0,0,0,2.5,2.5,2.5
27/06/2023,2.5,2.5,0(0.00 %),0,0,0,0,2.5,2.5,2.5
28/06/2023,2.5,2.5,0(0.00 %),0,0,0,0,2.5,2.5,2.5
29/06/2023,2.5,2.5,0(0.00 %),0,0,0,0,2.5,2.5,2.5
30/06/2023,2.6,2.6,0.1(4.00 %),381350,956866300,0,0,2.4,2.6,2.4
03/07/2023,2.5,2.5,0(0.00 %),0,0,0,0,2.5,2.5,2.5
04/07/2023,2.5,2.5,0(0.00 %),0,0,0,0,2.5,2.5,2.5
05/07/2023,2.5,2.5,0(0.00 %),0,0,0,0,2.5,2.5,2.5
06/07/2023,2.5,2.5,0(0.00 %),0,0,0,0,2.5,2.5,2.5
07/07/2023,2.7,2.7,0.2(8.00 %),336244,867304400,0,0,2.5,2.7,2.4
10/07/2023,2.6,2.6,0(0.00 %),0,0,0,0,2.6,2.6,2.6
11/07/2023,2.6,2.6,0(0.00 %),0,0,0,0,2.6,2.6,2.6
12/07/2023,2.6,2.6,0(0.00 %),0,0,0,0,2.6,2.6,2.6
13/07/2023,2.6,2.6,0(0.00 %),0,0,0,0,2.6,2.6,2.6
14/07/2023,2.8,2.8,0.2(7.69 %),755968,2060523600,0,0,2.6,2.8,2.6
17/07/2023,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
18/07/2023,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
19/07/2023,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
20/07/2023,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
21/07/2023,2.8,2.8,0.1(3.70 %),586696,1572629500,0,0,2.7,2.8,2.6
24/07/2023,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
25/07/2023,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
26/07/2023,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
27/07/2023,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
28/07/2023,2.8,2.8,0.1(3.70 %),998568,2738766700,0,0,2.7,2.8,2.6
31/07/2023,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
03/08/2023,2.7,2.7,0(0.00 %),0,0,0,0,2.7,2.7,2.7
04/08/2023,2.8,2.8,0.1(3.70 %),1008143,2834718900,0,0,2.7,2.9,2.7
07/08/2023,2.8,2.8,0(0.00 %),0,0,0,0,2.8,2.8,2.8
08/08/2023,2.8,2.8,0(0.00 %),0,0,0,0,2.8,2.8,2.8
09/08/2023,2.8,2.8,0(0.00 %),0,0,0,0,2.8,2.8,2.8
10/08/2023,2.8,2.8,0(0.00 %),0,0,0,0,2.8,2.8,2.8
11/08/2023,2.9,2.9,0.1(3.57 %),758542,2138475900,0,0,2.8,2.9,2.8
14/08/2023,2.8,2.8,0(0.00 %),0,0,0,0,2.8,2.8,2.8
15/08/2023,2.8,2.8,0(0.00 %),0,0,0,0,2.8,2.8,2.8
16/08/2023,2.8,2.8,0(0.00 %),0,0,0,0,2.8,2.8,2.8
17/08/2023,2.8,2.8,0(0.00 %),0,0,0,0,2.8,2.8,2.8
18/08/2023,2.9,2.9,0.1(3.57 %),1380982,3964636000,0,0,3.1,3.2,2.7
21/08/2023,2.9,2.9,0(0.00 %),0,0,0,0,2.9,2.9,2.9
22/08/2023,2.9,2.9,0(0.00 %),0,0,0,0,2.9,2.9,2.9
23/08/2023,2.9,2.9,0(0.00 %),0,0,0,0,2.9,2.9,2.9
24/08/2023,2.9,2.9,0(0.00 %),0,0,0,0,2.9,2.9,2.9
