Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
19/08/2009,28600,716560000,0(0.00 %),28600,716560000,0,0,73442800,0.04
20/08/2009,0,0,0(0.00 %),0,0,0,0,73442800,0.04
21/08/2009,0,0,0(0.00 %),0,0,0,0,73442800,0.04
24/08/2009,38800,1165640000,0(0.00 %),38800,1165640000,0,0,73404000,0.06
25/08/2009,800,23760000,0(0.00 %),800,23760000,0,0,73403200,0.06
26/08/2009,10000,298940000,0(0.00 %),10000,298940000,0,0,73393200,0.07
27/08/2009,0,0,0(0.00 %),0,0,0,0,73393200,0.07
28/08/2009,-2400,-80220000,0(0.00 %),4700,139210000,7100,219430000,73395600,0.07
31/08/2009,21400,699500000,0(0.00 %),21400,699500000,0,0,73374200,0.08
01/09/2009,700,22400000,0(0.00 %),700,22400000,0,0,73373500,0.08
03/09/2009,0,0,0(0.00 %),0,0,0,0,73373500,0.08
04/09/2009,1700,52430000,0(0.00 %),1700,52430000,0,0,73371800,0.09
07/09/2009,2100,62750000,0(0.00 %),2600,77750000,500,15000000,73369700,0.09
08/09/2009,-1000,-30300000,0(0.00 %),0,0,1000,30300000,73370700,0.09
09/09/2009,12200,366000000,0(0.00 %),12200,366000000,0,0,73358500,0.09
10/09/2009,200,5900000,29.5(-1.34 %),200,5900000,0,0,73358300,0.09
11/09/2009,5300,156850000,30(1.69 %),5300,156850000,0,0,73353000,0.1
14/09/2009,0,0,30(1.69 %),0,0,0,0,73353000,0.1
15/09/2009,0,0,29.6(-1.66 %),0,0,0,0,73353000,0.1
16/09/2009,6000,179100000,29.6(0.00 %),6000,179100000,0,0,73347000,0.1
17/09/2009,-200,-5900000,29.4(-1.34 %),0,0,200,5900000,73347200,0.1
18/09/2009,0,0,29.3(-0.34 %),0,0,0,0,73347200,0.1
21/09/2009,0,0,29.3(0.34 %),0,0,0,0,73347200,0.1
22/09/2009,0,0,28.7(-1.71 %),0,0,0,0,73347200,0.1
23/09/2009,0,0,29.7(3.12 %),0,0,0,0,73347200,0.1
24/09/2009,33500,977240000,29.3(-2.98 %),38500,1123240000,5000,146000000,73313700,0.12
25/09/2009,13000,377600000,29.2(0.00 %),13000,377600000,0,0,73300700,0.13
28/09/2009,13900,405500000,28.8(-1.03 %),13900,405500000,0,0,73286800,0.14
29/09/2009,600,17520000,28.6(-1.04 %),600,17520000,0,0,73286200,0.14
30/09/2009,17000,476700000,28.1(-2.09 %),22000,619200000,5000,142500000,73269200,0.15
01/10/2009,500,13000000,27.1(-3.90 %),1000,27000000,500,14000000,73268700,0.15
02/10/2009,-51500,-1307360000,26.3(-3.31 %),0,0,51500,1307360000,73320200,0.12
05/10/2009,1100,27600000,27.3(6.64 %),1100,27600000,0,0,73319100,0.12
06/10/2009,30000,867000000,28.9(6.64 %),30000,867000000,0,0,73289100,0.14
07/10/2009,1000,29000000,28.4(-1.73 %),1000,29000000,0,0,73288100,19.68
08/10/2009,0,0,27.9(-3.12 %),0,0,0,0,73217900,0.19
09/10/2009,30000,835790000,28.4(2.53 %),30000,835790000,0,0,73258100,0.16
12/10/2009,5800,164550000,28.6(0.70 %),6800,193750000,1000,29200000,73252300,0.17
13/10/2009,0,0,27.6(-3.83 %),0,0,0,0,73217900,0.19
14/10/2009,0,0,28.4(1.79 %),0,0,0,0,73252300,0.17
15/10/2009,8300,235750000,28.7(2.50 %),10000,284830000,1700,49080000,73244000,0.17
16/10/2009,-19000,-535900000,28(-2.44 %),0,0,19000,535900000,73236900,0.18
19/10/2009,-1800,-50400000,30.2(6.71 %),0,0,1800,50400000,73219700,0.19
20/10/2009,0,0,32.1(7.00 %),0,0,0,0,73217900,0.19
21/10/2009,0,0,34.3(6.85 %),0,0,0,0,73217900,0.19
22/10/2009,5000,179500000,36.7(7.00 %),5000,179500000,0,0,73239000,0.17
23/10/2009,4500,173700000,38.6(6.93 %),4500,173700000,0,0,73213400,0.19
26/10/2009,-42700,-1749080000,40.5(5.19 %),5000,202150000,47700,1951230000,73256100,0.16
27/10/2009,0,0,37.8(-6.90 %),0,0,0,0,73256100,0.16
28/10/2009,0,0,35.3(-6.86 %),0,0,0,0,73256100,0.16
29/10/2009,0,0,32.9(-6.80 %),0,0,0,0,73256100,0.16
30/10/2009,-24600,-744240000,32(-2.74 %),5700,185970000,30300,930210000,73280700,0.15
02/11/2009,8800,266870000,29.6(-6.62 %),9400,285110000,600,18240000,73271900,0.15
03/11/2009,0,0,31.7(6.73 %),0,0,0,0,73271900,0.15
04/11/2009,0,0,33.7(6.98 %),0,0,0,0,73271900,0.15
05/11/2009,-15000,-494500000,33(-1.79 %),0,0,15000,494500000,73286900,0.14
06/11/2009,-4900,-157780000,32(-4.19 %),0,0,4900,157780000,73291800,0.14
09/11/2009,0,0,30.7(-6.97 %),0,0,0,0,73291800,0.14
10/11/2009,0,0,29(-6.45 %),0,0,0,0,73291800,0.14
11/11/2009,3000,88200000,30.3(3.41 %),3000,88200000,0,0,73288800,0.14
12/11/2009,0,0,30.9(4.04 %),0,0,0,0,73288800,0.14
13/11/2009,1000,29800000,30.3(-1.94 %),1000,29800000,0,0,73287800,0.14
16/11/2009,0,0,29.7(-1.98 %),0,0,0,0,73287800,0.14
17/11/2009,-33000,-1052700000,31.9(6.69 %),0,0,33000,1052700000,73320800,0.12
18/11/2009,400,12720000,31.8(0.00 %),400,12720000,0,0,73320400,0.12
19/11/2009,12400,397260000,31.5(-0.32 %),15000,480000000,2600,82740000,73308000,0.13
20/11/2009,25000,794620000,31.3(-1.26 %),25000,794620000,0,0,73283000,0.14
23/11/2009,0,0,29.8(-5.99 %),0,0,0,0,73283000,0.14
24/11/2009,1000,28300000,28.5(-4.36 %),1000,28300000,0,0,73282000,0.15
25/11/2009,7000,187900000,26.7(-6.97 %),10000,268000000,3000,80100000,72760200,0.49
26/11/2009,507800,12795050000,25.2(-6.67 %),514000,12953200000,6200,158150000,72767200,0.49
27/11/2009,0,0,25(-0.79 %),0,0,0,0,72767200,0.49
30/11/2009,0,0,26.7(6.80 %),0,0,0,0,72767200,0.49
01/12/2009,0,0,28.4(6.77 %),0,0,0,0,72767200,0.49
02/12/2009,1050000,28827000000,26.6(-6.01 %),1050000,28827000000,0,0,71717200,1.19
03/12/2009,46000,1197820000,26.3(-2.59 %),46000,1197820000,0,0,71671200,1.22
04/12/2009,204700,5331170000,26.8(2.68 %),204700,5331170000,0,0,71466500,1.36
07/12/2009,-18500,-499520000,26.9(1.89 %),11500,304750000,30000,804270000,71485000,1.34
08/12/2009,-49000,-1309420000,26.1(-2.25 %),10000,261000000,59000,1570420000,71534000,1.31
