Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
22/02/2011,12.53,13.5,-2.5(-15.62 %),14300,207180000,0,0,16.0,16.0,13.0
23/02/2011,12.53,13.5,-1(-6.90 %),9100,126240000,0,0,15.0,15.0,13.5
24/02/2011,12.06,13.0,-0.9(-6.47 %),6500,84500000,0,0,13.0,13.0,13.0
25/02/2011,11.6,12.5,-0.5(-3.85 %),18700,230110000,0,0,13.9,13.9,12.1
28/02/2011,11.14,12.0,-0.3(-2.44 %),7000,84110000,0,0,12.0,12.3,11.9
01/03/2011,10.39,11.2,-0.8(-6.67 %),4800,53760000,0,0,11.2,11.2,11.2
02/03/2011,9.74,10.5,-0.7(-6.25 %),7000,73530000,0,0,10.6,10.6,10.5
03/03/2011,9.28,10.0,-0.5(-4.76 %),6700,66400000,0,0,9.8,10.0,9.8
04/03/2011,8.91,9.6,-0.3(-3.03 %),13500,127000000,0,0,9.5,9.6,9.3
07/03/2011,9.28,10.0,0.6(6.38 %),600,6000000,0,0,10.0,10.0,10.0
08/03/2011,9.93,10.7,0.7(7.00 %),800,8550000,0,0,10.6,10.7,10.6
09/03/2011,10.58,11.4,0.7(6.54 %),8200,93470000,0,0,11.3,11.4,11.3
10/03/2011,11.23,12.1,0.7(6.14 %),8000,96800000,0,0,12.1,12.1,12.1
11/03/2011,11.79,12.7,0.6(4.96 %),39600,507880000,0,0,12.9,12.9,12.5
14/03/2011,11.14,12.0,-0.8(-6.25 %),10900,134660000,0,0,13.5,13.5,12.0
15/03/2011,10.76,11.6,-0.8(-6.45 %),1400,16250000,0,0,11.7,11.7,11.6
16/03/2011,10.02,10.8,-0.8(-6.90 %),1300,14040000,0,0,10.8,10.8,10.8
17/03/2011,9.74,10.5,-0.3(-2.78 %),11500,121850000,0,0,11.5,11.5,10.5
18/03/2011,10.49,11.3,0.7(6.60 %),1000,11000000,0,0,10.8,11.3,10.8
21/03/2011,10.76,11.6,0.6(5.45 %),1600,18580000,0,0,11.6,11.7,11.6
22/03/2011,10.02,10.8,-0.8(-6.90 %),2400,26040000,0,0,11.8,11.8,10.8
23/03/2011,9.93,10.7,-0.2(-1.83 %),2300,24200000,0,0,10.3,10.7,10.2
24/03/2011,9.65,10.4,-0.1(-0.95 %),6500,67500000,0,0,10.2,10.4,10.2
25/03/2011,9.93,10.7,0.3(2.88 %),1100,11800000,0,0,10.7,10.9,10.7
28/03/2011,9.74,10.5,-0.2(-1.87 %),5100,53630000,0,0,11.3,11.3,10.5
29/03/2011,10.02,10.8,0.3(2.86 %),5600,60290000,0,0,10.7,10.9,10.6
30/03/2011,10.02,10.8,0(0.00 %),0,0,0,0,10.8,10.8,10.8
31/03/2011,9.74,10.5,-0.3(-2.78 %),6600,69850000,0,0,11.0,11.0,10.5
01/04/2011,9.84,10.6,0(0.00 %),1300,13780000,0,0,10.6,10.6,10.6
04/04/2011,9.65,10.4,-0.2(-1.89 %),2300,24170000,0,0,10.6,10.6,10.4
