Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
02/06/2010,1000,25600000,0(0.00 %),1000,25600000,0,0,9799000,0.0
03/06/2010,800,19840000,0(0.00 %),800,19840000,0,0,9798200,0.01
04/06/2010,0,0,0(0.00 %),0,0,0,0,9798200,0.01
07/06/2010,0,0,0(0.00 %),0,0,0,0,9798200,0.01
08/06/2010,1200,28300000,0(0.00 %),1200,28300000,0,0,9797000,0.02
09/06/2010,100,2250000,0(0.00 %),100,2250000,0,0,9796900,0.02
10/06/2010,100,2150000,0(0.00 %),100,2150000,0,0,9796800,0.02
11/06/2010,200,4500000,0(0.00 %),200,4500000,0,0,9796600,0.02
14/06/2010,100,2360000,0(0.00 %),100,2360000,0,0,9796500,0.02
15/06/2010,100,2320000,0(0.00 %),100,2320000,0,0,9796400,0.02
16/06/2010,0,0,0(0.00 %),0,0,0,0,9796400,0.02
17/06/2010,0,0,0(0.00 %),0,0,0,0,9796400,0.02
21/06/2010,0,0,0(0.00 %),0,0,0,0,9796400,0.02
22/06/2010,0,0,0(0.00 %),0,0,0,0,9796400,0.02
23/06/2010,20000,456000000,0(0.00 %),20000,456000000,0,0,9776400,0.12
24/06/2010,0,0,0(0.00 %),0,0,0,0,9776400,0.12
25/06/2010,0,0,0(0.00 %),0,0,0,0,9776400,0.12
28/06/2010,0,0,0(0.00 %),0,0,0,0,9776400,0.12
29/06/2010,0,0,0(0.00 %),0,0,0,0,9776400,0.12
30/06/2010,0,0,0(0.00 %),0,0,0,0,9776400,0.12
01/07/2010,0,0,0(0.00 %),0,0,0,0,9776400,0.12
02/07/2010,0,0,0(0.00 %),0,0,0,0,9776400,0.12
05/07/2010,0,0,0(0.00 %),0,0,0,0,9776400,0.12
06/07/2010,0,0,0(0.00 %),0,0,0,0,9776400,0.12
07/07/2010,0,0,0(0.00 %),0,0,0,0,9776400,0.12
08/07/2010,0,0,0(0.00 %),0,0,0,0,9776400,0.12
09/07/2010,0,0,0(0.00 %),0,0,0,0,9776400,0.12
12/07/2010,0,0,0(0.00 %),0,0,0,0,9776400,0.12
13/07/2010,5000,108500000,0(0.00 %),5000,108500000,0,0,9771400,0.14
14/07/2010,0,0,0(0.00 %),0,0,0,0,9771400,0.14
15/07/2010,0,0,0(0.00 %),0,0,0,0,9771400,0.14
16/07/2010,0,0,0(0.00 %),0,0,0,0,9771400,0.14
19/07/2010,0,0,0(0.00 %),0,0,0,0,9771400,0.14
20/07/2010,0,0,0(0.00 %),0,0,0,0,9771400,0.14
21/07/2010,0,0,0(0.00 %),0,0,0,0,9771400,0.14
22/07/2010,0,0,0(0.00 %),0,0,0,0,9771400,0.14
23/07/2010,0,0,0(0.00 %),0,0,0,0,9771400,0.14
26/07/2010,0,0,0(0.00 %),0,0,0,0,9771400,0.14
27/07/2010,0,0,0(0.00 %),0,0,0,0,9771400,0.14
28/07/2010,-1000,-21700000,0(0.00 %),0,0,1000,21700000,9772400,0.14
29/07/2010,0,0,0(0.00 %),0,0,0,0,9772400,0.14
30/07/2010,0,0,0(0.00 %),0,0,0,0,9772400,0.14
02/08/2010,0,0,0(0.00 %),0,0,0,0,9772400,0.14
03/08/2010,0,0,0(0.00 %),0,0,0,0,9772400,0.14
04/08/2010,-5000,-117500000,0(0.00 %),0,0,5000,117500000,9777400,0.11
05/08/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
06/08/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
09/08/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
10/08/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
11/08/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
12/08/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
13/08/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
16/08/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
17/08/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
18/08/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
19/08/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
20/08/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
23/08/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
24/08/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
25/08/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
26/08/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
27/08/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
30/08/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
31/08/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
01/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
06/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
07/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
08/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
09/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
10/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
13/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
14/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
15/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
16/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
17/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
20/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
21/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
22/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
23/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
24/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
27/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
28/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
29/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
30/09/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
01/10/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
04/10/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
05/10/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
06/10/2010,0,0,0(0.00 %),0,0,0,0,9777400,0.11
07/10/2010,100,1730000,0(0.00 %),100,1730000,0,0,9777300,0.11
08/10/2010,0,0,0(0.00 %),0,0,0,0,9777300,0.11
11/10/2010,0,0,0(0.00 %),0,0,0,0,9777300,0.11
12/10/2010,5000,83000000,0(0.00 %),5000,83000000,0,0,9772300,0.14
13/10/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
14/10/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
15/10/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
18/10/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
19/10/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
20/10/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
21/10/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
22/10/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
25/10/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
26/10/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
27/10/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
28/10/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
29/10/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
01/11/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
02/11/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
03/11/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
04/11/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
05/11/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
08/11/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
09/11/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
10/11/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
11/11/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
12/11/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
15/11/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
16/11/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
17/11/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
18/11/2010,0,0,0(0.00 %),0,0,0,0,9772300,0.14
19/11/2010,4000,57200000,0(0.00 %),4000,57200000,0,0,9768300,0.16
22/11/2010,0,0,0(0.00 %),0,0,0,0,9768300,0.16
23/11/2010,0,0,0(0.00 %),0,0,0,0,9768300,0.16
24/11/2010,0,0,0(0.00 %),0,0,0,0,9768300,0.16
25/11/2010,0,0,0(0.00 %),0,0,0,0,9768300,0.16
26/11/2010,500,7150000,0(0.00 %),500,7150000,0,0,9767800,0.16
29/11/2010,0,0,0(0.00 %),0,0,0,0,9767800,0.16
30/11/2010,0,0,0(0.00 %),0,0,0,0,9767800,0.16
01/12/2010,0,0,0(0.00 %),0,0,0,0,9767800,0.16
02/12/2010,0,0,0(0.00 %),0,0,0,0,9767800,0.16
03/12/2010,0,0,0(0.00 %),0,0,0,0,9767800,0.16
06/12/2010,-500,-7600000,0(0.00 %),0,0,500,7600000,9768300,0.16
07/12/2010,0,0,0(0.00 %),0,0,0,0,9768300,0.16
08/12/2010,0,0,0(0.00 %),0,0,0,0,9768300,0.16
09/12/2010,0,0,0(0.00 %),0,0,0,0,9768300,0.16
10/12/2010,0,0,0(0.00 %),0,0,0,0,9768300,0.16
13/12/2010,0,0,0(0.00 %),0,0,0,0,9768300,0.16
14/12/2010,0,0,0(0.00 %),0,0,0,0,9768300,0.16
15/12/2010,0,0,0(0.00 %),0,0,0,0,9768300,0.16
16/12/2010,0,0,0(0.00 %),0,0,0,0,9768300,0.16
17/12/2010,10000,140925000,0(0.00 %),10000,140925000,0,0,9758300,0.21
20/12/2010,0,0,0(0.00 %),0,0,0,0,9758300,0.21
21/12/2010,30650,469513000,0(0.00 %),30650,469513000,0,0,9727650,0.36
22/12/2010,0,0,0(0.00 %),0,0,0,0,9727650,0.36
23/12/2010,0,0,0(0.00 %),0,0,0,0,9727650,0.36
24/12/2010,0,0,0(0.00 %),0,0,0,0,9727650,0.36
27/12/2010,0,0,0(0.00 %),0,0,0,0,9727650,0.36
28/12/2010,0,0,0(0.00 %),0,0,0,0,9727650,0.36
29/12/2010,0,0,0(0.00 %),0,0,0,0,9727650,0.36
30/12/2010,0,0,0(0.00 %),0,0,0,0,9727650,0.36
31/12/2010,0,0,0(0.00 %),0,0,0,0,9727650,0.36
04/01/2011,0,0,0(0.00 %),0,0,0,0,9727650,0.36
05/01/2011,0,0,0(0.00 %),0,0,0,0,9727650,0.36
06/01/2011,4600,64860000,0(0.00 %),4600,64860000,0,0,9723050,0.38
07/01/2011,0,0,0(0.00 %),0,0,0,0,9723050,0.38
10/01/2011,0,0,0(0.00 %),0,0,0,0,9723050,0.38
11/01/2011,5000,73000000,0(0.00 %),5000,73000000,0,0,9718050,0.41
12/01/2011,0,0,0(0.00 %),0,0,0,0,9718050,0.41
13/01/2011,0,0,0(0.00 %),0,0,0,0,9718050,0.41
14/01/2011,-2000,-29400000,0(0.00 %),0,0,2000,29400000,9720050,43.32
17/01/2011,0,0,0(0.00 %),0,0,0,0,9720050,43.32
18/01/2011,0,0,0(0.00 %),0,0,0,0,9718050,0.41
19/01/2011,0,0,0(0.00 %),0,0,0,0,9718050,0.41
20/01/2011,-7000,-119700000,0(0.00 %),0,0,7000,119700000,9725050,0.37
21/01/2011,9000,152200000,0(0.00 %),10000,169000000,1000,16800000,9716050,0.42
24/01/2011,0,0,0(0.00 %),0,0,0,0,9716050,0.42
25/01/2011,0,0,0(0.00 %),0,0,0,0,9716050,0.42
26/01/2011,0,0,0(0.00 %),0,0,0,0,9716050,0.42
27/01/2011,0,0,0(0.00 %),0,0,0,0,9716050,0.42
28/01/2011,-8050,-135345000,0(0.00 %),0,0,8050,135345000,9724100,0.38
08/02/2011,3000,49800000,0(0.00 %),3000,49800000,0,0,9721100,0.39
09/02/2011,-1850,-31440000,0(0.00 %),100,1710000,1950,33150000,9722950,43.3
10/02/2011,0,0,0(0.00 %),0,0,0,0,9722950,0.39
11/02/2011,0,0,0(0.00 %),0,0,0,0,9722950,43.3
14/02/2011,0,0,0(0.00 %),0,0,0,0,9722950,0.39
15/02/2011,0,0,0(0.00 %),0,0,0,0,9722950,0.39
16/02/2011,0,0,0(0.00 %),0,0,0,0,9722950,0.39
17/02/2011,0,0,0(0.00 %),0,0,0,0,9722950,0.39
18/02/2011,0,0,0(0.00 %),0,0,0,0,9722950,0.39
21/02/2011,0,0,0(0.00 %),0,0,0,0,9722950,0.39
22/02/2011,0,0,0(0.00 %),0,0,0,0,9722950,0.39
23/02/2011,0,0,0(0.00 %),0,0,0,0,9722950,0.39
24/02/2011,1000,12900000,0(0.00 %),1000,12900000,0,0,9721950,0.39
25/02/2011,0,0,0(0.00 %),0,0,0,0,9721950,0.39
28/02/2011,0,0,0(0.00 %),0,0,0,0,9721950,0.39
01/03/2011,0,0,0(0.00 %),0,0,0,0,9721950,0.39
02/03/2011,0,0,0(0.00 %),0,0,0,0,9721950,0.39
03/03/2011,-1000,-11870000,0(0.00 %),0,0,1000,11870000,0,0.0
04/03/2011,0,0,0(0.00 %),0,0,0,0,0,0.0
07/03/2011,0,0,0(0.00 %),0,0,0,0,0,0.0
08/03/2011,0,0,0(0.00 %),0,0,0,0,0,0.0
09/03/2011,0,0,0(0.00 %),0,0,0,0,0,0.0
10/03/2011,-10000,-118000000,0(0.00 %),0,0,10000,118000000,0,0.0
11/03/2011,0,0,0(0.00 %),0,0,0,0,0,0.0
14/03/2011,0,0,0(0.00 %),0,0,0,0,0,0.0
15/03/2011,0,0,0(0.00 %),0,0,0,0,0,0.0
16/03/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
17/03/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
18/03/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
21/03/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
22/03/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
23/03/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
24/03/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
25/03/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
28/03/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
29/03/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
30/03/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
31/03/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
01/04/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
04/04/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
05/04/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
06/04/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
07/04/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
08/04/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
13/04/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
14/04/2011,0,0,0(0.00 %),0,0,0,0,9734950,0.33
