Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
16/02/2009,2.9,20.3,1.3(6.84 %),1200,23060000,0,0,19.0,20.3,19.0
17/02/2009,2.84,19.9,0.7(3.65 %),200,3980000,0,0,19.9,19.9,19.9
18/02/2009,2.85,20.0,0.1(0.50 %),100,2000000,0,0,20.0,20.0,20.0
19/02/2009,2.85,20.0,0(0.00 %),0,0,0,0,20.0,20.0,20.0
20/02/2009,2.85,20.0,0(0.00 %),0,0,0,0,20.0,20.0,20.0
23/02/2009,2.85,20.0,0(0.00 %),100,2000000,0,0,20.0,20.0,20.0
24/02/2009,2.85,20.0,0(0.00 %),0,0,0,0,20.0,20.0,20.0
25/02/2009,2.85,20.0,0(0.00 %),0,0,0,0,20.0,20.0,20.0
26/02/2009,3.0,21.0,1(5.00 %),100,2100000,0,0,20.0,21.0,21.0
27/02/2009,3.0,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
02/03/2009,3.07,21.5,0.5(2.38 %),100,2150000,0,0,21.0,21.5,21.5
03/03/2009,3.07,21.5,0(0.00 %),0,0,0,0,21.5,21.5,21.5
04/03/2009,3.07,21.5,0(0.00 %),0,0,0,0,21.5,21.5,21.5
05/03/2009,3.07,21.5,0(0.00 %),100,2150000,0,0,21.5,21.5,21.5
06/03/2009,3.07,21.5,0(0.00 %),0,0,0,0,21.5,21.5,21.5
09/03/2009,3.07,21.5,0(0.00 %),0,0,0,0,21.5,21.5,21.5
10/03/2009,3.0,21.0,-0.5(-2.33 %),100,2100000,0,0,21.5,21.0,21.0
11/03/2009,3.0,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
12/03/2009,3.0,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
13/03/2009,3.0,21.0,0(0.00 %),0,0,0,0,21.0,21.0,21.0
16/03/2009,2.85,20.0,-1(-4.76 %),100,2000000,0,0,21.0,20.0,20.0
17/03/2009,2.85,20.0,0(0.00 %),0,0,0,0,20.0,20.0,20.0
18/03/2009,2.78,19.5,-0.5(-2.50 %),100,1950000,0,0,20.0,19.5,19.5
19/03/2009,2.78,19.5,0(0.00 %),0,0,0,0,19.5,19.5,19.5
20/03/2009,2.71,19.0,-0.5(-2.56 %),100,1900000,0,0,19.5,19.0,19.0
23/03/2009,2.57,18.0,-1(-5.26 %),100,1800000,0,0,19.0,18.0,18.0
24/03/2009,2.57,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
25/03/2009,2.57,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
26/03/2009,2.57,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
27/03/2009,2.57,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
30/03/2009,2.57,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
31/03/2009,2.42,17.0,-1(-5.56 %),100,1700000,0,0,17.0,17.0,17.0
01/04/2009,2.42,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
02/04/2009,2.42,17.0,0(0.00 %),0,0,0,0,17.0,17.0,17.0
03/04/2009,2.28,16.0,-1(-5.88 %),100,1600000,0,0,16.0,16.0,16.0
07/04/2009,2.28,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
08/04/2009,2.28,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
09/04/2009,2.28,16.0,0(0.00 %),0,0,0,0,16.0,16.0,16.0
10/04/2009,2.44,17.1,1.1(6.88 %),100,1710000,0,0,17.1,17.1,17.1
13/04/2009,2.57,18.0,0.9(5.26 %),1200,21200000,0,0,16.0,18.0,16.0
14/04/2009,2.7,18.9,1.2(6.78 %),100,1890000,0,0,18.9,18.9,18.9
15/04/2009,2.7,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
16/04/2009,2.7,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
17/04/2009,2.7,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
20/04/2009,2.7,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
21/04/2009,2.7,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
22/04/2009,2.7,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
23/04/2009,2.7,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
24/04/2009,2.7,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
27/04/2009,2.7,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
28/04/2009,2.7,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
29/04/2009,2.7,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
04/05/2009,2.7,18.9,0(0.00 %),0,0,0,0,18.9,18.9,18.9
