Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
15/08/2016,12.08,18.0,3.7(25.87 %),900,16200000,0,0,18.0,18.0,18.0
16/08/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
17/08/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
18/08/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
19/08/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
22/08/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
23/08/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
24/08/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
25/08/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
26/08/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
29/08/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
30/08/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
31/08/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
01/09/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
05/09/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
06/09/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
07/09/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
08/09/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
09/09/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
12/09/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
13/09/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
14/09/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
15/09/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
16/09/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
19/09/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
20/09/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
21/09/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
22/09/2016,12.08,18.0,0(0.00 %),0,0,0,0,18.0,18.0,18.0
23/09/2016,7.25,10.8,-7.2(-40.00 %),100,1080000,0,0,10.8,10.8,10.8
26/09/2016,7.25,10.8,0(0.00 %),1800,19440000,0,0,10.8,10.8,10.8
27/09/2016,7.25,10.8,0(0.00 %),0,0,0,0,10.8,10.8,10.8
28/09/2016,8.32,12.4,1.6(14.81 %),100,1240000,0,0,12.4,12.4,12.4
29/09/2016,7.18,10.7,-1.7(-13.71 %),1800,19210000,0,0,10.6,10.7,10.6
30/09/2016,7.72,11.5,0.8(7.48 %),3000,33400000,0,0,10.8,11.5,10.8
03/10/2016,7.45,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
04/10/2016,7.45,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
05/10/2016,8.53,12.7,1.6(14.41 %),500,6350000,0,0,12.7,12.7,12.7
06/10/2016,8.53,12.7,0(0.00 %),0,0,0,0,12.7,12.7,12.7
07/10/2016,7.38,11.0,-1.7(-13.39 %),100,1100000,0,0,11.0,11.0,11.0
10/10/2016,8.46,12.6,1.6(14.55 %),800,10080000,0,0,12.6,12.6,12.6
11/10/2016,7.38,11.0,-1.6(-12.70 %),100,1100000,0,0,11.0,11.0,11.0
12/10/2016,7.38,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
13/10/2016,7.38,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
14/10/2016,7.38,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
17/10/2016,8.46,12.6,1.6(14.55 %),300,3780000,0,0,12.6,12.6,12.6
18/10/2016,8.73,13.0,0.4(3.17 %),200,2600000,0,0,13.0,13.0,13.0
19/10/2016,8.73,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
20/10/2016,7.45,11.1,-1.9(-14.62 %),100,1110000,0,0,11.1,11.1,11.1
21/10/2016,7.45,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
24/10/2016,7.45,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
25/10/2016,7.45,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
26/10/2016,7.45,11.1,0(0.00 %),0,0,0,0,11.1,11.1,11.1
27/10/2016,8.53,12.7,1.6(14.41 %),100,1270000,0,0,12.7,12.7,12.7
28/10/2016,8.53,12.7,0(0.00 %),0,0,0,0,12.7,12.7,12.7
31/10/2016,8.53,12.7,0(0.00 %),0,0,0,0,12.7,12.7,12.7
01/11/2016,8.53,12.7,0(0.00 %),0,0,0,0,12.7,12.7,12.7
02/11/2016,9.33,13.9,1.2(9.45 %),800,11120000,0,0,13.9,13.9,13.9
03/11/2016,9.33,13.9,0(0.00 %),0,0,0,0,13.9,13.9,13.9
04/11/2016,9.33,13.9,0(0.00 %),1400,19680000,0,0,14.3,14.3,13.9
07/11/2016,9.46,14.1,0(0.00 %),0,0,0,0,14.1,14.1,14.1
08/11/2016,8.06,12.0,-2.1(-14.89 %),800,9630000,0,0,12.1,12.1,12.0
09/11/2016,8.06,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
10/11/2016,8.06,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
11/11/2016,8.06,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
14/11/2016,8.06,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
15/11/2016,8.06,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
16/11/2016,8.06,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
17/11/2016,8.12,12.1,0.1(0.83 %),100,1210000,0,0,12.1,12.1,12.1
18/11/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
21/11/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
22/11/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
23/11/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
24/11/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
25/11/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
28/11/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
29/11/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
30/11/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
01/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
02/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
05/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
06/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
07/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
08/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
09/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
12/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
13/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
14/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
15/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
16/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
19/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
20/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
21/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
22/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
23/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
26/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
27/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
28/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
29/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
30/12/2016,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
03/01/2017,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
04/01/2017,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
05/01/2017,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
06/01/2017,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
09/01/2017,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
10/01/2017,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
11/01/2017,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
12/01/2017,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
13/01/2017,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
16/01/2017,8.12,12.1,0(0.00 %),0,0,0,0,12.1,12.1,12.1
