Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
18/02/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
19/02/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
22/02/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
23/02/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
24/02/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
25/02/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
26/02/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
29/02/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
01/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
02/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
03/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
04/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
07/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
08/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
09/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
10/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
11/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
14/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
15/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
16/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
17/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
18/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
21/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
22/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
23/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
24/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
25/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
28/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
29/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
30/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
31/03/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
01/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
04/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
05/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
06/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
07/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
08/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
11/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
12/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
13/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
14/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
15/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
19/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
20/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
21/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
22/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
25/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
26/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
27/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
28/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
29/04/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
04/05/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
05/05/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
06/05/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
09/05/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
10/05/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
11/05/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
12/05/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
13/05/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
16/05/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
17/05/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
18/05/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
19/05/2016,13.0,13.0,0(0.00 %),0,0,0,0,13.0,13.0,13.0
20/05/2016,10.0,10.0,-3(-23.08 %),200,2000000,0,0,10.0,10.0,10.0
23/05/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
24/05/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
25/05/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
26/05/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
27/05/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
30/05/2016,10.0,10.0,0(0.00 %),800,8000000,0,0,10.0,10.0,10.0
31/05/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
01/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
02/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
03/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
06/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
07/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
08/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
09/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
10/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
13/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
14/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
15/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
16/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
17/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
20/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
21/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
22/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
23/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
24/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
27/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
28/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
29/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
30/06/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
01/07/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
04/07/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
05/07/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
06/07/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
07/07/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
08/07/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
11/07/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
12/07/2016,10.0,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
