Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
14/06/2007,100,20000000,181.5(0.00 %),100,20000000,0,0,0,0.0
15/06/2007,0,0,189(4.13 %),0,0,0,0,0,0.0
18/06/2007,600,122700000,205.5(8.62 %),600,122700000,0,0,0,0.0
19/06/2007,0,0,224.2(9.96 %),0,0,0,0,0,0.0
20/06/2007,0,0,246.4(10.00 %),0,0,0,0,0,0.0
21/06/2007,0,0,271(9.98 %),0,0,0,0,0,0.0
22/06/2007,100,29810000,258(-4.80 %),100,29810000,0,0,0,0.0
25/06/2007,100,25880000,258.8(-9.98 %),100,25880000,0,0,0,0.0
26/06/2007,0,0,236(-9.44 %),0,0,0,0,0,0.0
27/06/2007,5000,1115150000,223(-5.95 %),5000,1115150000,0,0,0,0.0
28/06/2007,100,23000000,243.5(9.98 %),100,23000000,0,0,0,0.0
29/06/2007,0,0,254.2(10.00 %),0,0,0,0,0,0.0
02/07/2007,0,0,240(-5.03 %),0,0,0,0,0,0.0
03/07/2007,300,73500000,240(-4.15 %),300,73500000,0,0,0,0.0
04/07/2007,0,0,255(5.33 %),0,0,0,0,0,0.0
05/07/2007,2000,486750000,244(-3.75 %),2000,486750000,0,0,0,0.0
06/07/2007,0,0,245(0.91 %),0,0,0,0,0,0.0
09/07/2007,100,24200000,240(-0.99 %),100,24200000,0,0,0,0.0
10/07/2007,1000,248500000,243(0.41 %),1000,248500000,0,0,0,0.0
11/07/2007,100,24300000,241.5(0.50 %),100,24300000,0,0,0,0.0
12/07/2007,1100,265260000,240(-0.74 %),1100,265260000,0,0,0,0.0
13/07/2007,100,24000000,237.5(-1.33 %),100,24000000,0,0,0,0.0
16/07/2007,0,0,228(-3.63 %),0,0,0,0,0,0.0
17/07/2007,-100,-22700000,229(0.62 %),0,0,100,22700000,0,0.0
18/07/2007,-200,-45400000,228.1(-0.18 %),0,0,200,45400000,0,0.0
19/07/2007,0,0,223.9(-1.41 %),0,0,0,0,0,0.0
20/07/2007,-600,-133200000,216(-3.79 %),0,0,600,133200000,0,0.0
23/07/2007,0,0,215(-1.10 %),0,0,0,0,0,0.0
24/07/2007,0,0,213.5(-1.16 %),0,0,0,0,0,0.0
25/07/2007,0,0,203(-3.75 %),0,0,0,0,0,0.0
26/07/2007,100,20000000,189(-8.07 %),100,20000000,0,0,0,0.0
27/07/2007,0,0,185.7(-3.63 %),0,0,0,0,0,0.0
30/07/2007,1400,252690000,192(4.35 %),1400,252690000,0,0,0,0.0
31/07/2007,0,0,193.1(4.10 %),0,0,0,0,0,0.0
01/08/2007,0,0,209.2(9.99 %),0,0,0,0,0,0.0
02/08/2007,0,0,188.2(-10.00 %),0,0,0,0,0,0.0
03/08/2007,0,0,200(-7.32 %),0,0,0,0,0,0.0
06/08/2007,0,0,194.5(-2.94 %),0,0,0,0,0,0.0
07/08/2007,0,0,208(5.00 %),0,0,0,0,0,0.0
08/08/2007,0,0,204(1.24 %),0,0,0,0,0,0.0
09/08/2007,0,0,208(2.87 %),0,0,0,0,0,0.0
10/08/2007,0,0,200(-3.75 %),0,0,0,0,0,0.0
13/08/2007,0,0,196.7(-1.60 %),0,0,0,0,0,0.0
14/08/2007,0,0,196.7(0.00 %),0,0,0,0,0,0.0
15/08/2007,0,0,198(0.76 %),0,0,0,0,0,0.0
16/08/2007,3600,713520000,198(-0.10 %),3600,713520000,0,0,0,0.0
17/08/2007,0,0,190.1(-4.14 %),0,0,0,0,0,0.0
20/08/2007,0,0,197(3.41 %),0,0,0,0,0,0.0
21/08/2007,0,0,193.1(-0.82 %),0,0,0,0,0,0.0
22/08/2007,0,0,194(-0.72 %),0,0,0,0,0,0.0
23/08/2007,0,0,191(-1.70 %),0,0,0,0,0,0.0
24/08/2007,0,0,191(-0.57 %),0,0,0,0,0,0.0
27/08/2007,0,0,195.3(0.10 %),0,0,0,0,0,0.0
28/08/2007,0,0,201.9(0.00 %),0,0,0,0,0,0.0
29/08/2007,0,0,198(-1.93 %),0,0,0,0,0,0.0
30/08/2007,200,40020000,197(-0.81 %),200,40020000,0,0,0,0.0
31/08/2007,500,99300000,199.9(1.16 %),500,99300000,0,0,0,0.0
04/09/2007,1000,200600000,202(1.35 %),1000,200600000,0,0,0,0.0
05/09/2007,0,0,200(-0.40 %),0,0,0,0,0,0.0
06/09/2007,0,0,199.9(-0.05 %),0,0,0,0,0,0.0
07/09/2007,-400,-80500000,201(-0.10 %),0,0,400,80500000,0,0.0
10/09/2007,0,0,215(6.70 %),0,0,0,0,0,0.0
11/09/2007,5000,1102450000,218(4.76 %),5000,1102450000,0,0,0,0.0
12/09/2007,0,0,226.5(3.42 %),0,0,0,0,0,0.0
13/09/2007,1500,347100000,225.2(-0.49 %),1500,347100000,0,0,0,0.0
14/09/2007,0,0,216(-4.72 %),0,0,0,0,0,0.0
17/09/2007,300,67800000,220(1.38 %),300,67800000,0,0,0,0.0
18/09/2007,0,0,222(2.21 %),0,0,0,0,0,0.0
19/09/2007,0,0,226.5(1.89 %),0,0,0,0,0,0.0
20/09/2007,1400,319690000,226(-0.22 %),1400,319690000,0,0,0,0.0
21/09/2007,200,45400000,228(-0.44 %),200,45400000,0,0,0,0.0
24/09/2007,0,0,235(4.26 %),0,0,0,0,0,0.0
25/09/2007,0,0,242(4.76 %),0,0,0,0,0,0.0
26/09/2007,0,0,247.5(2.83 %),0,0,0,0,0,0.0
27/09/2007,0,0,248(1.02 %),0,0,0,0,0,0.0
28/09/2007,0,0,267(7.92 %),0,0,0,0,0,0.0
01/10/2007,0,0,282.1(9.98 %),0,0,0,0,0,0.0
02/10/2007,300,85300000,285.2(1.68 %),300,85300000,0,0,0,0.0
03/10/2007,0,0,274.9(-3.68 %),0,0,0,0,0,0.0
04/10/2007,0,0,273.2(0.11 %),0,0,0,0,0,0.0
05/10/2007,0,2850000,267.9(-1.54 %),300,81600000,300,78750000,0,0.0
08/10/2007,0,0,263(-2.16 %),0,0,0,0,0,0.0
09/10/2007,0,0,263(-2.19 %),0,0,0,0,0,0.0
10/10/2007,0,0,275(4.29 %),0,0,0,0,0,0.0
11/10/2007,0,0,295(9.99 %),0,0,0,0,0,0.0
12/10/2007,0,0,320.5(9.99 %),0,0,0,0,0,0.0
15/10/2007,-300,-105150000,350.5(9.98 %),0,0,300,105150000,0,0.0
16/10/2007,-1100,-418000000,384.6(9.98 %),0,0,1100,418000000,0,0.0
17/10/2007,2000,832640000,361(-5.82 %),2000,832640000,0,0,0,0.0
18/10/2007,-2600,-900400000,355(-6.23 %),0,0,2600,900400000,0,0.0
19/10/2007,-4500,-1579790000,385.1(10.00 %),0,0,4500,1579790000,0,0.0
22/10/2007,-5800,-2216110000,392(4.84 %),0,0,5800,2216110000,0,0.0
23/10/2007,-100,-39500000,394(1.52 %),0,0,100,39500000,0,0.0
24/10/2007,-3100,-1246260000,399(0.96 %),800,316300000,3900,1562560000,0,0.0
25/10/2007,300,116240000,392(-1.83 %),800,317200000,500,200960000,0,0.0
26/10/2007,-1900,-692710000,365(-8.68 %),0,0,1900,692710000,0,0.0
29/10/2007,0,0,340(-7.73 %),0,0,0,0,0,0.0
30/10/2007,0,0,337(-2.18 %),0,0,0,0,0,0.0
31/10/2007,-600,-216000000,360(6.64 %),0,0,600,216000000,0,0.0
01/11/2007,0,0,380(4.34 %),0,0,0,0,0,0.0
02/11/2007,0,0,360(-5.11 %),0,0,0,0,0,0.0
05/11/2007,400,145070000,358(-2.24 %),400,145070000,0,0,0,0.0
06/11/2007,1000,357700000,359(0.31 %),1000,357700000,0,0,0,0.0
07/11/2007,500,180500000,357(-0.36 %),500,180500000,0,0,0,0.0
08/11/2007,-300,-106500000,355(-1.33 %),0,0,300,106500000,0,0.0
09/11/2007,0,0,356.8(-0.31 %),0,0,0,0,0,0.0
12/11/2007,0,0,343.2(-1.91 %),0,0,0,0,0,0.0
13/11/2007,0,0,314(-9.98 %),0,0,0,0,0,0.0
14/11/2007,0,0,342(7.78 %),0,0,0,0,0,0.0
15/11/2007,0,0,340(-2.27 %),0,0,0,0,0,0.0
16/11/2007,0,0,335(0.51 %),0,0,0,0,0,0.0
19/11/2007,0,0,341(2.62 %),0,0,0,0,0,0.0
20/11/2007,0,0,336.1(-1.00 %),0,0,0,0,0,0.0
21/11/2007,0,0,336(-0.03 %),0,0,0,0,0,0.0
22/11/2007,0,0,335.7(0.09 %),0,0,0,0,0,0.0
23/11/2007,0,0,340(-0.03 %),0,0,0,0,0,0.0
26/11/2007,0,0,342.3(0.44 %),0,0,0,0,0,0.0
27/11/2007,1500,511500000,341(-0.55 %),1500,511500000,0,0,0,0.0
28/11/2007,0,0,343.9(0.56 %),0,0,0,0,0,0.0
29/11/2007,0,0,342.5(0.32 %),0,0,0,0,0,0.0
30/11/2007,300,103500000,346(0.58 %),300,103500000,0,0,0,0.0
03/12/2007,200,69600000,346.2(0.44 %),200,69600000,0,0,0,0.0
04/12/2007,0,0,348(0.26 %),0,0,0,0,0,0.0
05/12/2007,0,0,341.5(-2.84 %),0,0,0,0,0,0.0
06/12/2007,-300,-102300000,349(1.75 %),0,0,300,102300000,0,0.0
07/12/2007,0,0,343(-0.12 %),0,0,0,0,0,0.0
