Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
14/12/2006,12.25,28.0,0(0.00 %),2000,56000000,0,0,28.0,28.0,28.0
15/12/2006,13.13,30.0,2(7.14 %),500,15000000,0,0,30.0,30.0,30.0
18/12/2006,13.13,30.0,0(0.00 %),0,0,0,0,30.0,30.0,30.0
19/12/2006,13.13,30.0,0(0.00 %),0,0,0,0,30.0,30.0,30.0
20/12/2006,11.86,27.1,-2.9(-9.67 %),500,13550000,0,0,27.1,27.1,27.1
21/12/2006,11.6,26.5,-0.6(-2.21 %),200,5300000,0,0,26.5,26.5,26.5
22/12/2006,10.94,25.0,-1.5(-5.66 %),2000,50000000,0,0,25.0,25.0,25.0
25/12/2006,9.85,22.5,-2.5(-10.00 %),500,11250000,0,0,22.5,22.5,22.5
26/12/2006,9.19,21.0,-1.5(-6.67 %),7500,163650000,0,0,22.0,24.0,21.0
27/12/2006,9.54,21.8,0(0.00 %),3300,68700000,0,0,20.0,21.8,20.0
28/12/2006,9.98,22.8,2(9.62 %),3200,65760000,0,0,20.0,22.8,20.0
29/12/2006,8.97,20.5,-0.1(-0.49 %),3700,80140000,0,0,22.0,22.0,20.5
02/01/2007,10.42,23.8,2.1(9.68 %),700,16660000,0,0,23.8,23.8,23.8
03/01/2007,10.59,24.2,0.4(1.68 %),1200,0,0,0,24.0,24.5,24.0
04/01/2007,10.59,24.2,0(0.00 %),1000,24200000,0,0,24.2,24.2,24.2
05/01/2007,11.38,26.0,1.8(7.44 %),1000,0,0,0,26.0,26.0,26.0
08/01/2007,11.38,26.0,0(0.00 %),0,0,0,0,26.0,26.0,26.0
09/01/2007,11.38,26.0,0(0.00 %),0,0,0,0,26.0,26.0,26.0
10/01/2007,10.72,24.5,-1.5(-5.77 %),500,12250000,0,0,24.5,24.5,24.5
11/01/2007,10.72,24.5,-1.5(-5.77 %),0,0,0,0,26.0,26.0,26.0
12/01/2007,10.72,24.5,0(0.00 %),0,0,0,0,24.5,24.5,24.5
15/01/2007,9.67,22.1,-2.4(-9.80 %),500,11050000,0,0,22.1,22.1,22.1
16/01/2007,10.28,23.5,1.4(6.33 %),3000,70500000,0,0,23.5,23.5,23.5
17/01/2007,10.28,23.5,1.4(6.33 %),0,0,0,0,22.1,22.1,22.1
18/01/2007,10.5,24.0,0.5(2.13 %),1000,24000000,0,0,24.0,24.0,24.0
19/01/2007,11.55,26.4,2.4(10.00 %),3600,95040000,0,0,26.4,26.4,26.4
22/01/2007,12.69,29.0,2.6(9.85 %),12600,361900000,0,0,27.6,29.0,27.6
23/01/2007,12.91,29.5,0.8(2.79 %),7200,220750000,0,0,31.5,31.5,29.5
24/01/2007,13.13,30.0,-0.7(-2.28 %),3600,113250000,0,0,31.5,31.5,30.0
25/01/2007,13.78,31.5,0(0.00 %),0,0,0,0,31.5,31.5,31.5
26/01/2007,12.43,28.4,-3.1(-9.84 %),600,17040000,0,0,28.4,28.4,28.4
29/01/2007,12.43,28.4,0(0.00 %),1000,28400000,0,0,28.4,28.4,28.4
30/01/2007,13.35,30.5,2.1(7.39 %),8500,251200000,0,0,29.5,31.0,27.0
31/01/2007,12.95,29.6,0(0.00 %),1100,32650000,0,0,30.5,30.5,29.6
01/02/2007,13.13,30.0,0.3(1.01 %),500,15000000,0,0,30.0,30.0,30.0
02/02/2007,13.13,30.0,0(0.00 %),2500,77400000,0,0,30.0,33.0,30.0
05/02/2007,13.13,30.0,-1(-3.23 %),600,18000000,0,0,30.0,30.0,30.0
06/02/2007,13.13,30.0,0(0.00 %),0,0,0,0,30.0,30.0,30.0
07/02/2007,12.91,29.5,-0.5(-1.67 %),1200,35400000,0,0,29.5,29.5,29.5
08/02/2007,12.69,29.0,-0.5(-1.69 %),1000,29420000,0,0,30.0,30.0,29.0
09/02/2007,12.87,29.4,0(0.00 %),0,0,0,0,29.4,29.4,29.4
12/02/2007,12.69,29.0,-0.4(-1.36 %),1000,29200000,0,0,29.4,29.4,29.0
13/02/2007,12.78,29.2,0(0.00 %),0,0,0,0,29.2,29.2,29.2
14/02/2007,12.78,29.2,0(0.00 %),100,2920000,0,0,29.2,29.2,29.2
15/02/2007,13.13,30.0,0.8(2.74 %),900,26800000,0,0,29.0,30.0,29.0
26/02/2007,14.31,32.7,2.9(9.73 %),5300,169240000,0,0,30.0,32.7,30.0
27/02/2007,13.35,30.5,-1.4(-4.39 %),5100,160060000,0,0,34.1,34.2,30.5
28/02/2007,14.97,34.2,2.8(8.92 %),8500,290630000,0,0,34.5,34.5,34.0
01/03/2007,16.45,37.6,3.4(9.94 %),5100,184360000,0,0,36.0,37.6,35.7
02/03/2007,17.29,39.5,3.4(9.42 %),9100,358770000,0,0,39.7,39.7,38.0
05/03/2007,18.95,43.3,3.9(9.90 %),1100,47630000,0,0,43.3,43.3,43.3
06/03/2007,20.83,47.6,4.3(9.93 %),900,42840000,0,0,47.6,47.6,47.6
07/03/2007,22.89,52.3,4.7(9.87 %),5100,266730000,0,0,52.3,52.3,52.3
08/03/2007,25.16,57.5,5.2(9.94 %),3500,201250000,0,0,57.5,57.5,57.5
09/03/2007,27.66,63.2,5.7(9.91 %),8900,562480000,0,0,63.2,63.2,63.2
12/03/2007,28.44,65.0,1.8(2.85 %),12000,829700000,0,0,69.5,69.5,65.0
13/03/2007,30.19,69.0,-0.1(-0.14 %),6000,417190000,0,0,65.4,75.0,65.4
14/03/2007,27.39,62.6,-6.9(-9.93 %),2500,159900000,0,0,62.6,70.0,62.6
15/03/2007,25.21,57.6,-6.4(-10.00 %),2200,126720000,0,0,57.6,57.6,57.6
16/03/2007,23.19,53.0,-4.6(-7.99 %),16100,842770000,0,0,51.9,53.0,51.9
19/03/2007,25.16,57.5,5.2(9.94 %),3300,189750000,0,0,57.5,57.5,57.5
20/03/2007,27.66,63.2,5.7(9.91 %),10800,682560000,0,0,63.2,63.2,63.2
21/03/2007,28.88,66.0,2.8(4.43 %),2700,180300000,0,0,69.5,69.5,63.0
22/03/2007,26.34,60.2,4.8(8.66 %),3600,216720000,0,0,60.2,60.2,60.2
23/03/2007,24.07,55.0,-5.2(-8.64 %),3300,182740000,0,0,60.2,60.2,54.2
26/03/2007,21.84,49.9,-5.5(-9.93 %),4000,200610000,0,0,52.3,52.3,49.9
27/03/2007,21.97,50.2,0(0.00 %),0,0,0,0,50.2,50.2,50.2
28/03/2007,21.97,50.0,0(0.00 %),9900,451880000,0,0,45.0,50.0,45.0
29/03/2007,22.01,50.1,4.5(9.87 %),1800,90180000,0,0,50.1,50.1,50.1
30/03/2007,22.85,52.0,1.9(3.79 %),4600,247900000,0,0,55.1,55.1,52.0
02/04/2007,23.29,53.0,-0.9(-1.67 %),1700,92710000,0,0,55.0,59.2,52.5
03/04/2007,21.57,49.1,-5.4(-9.91 %),600,29460000,0,0,49.1,49.1,49.1
04/04/2007,21.53,49.0,-0.1(-0.20 %),1000,49250000,0,0,49.1,50.0,49.0
05/04/2007,21.97,50.0,0.7(1.42 %),700,35000000,0,0,50.0,50.0,50.0
06/04/2007,19.77,45.0,-5(-10.00 %),500,22600000,0,0,46.0,46.0,45.0
09/04/2007,19.77,45.0,-0.2(-0.44 %),200,9000000,0,0,45.0,45.0,45.0
10/04/2007,18.01,41.0,-4(-8.89 %),1500,65600000,0,0,45.0,45.0,41.0
11/04/2007,17.49,39.8,-3.9(-8.92 %),5800,232500000,0,0,42.0,42.0,39.4
12/04/2007,16.12,36.7,-3.4(-8.48 %),5800,223420000,0,0,40.0,40.0,36.7
13/04/2007,15.82,36.0,-2.5(-6.49 %),2900,105420000,0,0,36.5,38.0,36.0
16/04/2007,17.57,40.0,3.6(9.89 %),600,22000000,0,0,35.0,40.0,35.0
17/04/2007,14.54,33.1,-3.6(-9.81 %),1100,37390000,0,0,34.5,34.5,33.1
18/04/2007,16.43,37.4,3.4(10.00 %),800,29240000,0,0,30.6,37.4,30.6
19/04/2007,17.35,39.5,2.9(7.92 %),1700,67890000,0,0,40.0,40.1,39.5
20/04/2007,19.11,43.5,3.6(9.02 %),5300,225170000,0,0,42.0,43.5,41.9
23/04/2007,17.14,39.0,-3.5(-8.24 %),2500,97860000,0,0,39.2,39.2,39.0
24/04/2007,17.18,39.1,0(0.00 %),3400,132700000,0,0,39.0,39.1,39.0
25/04/2007,18.85,42.9,3.9(10.00 %),1100,43350000,0,0,39.3,42.9,39.0
02/05/2007,18.01,41.0,1.6(4.06 %),1200,48800000,0,0,40.6,41.0,40.6
03/05/2007,17.57,40.0,-0.7(-1.72 %),1000,40000000,0,0,40.0,40.0,40.0
04/05/2007,18.89,43.0,3(7.50 %),700,28500000,0,0,39.0,43.0,39.0
07/05/2007,17.35,39.5,-1.2(-2.95 %),200,7900000,0,0,39.5,39.5,39.5
08/05/2007,18.45,42.0,2.5(6.33 %),500,21000000,0,0,42.0,42.0,42.0
09/05/2007,18.41,41.9,-0.1(-0.24 %),100,4190000,0,0,41.9,41.9,41.9
10/05/2007,18.23,41.5,-0.4(-0.95 %),100,0,0,0,41.5,41.5,41.5
11/05/2007,18.23,41.5,0(0.00 %),0,0,0,0,41.5,41.5,41.5
14/05/2007,18.23,41.5,0(0.00 %),1800,74200000,0,0,41.0,41.5,41.0
15/05/2007,18.23,41.5,0.3(0.73 %),400,16300000,0,0,40.0,41.5,40.0
16/05/2007,17.93,40.8,0(0.00 %),100,4080000,0,0,40.8,40.8,40.8
17/05/2007,17.93,40.8,0(0.00 %),0,0,0,0,40.8,40.8,40.8
18/05/2007,17.53,39.9,-0.9(-2.21 %),1600,63210000,0,0,39.0,39.9,39.0
21/05/2007,18.45,42.0,2.5(6.33 %),3200,135290000,0,0,40.0,42.9,40.0
22/05/2007,20.43,46.5,4.2(9.93 %),6100,280100000,0,0,43.0,46.5,43.0
23/05/2007,22.14,50.4,4.5(9.80 %),6100,307440000,0,0,50.4,50.4,50.4
24/05/2007,21.62,49.2,-1.2(-2.38 %),2300,0,0,0,52.0,52.0,47.0
25/05/2007,21.09,48.0,-1.2(-2.44 %),500,24000000,0,0,48.0,48.0,48.0
28/05/2007,23.2,52.8,4.8(10.00 %),6200,323580000,0,0,50.0,52.8,50.0
29/05/2007,25.22,57.4,5.2(9.96 %),23300,1332790000,0,0,57.4,57.4,54.0
30/05/2007,25.13,57.2,0(0.00 %),7400,429110000,0,0,57.0,61.0,56.0
31/05/2007,24.82,56.5,-1.5(-2.59 %),4800,271200000,0,0,56.5,57.0,55.0
01/06/2007,23.2,52.8,-3.7(-6.55 %),2800,152550000,0,0,55.0,55.5,52.8
04/06/2007,23.73,54.0,-0.5(-0.92 %),3100,163400000,0,0,52.5,54.0,52.0
05/06/2007,20.91,47.6,-5.1(-9.68 %),6700,336110000,0,0,51.0,51.0,47.5
06/06/2007,22.85,52.0,1.8(3.59 %),2000,102000000,0,0,50.0,52.0,50.0
07/06/2007,22.85,52.0,1(1.96 %),6100,338610000,0,0,56.0,56.1,52.0
08/06/2007,25.0,56.9,1.4(2.52 %),21700,1211740000,0,0,56.0,56.9,54.0
11/06/2007,24.96,56.8,1(1.79 %),10300,583550000,0,0,60.0,61.3,55.0
12/06/2007,25.48,58.0,1.3(2.29 %),15400,874100000,0,0,56.3,58.0,56.2
13/06/2007,25.26,57.5,0.7(1.23 %),5200,296650000,0,0,57.0,57.5,57.0
14/06/2007,25.26,57.5,0.5(0.88 %),6500,372400000,0,0,56.0,58.0,56.0
15/06/2007,25.0,56.9,-0.4(-0.70 %),1500,85450000,0,0,57.0,57.0,56.9
18/06/2007,24.16,55.0,-2(-3.51 %),2000,110000000,0,0,55.0,55.0,55.0
19/06/2007,21.75,49.5,-5.5(-10.00 %),7400,386050000,0,0,55.0,55.0,49.5
20/06/2007,21.75,49.5,-2.7(-5.17 %),3200,159730000,0,0,53.0,53.0,49.5
21/06/2007,21.62,49.2,-0.7(-1.40 %),2800,138230000,0,0,50.0,52.0,49.2
22/06/2007,21.75,49.5,0.1(0.20 %),1400,69100000,0,0,50.5,50.5,49.0
25/06/2007,21.75,49.5,0.1(0.20 %),1800,86850000,0,0,48.0,49.5,48.0
26/06/2007,21.22,37.1,0(0.00 %),0,0,0,0,37.1,37.1,37.1
27/06/2007,20.02,35.0,-2.1(-5.66 %),600,21000000,0,0,35.0,35.0,35.0
28/06/2007,19.16,33.5,-1.5(-4.29 %),3900,130650000,0,0,33.5,33.5,33.5
29/06/2007,19.16,33.5,0(0.00 %),0,0,0,0,33.5,33.5,33.5
02/07/2007,19.16,33.5,0(0.00 %),3500,116950000,0,0,32.5,33.5,32.5
03/07/2007,19.16,33.5,0.1(0.30 %),600,20100000,0,0,33.5,33.5,33.5
04/07/2007,20.42,35.7,2.2(6.57 %),1800,64370000,0,0,36.8,36.8,35.6
05/07/2007,20.42,35.7,-0.1(-0.28 %),2400,86670000,0,0,39.3,39.3,35.0
06/07/2007,20.65,36.1,0(0.00 %),300,11190000,0,0,39.7,39.7,36.1
