Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
10/06/2002,8700,208800,0(0.00 %),8700,208800,0,0,0,0.0
04/07/2002,4000,89600,0(0.00 %),4000,89600,0,0,0,0.0
13/09/2002,10000,181000,0(0.00 %),10000,181000,0,0,0,0.0
19/05/2003,100,1600,0(0.00 %),100,1600,0,0,0,0.0
11/06/2003,-10000,-161000,0(0.00 %),0,0,10000,161000,0,0.0
26/06/2003,6100,100040,0(0.00 %),6100,100040,0,0,0,0.0
06/10/2003,1500,22500,0(0.00 %),1500,22500,0,0,0,0.0
16/10/2003,250,3675,0(0.00 %),250,3675,0,0,0,0.0
24/10/2003,4500,64050,0(0.00 %),4500,64050,0,0,0,0.0
27/10/2003,8000,112800,0(0.00 %),8000,112800,0,0,0,0.0
05/11/2003,1560,22620,0(0.00 %),1560,22620,0,0,0,0.0
06/11/2003,2000,29000,0(0.00 %),2000,29000,0,0,0,0.0
07/11/2003,3990,58254,0(0.00 %),3990,58254,0,0,0,0.0
26/11/2003,-200,-3240,0(0.00 %),0,0,200,3240,0,0.0
15/12/2003,1000,17100,0(0.00 %),1000,17100,0,0,0,0.0
17/12/2003,600,10740,0(0.00 %),600,10740,0,0,0,0.0
19/12/2003,2000,35800,0(0.00 %),2000,35800,0,0,0,0.0
22/12/2003,2700,47520,0(0.00 %),2700,47520,0,0,0,0.0
23/12/2003,3000,49800,0(0.00 %),3000,49800,0,0,0,0.0
24/12/2003,3000,49800,0(0.00 %),3000,49800,0,0,0,0.0
31/12/2003,1000,16600,0(0.00 %),1000,16600,0,0,0,0.0
07/01/2004,1000,17200,0(0.00 %),1000,17200,0,0,0,0.0
15/01/2004,15050,278325,0(0.00 %),15050,278325,0,0,0,0.0
30/01/2004,50850,1155585,0(0.00 %),50850,1155585,0,0,0,0.0
02/02/2004,210,4683,0(0.00 %),210,4683,0,0,0,0.0
03/02/2004,10400,228950,0(0.00 %),10400,228950,0,0,0,0.0
04/02/2004,1500,33000,0(0.00 %),1500,33000,0,0,0,0.0
05/02/2004,217600,5225920,0(0.00 %),217600,5225920,0,0,0,0.0
06/02/2004,209900,5072650,0(0.00 %),209900,5072650,0,0,0,0.0
10/02/2004,33900,805950,0(0.00 %),33900,805950,0,0,0,0.0
11/02/2004,30000,733000,0(0.00 %),30000,733000,0,0,0,0.0
12/02/2004,10,250,0(0.00 %),10,250,0,0,0,0.0
13/02/2004,11740,313090,0(0.00 %),11740,313090,0,0,0,0.0
16/02/2004,45060,1256804,0(0.00 %),45060,1256804,0,0,0,0.0
17/02/2004,28010,780045,0(0.00 %),28010,780045,0,0,0,0.0
18/02/2004,20800,592000,0(0.00 %),20800,592000,0,0,0,0.0
19/02/2004,9000,269100,0(0.00 %),9000,269100,0,0,0,0.0
20/02/2004,13900,435070,0(0.00 %),13900,435070,0,0,0,0.0
23/02/2004,10000,328000,0(0.00 %),10000,328000,0,0,0,0.0
24/02/2004,19800,681120,0(0.00 %),19800,681120,0,0,0,0.0
25/02/2004,39240,1385040,0(0.00 %),39240,1385040,0,0,0,0.0
26/02/2004,45180,1526120,0(0.00 %),45180,1526120,0,0,0,0.0
27/02/2004,2650,89570,0(0.00 %),2650,89570,0,0,0,0.0
01/03/2004,4360,162894,0(0.00 %),4360,162894,0,0,0,0.0
02/03/2004,29300,1142700,0(0.00 %),29300,1142700,0,0,0,0.0
03/03/2004,-9900,-372240,0(0.00 %),0,0,9900,372240,0,0.0
04/03/2004,4400,164360,0(0.00 %),4400,164360,0,0,0,0.0
08/03/2004,1000,37200,0(0.00 %),1000,37200,0,0,0,0.0
09/03/2004,44200,1572944,0(0.00 %),49200,1749444,5000,176500,0,0.0
10/03/2004,47910,1609500,0(0.00 %),48600,1632960,690,23460,0,0.0
11/03/2004,22000,774900,0(0.00 %),22000,774900,0,0,0,0.0
12/03/2004,-500,-18000,0(0.00 %),0,0,500,18000,0,0.0
15/03/2004,9900,355410,0(0.00 %),9900,355410,0,0,0,0.0
16/03/2004,16260,560595,0(0.00 %),17010,586845,750,26250,0,0.0
17/03/2004,-70,-2408,0(0.00 %),9090,312696,9160,315104,0,0.0
19/03/2004,5000,171000,0(0.00 %),5000,171000,0,0,0,0.0
22/03/2004,23940,804140,0(0.00 %),23940,804140,0,0,0,0.0
23/03/2004,58560,1881776,0(0.00 %),66710,2143391,8150,261615,0,0.0
24/03/2004,29820,958206,0(0.00 %),29820,958206,0,0,0,0.0
25/03/2004,6000,202800,0(0.00 %),6000,202800,0,0,0,0.0
26/03/2004,55880,1974548,0(0.00 %),55880,1974548,0,0,0,0.0
29/03/2004,-170,-6703,0(0.00 %),1500,54750,1670,61453,0,0.0
30/03/2004,73400,2636020,0(0.00 %),73400,2636020,0,0,0,0.0
31/03/2004,42440,1501524,0(0.00 %),57440,2028024,15000,526500,0,0.0
02/04/2004,1670,56780,0(0.00 %),1670,56780,0,0,0,0.0
06/04/2004,14740,498790,0(0.00 %),14740,498790,0,0,0,0.0
13/04/2004,-1000,-31800,0(0.00 %),0,0,1000,31800,0,0.0
16/04/2004,200,6700,0(0.00 %),200,6700,0,0,0,0.0
19/04/2004,-1000,-32500,0(0.00 %),0,0,1000,32500,0,0.0
20/04/2004,-250,-8500,0(0.00 %),750,24000,1000,32500,0,0.0
22/04/2004,-800,-26160,0(0.00 %),0,0,800,26160,0,0.0
23/04/2004,-20,-660,0(0.00 %),0,0,20,660,0,0.0
26/04/2004,2300,75900,0(0.00 %),2300,75900,0,0,0,0.0
29/04/2004,810,27459,0(0.00 %),810,27459,0,0,0,0.0
05/05/2004,-800,-26960,0(0.00 %),0,0,800,26960,0,0.0
11/05/2004,-1100,-35970,0(0.00 %),0,0,1100,35970,0,0.0
12/05/2004,10,333,0(0.00 %),10,333,0,0,0,0.0
24/05/2004,120,3996,0(0.00 %),120,3996,0,0,0,0.0
26/05/2004,-28300,-918560,0(0.00 %),1700,56440,30000,975000,0,0.0
27/05/2004,90,2979,0(0.00 %),90,2979,0,0,0,0.0
01/06/2004,27640,925940,0(0.00 %),27640,925940,0,0,0,0.0
02/06/2004,290,10570,0(0.00 %),2000,67000,1710,56430,0,0.0
03/06/2004,360,11844,0(0.00 %),360,11844,0,0,0,0.0
04/06/2004,-4500,-148300,0(0.00 %),0,0,4500,148300,0,0.0
08/06/2004,1000,32200,0(0.00 %),1000,32200,0,0,0,0.0
10/06/2004,4500,148500,0(0.00 %),4500,148500,0,0,0,0.0
15/06/2004,80,2720,0(0.00 %),80,2720,0,0,0,0.0
22/06/2004,630,20790,0(0.00 %),630,20790,0,0,0,0.0
06/07/2004,-10000,-322000,0(0.00 %),0,0,10000,322000,0,0.0
07/07/2004,-9900,-316800,0(0.00 %),0,0,9900,316800,0,0.0
12/07/2004,10000,326000,0(0.00 %),10000,326000,0,0,0,0.0
13/07/2004,9900,318780,0(0.00 %),9900,318780,0,0,0,0.0
27/07/2004,-3000,-94500,0(0.00 %),0,0,3000,94500,0,0.0
29/07/2004,-4000,-120400,0(0.00 %),0,0,4000,120400,0,0.0
03/08/2004,3000,87300,0(0.00 %),3000,87300,0,0,0,0.0
04/08/2004,710,20519,0(0.00 %),4000,115600,3290,95081,0,0.0
06/08/2004,-1210,-33638,0(0.00 %),0,0,1210,33638,0,0.0
24/08/2004,1450,42775,0(0.00 %),1450,42775,0,0,0,0.0
31/08/2004,3010,88795,0(0.00 %),3010,88795,0,0,0,0.0
06/09/2004,10,297,0(0.00 %),40,1176,30,879,0,0.0
07/09/2004,-10,-292,0(0.00 %),0,0,10,292,0,0.0
13/09/2004,40,1176,0(0.00 %),40,1176,0,0,0,0.0
15/12/2004,-180,-5562,0(0.00 %),0,0,180,5562,0,0.0
28/12/2004,180,5598,0(0.00 %),180,5598,0,0,0,0.0
29/12/2004,-500,-15250,0(0.00 %),0,0,500,15250,0,0.0
22/03/2005,-6240,-184704,0(0.00 %),0,0,6240,184704,0,0.0
23/03/2005,-6760,-201240,0(0.00 %),0,0,6760,201240,0,0.0
28/03/2005,6240,190320,0(0.00 %),6240,190320,0,0,0,0.0
29/03/2005,6760,202800,0(0.00 %),6760,202800,0,0,0,0.0
19/04/2005,-2000,-60000,0(0.00 %),0,0,2000,60000,0,0.0
21/04/2005,-1520,-45600,0(0.00 %),0,0,1520,45600,0,0.0
25/04/2005,2000,60400,0(0.00 %),2000,60400,0,0,0,0.0
27/04/2005,1520,46056,0(0.00 %),1520,46056,0,0,0,0.0
28/04/2005,-40,-1204,0(0.00 %),0,0,40,1204,0,0.0
23/05/2005,-1500,-44100,0(0.00 %),0,0,1500,44100,0,0.0
27/05/2005,100,2940,0(0.00 %),600,17640,500,14700,0,0.0
31/05/2005,-400,-11720,0(0.00 %),0,0,400,11720,0,0.0
