Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
01/06/2010,0,0,0(0.00 %),0,0,0,0,22050000,0.0
02/06/2010,0,0,0(0.00 %),0,0,0,0,22050000,0.0
03/06/2010,0,0,0(0.00 %),0,0,0,0,22050000,0.0
04/06/2010,0,0,0(0.00 %),0,0,0,0,22050000,0.0
07/06/2010,100,1210000,0(0.00 %),100,1210000,0,0,22049900,0.0
08/06/2010,0,0,0(0.00 %),0,0,0,0,22049900,0.0
09/06/2010,0,0,0(0.00 %),0,0,0,0,22049900,0.0
10/06/2010,0,0,0(0.00 %),0,0,0,0,22049900,0.0
11/06/2010,0,0,0(0.00 %),0,0,0,0,22049900,0.0
14/06/2010,0,0,11.4(4.59 %),0,0,0,0,22049900,0.0
15/06/2010,0,0,11.9(4.39 %),0,0,0,0,22049900,0.0
16/06/2010,0,0,12.4(4.20 %),0,0,0,0,22049900,0.0
17/06/2010,0,0,12.2(-1.61 %),0,0,0,0,22049900,0.0
21/06/2010,0,0,12.3(3.36 %),0,0,0,0,22049900,0.0
22/06/2010,100,1230000,12(-2.44 %),100,1230000,0,0,22049800,0.0
23/06/2010,0,0,12.6(5.00 %),0,0,0,0,22049800,0.0
24/06/2010,0,0,12.6(0.00 %),0,0,0,0,22049800,0.0
25/06/2010,0,0,12.2(-3.17 %),0,0,0,0,22049800,0.0
28/06/2010,-50,-605000,12(-1.64 %),0,0,50,605000,22049850,0.0
29/06/2010,100,1200000,11.8(-1.67 %),100,1200000,0,0,22049750,0.0
30/06/2010,-20,-232000,11.5(-2.54 %),0,0,20,232000,22049770,0.0
01/07/2010,0,0,11.6(0.87 %),0,0,0,0,22049770,0.0
02/07/2010,0,0,11.5(-0.86 %),0,0,0,0,22049770,0.0
05/07/2010,0,0,11.5(0.00 %),0,0,0,0,22049770,0.0
06/07/2010,100,1150000,11.3(-1.74 %),100,1150000,0,0,22049670,0.0
07/07/2010,0,0,11.1(-1.77 %),0,0,0,0,22049670,0.0
08/07/2010,0,0,11.2(0.90 %),0,0,0,0,22049670,0.0
09/07/2010,0,0,11(-1.79 %),0,0,0,0,22049670,0.0
12/07/2010,0,0,11(0.00 %),0,0,0,0,22049670,0.0
13/07/2010,0,0,11.3(2.73 %),0,0,0,0,22049670,0.0
14/07/2010,0,0,11.1(-1.77 %),0,0,0,0,22049670,0.0
15/07/2010,0,0,11(-0.90 %),0,0,0,0,22049670,0.0
16/07/2010,0,0,11(0.00 %),0,0,0,0,22049670,0.0
19/07/2010,0,0,11.1(0.91 %),0,0,0,0,22049670,0.0
20/07/2010,0,0,11.2(0.90 %),0,0,0,0,22049670,0.0
21/07/2010,0,0,11(-1.79 %),0,0,0,0,22049670,0.0
22/07/2010,100,1110000,11(0.00 %),100,1110000,0,0,22049570,0.0
23/07/2010,0,0,10.8(-1.82 %),0,0,0,0,22049570,0.0
26/07/2010,0,0,10.8(0.00 %),0,0,0,0,22049570,0.0
27/07/2010,0,0,10.8(0.00 %),0,0,0,0,22049570,0.0
28/07/2010,0,0,10.4(-3.70 %),0,0,0,0,22049570,0.0
29/07/2010,0,0,10.4(0.00 %),0,0,0,0,22049570,0.0
30/07/2010,0,0,10.5(0.96 %),0,0,0,0,22049570,0.0
02/08/2010,0,0,10.2(-2.86 %),0,0,0,0,22049570,0.0
03/08/2010,0,0,10.1(-0.98 %),0,0,0,0,22049570,0.0
04/08/2010,0,0,9.9(-1.98 %),0,0,0,0,22049570,0.0
05/08/2010,0,0,9.8(-1.01 %),0,0,0,0,22049570,0.0
06/08/2010,0,0,9.7(-1.02 %),0,0,0,0,22049570,0.0
09/08/2010,0,0,9.3(-4.12 %),0,0,0,0,22049570,0.0
10/08/2010,0,0,9.2(-1.08 %),0,0,0,0,22049570,0.0
11/08/2010,0,0,9.1(-1.09 %),0,0,0,0,22049570,0.0
12/08/2010,0,0,8.8(-3.30 %),0,0,0,0,22049570,0.0
13/08/2010,0,0,8.9(1.14 %),0,0,0,0,22049570,0.0
16/08/2010,0,0,9.3(4.49 %),0,0,0,0,22049570,0.0
17/08/2010,0,0,9.2(-1.08 %),0,0,0,0,0,0.0
18/08/2010,0,0,9(-2.17 %),0,0,0,0,22049570,0.0
19/08/2010,0,0,8.9(-1.11 %),0,0,0,0,22049570,0.0
20/08/2010,0,0,8.8(-1.12 %),0,0,0,0,22049570,0.0
23/08/2010,0,0,8.7(-1.14 %),0,0,0,0,22049570,0.0
24/08/2010,0,0,8.4(-3.45 %),0,0,0,0,22049570,0.0
25/08/2010,0,0,8(-4.76 %),0,0,0,0,22049570,0.0
26/08/2010,0,0,8.1(1.25 %),0,0,0,0,22049570,0.0
27/08/2010,0,0,7.9(-2.47 %),0,0,0,0,22049570,0.0
30/08/2010,0,0,8.2(3.80 %),0,0,0,0,22049570,0.0
31/08/2010,0,0,8.6(4.88 %),0,0,0,0,22049570,0.0
01/09/2010,0,0,9(4.65 %),0,0,0,0,22049570,0.0
06/09/2010,0,0,9.4(4.44 %),0,0,0,0,22049570,0.0
07/09/2010,0,0,9.5(1.06 %),0,0,0,0,22049570,0.0
08/09/2010,0,0,9.3(-2.11 %),0,0,0,0,22049570,0.0
09/09/2010,0,0,9.3(0.00 %),0,0,0,0,22049570,0.0
10/09/2010,0,0,8.9(-4.30 %),0,0,0,0,22049570,0.0
13/09/2010,0,0,8.9(0.00 %),0,0,0,0,22049570,0.0
14/09/2010,0,0,9.1(2.25 %),0,0,0,0,22049570,0.0
15/09/2010,0,0,9(-1.10 %),0,0,0,0,22049570,0.0
16/09/2010,0,0,9.1(1.11 %),0,0,0,0,22049570,0.0
17/09/2010,0,0,9.1(0.00 %),0,0,0,0,22049570,0.0
20/09/2010,0,0,9(-1.10 %),0,0,0,0,22049570,0.0
21/09/2010,0,0,8.9(-1.11 %),0,0,0,0,22049570,0.0
22/09/2010,0,0,9(1.12 %),0,0,0,0,22049570,0.0
23/09/2010,0,0,8.7(-3.33 %),0,0,0,0,22049570,0.0
24/09/2010,0,0,8.8(1.15 %),0,0,0,0,22049570,0.0
27/09/2010,0,0,8.9(1.14 %),0,0,0,0,22049570,0.0
28/09/2010,0,0,8.9(0.00 %),0,0,0,0,22049570,0.0
29/09/2010,0,0,8.7(-2.25 %),0,0,0,0,22049570,0.0
30/09/2010,0,0,8.7(0.00 %),0,0,0,0,22049570,0.0
01/10/2010,0,0,8.4(-3.45 %),0,0,0,0,22049570,0.0
04/10/2010,0,0,8.2(-2.38 %),0,0,0,0,22049570,0.0
05/10/2010,0,0,8.3(1.22 %),0,0,0,0,22049570,0.0
06/10/2010,0,0,8.5(2.41 %),0,0,0,0,22049570,0.0
07/10/2010,0,0,8.4(-1.18 %),0,0,0,0,22049570,0.0
08/10/2010,0,0,8.3(-1.19 %),0,0,0,0,22049570,0.0
11/10/2010,0,0,8.2(-1.20 %),0,0,0,0,22049570,0.0
12/10/2010,100,840000,8.1(-1.22 %),100,840000,0,0,22049470,0.0
13/10/2010,0,0,8.4(3.70 %),0,0,0,0,22049470,0.0
14/10/2010,0,0,8.4(0.00 %),0,0,0,0,22049470,0.0
15/10/2010,0,0,8.3(-1.19 %),0,0,0,0,22049470,0.0
18/10/2010,0,0,8.2(-1.20 %),0,0,0,0,22049470,0.0
19/10/2010,0,0,8.3(1.22 %),0,0,0,0,22049470,0.0
20/10/2010,0,0,7.9(-4.82 %),0,0,0,0,22049470,0.0
21/10/2010,0,0,7.6(-3.80 %),0,0,0,0,22049470,0.0
