Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
01/12/2023,11.69,18.0,18(0.00 %),1000,18000000,0,0,18.0,18.0,18.0
04/12/2023,12.5,19.25,1.25(6.94 %),1597400,30749000000,0,0,19.25,19.25,19.25
05/12/2023,12.21,18.8,-0.45(-2.34 %),359400,6849000000,0,0,19.2,19.25,18.8
06/12/2023,11.92,18.35,-0.45(-2.39 %),371400,6768000000,0,0,18.55,19.5,18.0
07/12/2023,11.2,17.25,-1.1(-5.99 %),410100,7121000000,0,0,18.4,18.4,17.15
08/12/2023,11.2,17.25,0(0.00 %),307300,5110000000,0,0,17.1,17.25,16.05
11/12/2023,11.04,17.0,-0.25(-1.45 %),207800,3483000000,0,0,17.5,17.5,16.5
12/12/2023,10.72,16.5,-0.5(-2.94 %),66700,1105000000,0,0,16.5,17.0,16.5
13/12/2023,10.72,16.5,0(0.00 %),44400,726000000,0,0,16.5,16.8,16.2
14/12/2023,10.97,16.9,0.4(2.42 %),398200,6578000000,0,0,16.5,16.9,16.3
15/12/2023,10.91,16.8,-0.1(-0.59 %),160800,2668000000,0,0,16.8,16.8,16.4
18/12/2023,10.72,16.5,-0.3(-1.79 %),97800,1597000000,0,0,16.25,16.5,16.25
19/12/2023,10.65,16.4,-0.1(-0.61 %),482500,7788000000,0,0,16.4,16.6,15.9
20/12/2023,10.52,16.2,-0.2(-1.22 %),194300,3140000000,0,0,16.3,16.4,15.95
21/12/2023,10.62,16.35,0.15(0.93 %),178800,2853000000,0,0,16.0,16.35,15.8
22/12/2023,10.52,16.2,-0.15(-0.92 %),166400,2695000000,0,0,16.25,16.35,16.0
25/12/2023,10.52,16.2,0(0.00 %),119600,1916000000,0,0,16.0,16.2,15.9
26/12/2023,10.49,16.15,-0.05(-0.31 %),187400,2993000000,0,0,15.95,16.15,15.85
27/12/2023,10.46,16.1,-0.05(-0.31 %),195600,3103000000,0,0,16.15,16.15,15.7
28/12/2023,10.39,16.0,-0.1(-0.62 %),133500,2109000000,0,0,16.0,16.0,15.7
