Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
16/05/2017,20.56,48.0,8(20.00 %),421800,20246000000,0,0,48.0,48.0,48.0
17/05/2017,21.84,51.0,3(6.25 %),45330,2234000000,1207801,54351045000,51.3,51.3,48.0
18/05/2017,21.63,50.5,-0.5(-0.98 %),9120,459000000,0,0,51.0,51.0,48.0
19/05/2017,20.13,47.0,-3.5(-6.93 %),129870,6105000000,0,0,47.0,47.5,47.0
22/05/2017,18.74,43.75,-3.25(-6.91 %),99560,4375000000,50000,2225000000,44.0,45.0,43.75
23/05/2017,17.43,40.7,-3.05(-6.97 %),230970,9411000000,0,0,41.1,41.1,40.7
24/05/2017,18.63,43.5,2.8(6.88 %),23270,992000000,0,0,39.5,43.5,39.5
25/05/2017,18.72,43.7,0.2(0.46 %),28490,1286000000,0,0,46.4,46.4,43.7
26/05/2017,17.82,41.6,-2.1(-4.81 %),47220,2018000000,0,0,43.0,43.7,41.5
29/05/2017,17.82,41.6,0(0.00 %),50040,2033000000,0,0,41.6,42.0,40.0
30/05/2017,17.73,41.4,-0.2(-0.48 %),15360,625000000,0,0,40.2,41.6,40.1
31/05/2017,17.9,41.8,0.4(0.97 %),17350,725000000,0,0,41.5,41.9,41.5
01/06/2017,17.65,41.2,-0.6(-1.44 %),16340,676000000,0,0,41.5,41.7,41.1
02/06/2017,17.65,41.2,0(0.00 %),13830,571000000,0,0,42.9,42.9,41.1
05/06/2017,17.56,41.0,-0.2(-0.49 %),7770,316000000,0,0,41.1,41.3,40.0
06/06/2017,17.43,40.7,-0.3(-0.73 %),35700,1432000000,0,0,40.2,40.7,40.0
07/06/2017,17.47,40.8,0.1(0.25 %),24920,1004000000,0,0,40.8,40.8,40.1
08/06/2017,17.17,40.1,-0.7(-1.72 %),7550,303000000,0,0,40.1,40.5,40.1
09/06/2017,17.3,40.4,0.3(0.75 %),6330,254000000,0,0,41.0,41.0,40.0
12/06/2017,17.13,40.0,-0.4(-0.99 %),14610,584000000,57800,2173280000,40.4,40.4,40.0
13/06/2017,17.35,40.5,0.5(1.25 %),27010,1087000000,0,0,40.9,40.9,40.0
14/06/2017,18.03,42.1,1.6(3.95 %),33130,1364000000,0,0,40.0,43.0,40.0
15/06/2017,18.29,42.7,0.6(1.43 %),30530,1281000000,0,0,42.9,42.9,41.8
16/06/2017,18.55,43.3,0.6(1.41 %),31930,1375000000,0,0,42.5,44.0,42.3
19/06/2017,19.06,44.5,1.2(2.77 %),49890,2188000000,71524,2882417200,43.3,44.5,43.3
20/06/2017,19.66,45.9,1.4(3.15 %),15370,702000000,0,0,45.0,46.5,45.0
21/06/2017,19.19,44.8,-1.1(-2.40 %),14860,672000000,0,0,46.0,46.0,44.8
22/06/2017,19.27,45.0,0.2(0.45 %),34930,1573000000,0,0,45.5,45.5,44.8
23/06/2017,19.02,44.4,-0.6(-1.33 %),36590,1639000000,0,0,45.0,46.0,44.25
26/06/2017,19.27,45.0,0.6(1.35 %),33950,1512000000,0,0,44.3,45.3,44.3
27/06/2017,19.23,44.9,-0.1(-0.22 %),30210,1351000000,0,0,44.6,45.3,44.5
28/06/2017,19.23,44.9,0(0.00 %),43400,1937000000,0,0,44.4,45.0,44.0
29/06/2017,18.8,43.9,-1(-2.23 %),23440,1030000000,0,0,43.1,45.1,43.1
30/06/2017,18.84,44.0,0.1(0.23 %),30990,1364000000,0,0,44.1,44.1,43.6
03/07/2017,19.27,45.0,1(2.27 %),54760,2442000000,100000,4500000000,45.8,45.8,44.2
04/07/2017,19.94,44.5,1.5(3.49 %),30310,1339000000,0,0,44.5,44.9,43.5
05/07/2017,19.68,43.9,-0.6(-1.35 %),30120,1321000000,0,0,45.0,45.0,43.1
06/07/2017,19.94,44.5,0.6(1.37 %),31140,1374000000,0,0,43.9,44.5,43.9
07/07/2017,19.99,44.6,0.1(0.22 %),1110,49000000,0,0,44.0,44.6,44.0
10/07/2017,19.54,43.6,-1(-2.24 %),28590,1256000000,0,0,44.4,44.5,43.5
11/07/2017,19.45,43.4,-0.2(-0.46 %),20470,889000000,0,0,43.8,43.8,43.1
12/07/2017,19.36,43.2,-0.2(-0.46 %),26490,1145000000,0,0,43.4,43.6,43.0
13/07/2017,19.25,42.95,-0.25(-0.58 %),20620,887000000,0,0,43.2,43.3,41.5
14/07/2017,19.25,42.95,0(0.00 %),19180,825000000,0,0,43.5,43.5,41.8
17/07/2017,19.25,42.95,0(0.00 %),24010,1027000000,250000,10500000000,42.9,42.95,42.5
18/07/2017,19.14,42.7,-0.25(-0.58 %),22010,935000000,0,0,42.95,42.95,41.9
19/07/2017,19.03,42.45,-0.25(-0.59 %),20050,843000000,0,0,42.7,43.0,40.0
20/07/2017,18.6,41.5,-0.95(-2.24 %),21140,859000000,0,0,42.45,42.45,39.8
21/07/2017,19.27,43.0,1.5(3.61 %),26940,1120000000,0,0,41.5,43.0,40.6
24/07/2017,18.53,41.35,-1.65(-3.84 %),19990,830000000,0,0,42.8,42.8,41.0
25/07/2017,18.82,42.0,0.65(1.57 %),25250,1057000000,0,0,42.5,42.5,41.7
26/07/2017,18.82,42.0,0(0.00 %),31030,1302000000,0,0,42.0,42.7,41.3
27/07/2017,18.6,41.5,-0.5(-1.19 %),29650,1236000000,0,0,41.5,42.0,41.5
28/07/2017,18.91,42.2,0.7(1.69 %),33950,1420000000,0,0,41.5,42.2,41.5
31/07/2017,18.91,42.2,0(0.00 %),19950,838000000,0,0,42.1,42.4,41.55
01/08/2017,18.82,42.0,-0.2(-0.47 %),48950,2069000000,0,0,42.4,42.5,42.0
02/08/2017,18.82,42.0,0(0.00 %),55060,2309000000,0,0,42.0,42.2,41.8
03/08/2017,18.78,41.9,-0.1(-0.24 %),21600,906000000,0,0,42.0,42.0,41.9
04/08/2017,18.73,41.8,-0.1(-0.24 %),98450,4125000000,0,0,42.2,42.2,41.6
07/08/2017,17.52,39.1,-2.7(-6.46 %),41840,1715000000,0,0,41.75,41.8,39.1
08/08/2017,18.33,40.9,1.8(4.60 %),19250,787000000,0,0,40.5,41.5,40.5
09/08/2017,18.31,40.85,-0.05(-0.12 %),19920,811000000,0,0,40.85,40.85,40.0
10/08/2017,18.29,40.8,-0.05(-0.12 %),21340,859000000,0,0,40.85,40.85,40.0
11/08/2017,18.06,40.3,-0.5(-1.23 %),25560,1035000000,0,0,40.8,40.8,40.0
14/08/2017,18.38,41.0,0.7(1.74 %),25620,1043000000,0,0,41.0,41.9,40.3
15/08/2017,18.67,41.65,0.65(1.59 %),29540,1226000000,0,0,41.9,41.9,40.8
16/08/2017,18.67,41.65,0(0.00 %),29550,1233000000,0,0,41.9,41.9,41.65
17/08/2017,18.53,41.35,-0.3(-0.72 %),22580,937000000,0,0,41.65,41.7,41.2
18/08/2017,18.49,41.25,-0.1(-0.24 %),21690,895000000,0,0,41.35,41.4,41.25
21/08/2017,18.6,41.5,0.25(0.61 %),30570,1269000000,0,0,41.9,41.9,41.1
22/08/2017,18.64,41.6,0.1(0.24 %),37020,1545000000,0,0,41.9,42.0,41.45
23/08/2017,18.69,41.7,0.1(0.24 %),38880,1621000000,0,0,41.9,41.9,41.5
24/08/2017,18.76,41.85,0.15(0.36 %),35190,1471000000,0,0,41.85,41.85,41.7
25/08/2017,18.73,41.8,-0.05(-0.12 %),26190,1096000000,0,0,41.95,42.0,41.0
28/08/2017,18.78,41.9,0.1(0.24 %),38810,1627000000,50000,2090000000,42.0,42.0,41.6
29/08/2017,19.27,43.0,1.1(2.63 %),156560,6589000000,0,0,41.7,43.0,41.6
30/08/2017,19.27,43.0,0(0.00 %),31260,1363000000,0,0,43.95,43.95,43.0
31/08/2017,19.5,43.5,0.5(1.16 %),32370,1415000000,200000,8700000000,43.65,43.9,43.45
01/09/2017,19.54,43.6,0.1(0.23 %),30120,1298000000,0,0,44.1,44.1,42.7
05/09/2017,19.2,42.85,-0.75(-1.72 %),29750,1276000000,85570,3765080000,42.0,43.4,41.9
06/09/2017,19.05,42.5,-0.35(-0.82 %),29040,1237000000,0,0,43.0,43.0,42.0
07/09/2017,19.12,42.65,0.15(0.35 %),51000,2173000000,0,0,42.1,42.85,42.1
08/09/2017,19.2,42.85,0.2(0.47 %),50500,2161000000,0,0,42.8,42.9,42.7
11/09/2017,18.82,42.0,-0.85(-1.98 %),32690,1391000000,0,0,42.85,42.85,42.0
12/09/2017,19.18,42.8,0.8(1.90 %),40910,1730000000,0,0,42.1,42.8,42.0
13/09/2017,19.18,42.8,0(0.00 %),38850,1659000000,0,0,42.8,42.8,42.3
14/09/2017,19.59,43.7,0.9(2.10 %),48990,2114000000,0,0,42.65,43.9,42.65
15/09/2017,20.95,46.75,3.05(6.98 %),55840,2564000000,0,0,43.8,46.75,43.8
18/09/2017,21.02,46.9,0.15(0.32 %),30570,1425000000,0,0,47.0,47.0,46.4
19/09/2017,21.06,47.0,0.1(0.21 %),39740,1866000000,0,0,46.9,47.3,46.5
20/09/2017,20.62,46.0,-1(-2.13 %),39380,1835000000,0,0,46.6,47.0,46.0
21/09/2017,20.48,45.7,-0.3(-0.65 %),35980,1639000000,0,0,45.3,46.3,44.7
22/09/2017,20.39,45.5,-0.2(-0.44 %),31150,1439000000,0,0,46.0,46.85,45.5
25/09/2017,20.89,46.6,1.1(2.42 %),31520,1447000000,0,0,45.75,46.8,44.5
26/09/2017,20.8,46.4,-0.2(-0.43 %),33640,1565000000,0,0,45.3,46.8,45.3
27/09/2017,20.77,46.35,-0.05(-0.11 %),30170,1396000000,0,0,46.95,46.95,45.3
28/09/2017,20.59,45.95,-0.4(-0.86 %),30190,1392000000,0,0,45.8,46.35,45.6
29/09/2017,20.84,46.5,0.55(1.20 %),32460,1469000000,0,0,45.7,46.5,44.6
02/10/2017,20.71,46.2,-0.3(-0.65 %),30260,1400000000,0,0,45.8,46.6,45.5
03/10/2017,20.62,46.0,-0.2(-0.43 %),30810,1424000000,0,0,46.2,46.5,46.0
04/10/2017,20.98,46.8,0.8(1.74 %),60120,2791000000,0,0,46.1,47.0,45.0
05/10/2017,20.93,46.7,-0.1(-0.21 %),36980,1728000000,0,0,46.8,46.9,46.7
06/10/2017,22.05,49.2,2.5(5.35 %),130940,6330000000,0,0,46.7,49.6,46.7
09/10/2017,21.85,48.75,-0.45(-0.91 %),56540,2755000000,0,0,49.2,49.5,47.5
10/10/2017,22.05,49.2,0.45(0.92 %),57790,2818000000,0,0,47.5,49.5,47.5
11/10/2017,21.78,48.6,-0.6(-1.22 %),50290,2454000000,0,0,49.2,49.2,48.2
