Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
02/01/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
03/01/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
04/01/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
05/01/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
08/01/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
09/01/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
10/01/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
11/01/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
12/01/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
15/01/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
16/01/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
18/01/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
19/01/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
22/01/2007,100,2700000,0(0.00 %),100,2700000,0,0,0,0.0
23/01/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
25/01/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
26/01/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
29/01/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
30/01/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
31/01/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
01/02/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
02/02/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
05/02/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
06/02/2007,0,0,0(0.00 %),0,0,0,0,0,0.0
07/02/2007,0,0,28.4(-1.73 %),0,0,0,0,0,0.0
08/02/2007,0,0,28.1(-1.75 %),0,0,0,0,0,0.0
09/02/2007,0,0,27(-4.26 %),0,0,0,0,0,0.0
12/02/2007,0,0,27.6(2.22 %),0,0,0,0,0,0.0
13/02/2007,0,0,27.5(-0.36 %),0,0,0,0,0,0.0
14/02/2007,0,0,28.5(2.89 %),0,0,0,0,0,0.0
15/02/2007,0,0,31.1(9.89 %),0,0,0,0,0,0.0
26/02/2007,0,0,33.7(9.77 %),0,0,0,0,0,0.0
27/02/2007,0,0,37(9.79 %),0,0,0,0,0,0.0
28/02/2007,0,0,40.7(10.00 %),0,0,0,0,0,0.0
01/03/2007,0,0,44.7(9.83 %),0,0,0,0,0,0.0
02/03/2007,2700,132570000,49.1(9.84 %),2700,132570000,0,0,0,0.0
05/03/2007,0,0,54(9.98 %),0,0,0,0,0,0.0
06/03/2007,0,0,59.4(10.00 %),0,0,0,0,0,0.0
07/03/2007,1000,65300000,65.3(9.93 %),1000,65300000,0,0,0,0.0
08/03/2007,0,0,71.8(9.95 %),0,0,0,0,0,0.0
09/03/2007,1200,90730000,68.1(-5.15 %),1200,90730000,0,0,0,0.0
12/03/2007,0,0,67.4(-9.89 %),0,0,0,0,0,0.0
13/03/2007,0,0,61.2(-10.00 %),0,0,0,0,0,0.0
