Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
15/09/2010,0,0,0(0.00 %),0,0,0,0,4410000,0.0
16/09/2010,0,0,0(0.00 %),0,0,0,0,4410000,0.0
17/09/2010,0,0,0(0.00 %),0,0,0,0,4410000,0.0
20/09/2010,0,0,0(0.00 %),0,0,0,0,4410000,0.0
21/09/2010,0,0,0(0.00 %),0,0,0,0,4410000,0.0
22/09/2010,0,0,0(0.00 %),0,0,0,0,4410000,0.0
23/09/2010,0,0,0(0.00 %),0,0,0,0,4410000,0.0
24/09/2010,0,0,0(0.00 %),0,0,0,0,4410000,0.0
27/09/2010,0,0,0(0.00 %),0,0,0,0,4410000,0.0
28/09/2010,0,0,0(0.00 %),0,0,0,0,4410000,0.0
29/09/2010,0,0,0(0.00 %),0,0,0,0,4410000,0.0
30/09/2010,0,0,0(0.00 %),0,0,0,0,4410000,0.0
01/10/2010,0,0,0(0.00 %),0,0,0,0,4410000,0.0
04/10/2010,0,0,27(-6.90 %),0,0,0,0,4410000,0.0
05/10/2010,0,0,27.2(-0.37 %),0,0,0,0,4410000,0.0
06/10/2010,0,0,28.9(6.64 %),0,0,0,0,4410000,0.0
07/10/2010,0,0,29(1.75 %),0,0,0,0,4410000,0.0
08/10/2010,0,0,29.2(1.04 %),0,0,0,0,4410000,0.0
11/10/2010,0,0,29.2(0.34 %),0,0,0,0,4410000,0.0
12/10/2010,0,0,27.3(-6.19 %),0,0,0,0,4410000,0.0
13/10/2010,0,0,28(0.00 %),0,0,0,0,4410000,0.0
14/10/2010,0,0,28(-0.36 %),0,0,0,0,4410000,0.0
15/10/2010,0,0,26.8(-4.96 %),0,0,0,0,4410000,0.0
18/10/2010,0,0,26.7(-1.11 %),0,0,0,0,4410000,0.0
19/10/2010,0,0,25.7(-3.38 %),0,0,0,0,4410000,0.0
20/10/2010,0,0,24.4(-6.51 %),0,0,0,0,4410000,0.0
21/10/2010,0,0,25.9(4.86 %),0,0,0,0,4410000,0.0
22/10/2010,0,0,26.2(4.38 %),0,0,0,0,4410000,0.0
25/10/2010,0,0,26.3(4.78 %),0,0,0,0,4410000,0.0
26/10/2010,0,0,27(2.66 %),0,0,0,0,4410000,0.0
27/10/2010,0,0,26.7(-0.37 %),0,0,0,0,4410000,0.0
28/10/2010,0,0,26.9(0.00 %),0,0,0,0,4410000,0.0
29/10/2010,0,0,28.6(6.72 %),0,0,0,0,4410000,0.0
01/11/2010,0,0,27.4(0.00 %),0,0,0,0,4410000,0.0
02/11/2010,0,0,26.9(-5.94 %),0,0,0,0,4410000,0.0
03/11/2010,0,0,26.8(-5.30 %),0,0,0,0,4410000,0.0
04/11/2010,0,0,27(0.37 %),0,0,0,0,4410000,0.0
