Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
SCR,02/11/2022,0,1200,0,7675000
SCR,15/11/2022,1400,0,5404000,0
SCR,16/11/2022,0,39966,0,0
SCR,07/12/2022,0,200,0,1140000
SCR,14/12/2022,0,100,0,634000
SCR,15/12/2022,0,100,0,650000
SCR,16/12/2022,0,300,0,1968000
SCR,20/12/2022,0,2800,0,16661000
SCR,22/12/2022,0,100,0,570000
SCR,28/12/2022,0,100,0,547000
SCR,29/12/2022,0,200,0,1120000
SCR,16/01/2023,0,300,0,1662000
SCR,02/02/2023,3500,200,21014000,1164000
SCR,06/02/2023,0,100,0,630000
SCR,13/02/2023,0,100,0,550000
SCR,15/02/2023,0,100,0,557000
SCR,21/02/2023,0,18000,0,122220000
SCR,27/02/2023,0,200,0,1438000
SCR,02/03/2023,0,100,0,673000
SCR,03/03/2023,0,3600,0,23220000
SCR,06/03/2023,0,500,0,3340000
SCR,17/03/2023,6000,0,39600000,0
SCR,30/03/2023,0,4600,0,30866000
SCR,05/04/2023,0,800,0,5912000
SCR,06/04/2023,0,700,0,5427000
SCR,12/04/2023,0,200,0,1530000
SCR,13/04/2023,0,3200,0,24456000
SCR,19/04/2023,0,100,0,731000
SCR,24/04/2023,0,100,0,733000
SCR,26/04/2023,0,100,0,723000
SCR,27/04/2023,0,100,0,759000
SCR,10/05/2023,0,300,0,2319000
SCR,11/05/2023,0,100,0,802000
SCR,17/05/2023,0,200,0,1590000
SCR,18/05/2023,0,100,0,777000
SCR,25/05/2023,0,200,0,1550000
SCR,30/05/2023,600,0,4938000,0
SCR,09/06/2023,1200,0,9660000,0
SCR,12/06/2023,0,100,0,814000
SCR,13/06/2023,1200,0,9816000,0
SCR,14/06/2023,3000,0,24432000,0
SCR,15/06/2023,9600,0,77392000,0
SCR,21/06/2023,0,100,0,801000
SCR,22/06/2023,33000,300,268440000,2438000
SCR,26/06/2023,1800,4800,14400000,39204000
SCR,27/06/2023,0,15900,0,128506000
SCR,28/06/2023,0,1000,0,8185000
SCR,06/07/2023,1200,0,9416000,0
SCR,07/07/2023,4800,600,37392000,4704000
SCR,10/07/2023,0,1200,0,9648000
SCR,11/07/2023,2400,0,19224000,0
SCR,12/07/2023,0,4900,0,39056000
SCR,14/07/2023,0,30000,0,244500000
SCR,18/07/2023,6000,0,51120000,0
SCR,19/07/2023,9600,200,80262000,1692000
SCR,24/07/2023,0,6000,0,53010000
SCR,25/07/2023,7200,100,63780000,890000
SCR,26/07/2023,0,200,0,1772000
SCR,27/07/2023,600,3100,5298000,28254000
SCR,31/07/2023,7200,0,64089000,0
SCR,01/08/2023,7200,0,63864000,0
SCR,02/08/2023,0,15600,0,136062000
SCR,04/08/2023,0,10800,0,94512000
SCR,09/08/2023,0,100,0,896000
SCR,10/08/2023,0,100,0,930000
SCR,21/08/2023,0,200,0,1624000
SCR,28/08/2023,0,100,0,849000
SCR,29/08/2023,0,100,0,865000
SCR,30/08/2023,0,100,0,858000
SCR,13/09/2023,0,400,0,3568000
SCR,20/09/2023,0,100,0,842000
SCR,22/09/2023,0,100,0,800000
SCR,04/10/2023,0,100,0,691000
SCR,19/10/2023,0,100,0,649000
SCR,31/10/2023,0,100,0,596000
SCR,29/11/2023,0,200,0,1382000
SCR,13/12/2023,0,100,0,736000
SCR,10/01/2024,0,100,0,724000
SCR,31/01/2024,0,100,0,715000
SCR,07/02/2024,0,100,0,710000
SCR,29/02/2024,0,200,0,1444000
SCR,25/03/2024,0,5200,0,40664000
SCR,27/03/2024,0,200,0,1554000
SCR,03/04/2024,0,100,0,813000
SCR,22/05/2024,0,100,0,713000
SCR,29/05/2024,0,100,0,740000
SCR,11/06/2024,0,1000,0,7120000
SCR,26/06/2024,0,100,0,697000
SCR,21/08/2024,0,100,0,608000
SCR,12/12/2024,0,200,0,1168000
SCR,19/02/2025,0,100,0,618000
SCR,07/03/2025,0,100,0,640000
SCR,17/04/2025,5000,0,27950000,0
SCR,07/05/2025,0,1,0,5000
SCR,08/05/2025,0,15,83000,0
SCR,09/05/2025,0,2,0,11000
SCR,12/05/2025,0,19,0,105000
SCR,13/05/2025,0,12,0,66000
SCR,14/05/2025,0,82,0,450000
SCR,15/05/2025,0,78,0,428000
SCR,16/05/2025,0,59,0,324000
SCR,19/05/2025,0,109,0,600000
SCR,20/05/2025,0,79,0,442000
SCR,21/05/2025,0,62,0,345000
SCR,22/05/2025,0,149,0,862000
SCR,23/05/2025,0,70,0,393000
SCR,26/05/2025,0,141,0,801000
SCR,27/05/2025,0,68,0,395000
SCR,28/05/2025,0,142,0,835000
SCR,29/05/2025,0,91,0,531000
SCR,30/05/2025,0,62,0,365000
SCR,02/06/2025,0,73,0,422000
SCR,03/06/2025,0,41,0,253000
SCR,04/06/2025,0,43,0,276000
SCR,05/06/2025,0,77,0,529000
SCR,06/06/2025,0,57,0,409000
SCR,09/06/2025,0,63,0,434000
SCR,10/06/2025,0,69,0,478000
SCR,11/06/2025,0,48,0,339000
SCR,12/06/2025,72,0,503000,0
SCR,13/06/2025,0,83,0,586000
SCR,16/06/2025,0,120,0,815000
SCR,17/06/2025,68,0,459000,0
SCR,18/06/2025,0,46,0,314000
SCR,19/06/2025,0,46,0,306000
SCR,20/06/2025,0,47,0,315000
SCR,23/06/2025,0,111,0,736000
SCR,24/06/2025,67,0,440000,0
SCR,25/06/2025,0,56,0,373000
SCR,26/06/2025,0,49,0,331000
SCR,27/06/2025,52,0,351000,0
SCR,30/06/2025,53,0,356000,0
SCR,01/07/2025,0,0,0,0
SCR,02/07/2025,0,22,0,147000
SCR,03/07/2025,0,54,0,365000
SCR,04/07/2025,52,0,353000,0
SCR,07/07/2025,108,0,746000,0
SCR,08/07/2025,0,51,0,356000
SCR,09/07/2025,51,502,0,1100000
SCR,10/07/2025,0,52,0,361000
SCR,11/07/2025,0,36,0,252000
SCR,14/07/2025,0,107,0,756000
SCR,15/07/2025,0,90,0,660000
SCR,16/07/2025,0,70,0,502000
SCR,17/07/2025,0,58,0,443000
SCR,18/07/2025,0,51,0,400000
SCR,21/07/2025,0,30,0,235000
SCR,11/08/2025,1500,0,14535000,0
SCR,14/08/2025,0,2,0,18000
SCR,15/08/2025,0,32,0,310000
SCR,18/08/2025,0,22,0,207000
SCR,19/08/2025,0,30,0,274000
SCR,20/08/2025,0,31,0,288000
SCR,21/08/2025,0,38,0,336000
SCR,22/08/2025,0,28,0,240000
SCR,25/08/2025,0,35,0,279000
SCR,26/08/2025,0,31,0,248000
