Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
25/08/2025,8.6,0.0,-8.56(-100.00 %),4830000,8600.0,0,0,8.56,8.75,8.5
22/08/2025,8.56,8.56,-0.64(-6.96 %),17315300,150838214000.0,0,0,9.0,9.15,8.56
21/08/2025,9.2,9.2,-0.3(-3.16 %),8251900,77333468000.0,0,0,9.52,9.59,9.2
20/08/2025,9.5,9.5,-0.5(-5.00 %),11144600,107169516000.0,0,0,9.9,9.91,9.37
19/08/2025,10.0,10.0,0.2(2.04 %),11202700,111587679000.0,0,0,9.84,10.2,9.7
18/08/2025,9.8,9.8,-0.3(-2.97 %),10338200,101674908000.0,0,0,10.0,10.0,9.72
15/08/2025,10.1,10.1,-0.3(-2.88 %),15795900,159893848000.0,0,0,10.45,10.5,9.9
14/08/2025,10.4,10.4,0.5(5.05 %),15840000,159235120000.0,0,0,10.2,10.4,9.8
13/08/2025,9.9,9.9,0.35(3.66 %),18111900,176471692000.0,0,0,9.58,9.94,9.52
12/08/2025,9.55,9.55,-0.04(-0.42 %),8609000,81146063000.0,0,0,9.73,9.73,9.21
11/08/2025,9.59,9.59,0.09(0.95 %),9419300,91408592000.0,0,0,9.55,9.96,9.54
08/08/2025,9.5,9.5,0.05(0.53 %),10386300,97411374000.0,0,0,9.55,9.57,9.18
07/08/2025,9.45,9.45,0.1(1.07 %),9022200,85057423000.0,0,0,9.41,9.65,9.34
06/08/2025,9.35,9.35,0(0.00 %),6712100,61919148000.0,0,0,9.15,9.35,9.15
05/08/2025,9.35,9.35,-0.05(-0.53 %),17625400,164993735000.0,0,0,9.6,9.6,8.75
04/08/2025,9.4,9.4,0.29(3.18 %),8191800,75948189000.0,0,0,9.11,9.42,9.11
01/08/2025,9.11,9.11,-0.59(-6.08 %),15119300,140971519000.0,0,0,9.63,9.63,9.1
31/07/2025,9.7,9.7,0.16(1.68 %),18017700,175341024000.0,0,0,10.1,10.1,9.54
30/07/2025,9.54,9.54,0.62(6.95 %),16201200,153191419000.0,0,0,9.23,9.54,9.1
29/07/2025,8.92,8.92,0.32(3.72 %),31180100,285964126000.0,0,0,9.2,9.2,8.9
28/07/2025,8.6,8.6,0.22(2.63 %),15005500,128581763000.0,0,0,8.51,8.76,8.43
25/07/2025,8.38,8.38,0.08(0.96 %),6461700,53829343000.0,0,0,8.3,8.4,8.25
24/07/2025,8.3,8.3,-0.08(-0.95 %),5978000,49400523000.0,0,0,8.36,8.39,8.15
23/07/2025,8.38,8.38,-0.02(-0.24 %),7677700,64318232000.0,0,0,8.48,8.49,8.31
22/07/2025,8.4,8.4,0.35(4.35 %),9707500,79869248000.0,0,0,8.0,8.4,8.0
21/07/2025,8.05,8.05,-0.35(-4.17 %),8819800,72215371000.0,0,0,8.35,8.4,8.03
18/07/2025,8.4,8.4,-0.04(-0.47 %),15205000,127785636000.0,0,0,8.44,8.61,8.21
17/07/2025,8.44,8.44,0.24(2.93 %),14001100,117953962000.0,0,0,8.23,8.69,8.23
16/07/2025,8.2,8.2,0.5(6.49 %),12236400,97278517000.0,0,0,7.71,8.2,7.69
15/07/2025,7.7,7.7,-0.18(-2.28 %),9840400,77447129000.0,0,0,7.93,7.98,7.7
14/07/2025,7.88,7.88,0.28(3.68 %),10826800,82803563000.0,0,0,7.58,7.88,7.36
11/07/2025,7.6,7.6,0.08(1.06 %),5954000,45010919000.0,0,0,7.65,7.65,7.47
10/07/2025,7.52,7.52,0.05(0.67 %),5469300,41326389000.0,0,0,7.48,7.69,7.45
09/07/2025,7.47,7.47,-0.01(-0.13 %),5948600,44469567000.0,0,0,7.51,7.57,7.41
08/07/2025,7.48,7.48,-0.02(-0.27 %),4749000,35515194000.0,0,0,7.55,7.58,7.4
07/07/2025,7.5,7.5,0.07(0.94 %),5987600,44684257000.0,0,0,7.43,7.57,7.38
04/07/2025,7.43,7.43,0.15(2.06 %),5415700,40117842000.0,0,0,7.31,7.48,7.31
03/07/2025,7.28,7.28,0.03(0.41 %),7782700,57046236000.0,0,0,7.21,7.45,7.15
02/07/2025,7.25,7.25,0.09(1.26 %),4000900,28779426000.0,0,0,7.15,7.25,7.08
01/07/2025,7.16,7.16,-0.02(-0.28 %),4077900,29025408000.0,0,0,7.2,7.22,7.03
