Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
22/12/2009,0,0,25(-16.67 %),0,0,0,0,1734532,14.31
23/12/2009,0,0,25(-6.72 %),0,0,0,0,1734532,14.31
24/12/2009,0,0,25(0.00 %),0,0,0,0,1734532,14.31
25/12/2009,0,0,24.5(-0.41 %),0,0,0,0,1734532,14.31
28/12/2009,0,0,25(0.00 %),0,0,0,0,1734532,14.31
29/12/2009,0,0,24.5(-2.39 %),0,0,0,0,1734532,14.31
30/12/2009,0,0,23.6(-4.07 %),0,0,0,0,1734532,14.31
31/12/2009,0,0,25(5.49 %),0,0,0,0,1734532,14.31
04/01/2010,0,0,26.8(6.77 %),0,0,0,0,1734532,14.31
05/01/2010,0,0,28(6.46 %),0,0,0,0,1734532,14.31
06/01/2010,0,0,28.1(0.00 %),0,0,0,0,1734532,14.31
07/01/2010,0,0,25.8(-6.18 %),0,0,0,0,1734532,14.31
08/01/2010,0,0,25.2(-6.67 %),0,0,0,0,1734532,14.31
11/01/2010,0,0,24(-5.14 %),0,0,0,0,1734532,14.31
12/01/2010,0,0,23(-4.17 %),0,0,0,0,1734532,14.31
13/01/2010,0,0,25(4.17 %),0,0,0,0,1734532,14.31
14/01/2010,0,0,25(0.40 %),0,0,0,0,1734532,14.31
15/01/2010,0,0,25.1(0.00 %),0,0,0,0,1734532,14.31
18/01/2010,0,0,25(0.40 %),0,0,0,0,1734532,14.31
19/01/2010,0,0,25.2(0.80 %),0,0,0,0,1734532,14.31
20/01/2010,0,0,26.9(6.75 %),0,0,0,0,1734532,14.31
21/01/2010,0,0,28.4(6.77 %),0,0,0,0,1734532,14.31
22/01/2010,0,0,28.9(1.76 %),0,0,0,0,1734532,14.31
25/01/2010,0,0,27.5(-6.14 %),0,0,0,0,1734532,14.31
26/01/2010,0,0,27.8(-0.71 %),0,0,0,0,1734532,14.31
27/01/2010,0,0,26.2(-5.42 %),0,0,0,0,1734532,14.31
28/01/2010,0,0,25.4(-6.96 %),0,0,0,0,1734532,14.31
29/01/2010,0,0,25.6(0.00 %),0,0,0,0,1734532,14.31
01/02/2010,0,0,25.5(2.82 %),0,0,0,0,1734532,14.31
02/02/2010,0,0,25.2(0.40 %),0,0,0,0,1734532,14.31
03/02/2010,0,0,25.4(0.00 %),0,0,0,0,1734532,14.31
04/02/2010,0,0,26.8(5.51 %),0,0,0,0,1734532,14.31
05/02/2010,0,0,25.5(-2.67 %),0,0,0,0,1734532,14.31
08/02/2010,0,0,24.5(-3.92 %),0,0,0,0,1734532,14.31
09/02/2010,0,0,24.8(-1.20 %),0,0,0,0,1734532,14.31
10/02/2010,0,0,24.2(-3.20 %),0,0,0,0,1734532,14.31
11/02/2010,0,0,23.6(-2.88 %),0,0,0,0,1734532,14.31
12/02/2010,0,0,25.2(6.78 %),0,0,0,0,1734532,14.31
