Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
28/09/2009,48.45,83.0,14.5(21.17 %),630600,50984470000,0,0,68.5,85.0,68.5
29/09/2009,46.12,79.0,-1.9(-2.35 %),118700,9537840000,0,0,86.5,86.5,76.1
30/09/2009,43.66,74.8,-5.6(-6.97 %),57100,4322430000,0,0,81.0,81.0,74.8
01/10/2009,41.15,70.5,-5.2(-6.87 %),25500,1800190000,0,0,70.5,72.6,70.5
02/10/2009,38.35,65.7,-4.9(-6.94 %),37700,2476890000,0,0,65.7,65.7,65.7
05/10/2009,35.73,61.2,-4.5(-6.85 %),224100,13758670000,0,0,61.2,63.3,61.2
06/10/2009,38.29,65.6,4.2(6.84 %),223500,14501610000,0,0,61.2,65.6,57.5
07/10/2009,40.51,69.4,4.5(6.93 %),89100,6183100000,0,0,69.4,69.4,69.3
08/10/2009,40.57,69.5,0.1(0.14 %),78400,5449050000,0,0,73.0,73.0,68.0
09/10/2009,40.28,69.0,-0.5(-0.72 %),228400,15850600000,0,0,68.9,71.9,68.0
12/10/2009,41.97,71.9,2.5(3.60 %),176700,12665750000,0,0,71.8,72.9,69.5
13/10/2009,41.45,71.0,-0.7(-0.98 %),138900,10002660000,0,0,76.7,76.7,70.5
14/10/2009,41.45,71.0,-1(-1.39 %),116400,8199860000,0,0,74.0,74.0,67.0
15/10/2009,41.56,71.2,0.8(1.14 %),141000,10205990000,6000,451800000,73.0,75.0,70.6
16/10/2009,40.28,69.0,-3.4(-4.70 %),190800,13134700000,0,0,72.5,72.5,68.0
19/10/2009,42.96,73.6,4.8(6.98 %),267100,19319200000,0,0,68.9,73.6,68.9
20/10/2009,45.12,77.3,5(6.92 %),31000,2396300000,0,0,77.3,77.3,77.3
21/10/2009,48.28,82.7,5.4(6.99 %),469000,38278860000,0,0,82.7,82.7,77.3
22/10/2009,47.87,82.0,0.4(0.49 %),232400,19060470000,0,0,85.0,85.0,78.0
23/10/2009,44.95,77.0,-5(-6.10 %),290900,23411040000,0,0,82.0,82.0,77.0
26/10/2009,44.54,76.3,-4.2(-5.22 %),133500,10443040000,0,0,78.9,80.0,76.0
27/10/2009,42.96,73.6,-4.6(-5.88 %),85600,6257740000,0,0,73.2,74.5,72.8
28/10/2009,43.55,74.6,1.5(2.05 %),44800,3338640000,32700,2223600000,72.0,77.0,72.0
29/10/2009,42.61,73.0,-1.5(-2.01 %),86300,6180170000,0,0,73.5,73.5,70.0
30/10/2009,43.72,74.9,3.3(4.61 %),22900,1673530000,0,0,76.5,76.5,73.0
02/11/2009,39.69,68.0,-5.1(-6.98 %),48300,3306880000,0,0,70.0,70.0,68.0
03/11/2009,37.65,64.5,-4(-5.84 %),105600,6802980000,0,0,65.1,68.5,63.8
04/11/2009,38.99,66.8,2.4(3.73 %),89400,5979570000,0,0,60.2,68.4,60.2
05/11/2009,41.74,71.5,4.6(6.88 %),64700,4577950000,0,0,68.0,71.5,67.0
06/11/2009,38.59,66.1,-4.7(-6.64 %),43400,3051570000,6100,401990000,75.5,75.5,66.1
09/11/2009,38.82,66.5,-3.8(-5.41 %),66200,4382300000,0,0,67.0,67.0,65.4
10/11/2009,39.11,67.0,0.8(1.21 %),54800,3651120000,0,0,66.3,69.0,61.6
11/11/2009,40.86,70.0,3.4(5.11 %),78400,5448580000,0,0,69.4,71.2,66.6
12/11/2009,42.5,72.8,3.3(4.75 %),46700,3360730000,0,0,72.0,73.0,70.8
13/11/2009,42.03,72.0,0(0.00 %),46200,3324460000,0,0,72.0,73.0,70.0
16/11/2009,41.74,71.5,-0.5(-0.69 %),30300,2190870000,0,0,72.5,72.9,71.5
17/11/2009,41.97,71.9,-0.4(-0.55 %),35400,2541040000,0,0,72.5,72.5,70.5
18/11/2009,42.15,72.2,0.4(0.56 %),32100,2313400000,0,0,71.8,72.4,70.5
19/11/2009,41.85,71.7,-0.4(-0.55 %),33500,2410260000,0,0,71.5,72.5,71.5
20/11/2009,41.68,71.4,-0.5(-0.70 %),15200,1089750000,0,0,72.0,72.2,71.1
23/11/2009,40.28,69.0,-2.7(-3.77 %),28400,1970830000,0,0,71.7,71.7,68.0
24/11/2009,39.81,68.2,-1.2(-1.73 %),36900,2564960000,0,0,69.0,71.0,68.0
25/11/2009,37.83,64.8,-4.7(-6.76 %),49900,3282400000,40000,2780000000,65.1,69.5,64.7
26/11/2009,35.73,61.2,-4.6(-6.99 %),50900,3147020000,15000,1020000000,61.3,66.5,61.2
27/11/2009,33.86,58.0,-3.8(-6.15 %),32900,1933750000,0,0,58.0,61.0,57.5
30/11/2009,36.72,62.9,4.1(6.97 %),47500,2974130000,75000,4717500000,59.8,62.9,59.8
01/12/2009,39.05,66.9,4.3(6.87 %),37100,2461660000,0,0,65.0,66.9,65.0
02/12/2009,39.69,68.0,1.6(2.41 %),78800,5370520000,320000,21248000000,69.0,70.5,66.9
03/12/2009,39.69,68.0,-0.2(-0.29 %),42800,2803600000,35500,2431750000,64.1,68.2,64.0
04/12/2009,39.99,68.5,3(4.58 %),77500,5210360000,50000,3400000000,65.8,68.9,63.1
07/12/2009,39.11,67.0,-0.2(-0.30 %),34400,2307190000,30000,2130000000,65.3,70.0,62.6
08/12/2009,39.11,67.0,-0.1(-0.15 %),93600,6168200000,30000,2040000000,62.6,67.9,62.5
09/12/2009,36.25,62.1,-3.8(-5.77 %),30600,1937300000,35000,2275000000,65.0,65.0,62.1
