Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
19/08/2009,4.54,19.4,-5.6(-22.40 %),29800,597770000,0,0,25.0,25.0,19.1
20/08/2009,4.37,18.7,-1.4(-6.97 %),15400,289660000,0,0,19.0,19.0,18.7
21/08/2009,4.28,18.3,-0.5(-2.66 %),42600,760420000,0,0,17.7,18.4,17.5
24/08/2009,4.09,17.5,-0.4(-2.23 %),17700,310590000,0,0,17.5,17.7,17.5
25/08/2009,3.98,17.0,-0.5(-2.86 %),11000,183080000,0,0,16.3,17.0,16.3
26/08/2009,4.14,17.7,1.1(6.63 %),10400,182080000,0,0,17.3,17.7,17.0
27/08/2009,4.09,17.5,0(0.00 %),7200,125040000,0,0,17.5,17.5,17.1
28/08/2009,4.09,17.5,0.1(0.57 %),8700,152730000,0,0,17.9,17.9,17.4
31/08/2009,4.23,18.1,0.5(2.84 %),7500,135460000,0,0,17.7,18.1,17.7
01/09/2009,4.21,18.0,-0.1(-0.55 %),12500,227170000,0,0,18.5,18.5,18.0
03/09/2009,4.19,17.9,-0.3(-1.65 %),2100,37390000,0,0,17.8,17.9,17.5
04/09/2009,4.16,17.8,0(0.00 %),5700,101460000,0,0,17.8,17.8,17.8
07/09/2009,3.98,17.0,-0.8(-4.49 %),1600,27080000,0,0,16.9,17.0,16.9
08/09/2009,4.02,17.2,0.3(1.78 %),9100,155930000,0,0,17.2,17.3,17.0
09/09/2009,4.0,17.1,0(0.00 %),5200,88660000,0,0,17.0,17.1,17.0
10/09/2009,4.0,17.1,0(0.00 %),5900,100370000,0,0,16.9,17.1,16.9
11/09/2009,3.98,17.0,0(0.00 %),13500,231500000,0,0,17.0,17.4,17.0
14/09/2009,4.02,17.2,0.1(0.58 %),8300,141220000,0,0,16.8,17.2,16.8
15/09/2009,4.05,17.3,0.3(1.76 %),7000,121100000,0,0,17.3,17.3,17.3
16/09/2009,4.07,17.4,0.1(0.58 %),500,8700000,0,0,17.4,17.4,17.4
17/09/2009,3.98,17.0,-0.4(-2.30 %),4200,71810000,0,0,17.0,17.2,17.0
18/09/2009,3.95,16.9,-0.2(-1.17 %),1700,28750000,0,0,16.9,17.1,16.9
21/09/2009,3.93,16.8,-0.1(-0.59 %),12400,206990000,0,0,16.6,16.8,16.6
22/09/2009,4.16,17.8,1.1(6.59 %),94700,1645380000,0,0,16.9,17.8,16.6
23/09/2009,4.35,18.6,1.2(6.90 %),53500,994420000,0,0,18.6,18.6,18.5
24/09/2009,4.21,18.0,-0.6(-3.23 %),12900,232000000,0,0,17.9,18.0,17.9
25/09/2009,4.35,18.6,0.6(3.33 %),30000,552570000,0,0,18.0,18.7,18.0
28/09/2009,4.35,18.6,0.2(1.09 %),10800,202880000,0,0,18.0,19.0,18.0
29/09/2009,4.21,18.0,-0.8(-4.26 %),4400,79650000,0,0,18.5,18.5,18.0
30/09/2009,4.21,18.0,-0.1(-0.55 %),18000,328800000,0,0,18.0,18.9,18.0
01/10/2009,4.21,18.0,-0.3(-1.64 %),17300,312510000,0,0,18.0,18.3,18.0
02/10/2009,4.19,17.9,-0.2(-1.10 %),19000,338070000,0,0,17.8,17.9,17.3
05/10/2009,4.21,18.0,0.2(1.12 %),2000,36000000,0,0,18.0,18.0,18.0
06/10/2009,4.37,18.7,0.7(3.89 %),15100,281050000,0,0,18.9,18.9,18.0
07/10/2009,4.37,18.7,0.1(0.54 %),41600,779850000,0,0,19.0,19.0,18.6
08/10/2009,4.37,18.7,0(0.00 %),57100,1058380000,0,0,19.0,19.1,17.9
09/10/2009,4.61,19.7,1.2(6.49 %),156900,3068420000,0,0,19.2,19.7,19.0
12/10/2009,4.89,20.9,1.3(6.63 %),10600,221540000,0,0,20.9,20.9,20.9
13/10/2009,5.21,22.3,1.4(6.70 %),47500,1058690000,0,0,22.3,22.3,22.0
14/10/2009,5.07,21.7,-0.6(-2.69 %),27600,590770000,0,0,23.0,23.5,20.8
15/10/2009,5.12,21.9,0.5(2.34 %),69200,1564300000,0,0,22.7,22.8,21.5
16/10/2009,5.03,21.5,-1.1(-4.87 %),30300,669600000,0,0,22.8,23.0,21.1
19/10/2009,4.84,20.7,-1.4(-6.33 %),18600,389620000,0,0,23.0,23.0,20.6
20/10/2009,5.1,21.8,0.9(4.31 %),30400,661070000,0,0,21.5,21.9,21.0
21/10/2009,5.05,21.6,-0.1(-0.46 %),12600,270970000,0,0,22.0,22.0,21.3
22/10/2009,5.14,22.0,0.5(2.33 %),57500,1269680000,0,0,20.9,23.0,20.8
23/10/2009,5.5,23.5,1.4(6.33 %),115000,2704390000,0,0,23.5,23.6,23.0
26/10/2009,5.17,22.1,-1.4(-5.96 %),32300,711780000,0,0,22.0,22.3,21.9
27/10/2009,5.12,21.9,-0.1(-0.45 %),47500,1030400000,0,0,22.0,22.0,21.4
