Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
05/09/2006,10.1,55.0,0(0.00 %),1650,90750,0,0,55.0,55.0,55.0
06/09/2006,10.56,57.5,2.5(4.55 %),32350,1860125,0,0,57.5,57.5,57.5
07/09/2006,10.56,57.5,0(0.00 %),47960,2799790,0,0,59.0,59.0,57.5
08/09/2006,10.38,56.5,-1(-1.74 %),20760,1174690,0,0,57.0,57.0,56.5
11/09/2006,9.92,54.0,-2.5(-4.42 %),52310,2824740,0,0,54.0,54.0,54.0
12/09/2006,9.46,51.5,-2.5(-4.63 %),21260,1094890,0,0,51.5,51.5,51.5
13/09/2006,9.18,50.0,-1.5(-2.91 %),120660,5963200,0,0,49.0,50.0,49.0
14/09/2006,9.64,52.5,2.5(5.00 %),61950,3252375,0,0,52.5,52.5,52.5
15/09/2006,9.92,54.0,1.5(2.86 %),45530,2496560,0,0,55.0,55.0,54.0
18/09/2006,9.64,52.5,-1.5(-2.78 %),14450,764325,0,0,54.0,54.0,52.5
19/09/2006,9.64,52.5,0(0.00 %),15450,810100,0,0,52.0,52.5,52.0
20/09/2006,9.55,52.0,-0.5(-0.95 %),46830,2447030,0,0,52.5,52.5,52.0
21/09/2006,9.55,52.0,0(0.00 %),12450,646150,0,0,51.5,52.0,51.5
22/09/2006,9.37,51.0,-1(-1.92 %),12300,628100,0,0,51.5,52.0,51.5
25/09/2006,9.46,51.5,0.5(0.98 %),39370,2013570,0,0,51.0,51.5,51.0
26/09/2006,9.46,51.5,0(0.00 %),25010,1286065,0,0,51.0,51.5,51.0
27/09/2006,9.46,51.5,0(0.00 %),35810,1834500,0,0,51.0,51.5,51.0
28/09/2006,9.46,51.5,0(0.00 %),9380,483070,0,0,51.5,51.5,51.5
29/09/2006,9.46,51.5,0(0.00 %),27510,1416765,0,0,51.5,51.5,51.5
02/10/2006,9.46,51.5,0(0.00 %),34570,1765740,0,0,50.5,51.5,50.5
03/10/2006,9.46,51.5,0(0.00 %),19680,1013520,0,0,51.5,51.5,51.5
04/10/2006,9.55,52.0,0.5(0.97 %),16520,857050,0,0,51.5,52.5,51.5
05/10/2006,9.55,52.0,0(0.00 %),17210,901170,0,0,53.0,53.0,52.0
06/10/2006,9.55,52.0,0(0.00 %),13830,722310,0,0,52.5,52.5,52.0
09/10/2006,9.55,52.0,0(0.00 %),13560,709170,0,0,52.5,52.5,52.0
10/10/2006,9.55,52.0,0(0.00 %),9360,484640,0,0,50.5,52.0,50.5
11/10/2006,9.37,51.0,-1(-1.92 %),5900,304900,0,0,52.0,52.0,51.0
12/10/2006,9.46,51.5,0.5(0.98 %),8520,441530,0,0,52.0,52.0,51.5
13/10/2006,9.46,51.5,0(0.00 %),35080,1806470,0,0,51.0,51.5,51.0
16/10/2006,9.37,51.0,-0.5(-0.97 %),10100,517600,0,0,51.5,51.5,51.0
17/10/2006,9.09,49.5,-1.5(-2.94 %),9400,466690,0,0,50.5,50.5,49.5
18/10/2006,9.0,49.0,-0.5(-1.01 %),7600,372400,0,0,49.0,49.0,49.0
19/10/2006,9.18,50.0,1(2.04 %),19340,966725,0,0,49.5,50.0,49.5
20/10/2006,9.18,50.0,0(0.00 %),25310,1265500,0,0,50.0,50.0,50.0
23/10/2006,9.37,51.0,1(2.00 %),18600,947750,0,0,50.5,51.0,50.5
24/10/2006,9.18,50.0,-1(-1.96 %),5160,254970,0,0,50.5,51.0,50.5
25/10/2006,9.18,50.0,0(0.00 %),15400,770000,0,0,50.0,50.0,50.0
26/10/2006,9.13,49.7,-0.3(-0.60 %),12200,605000,0,0,49.5,49.7,49.5
27/10/2006,9.09,49.5,-0.2(-0.40 %),7290,360855,0,0,49.7,49.7,49.5
30/10/2006,8.82,48.0,-1.5(-3.03 %),8460,409215,0,0,49.5,49.5,47.7
31/10/2006,9.0,49.0,1(2.08 %),9390,453060,0,0,48.0,49.0,48.0
01/11/2006,9.09,49.5,0.5(1.02 %),8300,410850,0,0,49.0,49.5,49.0
02/11/2006,9.0,49.0,-0.5(-1.01 %),7890,386660,0,0,49.5,49.5,49.0
03/11/2006,8.85,48.2,-0.8(-1.63 %),1000,48600,0,0,49.0,49.0,48.2
06/11/2006,9.07,49.4,1.2(2.49 %),700,34340,0,0,48.2,49.4,48.2
07/11/2006,9.09,49.5,0.1(0.20 %),15460,765870,0,0,49.5,49.5,49.5
08/11/2006,9.07,49.4,-0.1(-0.20 %),830,41065,0,0,49.5,50.0,49.5
09/11/2006,9.07,49.4,0(0.00 %),100,4940,0,0,49.4,49.4,49.4
10/11/2006,9.07,49.4,0(0.00 %),1250,61750,0,0,49.4,49.4,49.4
13/11/2006,8.87,48.3,-1.1(-2.23 %),5010,241983,0,0,48.3,48.3,48.3
14/11/2006,8.91,48.5,0.2(0.41 %),8660,422335,0,0,48.5,48.5,48.5
15/11/2006,8.82,48.0,-0.5(-1.03 %),10900,527700,0,0,48.5,48.5,48.0
16/11/2006,8.63,47.0,-1(-2.08 %),740,34980,0,0,48.0,48.0,46.6
17/11/2006,8.54,46.5,-0.5(-1.06 %),18870,886140,0,0,47.0,47.0,46.5
20/11/2006,8.54,46.5,0(0.00 %),12720,593908,0,0,46.9,46.9,46.5
21/11/2006,8.34,45.4,-1.1(-2.37 %),7420,338872,0,0,46.0,46.0,45.4
22/11/2006,8.16,44.4,-1(-2.20 %),13030,579612,0,0,45.0,45.0,44.4
23/11/2006,8.56,46.6,2.2(4.95 %),21420,959113,0,0,44.4,46.6,44.4
24/11/2006,8.98,48.9,2.3(4.94 %),10560,516384,0,0,48.9,48.9,48.9
27/11/2006,9.02,49.1,0.2(0.41 %),42400,2142070,0,0,51.0,51.0,49.1
28/11/2006,8.82,48.0,-1.1(-2.24 %),6070,290320,0,0,46.7,48.0,46.7
29/11/2006,8.45,46.0,-2(-4.17 %),3250,149500,0,0,46.0,46.0,46.0
30/11/2006,8.45,46.0,0(0.00 %),8890,408940,0,0,46.0,46.0,46.0
01/12/2006,8.36,45.5,-0.5(-1.09 %),2940,133920,0,0,46.0,46.0,45.5
04/12/2006,8.16,44.4,-1.1(-2.42 %),9650,430110,0,0,45.0,45.0,44.4
05/12/2006,8.17,44.5,0.1(0.23 %),6600,293700,0,0,44.4,44.5,44.4
06/12/2006,8.16,44.4,-0.1(-0.22 %),7720,342768,0,0,44.5,44.5,44.4
07/12/2006,7.81,42.5,-1.9(-4.28 %),12200,517000,0,0,42.3,42.5,42.3
08/12/2006,7.81,42.5,0(0.00 %),2000,85000,0,0,42.5,42.5,42.5
11/12/2006,7.71,42.0,-0.5(-1.18 %),11850,500050,0,0,42.5,42.5,42.0
12/12/2006,7.53,41.0,-1(-2.38 %),13700,558050,0,0,40.0,41.0,40.0
13/12/2006,7.44,40.5,-0.5(-1.22 %),8180,337050,0,0,42.0,42.0,40.5
14/12/2006,7.81,42.5,2(4.94 %),10370,440725,0,0,42.5,42.5,42.5
15/12/2006,8.19,44.6,2.1(4.94 %),5480,244408,0,0,44.6,44.6,44.6
18/12/2006,8.6,46.8,2.2(4.93 %),5370,251316,0,0,44.6,44.6,44.6
19/12/2006,8.67,47.2,0.4(0.85 %),42000,2051818,0,0,49.1,49.1,47.2
20/12/2006,8.36,45.5,-1.7(-3.60 %),14970,679700,0,0,45.0,45.5,45.0
21/12/2006,7.95,43.3,-2.2(-4.84 %),12500,541759,0,0,43.5,43.5,43.3
22/12/2006,7.99,43.5,0.2(0.46 %),2340,101208,0,0,41.2,43.5,41.2
25/12/2006,7.99,43.5,0(0.00 %),7300,316550,0,0,43.5,43.5,43.5
26/12/2006,7.95,43.3,-0.2(-0.46 %),7400,321280,0,0,43.5,43.5,43.0
27/12/2006,8.27,45.0,1.7(3.93 %),33500,1518300,0,0,43.3,45.0,43.3
28/12/2006,7.99,43.5,-1.5(-3.33 %),8050,351225,0,0,43.5,43.5,43.5
29/12/2006,7.9,43.0,-0.5(-1.15 %),9600,412800,0,0,43.0,43.0,43.0
02/01/2007,7.81,42.5,-0.5(-1.16 %),10660,455000000,0,0,42.5,43.0,42.5
03/01/2007,7.81,42.5,0(0.00 %),9870,0,0,0,42.5,42.5,42.0
04/01/2007,7.86,42.8,0.3(0.71 %),14720,627000000,0,0,42.8,42.8,42.5
05/01/2007,8.25,44.9,2.1(4.91 %),19610,0,0,0,44.9,44.9,42.8
08/01/2007,8.45,46.0,1.1(2.45 %),21610,935000000,0,0,47.0,47.0,46.0
09/01/2007,8.03,43.7,-2.3(-5.00 %),5450,242000000,0,0,46.0,46.0,43.7
10/01/2007,7.9,43.0,-1(-2.27 %),7580,330000000,0,0,43.7,43.7,43.0
11/01/2007,7.99,43.5,0.5(1.16 %),4040,175000000,0,0,44.0,44.0,43.2
12/01/2007,8.01,43.6,0.1(0.23 %),11000,479000000,0,0,43.5,43.6,43.5
15/01/2007,7.92,43.1,-0.5(-1.15 %),10430,448000000,0,0,42.5,43.1,42.5
16/01/2007,8.06,43.9,0.8(1.86 %),3930,172000000,0,0,43.1,43.9,43.1
17/01/2007,8.01,43.6,-0.3(-0.68 %),2680,117000000,0,0,43.9,43.6,43.6
18/01/2007,8.08,44.0,0.4(0.92 %),2900,128000000,0,0,44.0,44.0,44.0
19/01/2007,7.92,43.1,-0.9(-2.05 %),14610,631000000,0,0,43.5,43.5,43.1
22/01/2007,7.53,41.0,-2.1(-4.87 %),7150,307000000,0,0,43.1,43.1,41.0
23/01/2007,7.57,41.2,0.2(0.49 %),9000,369000000,0,0,41.0,41.2,41.0
24/01/2007,7.9,43.0,1.8(4.37 %),9270,399000000,0,0,43.0,43.0,43.0
25/01/2007,8.06,43.9,0.9(2.09 %),14950,652000000,0,0,43.5,43.9,43.5
26/01/2007,8.45,46.0,2.1(4.78 %),22340,1020000000,0,0,43.9,46.0,45.0
29/01/2007,8.17,44.5,-1.5(-3.26 %),8190,370000000,0,0,44.5,46.0,44.0
30/01/2007,8.45,46.0,1.5(3.37 %),16420,745000000,0,0,45.0,46.0,45.0
31/01/2007,8.6,46.8,0.1(0.21 %),12950,1295000000,0,0,46.7,46.8,46.8
01/02/2007,8.45,46.0,-0.8(-1.71 %),5320,532000000,0,0,46.8,46.8,46.0
02/02/2007,8.19,44.6,-1.4(-3.04 %),3480,348000000,0,0,46.0,44.6,44.6
05/02/2007,8.45,46.0,1.4(3.14 %),17700,807000000,0,0,46.0,46.0,44.6
06/02/2007,8.82,48.0,2(4.35 %),15200,725000000,0,0,48.0,48.0,47.0
07/02/2007,9.18,50.0,2(4.17 %),31190,1560000000,0,0,50.0,50.0,50.0
08/02/2007,9.64,52.5,2.5(5.00 %),71910,3775000000,0,0,52.5,52.5,52.5
09/02/2007,9.18,50.0,-2.5(-4.76 %),34400,1786000000,0,0,50.0,52.5,50.0
12/02/2007,9.18,50.0,0(0.00 %),11600,580000000,0,0,50.0,50.0,50.0
13/02/2007,9.41,50.0,1.3(2.67 %),4470,224000000,0,0,50.0,50.0,50.0
14/02/2007,9.41,50.0,0(0.00 %),6430,322000000,0,0,50.0,50.0,50.0
15/02/2007,9.69,51.5,1.5(3.00 %),5490,282000000,0,0,51.5,51.5,51.0
26/02/2007,10.07,53.5,2(3.88 %),28610,1471000000,0,0,53.5,53.5,50.0
27/02/2007,10.54,56.0,2.5(4.67 %),28440,1592000000,0,0,56.0,56.0,55.5
28/02/2007,10.92,58.0,2(3.57 %),41320,2403000000,0,0,58.0,58.5,58.0
01/03/2007,10.92,58.0,0(0.00 %),13460,781000000,0,0,58.0,58.0,58.0
02/03/2007,10.92,58.0,0(0.00 %),34530,1986000000,0,0,56.0,58.0,56.0
05/03/2007,11.1,59.0,1(1.72 %),27300,1604000000,0,0,59.0,59.0,58.0
06/03/2007,11.1,59.0,0(0.00 %),28010,1647000000,0,0,59.0,59.0,58.0
07/03/2007,11.57,61.5,2.5(4.24 %),33390,2028000000,0,0,61.5,61.5,60.0
08/03/2007,12.14,64.5,3(4.88 %),38170,2462000000,0,0,64.5,64.5,64.5
09/03/2007,12.7,67.5,3(4.65 %),36970,2495000000,0,0,67.5,67.5,67.5
12/03/2007,13.27,70.5,3(4.44 %),28680,2022000000,0,0,70.5,70.5,70.5
13/03/2007,12.8,68.0,-2.5(-3.55 %),28800,2022000000,0,0,68.0,74.0,67.0
14/03/2007,12.23,65.0,-3(-4.41 %),9700,640000000,0,0,65.0,68.0,65.0
15/03/2007,11.67,62.0,-3(-4.62 %),3920,243000000,0,0,62.0,62.0,62.0
16/03/2007,11.1,59.0,-3(-4.84 %),50530,2981000000,0,0,59.0,59.0,59.0
19/03/2007,11.57,61.5,2.5(4.24 %),10030,616000000,0,0,59.0,61.5,59.0
20/03/2007,11.57,61.5,0(0.00 %),38070,2428000000,0,0,64.5,64.5,61.5
