Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
07/11/2001,3000,84900,0(0.00 %),3000,84900,0,0,0,0.0
14/11/2001,1200,35760,0(0.00 %),1200,35760,0,0,0,0.0
21/11/2001,7500,227250,0(0.00 %),7500,227250,0,0,0,0.0
17/12/2001,7000,179200,0(0.00 %),7000,179200,0,0,0,0.0
24/12/2001,5600,143920,0(0.00 %),5600,143920,0,0,0,0.0
26/12/2001,11400,287280,0(0.00 %),11400,287280,0,0,0,0.0
22/02/2002,-1300,-30550,0(0.00 %),0,0,1300,30550,0,0.0
01/03/2002,-5000,-117500,0(0.00 %),0,0,5000,117500,0,0.0
07/03/2002,9900,216810,0(0.00 %),9900,216810,0,0,0,0.0
08/03/2002,15300,328950,0(0.00 %),15300,328950,0,0,0,0.0
29/03/2002,6000,144600,0(0.00 %),6000,144600,0,0,0,0.0
26/04/2002,3000,69000,0(0.00 %),3000,69000,0,0,0,0.0
19/05/2003,100,1290,0(0.00 %),100,1290,0,0,0,0.0
08/10/2003,-520,-6500,0(0.00 %),0,0,520,6500,0,0.0
13/10/2003,250,3100,0(0.00 %),250,3100,0,0,0,0.0
04/11/2003,420,4998,0(0.00 %),420,4998,0,0,0,0.0
10/11/2003,-200,-2460,0(0.00 %),0,0,200,2460,0,0.0
19/11/2003,-20,-290,0(0.00 %),0,0,20,290,0,0.0
20/11/2003,18900,287280,0(0.00 %),18900,287280,0,0,0,0.0
21/11/2003,10000,155000,0(0.00 %),10000,155000,0,0,0,0.0
23/12/2003,-1440,-20304,0(0.00 %),100,1410,1540,21714,0,0.0
24/12/2003,-970,-13677,0(0.00 %),0,0,970,13677,0,0.0
25/12/2003,-1000,-14100,0(0.00 %),0,0,1000,14100,0,0.0
08/01/2004,-500,-7050,0(0.00 %),0,0,500,7050,0,0.0
10/02/2004,-910,-13499,0(0.00 %),0,0,910,13499,0,0.0
12/02/2004,-10,-149,0(0.00 %),0,0,10,149,0,0.0
24/02/2004,-5000,-81500,0(0.00 %),0,0,5000,81500,0,0.0
25/05/2004,-3000,-40500,0(0.00 %),0,0,3000,40500,0,0.0
27/05/2004,-2380,-32130,0(0.00 %),0,0,2380,32130,0,0.0
02/06/2004,-570,-7695,0(0.00 %),0,0,570,7695,0,0.0
15/06/2004,200,2800,0(0.00 %),200,2800,0,0,0,0.0
09/07/2004,100,1380,0(0.00 %),100,1380,0,0,0,0.0
02/03/2005,-3100,-41540,0(0.00 %),0,0,3100,41540,0,0.0
03/03/2005,-460,-6210,0(0.00 %),0,0,460,6210,0,0.0
25/03/2005,-200,-2820,0(0.00 %),0,0,200,2820,0,0.0
12/04/2005,-1380,-19182,0(0.00 %),0,0,1380,19182,0,0.0
15/04/2005,-510,-7038,0(0.00 %),0,0,510,7038,0,0.0
14/07/2005,-80,-1136,0(0.00 %),0,0,80,1136,0,0.0
15/07/2005,-3640,-51688,0(0.00 %),0,0,3640,51688,0,0.0
