Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
16/12/2009,0,0,0(0.00 %),0,0,0,0,2416905,21.23
17/12/2009,100,1650000,0(0.00 %),100,1650000,0,0,2416805,21.23
18/12/2009,0,0,0(0.00 %),0,0,0,0,2416805,21.23
21/12/2009,0,0,0(0.00 %),0,0,0,0,2416805,21.23
22/12/2009,0,0,0(0.00 %),0,0,0,0,2416805,21.23
23/12/2009,0,0,0(0.00 %),0,0,0,0,2416805,21.23
24/12/2009,0,0,0(0.00 %),0,0,0,0,2416805,21.23
25/12/2009,0,0,0(0.00 %),0,0,0,0,2416805,21.23
28/12/2009,0,0,0(0.00 %),0,0,0,0,2416805,21.23
29/12/2009,0,0,0(0.00 %),0,0,0,0,2416805,21.23
30/12/2009,0,0,16.9(6.96 %),0,0,0,0,2416805,21.23
31/12/2009,0,0,17.7(6.63 %),0,0,0,0,2416805,21.23
04/01/2010,0,0,18.9(6.78 %),0,0,0,0,2416805,21.23
05/01/2010,0,0,20.2(6.88 %),0,0,0,0,2416805,21.23
06/01/2010,0,0,21.6(6.93 %),0,0,0,0,2416805,21.23
07/01/2010,0,0,23.1(6.94 %),0,0,0,0,2416805,21.23
08/01/2010,2000,49400000,24.7(6.93 %),2000,49400000,0,0,2414805,21.25
11/01/2010,0,0,22.9(-6.91 %),0,0,0,0,2414805,21.25
12/01/2010,100,2290000,21.7(-6.87 %),100,2290000,0,0,2414705,21.25
13/01/2010,0,0,21.5(-1.38 %),0,0,0,0,2414705,21.25
14/01/2010,0,0,22.1(6.76 %),0,0,0,0,2414705,21.25
15/01/2010,0,0,21.7(-1.36 %),0,0,0,0,2414705,21.25
18/01/2010,0,0,20.6(-6.79 %),0,0,0,0,2414705,21.25
19/01/2010,0,0,20.2(-1.94 %),0,0,0,0,2414705,21.25
20/01/2010,0,0,19.5(-5.34 %),0,0,0,0,2414705,21.25
21/01/2010,0,0,18.9(-5.97 %),0,0,0,0,2414705,21.25
22/01/2010,0,0,18(-6.74 %),0,0,0,0,2414705,21.25
25/01/2010,0,0,19.5(6.56 %),0,0,0,0,2414705,21.25
26/01/2010,0,0,20.5(6.77 %),0,0,0,0,2414705,21.25
27/01/2010,0,0,20.5(0.00 %),0,0,0,0,2414705,21.25
28/01/2010,0,0,18.9(-6.44 %),0,0,0,0,2414705,21.25
29/01/2010,0,0,18.8(-3.59 %),0,0,0,0,2414705,21.25
01/02/2010,0,0,19.1(1.06 %),0,0,0,0,2414705,21.25
02/02/2010,0,0,18.6(-2.62 %),0,0,0,0,2414705,21.25
03/02/2010,0,0,18.6(0.00 %),0,0,0,0,2414705,21.25
04/02/2010,0,0,19(3.83 %),0,0,0,0,2414705,21.25
05/02/2010,-2100,-37800000,18.1(-4.23 %),0,0,2100,37800000,2416805,21.23
08/02/2010,0,0,19.3(6.63 %),0,0,0,0,2416805,21.23
09/02/2010,0,0,18.8(-1.05 %),0,0,0,0,2416805,21.23
10/02/2010,0,0,18.8(0.53 %),0,0,0,0,2416805,21.23
11/02/2010,0,0,18.3(-3.17 %),0,0,0,0,2416805,21.23
12/02/2010,0,0,18.8(2.17 %),0,0,0,0,2416805,21.23
22/02/2010,0,0,18.8(1.08 %),0,0,0,0,2416805,21.23
23/02/2010,0,0,18.3(-2.14 %),0,0,0,0,2416805,21.23
24/02/2010,0,0,18.5(0.54 %),0,0,0,0,2416805,21.23
25/02/2010,0,0,19.5(6.56 %),0,0,0,0,2416805,21.23
26/02/2010,2000,40040000,19.8(1.54 %),2000,40040000,0,0,4261880,21.25
01/03/2010,0,0,20.7(5.08 %),0,0,0,0,4261880,0.02
02/03/2010,0,0,21.2(4.43 %),0,0,0,0,4261880,0.02
03/03/2010,0,0,22.2(5.21 %),0,0,0,0,4261880,0.02
04/03/2010,0,0,22.7(6.07 %),0,0,0,0,4261880,0.02
05/03/2010,0,0,23.8(4.85 %),0,0,0,0,4261880,0.02
08/03/2010,0,0,25.2(6.78 %),0,0,0,0,4261880,0.02
09/03/2010,-2000,-53600000,26.8(6.77 %),0,0,2000,53600000,4263880,0.0
10/03/2010,0,0,28.3(6.79 %),0,0,0,0,4263880,0.0
11/03/2010,0,0,30.1(6.74 %),0,0,0,0,4263880,0.0
12/03/2010,0,0,32.2(6.98 %),0,0,0,0,4263880,0.0
15/03/2010,0,0,34.4(6.83 %),0,0,0,0,4263880,0.0
16/03/2010,0,0,35(2.04 %),0,0,0,0,4263880,0.0
