Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
SHP,02/11/2022,0,400,0,10960000
SHP,30/03/2023,0,100,0,2715000
SHP,01/06/2023,0,30000,0,843000000
SHP,06/06/2023,0,70700,0,2014950000
SHP,07/06/2023,0,2000,0,57000000
SHP,12/06/2023,0,178600,0,5054380000
SHP,13/06/2023,0,11500,0,325470000
SHP,15/06/2023,0,10100,0,285325000
SHP,16/06/2023,0,106600,0,3011510000
SHP,19/06/2023,0,18700,0,528275000
SHP,20/06/2023,0,8800,0,248160000
SHP,21/06/2023,0,23000,0,652050000
SHP,04/07/2023,0,50000,0,1354860000
SHP,07/07/2023,0,6600,0,178200000
SHP,10/07/2023,0,700,0,18900000
SHP,11/07/2023,0,42700,0,1144510000
SHP,01/08/2023,0,80000,0,2269000000
SHP,02/08/2023,0,20000,0,569000000
