Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
10/10/2019,0,0,8(-33.33 %),0,0,0,0,4900000,0.0
11/10/2019,0,0,8.4(-14.29 %),0,0,0,0,4900000,0.0
14/10/2019,0,0,7.4(-13.95 %),0,0,0,0,4900000,0.0
15/10/2019,0,0,7.4(0.00 %),0,0,0,0,4900000,0.0
16/10/2019,0,0,5.4(-14.29 %),0,0,0,0,4900000,0.0
17/10/2019,0,0,5(-7.41 %),0,0,0,0,4900000,0.0
18/10/2019,0,0,5.4(5.88 %),0,0,0,0,4900000,0.0
21/10/2019,0,0,5.9(7.27 %),0,0,0,0,4900000,0.0
22/10/2019,0,0,6.6(11.86 %),0,0,0,0,4900000,0.0
23/10/2019,0,0,5.9(-3.28 %),0,0,0,0,4900000,0.0
24/10/2019,0,0,5.1(-13.56 %),0,0,0,0,4900000,0.0
25/10/2019,0,0,4.6(-14.81 %),0,0,0,0,4900000,0.0
28/10/2019,0,0,5(6.38 %),0,0,0,0,4900000,0.0
29/10/2019,0,0,5.5(10.00 %),0,0,0,0,4900000,0.0
30/10/2019,0,0,5.5(0.00 %),0,0,0,0,4900000,0.0
31/10/2019,0,0,5.5(0.00 %),0,0,0,0,4900000,0.0
01/11/2019,0,0,5.5(0.00 %),0,0,0,0,4900000,0.0
04/11/2019,0,0,5.5(0.00 %),0,0,0,0,4900000,0.0
05/11/2019,0,0,4.7(-14.55 %),0,0,0,0,4900000,0.0
06/11/2019,0,0,4.7(0.00 %),0,0,0,0,4900000,0.0
07/11/2019,0,0,4.7(0.00 %),0,0,0,0,4900000,0.0
08/11/2019,0,0,5.4(14.89 %),0,0,0,0,4900000,0.0
11/11/2019,0,0,5.5(1.85 %),0,0,0,0,4900000,0.0
12/11/2019,0,0,5.9(7.27 %),0,0,0,0,4900000,0.0
13/11/2019,0,0,5.9(0.00 %),0,0,0,0,4900000,0.0
14/11/2019,0,0,5.2(-11.86 %),0,0,0,0,4900000,0.0
15/11/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
18/11/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
19/11/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
20/11/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
21/11/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
22/11/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
25/11/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
26/11/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
27/11/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
28/11/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
29/11/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
02/12/2019,0,0,0(0.00 %),0,0,0,0,4900000,0.0
03/12/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
04/12/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
05/12/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
06/12/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
09/12/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
10/12/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
11/12/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
12/12/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
13/12/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
16/12/2019,0,0,5(-3.85 %),0,0,0,0,4900000,0.0
17/12/2019,0,0,5.2(4.00 %),0,0,0,0,4900000,0.0
18/12/2019,0,0,5.2(0.00 %),0,0,0,0,4900000,0.0
19/12/2019,0,0,5.9(13.46 %),0,0,0,0,4900000,0.0
20/12/2019,0,0,5.9(0.00 %),0,0,0,0,4900000,0.0
23/12/2019,0,0,6.5(10.17 %),0,0,0,0,4900000,0.0
24/12/2019,0,0,6.5(0.00 %),0,0,0,0,4900000,0.0
25/12/2019,0,0,6.5(0.00 %),0,0,0,0,4900000,0.0
26/12/2019,0,0,6.5(0.00 %),0,0,0,0,4900000,0.0
27/12/2019,0,0,6.5(0.00 %),0,0,0,0,4900000,0.0
30/12/2019,0,0,6.5(0.00 %),0,0,0,0,4900000,0.0
31/12/2019,0,0,6.5(0.00 %),0,0,0,0,4900000,0.0
02/01/2020,0,0,6.5(0.00 %),0,0,0,0,4900000,0.0
03/01/2020,0,0,6.5(0.00 %),0,0,0,0,4900000,0.0
06/01/2020,0,0,6.5(0.00 %),0,0,0,0,4900000,0.0
07/01/2020,0,0,5.6(-13.85 %),0,0,0,0,4900000,0.0
08/01/2020,0,0,5.6(0.00 %),0,0,0,0,4900000,0.0
09/01/2020,0,0,5.6(0.00 %),0,0,0,0,4900000,0.0
10/01/2020,0,0,5.6(0.00 %),0,0,0,0,4900000,0.0
13/01/2020,0,0,5.6(0.00 %),0,0,0,0,4900000,0.0
14/01/2020,0,0,5.6(0.00 %),0,0,0,0,4900000,0.0
15/01/2020,0,0,5.6(0.00 %),0,0,0,0,4900000,0.0
16/01/2020,0,0,5.6(0.00 %),0,0,0,0,4900000,0.0
20/01/2020,0,0,5.6(0.00 %),0,0,0,0,4900000,0.0
21/01/2020,0,0,5.6(0.00 %),0,0,0,0,4900000,0.0
22/01/2020,0,0,5.6(0.00 %),0,0,0,0,4900000,0.0
30/01/2020,0,0,5.6(0.00 %),0,0,0,0,4900000,0.0
31/01/2020,0,0,5.6(0.00 %),0,0,0,0,4900000,0.0
03/02/2020,0,0,4.8(-14.29 %),0,0,0,0,4900000,0.0
04/02/2020,0,0,4.5(-6.25 %),0,0,0,0,4900000,0.0
05/02/2020,0,0,4.5(0.00 %),0,0,0,0,4900000,0.0
06/02/2020,0,0,3.4(-15.00 %),0,0,0,0,4900000,0.0
07/02/2020,0,0,4(14.29 %),0,0,0,0,4900000,0.0
10/02/2020,0,0,3.7(0.00 %),0,0,0,0,4900000,0.0
11/02/2020,0,0,3.7(0.00 %),0,0,0,0,4900000,0.0
12/02/2020,0,0,4.2(13.51 %),0,0,0,0,4900000,0.0
13/02/2020,0,0,3.6(-14.29 %),0,0,0,0,4900000,0.0
14/02/2020,0,0,3.1(-13.89 %),0,0,0,0,4900000,0.0
17/02/2020,0,0,3.1(0.00 %),0,0,0,0,4900000,0.0
18/02/2020,0,0,3.5(12.90 %),0,0,0,0,4900000,0.0
19/02/2020,0,0,3.5(0.00 %),0,0,0,0,4900000,0.0
20/02/2020,0,0,3.5(0.00 %),0,0,0,0,4900000,0.0
21/02/2020,0,0,4(14.29 %),0,0,0,0,4900000,0.0
24/02/2020,0,0,4(0.00 %),0,0,0,0,4900000,0.0
25/02/2020,0,0,4(0.00 %),0,0,0,0,4900000,0.0
26/02/2020,0,0,4.4(10.00 %),0,0,0,0,4900000,0.0
