Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
SIP,22/09/2023,38700,0,2433530000,0
SIP,25/09/2023,8100,0,490050000,0
SIP,11/03/2024,0,14400,0,1228320000
SIP,16/05/2024,3000,0,263300000,0
SIP,21/05/2024,1500,0,134350000,0
SIP,22/05/2024,1500,0,134700000,0
SIP,23/05/2024,1000,0,90200000,0
SIP,27/05/2024,1000,0,88400000,0
SIP,29/05/2024,2000,0,182600000,0
SIP,24/07/2024,0,6500,0,512440000
SIP,02/08/2024,27600,0,2034120000,0
SIP,06/08/2024,0,27600,0,2025840000
SIP,07/08/2024,3100,0,221540000,0
SIP,08/08/2024,8000,0,565860000,0
SIP,15/08/2024,100,0,7200000,0
SIP,29/08/2024,2000,0,151600000,0
SIP,30/08/2024,4200,0,318980000,0
SIP,05/09/2024,200,200,14960000,15140000
SIP,06/09/2024,400,0,29440000,0
SIP,09/09/2024,2600,5800,190220000,425400000
SIP,10/09/2024,1600,600,116880000,43600000
SIP,11/09/2024,2000,200,144370000,14440000
SIP,12/09/2024,200,1000,14660000,73000000
SIP,13/09/2024,1800,200,131940000,14740000
SIP,16/09/2024,200,0,14760000,0
SIP,17/09/2024,400,1200,29280000,87840000
SIP,18/09/2024,200,200,14880000,14780000
SIP,19/09/2024,3200,0,237980000,0
SIP,24/09/2024,0,200,0,14600000
SIP,25/09/2024,0,400,0,29320000
SIP,26/09/2024,0,200,0,14720000
SIP,27/09/2024,4000,0,290800000,0
SIP,03/10/2024,200,7000,14380000,504470000
SIP,07/10/2024,0,400,0,28720000
SIP,08/10/2024,200,200,14640000,14300000
SIP,09/10/2024,1200,200,87860000,14680000
SIP,10/10/2024,2400,0,176630000,0
SIP,11/10/2024,0,200,0,14700000
SIP,14/10/2024,4600,0,341850000,0
SIP,15/10/2024,1200,0,89120000,0
SIP,16/10/2024,4200,600,311080000,44480000
SIP,17/10/2024,200,1000,14700000,72840000
SIP,18/10/2024,200,0,14720000,0
SIP,21/10/2024,0,200,0,14560000
SIP,22/10/2024,200,800,14360000,57640000
SIP,23/10/2024,0,200,0,14320000
SIP,24/10/2024,0,1400,0,100240000
SIP,28/10/2024,0,200,0,14090000
SIP,01/11/2024,0,400,0,29440000
SIP,04/11/2024,0,400,0,28840000
SIP,05/11/2024,0,600,0,43940000
SIP,07/11/2024,10000,4800,792400000,378860000
SIP,08/11/2024,0,3400,0,271860000
SIP,11/11/2024,0,2200,0,179150000
SIP,12/11/2024,6000,0,491600000,0
SIP,13/11/2024,0,5000,0,410050000
SIP,14/11/2024,0,3000,0,246200000
SIP,15/11/2024,0,5000,0,405270000
SIP,18/11/2024,0,7000,0,555050000
SIP,20/11/2024,2000,2000,150000000,150400000
SIP,21/11/2024,1000,0,74000000,0
SIP,22/11/2024,2600,0,196340000,0
SIP,26/11/2024,200,0,15540000,0
