Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
10/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
11/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
14/01/2008,100,7500000,0(0.00 %),100,7500000,0,0,0,0.0
15/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
16/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
17/01/2008,100,6800000,0(0.00 %),100,6800000,0,0,0,0.0
18/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
21/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
22/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
23/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
24/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
25/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
28/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
29/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
30/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
31/01/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
01/02/2008,0,0,0(0.00 %),0,0,0,0,0,0.0
12/02/2008,0,0,66.5(-4.45 %),0,0,0,0,0,0.0
13/02/2008,0,0,64(-3.47 %),0,0,0,0,0,0.0
14/02/2008,0,0,65(4.84 %),0,0,0,0,0,0.0
15/02/2008,0,0,65(-1.66 %),0,0,0,0,0,0.0
18/02/2008,0,0,61(-6.30 %),0,0,0,0,0,0.0
19/02/2008,0,0,61(1.50 %),0,0,0,0,0,0.0
20/02/2008,0,0,54.9(-9.85 %),0,0,0,0,0,0.0
21/02/2008,0,0,50.5(-9.98 %),0,0,0,0,0,0.0
22/02/2008,0,0,48(-5.14 %),0,0,0,0,0,0.0
25/02/2008,0,0,50.3(9.83 %),0,0,0,0,0,0.0
26/02/2008,100,4870000,45.1(-9.80 %),100,4870000,0,0,0,0.0
27/02/2008,0,0,43.1(-9.45 %),0,0,0,0,0,0.0
28/02/2008,0,0,40(-8.47 %),0,0,0,0,0,0.0
29/02/2008,0,0,37(-7.50 %),0,0,0,0,0,0.0
03/03/2008,0,0,33.5(-9.95 %),0,0,0,0,0,0.0
04/03/2008,0,0,31.3(-9.80 %),0,0,0,0,0,0.0
05/03/2008,0,0,28.5(-8.95 %),0,0,0,0,0,0.0
06/03/2008,0,0,31(9.93 %),0,0,0,0,0,0.0
07/03/2008,0,0,33.8(9.74 %),0,0,0,0,0,0.0
10/03/2008,0,0,34(0.59 %),0,0,0,0,0,0.0
11/03/2008,0,0,32.2(-9.80 %),0,0,0,0,0,0.0
12/03/2008,0,0,33(0.61 %),0,0,0,0,0,0.0
13/03/2008,500,17300000,35.5(2.60 %),500,17300000,0,0,0,0.0
14/03/2008,0,0,33(-0.90 %),0,0,0,0,0,0.0
17/03/2008,0,0,29.7(-10.00 %),0,0,0,0,0,0.0
18/03/2008,0,0,27(-9.70 %),0,0,0,0,0,0.0
19/03/2008,0,0,28(0.72 %),0,0,0,0,0,0.0
20/03/2008,0,0,27(-4.26 %),0,0,0,0,0,0.0
21/03/2008,0,0,24.4(-8.27 %),0,0,0,0,0,0.0
24/03/2008,0,0,22.2(-9.76 %),0,0,0,0,0,0.0
25/03/2008,0,0,20.1(-9.87 %),0,0,0,0,0,0.0
26/03/2008,0,0,20(-0.50 %),0,0,0,0,0,0.0
27/03/2008,0,0,21(1.94 %),0,0,0,0,0,0.0
28/03/2008,0,0,21.4(1.90 %),0,0,0,0,0,0.0
31/03/2008,0,0,21.8(1.87 %),0,0,0,0,0,0.0
01/04/2008,0,0,22.2(1.83 %),0,0,0,0,0,0.0
02/04/2008,0,0,22.6(1.80 %),0,0,0,0,0,0.0
03/04/2008,0,0,23(1.77 %),0,0,0,0,0,0.0
04/04/2008,0,0,23.4(1.74 %),0,0,0,0,0,0.0
07/04/2008,0,0,24.1(2.99 %),0,0,0,0,0,0.0
08/04/2008,0,0,24(-0.41 %),0,0,0,0,0,0.0
09/04/2008,200,4870000,23.8(-2.86 %),200,4870000,0,0,0,0.0
10/04/2008,0,0,23.8(-4.42 %),0,0,0,0,0,0.0
11/04/2008,0,0,24.2(-2.81 %),0,0,0,0,0,0.0
16/04/2008,0,0,23.5(-2.89 %),0,0,0,0,0,0.0
17/04/2008,0,0,24(2.13 %),0,0,0,0,0,0.0
18/04/2008,0,0,22.3(-2.62 %),0,0,0,0,0,0.0
21/04/2008,0,0,21.7(-2.69 %),0,0,0,0,0,0.0
22/04/2008,0,0,21.1(-2.76 %),0,0,0,0,0,0.0
23/04/2008,0,0,20.5(-2.84 %),0,0,0,0,0,0.0
24/04/2008,100,1990000,19.9(-2.93 %),100,1990000,0,0,0,0.0
25/04/2008,0,0,19.4(-2.51 %),0,0,0,0,0,0.0
28/04/2008,0,0,18.9(-2.58 %),0,0,0,0,0,0.0
29/04/2008,0,0,18.4(-2.65 %),0,0,0,0,0,0.0
05/05/2008,0,0,18.4(-2.65 %),0,0,0,0,0,0.0
06/05/2008,0,0,17.9(-2.72 %),0,0,0,0,0,0.0
07/05/2008,0,0,17.4(-2.79 %),0,0,0,0,0,0.0
08/05/2008,0,0,16.9(-2.87 %),0,0,0,0,0,0.0
09/05/2008,0,0,16.4(-2.96 %),0,0,0,0,0,0.0
12/05/2008,100,1600000,16(-2.44 %),100,1600000,0,0,0,0.0
13/05/2008,0,0,15.6(-2.50 %),0,0,0,0,0,0.0
14/05/2008,0,0,15.2(-2.56 %),0,0,0,0,0,0.0
15/05/2008,0,0,14.8(-2.63 %),0,0,0,0,0,0.0
16/05/2008,0,0,14.4(-2.70 %),0,0,0,0,0,0.0
19/05/2008,100,1400000,14(-2.78 %),100,1400000,0,0,0,0.0
20/05/2008,0,0,13.6(-2.86 %),0,0,0,0,0,0.0
21/05/2008,0,0,13.2(-2.94 %),0,0,0,0,0,0.0
22/05/2008,0,0,12.9(-2.27 %),0,0,0,0,0,0.0
23/05/2008,0,0,12.6(-2.33 %),0,0,0,0,0,0.0
26/05/2008,0,0,12.3(-2.38 %),0,0,0,0,0,0.0
27/05/2008,0,0,12(-2.44 %),0,0,0,0,0,0.0
28/05/2008,800,9360000,11.7(-2.50 %),800,9360000,0,0,0,0.0
29/05/2008,0,0,11.5(-1.71 %),0,0,0,0,0,0.0
30/05/2008,0,0,11.2(-2.61 %),0,0,0,0,0,0.0
02/06/2008,0,0,11.1(-2.63 %),0,0,0,0,0,0.0
03/06/2008,0,0,10.8(-2.70 %),0,0,0,0,0,0.0
04/06/2008,0,0,10.5(-2.78 %),0,0,0,0,0,0.0
05/06/2008,100,1020000,10.2(-2.86 %),100,1020000,0,0,0,0.0
06/06/2008,0,0,10(-1.96 %),0,0,0,0,0,0.0
09/06/2008,0,0,9.7(-2.02 %),0,0,0,0,0,0.0
10/06/2008,0,0,9.9(2.06 %),0,0,0,0,0,0.0
11/06/2008,0,0,9.9(2.06 %),0,0,0,0,0,0.0
12/06/2008,0,0,9.3(2.20 %),0,0,0,0,0,0.0
13/06/2008,0,0,9.5(2.15 %),0,0,0,0,0,0.0
16/06/2008,0,0,9.7(2.11 %),0,0,0,0,0,0.0
