Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
08/07/2014,0,0,0(0.00 %),0,0,0,0,874882,43.99
09/07/2014,0,0,0(0.00 %),0,0,0,0,874882,43.99
10/07/2014,0,0,0(0.00 %),0,0,0,0,874882,43.99
11/07/2014,-1450,-61625000,0(0.00 %),550,23375000,2000,85000000,874332,0.0
14/07/2014,10,427000,0(0.00 %),10,427000,0,0,874322,44.0
15/07/2014,160,6864000,0(0.00 %),160,6864000,0,0,874162,44.0
16/07/2014,0,0,0(0.00 %),0,0,0,0,874162,0.0
17/07/2014,0,0,0(0.00 %),0,0,0,0,874162,44.0
18/07/2014,0,0,48(4.35 %),0,0,0,0,876162,43.99
21/07/2014,1760,88040000,49.3(2.71 %),1860,93000000,100,4960000,874302,0.0
22/07/2014,390,18525000,48.8(-1.01 %),390,18525000,0,0,873912,0.0
23/07/2014,0,0,48.8(0.00 %),0,0,0,0,873912,0.0
24/07/2014,4000,189300000,45.8(-6.15 %),4000,189300000,0,0,869912,0.0
25/07/2014,1000,45586000,45.7(-0.22 %),1020,46516000,20,930000,868992,0.0
28/07/2014,0,0,45.7(0.00 %),0,0,0,0,868992,0.0
29/07/2014,0,0,45.8(0.22 %),0,0,0,0,868992,0.0
30/07/2014,3170,144850000,46(0.44 %),3170,144850000,0,0,865822,0.0
31/07/2014,30,1356000,45.7(-0.65 %),30,1356000,0,0,865812,0.0
01/08/2014,0,0,46(0.66 %),0,0,0,0,865812,0.0
04/08/2014,1000,46200000,47.2(2.61 %),1000,46200000,0,0,864812,0.0
05/08/2014,-2250,-108895000,48.8(3.39 %),1500,71700000,3750,180595000,863312,0.0
06/08/2014,2240,107100000,47.5(-2.66 %),2240,107100000,0,0,863312,44.06
07/08/2014,0,0,47.8(0.63 %),0,0,0,0,863312,44.06
08/08/2014,0,0,47.4(-0.84 %),0,0,0,0,861072,0.0
11/08/2014,7830,368452000,48.3(1.90 %),7830,368452000,0,0,856992,0.0
12/08/2014,760,35366000,48(-0.62 %),760,35366000,0,0,856232,0.0
13/08/2014,2430,112916000,47.6(-0.83 %),2430,112916000,0,0,853802,0.0
14/08/2014,120,5702000,47.6(0.00 %),120,5702000,0,0,853802,44.11
15/08/2014,0,0,46(-3.36 %),0,0,0,0,853682,44.11
18/08/2014,-500,-23450000,47(2.17 %),0,0,500,23450000,853682,0.0
19/08/2014,-200,-9320000,46.6(-0.85 %),0,0,200,9320000,853682,0.0
20/08/2014,5200,234250000,44.6(-4.29 %),5200,234250000,0,0,848482,0.0
21/08/2014,0,0,45.5(2.02 %),0,0,0,0,848482,0.0
22/08/2014,600,27060000,45.5(0.00 %),600,27060000,0,0,848982,44.14
25/08/2014,330,14874000,44.8(-1.54 %),330,14874000,0,0,848582,44.14
26/08/2014,0,0,44.9(0.22 %),0,0,0,0,848252,44.15
27/08/2014,0,0,44.2(-1.56 %),0,0,0,0,848252,44.15
28/08/2014,100,4434000,44.9(1.58 %),110,4874000,10,440000,848252,44.15
29/08/2014,0,0,44.9(0.00 %),0,0,0,0,848142,0.0
03/09/2014,0,0,44.7(-0.45 %),0,0,0,0,848142,44.15
04/09/2014,0,0,45.7(2.24 %),0,0,0,0,848142,0.0
05/09/2014,1010,46703000,45.6(-0.22 %),1400,64400000,390,17697000,846752,0.0
08/09/2014,4500,209700000,46.8(2.63 %),4500,209700000,0,0,846752,44.15
09/09/2014,500,23000000,45.8(-2.14 %),500,23000000,0,0,842252,44.18
10/09/2014,12000,548479000,45.8(0.00 %),12000,548479000,0,0,829752,0.0
11/09/2014,80,3692000,46.3(1.09 %),80,3692000,0,0,830062,0.0
12/09/2014,0,0,47(1.51 %),0,0,0,0,830062,0.0
15/09/2014,0,0,48(2.13 %),0,0,0,0,830062,44.25
16/09/2014,100,4204000,43.1(-10.21 %),100,4204000,0,0,829962,0.0
17/09/2014,3240,137840000,43(-0.23 %),3240,137840000,0,0,826722,0.0
18/09/2014,5600,234403000,41.9(-2.56 %),5600,234403000,0,0,821122,0.0
19/09/2014,30,1248000,41.6(-0.72 %),30,1248000,0,0,821092,0.0
22/09/2014,1030,42769000,42.3(1.68 %),1030,42769000,0,0,820062,0.0
23/09/2014,0,0,41(-3.07 %),0,0,0,0,820062,0.0
24/09/2014,0,0,41.1(0.24 %),0,0,0,0,820062,44.31
25/09/2014,1500,61650000,41.1(0.00 %),1500,61650000,0,0,818562,44.32
26/09/2014,200,8380000,41.9(1.95 %),200,8380000,0,0,818362,44.32
29/09/2014,600,25050000,41.8(-0.24 %),600,25050000,0,0,817762,0.0
30/09/2014,0,0,42(0.48 %),0,0,0,0,817762,0.0
01/10/2014,1240,52470000,44(4.76 %),4250,183570000,3010,131100000,813512,0.0
02/10/2014,140,5670000,44.5(1.14 %),1410,62190000,1270,56520000,812102,0.0
03/10/2014,-730,-31030000,43(-3.37 %),3570,153270000,4300,184300000,808532,0.0
06/10/2014,1930,84045000,44.1(2.56 %),1930,84045000,0,0,806602,0.0
07/10/2014,510,22710000,46(4.31 %),510,22710000,0,0,809102,0.0
08/10/2014,-2380,-109720000,44.8(-2.61 %),200,8960000,2580,118680000,810172,0.0
09/10/2014,3060,135231000,44.2(-1.34 %),3060,135231000,0,0,811412,0.0
10/10/2014,2980,130112000,43.6(-1.36 %),2980,130112000,0,0,808432,0.0
13/10/2014,2410,105486000,44(0.92 %),2410,105486000,0,0,806022,44.39
14/10/2014,4260,185900000,44.6(1.36 %),4260,185900000,0,0,801762,44.41
15/10/2014,1610,69574000,43.6(-2.24 %),1610,69574000,0,0,800152,44.42
16/10/2014,3420,144956000,42.2(-3.21 %),3420,144956000,0,0,796732,44.44
17/10/2014,1510,66778000,44.8(6.16 %),1510,66778000,0,0,795222,44.45
20/10/2014,-25330,-1199555000,46.7(4.24 %),34670,1557445000,60000,2757000000,820552,44.3
21/10/2014,-58620,-2823283000,48.9(4.71 %),1380,67717000,60000,2891000000,879172,43.97
22/10/2014,-5780,-279048000,48.1(-1.64 %),3400,164470000,9180,443518000,884952,43.94
23/10/2014,5330,249566000,47.7(-0.83 %),5530,258866000,200,9300000,879622,43.97
24/10/2014,-740,-33789000,46.1(-3.35 %),2260,104241000,3000,138030000,880362,43.96
27/10/2014,1600,72087000,45.3(-1.74 %),1600,72087000,0,0,878762,43.97
29/10/2014,3300,149894000,45.6(2.47 %),3300,149894000,0,0,875002,43.99
30/10/2014,1180,53976000,45.9(0.66 %),1180,53976000,0,0,876822,43.98
31/10/2014,2970,135641000,45.8(-0.22 %),2970,135641000,0,0,873852,44.0
03/11/2014,360,16262000,44.7(-2.40 %),370,16724000,10,462000,873982,44.0
04/11/2014,330,14767000,44.1(-1.34 %),330,14767000,0,0,993504,44.03
05/11/2014,10,455000,44.6(1.13 %),10,455000,0,0,993494,44.03
06/11/2014,3170,142267000,44.6(0.00 %),3170,142267000,0,0,990324,44.05
07/11/2014,520,23327000,45.6(2.24 %),520,23327000,0,0,989814,44.05
10/11/2014,120,5518000,46(0.88 %),120,5518000,0,0,989694,44.05
11/11/2014,-9210,-416250000,45.9(-0.22 %),110,5049000,9320,421299000,989584,44.05
12/11/2014,-3920,-176419000,45(-1.96 %),180,8201000,4100,184620000,989404,44.05
13/11/2014,20,906000,45.3(0.67 %),20,906000,0,0,882942,44.59
14/11/2014,10,455000,45(-0.66 %),10,455000,0,0,882932,44.59
17/11/2014,3730,165551000,44.3(-1.56 %),3730,165551000,0,0,879202,44.6
18/11/2014,6450,285148000,44.9(1.35 %),6460,285605000,10,457000,872752,44.64
19/11/2014,-270,-12150000,45(0.22 %),0,0,270,12150000,873022,44.63
20/11/2014,-10120,-455380000,45(0.00 %),100,4520000,10220,459900000,992504,0.0
21/11/2014,-310,-13950000,43.8(-2.67 %),0,0,310,13950000,992504,0.0
24/11/2014,680,30130000,43(-1.83 %),700,31030000,20,900000,991814,0.0
25/11/2014,17520,754650000,43.2(0.47 %),17520,754650000,0,0,974564,0.0
26/11/2014,30,1330000,43.5(0.69 %),30,1330000,0,0,984754,0.0
27/11/2014,290,12730000,43.5(0.00 %),290,12730000,0,0,984774,0.0
28/11/2014,2650,116970000,44.4(2.07 %),2650,116970000,0,0,982144,0.0
01/12/2014,10,440000,43.5(-2.03 %),10,440000,0,0,982134,0.0
02/12/2014,11230,488100000,42.5(-2.30 %),11230,488100000,0,0,970904,0.0
03/12/2014,120,5120000,43.2(1.65 %),120,5120000,0,0,970784,0.0
04/12/2014,7200,312700000,43.2(0.00 %),7200,312700000,0,0,963584,0.0
05/12/2014,70,3060000,44(1.85 %),70,3060000,0,0,963514,0.0
08/12/2014,30,1310000,42.8(-2.73 %),30,1310000,0,0,963484,0.0
09/12/2014,12300,506070000,40(-6.54 %),12300,506070000,0,0,951184,0.0
10/12/2014,40,1680000,42.5(6.25 %),40,1680000,0,0,951144,0.0
11/12/2014,380,15980000,42(-1.18 %),380,15980000,0,0,950764,0.0
12/12/2014,310,13133000,42.3(0.71 %),420,17766000,110,4633000,950454,44.25
15/12/2014,-8570,-361650000,42(-0.71 %),10,430000,8580,362080000,950334,0.0
16/12/2014,8960,363780000,40.6(-3.33 %),8960,363780000,0,0,941374,0.0
17/12/2014,1350,54450000,41(0.99 %),1350,54450000,0,0,940024,0.0
18/12/2014,-8730,-365070000,41.4(0.98 %),600,24920000,9330,389990000,939534,0.0
19/12/2014,280,11590000,41.4(0.00 %),280,11590000,0,0,947834,0.0
22/12/2014,-14320,-593087000,41.9(1.21 %),680,28276000,15000,621363000,962154,44.19
23/12/2014,-20000,-840000000,42(0.24 %),0,0,20000,840000000,947154,0.0
24/12/2014,-46940,-2004010000,43.5(3.57 %),170,7360000,47110,2011370000,956314,0.0
25/12/2014,230,10120000,43.2(-0.69 %),300,13230000,70,3110000,956014,0.0
26/12/2014,-4160,-180404000,43.1(-0.23 %),3660,158984000,7820,339388000,960174,44.2
29/12/2014,50,2150000,43(-0.23 %),50,2150000,0,0,960124,44.2
30/12/2014,150,6469000,43.5(1.16 %),150,6469000,0,0,959974,44.2
31/12/2014,440,19429000,44(1.15 %),440,19429000,0,0,959534,44.2
05/01/2015,40,1788000,44.4(0.91 %),40,1788000,0,0,1041674,43.79
06/01/2015,-8980,-399597000,44.5(0.23 %),120,5353000,9100,404950000,1050654,43.75
07/01/2015,-30750,-1388740000,46(3.37 %),150,6760000,30900,1395500000,1081404,43.59
08/01/2015,-40000,-1913000000,48.4(5.22 %),0,0,40000,1913000000,1121404,43.39
09/01/2015,0,0,48.5(0.21 %),0,0,0,0,1121404,43.39
12/01/2015,-10000,-485000000,48.1(-0.82 %),0,0,10000,485000000,1131404,43.34
13/01/2015,0,0,48.3(0.42 %),0,0,0,0,1131404,43.34
14/01/2015,-4330,-207840000,48(-0.62 %),0,0,4330,207840000,1135734,43.32
15/01/2015,-5170,-248160000,47.9(-0.21 %),0,0,5170,248160000,1140904,43.3
16/01/2015,-8280,-396020000,48(0.21 %),3380,161902000,11660,557922000,1149184,43.25
19/01/2015,-18040,-866626000,48.1(0.21 %),0,0,18040,866626000,1167224,43.16
20/01/2015,90,4284000,48(-0.21 %),90,4284000,0,0,1167134,43.16
21/01/2015,0,0,47.5(-1.04 %),0,0,0,0,1167134,43.16
22/01/2015,150,7185000,47.5(0.00 %),150,7185000,0,0,1166984,43.17
23/01/2015,10440,486258000,47.3(-0.42 %),10440,486258000,0,0,1156544,43.22
26/01/2015,10,472000,46.8(-1.06 %),10,472000,0,0,1156534,43.22
27/01/2015,-8160,-383520000,46.9(0.21 %),0,0,8160,383520000,1164694,43.18
28/01/2015,-25390,-1195516000,47(0.21 %),0,0,25390,1195516000,1190084,43.05
29/01/2015,1140,53576000,46.9(-0.21 %),1140,53576000,0,0,1188944,43.06
30/01/2015,3170,148673000,46.9(0.00 %),3170,148673000,0,0,1185774,43.07
02/02/2015,0,0,45.7(-2.56 %),0,0,0,0,1160384,43.2
03/02/2015,840,37632000,44.9(-1.75 %),840,37632000,0,0,1159544,43.2
