Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
14/07/2015,5.46,12.0,0(0.00 %),1500,19500000,0,0,15.0,15.0,12.0
15/07/2015,5.46,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
16/07/2015,5.46,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
17/07/2015,5.46,12.0,0(0.00 %),100,1200000,0,0,12.0,12.0,12.0
20/07/2015,5.46,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
21/07/2015,5.46,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
22/07/2015,5.46,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
23/07/2015,5.24,11.5,-0.5(-4.17 %),1000,11500000,0,0,11.5,11.5,11.5
24/07/2015,5.24,11.5,0(0.00 %),0,0,0,0,11.5,11.5,11.5
27/07/2015,5.01,11.0,-0.5(-4.35 %),2000,22000000,0,0,11.0,11.0,11.0
28/07/2015,4.55,10.0,-1(-9.09 %),1000,10000000,0,0,10.0,10.0,10.0
29/07/2015,4.55,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
30/07/2015,4.55,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
31/07/2015,4.55,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
03/08/2015,4.55,10.0,0(0.00 %),600,5750000,0,0,9.5,10.0,9.5
04/08/2015,4.55,10.0,0(0.00 %),2100,20000000,0,0,9.5,10.0,9.5
05/08/2015,4.46,9.8,-0.2(-2.00 %),500,4810000,0,0,9.5,9.8,9.5
06/08/2015,4.46,9.8,0(0.00 %),0,0,0,0,9.8,9.8,9.8
07/08/2015,4.46,9.8,0(0.00 %),0,0,0,0,9.8,9.8,9.8
10/08/2015,4.46,9.8,0(0.00 %),0,0,0,0,9.8,9.8,9.8
11/08/2015,4.46,9.8,0(0.00 %),0,0,0,0,9.8,9.8,9.8
12/08/2015,4.46,9.8,0(0.00 %),0,0,0,0,9.8,9.8,9.8
13/08/2015,4.46,9.8,0(0.00 %),0,0,0,0,9.8,9.8,9.8
14/08/2015,4.46,9.8,0(0.00 %),0,0,0,0,9.8,9.8,9.8
17/08/2015,4.46,9.8,0(0.00 %),0,0,0,0,9.8,9.8,9.8
18/08/2015,4.46,9.8,0(0.00 %),0,0,0,0,9.8,9.8,9.8
19/08/2015,4.46,9.8,0(0.00 %),0,0,0,0,9.8,9.8,9.8
20/08/2015,4.46,9.8,0(0.00 %),900,8820000,0,0,9.8,9.8,9.8
21/08/2015,4.46,9.8,0(0.00 %),0,0,0,0,9.8,9.8,9.8
24/08/2015,4.46,9.8,0(0.00 %),200,1960000,0,0,9.8,9.8,9.8
25/08/2015,4.33,9.5,-0.3(-3.06 %),1000,9500000,0,0,9.5,9.5,9.5
26/08/2015,4.33,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
27/08/2015,4.33,9.5,0(0.00 %),0,0,0,0,9.5,9.5,9.5
28/08/2015,4.05,8.9,-0.6(-6.32 %),4000,35800000,0,0,9.0,9.0,8.9
31/08/2015,4.05,8.9,0(0.00 %),0,0,0,0,8.9,8.9,8.9
01/09/2015,3.87,8.5,-0.4(-4.49 %),500,4250000,0,0,8.5,8.5,8.5
03/09/2015,3.87,8.5,0(0.00 %),0,0,0,0,8.5,8.5,8.5
04/09/2015,3.87,8.5,0(0.00 %),0,0,0,0,8.5,8.5,8.5
07/09/2015,3.87,8.5,0(0.00 %),1000,8500000,0,0,8.5,8.5,8.5
08/09/2015,3.96,8.7,0.2(2.35 %),3900,33060000,0,0,8.4,8.7,8.4
09/09/2015,3.96,8.7,0(0.00 %),0,0,0,0,8.7,8.7,8.7
10/09/2015,3.96,8.7,0(0.00 %),0,0,0,0,8.7,8.7,8.7
11/09/2015,3.6,7.9,-0.8(-9.20 %),5000,39500000,0,0,7.9,7.9,7.9
14/09/2015,3.6,7.9,0(0.00 %),0,0,0,0,7.9,7.9,7.9
15/09/2015,3.87,8.5,0.6(7.59 %),300,2550000,0,0,8.5,8.5,8.5
16/09/2015,3.87,8.5,0(0.00 %),0,0,0,0,8.5,8.5,8.5
17/09/2015,4.24,9.3,0.8(9.41 %),100,930000,0,0,9.3,9.3,9.3
18/09/2015,4.24,9.3,0(0.00 %),0,0,0,0,9.3,9.3,9.3
21/09/2015,4.24,9.3,0(0.00 %),0,0,0,0,9.3,9.3,9.3
22/09/2015,4.24,9.3,0(0.00 %),1000,9300000,0,0,9.3,9.3,9.3
23/09/2015,4.51,9.9,0.6(6.45 %),2200,20520000,0,0,9.3,9.9,9.3
24/09/2015,4.51,9.9,0(0.00 %),0,0,0,0,9.9,9.9,9.9
25/09/2015,4.51,9.9,0(0.00 %),0,0,0,0,9.9,9.9,9.9
28/09/2015,4.51,9.9,0(0.00 %),0,0,0,0,9.9,9.9,9.9
29/09/2015,4.51,9.9,0(0.00 %),0,0,0,0,9.9,9.9,9.9
