Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
30/07/2010,0,0,19(26.67 %),0,0,0,0,1225000,0.0
02/08/2010,0,0,18.6(6.90 %),0,0,0,0,1225000,0.0
03/08/2010,0,0,19(2.15 %),0,0,0,0,1225000,0.0
04/08/2010,0,0,18.2(-6.67 %),0,0,0,0,1225000,0.0
05/08/2010,0,0,17.3(-6.99 %),0,0,0,0,1225000,0.0
06/08/2010,0,0,16.1(-6.94 %),0,0,0,0,1225000,0.0
09/08/2010,0,0,15(-6.83 %),0,0,0,0,1225000,0.0
10/08/2010,0,0,14.5(-3.33 %),0,0,0,0,1225000,0.0
11/08/2010,0,0,14(0.00 %),0,0,0,0,1225000,0.0
12/08/2010,0,0,13.6(-2.86 %),0,0,0,0,1225000,0.0
13/08/2010,0,0,14(-2.10 %),0,0,0,0,1225000,0.0
16/08/2010,0,0,14.9(2.76 %),0,0,0,0,1225000,0.0
17/08/2010,0,0,13.7(-6.80 %),0,0,0,0,1225000,0.0
18/08/2010,0,0,13.2(-3.65 %),0,0,0,0,1225000,0.0
19/08/2010,0,0,12.1(-5.47 %),0,0,0,0,1225000,0.0
20/08/2010,0,0,12.9(6.61 %),0,0,0,0,1225000,0.0
23/08/2010,0,0,13.1(1.55 %),0,0,0,0,1225000,0.0
24/08/2010,0,0,12.2(-6.87 %),0,0,0,0,1225000,0.0
25/08/2010,0,0,11.4(-6.56 %),0,0,0,0,1225000,0.0
26/08/2010,0,0,11.8(3.51 %),0,0,0,0,1225000,0.0
27/08/2010,0,0,11.8(0.00 %),0,0,0,0,1225000,0.0
30/08/2010,0,0,12.5(5.93 %),0,0,0,0,1225000,0.0
31/08/2010,0,0,12.2(-0.81 %),0,0,0,0,1225000,0.0
01/09/2010,0,0,12.3(0.82 %),0,0,0,0,1225000,0.0
06/09/2010,0,0,12.8(2.40 %),0,0,0,0,1225000,0.0
07/09/2010,0,0,13.6(6.25 %),0,0,0,0,1225000,0.0
08/09/2010,0,0,14.5(6.62 %),0,0,0,0,1225000,0.0
09/09/2010,0,0,15.5(6.90 %),0,0,0,0,1225000,0.0
10/09/2010,0,0,16.5(6.45 %),0,0,0,0,1225000,0.0
13/09/2010,0,0,17.6(6.67 %),0,0,0,0,1225000,0.0
