Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
26/04/2010,5.91,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
27/04/2010,5.91,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
28/04/2010,5.91,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
29/04/2010,5.91,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
04/05/2010,5.91,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
05/05/2010,5.91,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
06/05/2010,5.91,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
07/05/2010,5.91,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
10/05/2010,5.91,15.0,0(0.00 %),0,0,0,0,15.0,15.0,15.0
11/05/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
12/05/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
13/05/2010,5.51,14.0,0(0.00 %),0,0,900,11340000,14.0,14.0,14.0
14/05/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
17/05/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
18/05/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
19/05/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
20/05/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
21/05/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
24/05/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
25/05/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
26/05/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
27/05/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
28/05/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
31/05/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
01/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
02/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
03/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
04/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
07/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
08/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
09/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
10/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
11/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
14/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
15/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
16/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
17/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
18/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
21/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
22/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
23/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
24/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
25/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
28/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
29/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
30/06/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
01/07/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
02/07/2010,5.51,14.0,0(0.00 %),0,0,0,0,14.0,14.0,14.0
05/07/2010,6.07,15.4,1.4(10.00 %),10,154000,0,0,14.0,15.4,15.4
06/07/2010,6.66,16.9,1.5(9.74 %),10,169000,0,0,15.4,16.9,16.9
07/07/2010,6.66,16.9,0(0.00 %),0,0,0,0,16.9,16.9,16.9
08/07/2010,6.66,16.9,0(0.00 %),0,0,0,0,16.9,16.9,16.9
09/07/2010,6.03,15.3,-1.6(-9.47 %),3300,50490000,0,0,16.9,15.3,15.3
12/07/2010,6.62,16.8,1.5(9.80 %),10,168000,0,0,15.3,16.8,16.8
13/07/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
14/07/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
15/07/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
16/07/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
19/07/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
20/07/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
21/07/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
22/07/2010,6.62,16.8,0(0.00 %),0,0,3800,57760000,16.8,16.8,16.8
23/07/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
26/07/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
27/07/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
28/07/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
29/07/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
30/07/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
02/08/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
03/08/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
04/08/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
05/08/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
06/08/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
09/08/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
10/08/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
11/08/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
12/08/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
13/08/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
16/08/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
17/08/2010,6.62,16.8,0(0.00 %),0,0,0,0,16.8,16.8,16.8
23/08/2010,3.94,10.0,0(0.00 %),200,2000000,0,0,10.0,10.0,10.0
24/08/2010,3.94,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
25/08/2010,3.94,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
26/08/2010,3.94,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
27/08/2010,3.94,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
30/08/2010,3.94,10.0,0(0.00 %),500,5000000,0,0,10.0,10.0,10.0
31/08/2010,3.94,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
01/09/2010,3.94,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
06/09/2010,3.94,10.0,0(0.00 %),0,0,0,0,10.0,10.0,10.0
07/09/2010,4.33,11.0,1(10.00 %),2000,22000000,0,0,11.0,11.0,11.0
08/09/2010,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
09/09/2010,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
10/09/2010,4.33,11.0,0(0.00 %),1200,13200000,0,0,11.0,11.0,11.0
13/09/2010,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
14/09/2010,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
15/09/2010,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
16/09/2010,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
17/09/2010,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
20/09/2010,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
21/09/2010,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
22/09/2010,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
23/09/2010,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
24/09/2010,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
27/09/2010,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
28/09/2010,4.1,10.4,-0.6(-5.45 %),100,1040000,0,0,10.4,10.4,10.4
29/09/2010,4.1,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
30/09/2010,4.1,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
01/10/2010,4.1,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
04/10/2010,4.1,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
05/10/2010,4.1,10.4,0(0.00 %),0,0,0,0,10.4,10.4,10.4
06/10/2010,3.74,9.5,-0.9(-8.65 %),300,2850000,0,0,9.5,9.5,9.5
07/10/2010,3.78,9.6,0.1(1.05 %),100,960000,0,0,9.6,9.6,9.6
08/10/2010,3.54,9.0,-0.6(-6.25 %),400,3600000,0,0,9.0,9.0,9.0
11/10/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
12/10/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
13/10/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
14/10/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
15/10/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
18/10/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
19/10/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
20/10/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
21/10/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
22/10/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
25/10/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
26/10/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
27/10/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
28/10/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
29/10/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
01/11/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
02/11/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
03/11/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
04/11/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
05/11/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
08/11/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
09/11/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
10/11/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
11/11/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
12/11/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
15/11/2010,3.54,9.0,0(0.00 %),0,0,0,0,9.0,9.0,9.0
30/11/2010,4.73,12.0,0(0.00 %),200,2400000,0,0,12.0,12.0,12.0
01/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
02/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
03/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
06/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
07/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
08/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
09/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
10/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
13/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
14/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
15/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
16/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
17/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
20/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
21/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
22/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
23/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
24/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
27/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
28/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
29/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
30/12/2010,4.73,12.0,0(0.00 %),0,0,0,0,12.0,12.0,12.0
31/12/2010,4.25,10.8,-1.2(-10.00 %),6900,74520000,0,0,10.8,10.8,10.8
04/01/2011,4.25,10.8,0(0.00 %),12700,137160000,0,0,10.8,10.8,10.8
05/01/2011,4.25,10.8,0(0.00 %),5100,55080000,0,0,10.8,10.8,10.8
06/01/2011,4.25,10.8,0(0.00 %),10200,110160000,0,0,10.8,10.8,10.8
07/01/2011,4.25,10.8,0(0.00 %),6000,64800000,0,0,10.8,10.8,10.8
10/01/2011,4.25,10.8,0(0.00 %),0,0,0,0,10.8,10.8,10.8
11/01/2011,4.25,10.8,0(0.00 %),2800,30240000,0,0,10.8,10.8,10.8
12/01/2011,4.25,10.8,0(0.00 %),0,0,0,0,10.8,10.8,10.8
13/01/2011,4.25,10.8,0(0.00 %),0,0,0,0,10.8,10.8,10.8
14/01/2011,4.25,10.8,0(0.00 %),0,0,0,0,10.8,10.8,10.8
17/01/2011,4.25,10.8,0(0.00 %),0,0,0,0,10.8,10.8,10.8
18/01/2011,4.25,10.8,0(0.00 %),0,0,0,0,10.8,10.8,10.8
19/01/2011,4.25,10.8,0(0.00 %),0,0,0,0,10.8,10.8,10.8
20/01/2011,4.25,10.8,0(0.00 %),0,0,0,0,10.8,10.8,10.8
21/01/2011,4.25,10.8,0(0.00 %),0,0,0,0,10.8,10.8,10.8
24/01/2011,4.25,10.8,0(0.00 %),0,0,0,0,10.8,10.8,10.8
25/01/2011,4.33,11.0,0.2(1.85 %),1000,11000000,0,0,11.0,11.0,11.0
26/01/2011,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
27/01/2011,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
28/01/2011,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
08/02/2011,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
09/02/2011,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
10/02/2011,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
11/02/2011,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
14/02/2011,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
15/02/2011,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
16/02/2011,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
17/02/2011,4.33,11.0,0(0.00 %),0,0,0,0,11.0,11.0,11.0
