Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
21/10/2009,0,0,0(0.00 %),0,0,0,0,3853712,0.95
22/10/2009,0,0,0(0.00 %),0,0,0,0,3853712,0.95
23/10/2009,280,12964000,0(0.00 %),280,12964000,0,0,3853432,0.95
26/10/2009,5500,267300000,0(0.00 %),5500,267300000,0,0,3847932,1.02
27/10/2009,8000,408000000,0(0.00 %),8000,408000000,0,0,3839932,1.12
28/10/2009,0,0,0(0.00 %),0,0,0,0,3839932,1.12
29/10/2009,0,0,0(0.00 %),0,0,0,0,3839932,1.12
30/10/2009,0,0,0(0.00 %),0,0,0,0,3839932,1.12
02/11/2009,220,10560000,48(-4.95 %),220,10560000,0,0,3839712,1.12
03/11/2009,0,0,45.6(-5.00 %),0,0,0,0,3839712,1.12
04/11/2009,0,0,43.4(-4.82 %),0,0,0,0,3839712,1.12
05/11/2009,0,0,41.3(-4.84 %),0,0,0,0,3839712,1.12
06/11/2009,0,0,41.5(0.48 %),0,0,0,0,3839712,1.12
09/11/2009,450,18000000,39.5(-4.82 %),450,18000000,0,0,3839262,1.13
10/11/2009,0,0,37.6(-4.81 %),0,0,0,0,3839262,1.13
11/11/2009,0,0,39(3.72 %),0,0,0,0,3839262,1.13
12/11/2009,140,5460000,39(0.00 %),140,5460000,0,0,3839122,1.13
13/11/2009,0,0,37.7(-3.33 %),0,0,0,0,3839122,1.13
16/11/2009,0,0,36.5(-3.18 %),0,0,0,0,3839122,1.13
17/11/2009,10000,383000000,38.3(4.93 %),10000,383000000,0,0,3829122,1.26
18/11/2009,0,0,40.2(4.96 %),0,0,0,0,3829122,1.26
19/11/2009,-140,-5824000,40.5(0.75 %),0,0,140,5824000,3829262,1.25
20/11/2009,0,0,38.7(-4.44 %),0,0,0,0,3829262,1.25
23/11/2009,40,1472000,36.8(-4.91 %),40,1472000,0,0,3829222,1.25
24/11/2009,160,5680000,35.5(-3.53 %),160,5680000,0,0,3829062,1.26
25/11/2009,150,5142000,33.8(-4.79 %),150,5142000,0,0,3828912,1.26
26/11/2009,0,0,32.2(-4.73 %),0,0,0,0,3828912,1.26
27/11/2009,0,0,33.7(4.66 %),0,0,0,0,3828912,1.26
