Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
25/08/2025,36.65,0.0,-35.75(-100.00 %),69348200,36650,0,0,36.4,37.8,35.85
22/08/2025,35.75,35.75,-1.3(-3.51 %),63807300,2304756750000,20000,780000000,36.45,36.8,35.35
21/08/2025,37.05,37.05,0.95(2.63 %),72277300,2677829515000,2239000,75345450000,36.2,37.9,36.1
20/08/2025,36.1,36.1,-0.65(-1.77 %),60341100,2155436655000,0,0,36.75,36.8,34.5
19/08/2025,36.75,36.75,0.95(2.65 %),59106200,2155209685000,2200000,73700000000,35.5,37.3,35.5
18/08/2025,35.8,35.8,-0.75(-2.05 %),50226000,1810004665000,0,0,36.6,36.8,35.65
15/08/2025,36.55,36.55,-0.25(-0.68 %),58499100,2160787585000,500000,18439500000,37.4,37.55,36.25
14/08/2025,36.8,36.8,0.05(0.14 %),70443500,2613542355000,1000000,34500000000,37.0,37.8,36.1
13/08/2025,36.75,36.75,0(0.00 %),67780700,2464649610000,30000,1078980000,37.05,37.15,35.6
12/08/2025,36.75,36.75,-0.75(-2.00 %),45373500,1680811990000,1356000,52256584000,37.9,37.95,36.4
11/08/2025,37.5,37.5,2(5.63 %),59260500,2155328215000,530000,18638500000,35.8,37.75,35.3
08/08/2025,35.5,35.5,0.35(1.00 %),95427300,3429003375000,81000,2877150000,35.7,37.2,35.1
07/08/2025,35.15,35.15,-0.15(-0.42 %),37109400,1303966865000,45000,1611000000,35.8,35.8,34.75
06/08/2025,35.3,35.3,0.65(1.88 %),50091400,1749552430000,30000,990000000,34.75,35.3,34.4
05/08/2025,34.65,34.65,0.65(1.91 %),91934400,3183218970000,234000,7780190000,34.4,35.9,32.5
04/08/2025,34.0,34.0,0.8(2.41 %),56726000,1870985560000,0,0,32.5,34.0,32.4
01/08/2025,33.2,33.2,-1(-2.92 %),56677600,1907223435000,430570,13713654500,34.0,34.8,33.1
31/07/2025,34.2,34.2,0.3(0.88 %),49380200,1679782370000,0,0,34.1,34.6,33.1
30/07/2025,33.9,33.9,0.6(1.80 %),62743900,2095103725000,0,0,33.6,34.15,32.7
29/07/2025,33.3,33.3,-2.5(-6.98 %),104999100,3604957420000,0,0,36.1,36.2,33.3
28/07/2025,35.8,35.8,1.8(5.29 %),49584700,1750869250000,0,0,34.8,35.85,34.45
25/07/2025,34.0,34.0,2(6.25 %),62122900,2062122645000,78300,2515600000,32.15,34.1,32.0
24/07/2025,32.0,32.0,-0.25(-0.78 %),43190300,1373273555000,0,0,32.3,32.35,31.35
23/07/2025,32.25,32.25,0.25(0.78 %),43849400,1420319835000,500000,15934000000,32.3,33.35,31.9
22/07/2025,32.0,32.0,0.65(2.07 %),61716000,1930732435000,93000,2855100000,31.0,32.0,30.55
21/07/2025,31.35,31.35,-0.45(-1.42 %),55033300,1722052045000,0,0,32.05,32.1,30.8
18/07/2025,31.8,31.8,-0.1(-0.31 %),38374200,1222438710000,0,0,32.05,32.3,31.5
17/07/2025,31.9,31.9,0.3(0.95 %),49672400,1572379030000,100000,3340000000,32.0,32.1,31.35
16/07/2025,31.6,31.6,1.1(3.61 %),47110600,1470525015000,4557000,129753750000,30.5,31.9,30.3
15/07/2025,30.5,30.5,0.75(2.52 %),62849100,1935134770000,0,0,29.8,31.8,29.65
14/07/2025,29.75,29.75,0.1(0.34 %),51458700,1519744570000,85000,2469250000,29.8,29.95,29.0
11/07/2025,29.65,29.65,0.7(2.42 %),62931400,1857084305000,290000,7855000000,28.95,30.0,28.95
10/07/2025,28.95,28.95,0.4(1.40 %),51768100,1495167055000,0,0,28.9,29.15,28.6
09/07/2025,28.55,28.55,1.5(5.55 %),72536400,2040396460000,278000,7543600000,27.25,28.85,27.25
08/07/2025,27.05,27.05,0.75(2.85 %),65007600,1740970365000,500000,13390500000,26.4,27.15,26.25
07/07/2025,26.3,26.3,0.4(1.54 %),33309100,874567650000,785000,20520800000,26.2,26.45,26.05
04/07/2025,25.9,25.9,0.15(0.58 %),21022600,542855135000,2276800,58734759600,25.9,26.15,25.6
03/07/2025,25.75,25.75,0.25(0.98 %),58323300,1504968295000,1928000,48356044000,25.5,26.3,25.15
02/07/2025,25.5,25.5,1.05(4.29 %),41265000,1035029205000,35000,910000000,24.4,25.8,24.35
01/07/2025,24.45,24.45,-0.25(-1.01 %),15143300,371745275000,0,0,24.75,24.8,24.35
30/06/2025,24.7,24.7,0.05(0.20 %),26590700,661793770000,1300000,32045000000,25.0,25.15,24.7
27/06/2025,24.65,24.65,0.15(0.61 %),19508400,479493640000,0,0,24.6,24.85,24.45
26/06/2025,24.5,24.5,0(0.00 %),18417100,448378080000,0,0,24.5,24.6,24.15
25/06/2025,24.5,24.5,0.2(0.82 %),25856200,634003230000,0,0,24.35,24.8,24.2
24/06/2025,24.3,24.3,0.55(2.32 %),48489100,1177847805000,0,0,24.15,24.55,24.0
23/06/2025,23.75,23.75,-0.25(-1.04 %),15661100,371628490000,110000,2821500000,23.7,23.85,23.55
20/06/2025,24.0,24.0,0.1(0.42 %),25086200,603441290000,245000,6047000000,24.05,24.35,23.85
19/06/2025,23.9,23.9,0.3(1.27 %),19690200,467387915000,0,0,23.6,23.95,23.5
18/06/2025,23.6,23.6,-0.25(-1.05 %),21794300,517802575000,500002,3240044400,23.85,23.95,23.6
17/06/2025,23.85,23.85,0(0.00 %),16346700,389439430000,1,22200,23.9,23.95,23.65
16/06/2025,23.85,23.85,0.7(3.02 %),16823100,395975455000,1765003,41808464650,23.1,23.85,23.1
13/06/2025,23.15,23.15,-0.5(-2.11 %),35039900,815461510000,0,0,23.5,23.55,23.05
12/06/2025,23.65,23.65,0.15(0.64 %),13812400,327254585000,0,0,23.6,23.85,23.55
11/06/2025,23.5,23.5,0.15(0.64 %),12900900,302956610000,0,0,23.4,23.6,23.35
10/06/2025,23.35,23.35,0(0.00 %),13479500,315646855000,0,0,23.4,23.55,23.3
09/06/2025,23.35,23.35,-0.25(-1.06 %),15704100,368923490000,0,0,23.65,23.7,23.35
06/06/2025,23.6,23.6,-0.35(-1.46 %),28033000,665707440000,255510,6080648500,23.9,24.0,23.6
05/06/2025,23.95,23.95,-0.25(-1.03 %),24655300,593122055000,0,0,24.2,24.3,23.9
04/06/2025,24.2,24.2,-0.3(-1.22 %),19435500,473860590000,0,0,24.7,24.7,24.15
03/06/2025,24.5,24.5,0.8(3.38 %),58587500,1430236840000,0,0,24.1,24.85,24.1
02/06/2025,23.7,23.7,0.25(1.07 %),12057800,284004585000,3000000,75150000000,23.35,23.7,23.35
30/05/2025,23.45,23.45,-0.05(-0.21 %),19752200,466156040000,0,0,23.5,23.95,23.4
29/05/2025,23.5,23.5,-0.2(-0.84 %),14889300,351897450000,0,0,23.85,23.9,23.5
28/05/2025,23.7,23.7,0(0.00 %),24600300,587998100000,1600000,36160000000,23.95,24.2,23.55
27/05/2025,23.7,23.7,0.1(0.42 %),24420300,580357950000,0,0,23.7,24.0,23.5
26/05/2025,23.6,23.6,0.25(1.07 %),20912800,487098380000,80000,1856000000,23.45,23.6,22.8
23/05/2025,23.35,23.35,0(0.00 %),16226300,379357115000,0,0,23.4,23.55,23.25
22/05/2025,23.35,23.35,0(0.00 %),27664700,651415995000,0,0,23.35,23.9,23.25
21/05/2025,23.35,23.35,-0.15(-0.64 %),24381300,570450060000,0,0,23.55,23.7,23.25
20/05/2025,23.5,23.5,0.15(0.64 %),15335600,360015095000,0,0,23.4,23.65,23.3
19/05/2025,23.35,23.35,-0.35(-1.48 %),19744300,463693925000,0,0,23.55,23.7,23.35
16/05/2025,23.7,23.7,-0.2(-0.84 %),30215900,725793665000,0,0,23.95,24.4,23.7
15/05/2025,23.9,23.9,0(0.00 %),23847200,572551185000,0,0,24.15,24.25,23.85
14/05/2025,23.9,23.9,0.5(2.14 %),36621500,867290810000,0,0,23.45,24.2,23.3
13/05/2025,23.4,23.4,0.2(0.86 %),25553900,602527305000,0,0,23.55,23.9,23.35
12/05/2025,23.2,23.2,0.25(1.09 %),20022500,461351785000,0,0,23.1,23.2,22.85
09/05/2025,22.95,22.95,-0.15(-0.65 %),15341500,353759750000,0,0,23.2,23.3,22.9
08/05/2025,23.1,23.1,0.25(1.09 %),18519000,426184175000,0,0,22.95,23.3,22.75
07/05/2025,22.85,22.85,-0.3(-1.30 %),18887200,433144865000,0,0,23.15,23.15,22.75
06/05/2025,23.15,23.15,0.05(0.22 %),16475000,384392980000,0,0,23.2,23.5,23.1
05/05/2025,23.1,23.1,0.15(0.65 %),9314500,215524235000,20000,491000000,23.4,23.45,23.0
29/04/2025,22.95,22.95,-0.1(-0.43 %),9778300,225138000000,670000,15414250000,23.15,23.15,22.95
28/04/2025,23.05,23.05,0.25(1.10 %),12060400,276900000000,510001,11478021250,22.9,23.15,22.8
