Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
STB,22/08/2025,1988400,1194300,111273520000,68291400000
STB,21/08/2025,322000,1119200,18442470000,62939370000
STB,20/08/2025,933500,842700,49615480000,45113060000
STB,19/08/2025,921000,603700,49009590000,32031020000
STB,18/08/2025,1076500,221200,56726340000,11722750000
STB,15/08/2025,924800,537700,49949790000,29294970000
STB,14/08/2025,845100,690200,46218820000,37885050000
STB,13/08/2025,748600,556400,39989260000,29747920000
STB,12/08/2025,367500,771200,19712490000,41417240000
STB,11/08/2025,503100,1459300,26783950000,77740830000
STB,08/08/2025,592700,450200,31440950000,24135920000
STB,07/08/2025,498200,770600,26634550000,41418890000
STB,06/08/2025,772900,1039002,41245320000,55237367000
STB,05/08/2025,1357200,1972500,70932180000,101233210000
STB,04/08/2025,838800,311800,41343950000,15267465000
STB,01/08/2025,899700,488400,44613780000,24389150000
STB,31/07/2025,849800,822100,42210960000,40888390000
STB,30/07/2025,354500,1191800,17429210000,58891600000
STB,29/07/2025,1923300,1143500,94203050000,56010135000
STB,28/07/2025,949200,321200,46399090000,15710000000
STB,25/07/2025,299000,517300,14658210000,25399470000
STB,24/07/2025,642000,704400,31400300000,34496625000
STB,23/07/2025,950100,693300,46466390000,33891345000
STB,22/07/2025,447200,633000,21907240000,31139375000
STB,21/07/2025,476500,566900,23611075000,28097025000
STB,18/07/2025,1292200,570500,62599370000,27757105000
STB,17/07/2025,1219400,384400,58431455000,18401850000
STB,16/07/2025,632700,406300,30107255000,19325975000
STB,15/07/2025,229900,764500,11135690000,36943555000
STB,14/07/2025,248600,550700,11831205000,26147635000
STB,11/07/2025,765200,324900,36645840000,15562095000
STB,10/07/2025,280800,479000,13318350000,22722995000
STB,09/07/2025,407100,657047,19429470000,31345770000
STB,08/07/2025,174500,138500,8295145000,6588060000
STB,07/07/2025,531300,165300,25350315000,7879140000
STB,04/07/2025,599900,184900,27883550000,8645905000
STB,03/07/2025,594200,4397600,28091890000,205975040000
STB,02/07/2025,426500,4472500,20204020000,208516325000
STB,01/07/2025,125400,188900,5853080000,8841575000
STB,30/06/2025,105300,498500,4909835000,23216765000
STB,27/06/2025,81000,636400,3774515000,29612990000
STB,26/06/2025,4705000,553400,219890430000,25791520000
STB,25/06/2025,4231100,1220700,196830585000,57203360000
STB,24/06/2025,468000,800100,21877335000,37131155000
STB,23/06/2025,728300,611800,32391855000,28462270000
STB,20/06/2025,187400,310400,8781345000,14455040000
STB,19/06/2025,554000,386700,26090805000,18155965000
STB,18/06/2025,1152400,147300,54261940000,6924850000
STB,17/06/2025,193600,672900,8857260000,30871370000
STB,16/06/2025,294600,631000,13256565000,28338510000
STB,13/06/2025,415800,886817,18582930000,39670182000
STB,12/06/2025,733200,575589,32459295000,25667377000
STB,11/06/2025,435800,312600,18259010000,13417595000
STB,10/06/2025,1023500,864700,44020595000,36895970000
STB,09/06/2025,1235700,319200,51790980000,13400150000
STB,06/06/2025,586200,636800,24631260000,26634180000
STB,05/06/2025,623200,167900,25805500000,6975225000
STB,04/06/2025,231000,147400,9567375000,6107150000
