Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
09/12/2016,0,0,0(0.00 %),0,0,0,0,14700000,0.0
12/12/2016,0,0,0(0.00 %),0,0,0,0,14700000,0.0
13/12/2016,0,0,0(0.00 %),0,0,0,0,14700000,0.0
14/12/2016,0,0,0(0.00 %),0,0,0,0,14700000,0.0
15/12/2016,0,0,0(0.00 %),0,0,0,0,14700000,0.0
16/12/2016,0,0,0(0.00 %),0,0,0,0,14700000,0.0
19/12/2016,0,0,0(0.00 %),0,0,0,0,14700000,0.0
20/12/2016,0,0,0(0.00 %),0,0,0,0,14700000,0.0
21/12/2016,100,1180000,11.8(-14.49 %),100,1180000,0,0,14699900,0.0
22/12/2016,0,0,11.4(-14.93 %),0,0,0,0,14699900,0.0
23/12/2016,0,0,12.7(11.40 %),0,0,0,0,14699900,0.0
26/12/2016,0,0,10.4(-14.75 %),0,0,0,0,14699900,0.0
27/12/2016,0,0,10.8(1.89 %),0,0,0,0,14699900,0.0
28/12/2016,0,0,9.3(-13.89 %),0,0,0,0,14699900,0.0
29/12/2016,0,0,10.8(14.89 %),0,0,0,0,14699900,0.0
30/12/2016,0,0,10(-7.41 %),0,0,0,0,14699900,0.0
03/01/2017,0,0,9.6(-2.04 %),0,0,0,0,14699900,0.0
04/01/2017,0,0,9.5(-2.06 %),0,0,0,0,14699900,0.0
05/01/2017,0,0,10.9(14.74 %),0,0,0,0,14699900,0.0
06/01/2017,0,0,10.3(6.19 %),0,0,0,0,14699900,0.0
09/01/2017,0,0,10.3(0.98 %),0,0,0,0,14699900,0.0
10/01/2017,0,0,9.5(-1.04 %),0,0,0,0,14699900,0.0
11/01/2017,0,0,9.6(1.05 %),0,0,0,0,14699900,0.0
12/01/2017,0,0,9.6(0.00 %),0,0,0,0,14699900,0.0
13/01/2017,0,0,9.5(-3.06 %),0,0,0,0,14699900,0.0
16/01/2017,0,0,9.5(0.00 %),0,0,0,0,14699900,0.0
17/01/2017,0,0,9.5(0.00 %),0,0,0,0,14699900,0.0
18/01/2017,0,0,9.9(4.21 %),0,0,0,0,14699900,0.0
19/01/2017,0,0,9.9(0.00 %),0,0,0,0,14699900,0.0
20/01/2017,0,0,9.5(-4.04 %),0,0,0,0,14699900,0.0
23/01/2017,0,0,9.5(-1.04 %),0,0,0,0,14699900,0.0
24/01/2017,0,0,9.9(4.21 %),0,0,0,0,14699900,0.0
25/01/2017,0,0,9.5(-1.04 %),0,0,0,0,14699900,0.0
02/02/2017,0,0,9.8(3.16 %),0,0,0,0,14699900,0.0
03/02/2017,0,0,9.8(0.00 %),0,0,0,0,14699900,0.0
06/02/2017,0,0,9.6(-2.04 %),0,0,0,0,14699900,0.0
07/02/2017,100,970000,9.7(-11.01 %),100,970000,0,0,14699800,0.0
08/02/2017,0,0,11.9(0.00 %),0,0,0,0,14699800,0.0
09/02/2017,0,0,10.2(-14.29 %),0,0,0,0,14699800,0.0
10/02/2017,0,0,9.6(-5.88 %),0,0,0,0,14699800,0.0
13/02/2017,0,0,10(4.17 %),0,0,0,0,14699800,0.0
14/02/2017,0,0,9.5(3.26 %),0,0,0,0,14699800,0.0
15/02/2017,0,0,8.2(-13.68 %),0,0,0,0,14699800,0.0
16/02/2017,0,0,8.2(0.00 %),0,0,0,0,14699800,0.0
17/02/2017,0,0,8.2(0.00 %),0,0,0,0,14699800,0.0
20/02/2017,0,0,8.2(0.00 %),0,0,0,0,14699800,0.0
21/02/2017,0,0,8.2(0.00 %),0,0,0,0,14699800,0.0
22/02/2017,0,0,8.2(0.00 %),0,0,0,0,14699800,0.0
23/02/2017,0,0,9.4(14.63 %),0,0,0,0,14699800,0.0
24/02/2017,0,0,9.4(0.00 %),0,0,0,0,14699800,0.0
27/02/2017,0,0,9.7(3.19 %),0,0,0,0,14699800,0.0
28/02/2017,0,0,10(3.09 %),0,0,0,0,14699800,0.0
01/03/2017,0,0,8.6(-14.00 %),0,0,0,0,14699800,0.0
02/03/2017,100,980000,9.8(13.95 %),100,980000,0,0,14699700,0.0
03/03/2017,0,0,9.9(1.02 %),0,0,0,0,14699700,0.0
06/03/2017,1000,9500000,9.5(1.06 %),1000,9500000,0,0,14698700,0.0
07/03/2017,0,0,9.5(0.00 %),0,0,0,0,14698700,0.0
08/03/2017,0,0,10.5(10.53 %),0,0,0,0,14698700,0.0
09/03/2017,4800,48480000,10.2(0.00 %),4800,48480000,0,0,14693900,0.02
10/03/2017,200,2060000,10.3(1.98 %),200,2060000,0,0,14693700,0.02
13/03/2017,100,1030000,10.3(0.00 %),100,1030000,0,0,14693600,0.02
14/03/2017,10100,101000000,10(-2.91 %),10100,101000000,0,0,14683500,0.06
15/03/2017,0,0,10(0.00 %),0,0,0,0,14683500,0.06
16/03/2017,10300,103000000,10(0.00 %),10300,103000000,0,0,14673200,0.09
17/03/2017,0,0,10(0.00 %),0,0,0,0,14673200,0.09
20/03/2017,500,5050000,10.3(4.04 %),500,5050000,0,0,14672700,0.09
21/03/2017,0,0,9.5(-5.00 %),0,0,0,0,14672700,0.09
22/03/2017,0,0,10(4.17 %),0,0,0,0,14672700,0.09
23/03/2017,0,0,9.5(-5.00 %),0,0,0,0,14672700,0.09
24/03/2017,0,0,9.2(-3.16 %),0,0,0,0,14672700,0.09
27/03/2017,0,0,9.1(-4.21 %),0,0,0,0,14672700,0.09
28/03/2017,0,0,9(-1.10 %),0,0,0,0,14672700,0.09
29/03/2017,0,0,9(0.00 %),0,0,0,0,14672700,0.09
30/03/2017,0,0,9(0.00 %),0,0,0,0,14672700,0.09
31/03/2017,0,0,9(0.00 %),0,0,0,0,14672700,0.09
03/04/2017,-2000,-18000000,9(0.00 %),0,0,2000,18000000,14672700,0.09
04/04/2017,0,0,9(0.00 %),0,0,0,0,14672700,0.09
05/04/2017,0,0,9(0.00 %),0,0,0,0,14672700,0.09
07/04/2017,0,0,9(0.00 %),0,0,0,0,14674700,0.08
10/04/2017,0,0,10(11.11 %),0,0,0,0,14674700,0.08
11/04/2017,0,0,10(9.89 %),0,0,0,0,14674700,0.08
