Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
18/11/2008,0,0,29(16.00 %),0,0,0,0,0,0.0
19/11/2008,0,0,28.2(6.82 %),0,0,0,0,0,0.0
20/11/2008,0,0,30.1(6.74 %),0,0,0,0,0,0.0
21/11/2008,0,0,32(6.31 %),0,0,0,0,0,0.0
24/11/2008,0,0,29(-6.75 %),0,0,0,0,0,0.0
25/11/2008,0,0,27(-6.90 %),0,0,0,0,0,0.0
26/11/2008,0,0,25.2(-6.67 %),0,0,0,0,0,0.0
27/11/2008,0,0,23.5(-6.75 %),0,0,0,0,0,0.0
28/11/2008,0,0,21.9(-6.81 %),0,0,0,0,0,0.0
01/12/2008,0,0,20.4(-6.85 %),0,0,0,0,0,0.0
02/12/2008,0,0,19.5(-6.25 %),0,0,0,0,0,0.0
03/12/2008,0,0,19(-3.55 %),0,0,0,0,0,0.0
04/12/2008,0,0,19.3(1.05 %),0,0,0,0,0,0.0
05/12/2008,0,0,19(-4.52 %),0,0,0,0,0,0.0
08/12/2008,0,0,19(0.00 %),0,0,0,0,0,0.0
09/12/2008,0,0,20(6.95 %),0,0,0,0,0,0.0
10/12/2008,0,0,19.1(-2.55 %),0,0,0,0,0,0.0
11/12/2008,0,0,18.9(-1.56 %),0,0,0,0,0,0.0
12/12/2008,0,0,20.2(6.88 %),0,0,0,0,0,0.0
15/12/2008,0,0,20.2(1.00 %),0,0,0,0,0,0.0
16/12/2008,0,0,21.7(6.37 %),0,0,0,0,0,0.0
17/12/2008,0,0,22.8(6.54 %),0,0,0,0,0,0.0
18/12/2008,0,0,24(5.26 %),0,0,0,0,0,0.0
19/12/2008,4000,93000000,22.9(-5.37 %),4000,93000000,0,0,0,0.0
22/12/2008,0,0,22.9(-3.38 %),0,0,0,0,0,0.0
23/12/2008,10600,203520000,19.2(-6.80 %),10600,203520000,0,0,0,0.0
24/12/2008,0,0,19.8(2.59 %),0,0,0,0,0,0.0
25/12/2008,0,0,19.8(0.00 %),0,0,0,0,0,0.0
26/12/2008,0,0,19.9(0.00 %),0,0,0,0,0,0.0
29/12/2008,0,0,19.5(-2.01 %),0,0,0,0,0,0.0
30/12/2008,0,0,19.6(0.51 %),0,0,0,0,0,0.0
31/12/2008,0,0,19.2(-2.04 %),0,0,0,0,0,0.0
02/01/2009,0,0,19.3(0.00 %),0,0,0,0,480986,1.44
05/01/2009,0,0,18(-6.74 %),0,0,0,0,480986,1.44
06/01/2009,0,0,18.4(2.22 %),0,0,0,0,480986,1.44
07/01/2009,0,0,18(-2.17 %),0,0,0,0,480986,1.44
08/01/2009,0,0,18.3(0.00 %),0,0,0,0,480986,1.44
09/01/2009,0,0,18.3(0.00 %),0,0,0,0,480986,1.44
12/01/2009,0,0,18.2(-0.55 %),0,0,0,0,480986,1.44
13/01/2009,0,0,18.3(0.55 %),0,0,0,0,480986,1.44
14/01/2009,0,0,19.7(6.49 %),0,0,0,0,480986,1.44
15/01/2009,0,0,18.4(-6.60 %),0,0,0,0,480986,1.44
16/01/2009,0,0,19.4(4.86 %),0,0,0,0,480986,1.44
19/01/2009,0,0,20.5(5.67 %),0,0,0,0,480986,1.44
20/01/2009,0,0,20.5(0.00 %),0,0,0,0,480986,1.44
21/01/2009,0,0,19.1(-6.83 %),0,0,0,0,480986,1.44
22/01/2009,0,0,19.1(-6.83 %),0,0,0,0,480986,1.44
23/01/2009,0,0,18.1(-6.70 %),0,0,0,0,480986,1.44
02/02/2009,0,0,18.2(0.00 %),0,0,0,0,480986,1.44
03/02/2009,0,0,17(-6.59 %),0,0,0,0,480986,1.44
04/02/2009,0,0,17(-0.58 %),0,0,0,0,480986,1.44
05/02/2009,0,0,16.2(-4.71 %),0,0,0,0,480986,1.44
06/02/2009,0,0,16.4(0.00 %),0,0,0,0,480986,1.44
09/02/2009,0,0,16(1.27 %),0,0,0,0,480986,1.44
10/02/2009,0,0,17.1(6.88 %),0,0,0,0,480986,1.44
11/02/2009,0,0,16(-6.43 %),0,0,0,0,480986,1.44
12/02/2009,0,0,16(0.00 %),0,0,0,0,480986,1.44
13/02/2009,0,0,16(0.00 %),0,0,0,0,480986,1.44
16/02/2009,0,0,16(0.00 %),0,0,0,0,480986,1.44
17/02/2009,0,0,15.6(-1.89 %),0,0,0,0,480986,1.44
18/02/2009,0,0,16(1.91 %),0,0,0,0,480986,1.44
19/02/2009,0,0,16.3(6.54 %),0,0,0,0,480986,1.44
20/02/2009,0,0,15.4(0.00 %),0,0,0,0,480986,1.44
23/02/2009,0,0,14.4(-6.49 %),0,0,0,0,480986,1.44
24/02/2009,0,0,14.5(0.00 %),0,0,0,0,480986,1.44
25/02/2009,0,0,15.5(6.90 %),0,0,0,0,480986,1.44
26/02/2009,0,0,14.5(-6.45 %),0,0,0,0,480986,1.44
27/02/2009,0,0,14.5(0.00 %),0,0,0,0,480986,1.44
02/03/2009,0,0,14.4(0.00 %),0,0,0,0,480986,1.44
03/03/2009,0,0,15(4.17 %),0,0,0,0,480986,1.44
04/03/2009,0,0,15.2(1.33 %),0,0,0,0,480986,1.44
05/03/2009,0,0,14.9(-1.97 %),0,0,0,0,480986,1.44
