Symbol,Date,KLcpMua,KlcpBan,GtMua,GtBan
TCB,22/08/2025,3810500,2735100,151589580000,110339545000
TCB,21/08/2025,1394400,1654501,58128750000,68807708000
TCB,20/08/2025,2233900,1920000,89379245000,77155360000
TCB,19/08/2025,2344300,10667200,91299460000,387406645000
TCB,18/08/2025,1261300,1659900,48107025000,63454075000
TCB,15/08/2025,816400,885601,31036625000,33841636000
TCB,14/08/2025,1901300,1054200,72778780000,40484505000
TCB,13/08/2025,1780400,1604400,66585560000,60167850000
TCB,12/08/2025,993000,1586201,37307555000,59905950000
TCB,11/08/2025,1157800,2898800,43785570000,109676700000
TCB,08/08/2025,1107700,1481300,41890395000,56275900000
TCB,07/08/2025,996400,1852600,38093955000,71005245000
TCB,06/08/2025,1838000,2689878,70112365000,102339620000
TCB,05/08/2025,1890500,2923001,69842315000,107790148000
TCB,04/08/2025,1643100,1179000,57092755000,40592550000
TCB,01/08/2025,914900,667600,31341235000,22987955000
TCB,31/07/2025,1730200,1831000,58925140000,62569350000
TCB,30/07/2025,1032100,1870101,35171370000,63845002000
TCB,29/07/2025,5152000,2008401,179963430000,70396523000
TCB,28/07/2025,1088100,1093000,38602890000,38830455000
TCB,25/07/2025,964700,764100,33844095000,26806380000
TCB,24/07/2025,1245600,915601,43838960000,32308953000
TCB,23/07/2025,1724200,830000,60568365000,29179775000
TCB,22/07/2025,1167100,672400,40926365000,23567955000
TCB,21/07/2025,1171800,541200,42147445000,19454035000
TCB,18/07/2025,1710000,805700,60633565000,28604725000
TCB,17/07/2025,2061600,852200,72667260000,30031260000
TCB,16/07/2025,415300,787200,14542200000,27404765000
TCB,15/07/2025,870200,1066600,30927560000,37723415000
TCB,14/07/2025,2083300,1175901,72741960000,40899653000
TCB,11/07/2025,1459900,308600,51225410000,10815940000
TCB,10/07/2025,551400,258200,19219045000,8997055000
TCB,09/07/2025,854900,626600,30035005000,21466660000
TCB,08/07/2025,1284200,247800,45301675000,8751040000
TCB,07/07/2025,649000,429500,22883150000,15156445000
TCB,04/07/2025,1079900,137800,37626850000,4807905000
TCB,03/07/2025,1476300,10260400,51749520000,348241015000
TCB,02/07/2025,384600,16112302,13448075000,549120394000
TCB,01/07/2025,289000,270200,9897115000,9252310000
TCB,30/06/2025,223500,1014400,7707930000,34675755000
TCB,27/06/2025,10747200,1637100,365924610000,55674485000
TCB,26/06/2025,10307000,1951701,348618600000,68420741000
TCB,25/06/2025,15513300,1675200,527403955000,56918290000
TCB,24/06/2025,1553700,1997600,50419530000,68349085000
TCB,23/06/2025,1654400,833003,53396000000,28032335000
TCB,20/06/2025,430700,1406100,14732635000,48131220000
TCB,19/06/2025,980800,1580200,32780520000,52822525000
TCB,18/06/2025,604900,1185701,19805380000,38772630000
TCB,17/06/2025,2583500,1694300,78914220000,54793980000
TCB,16/06/2025,929600,1827601,29611470000,58311624000
TCB,13/06/2025,1787900,1423526,55181555000,44217425000
TCB,12/06/2025,1529300,1273000,46854140000,39090255000
TCB,11/06/2025,998200,413200,29298175000,12441850000
TCB,10/06/2025,988100,934500,29790230000,28104220000
TCB,09/06/2025,2799200,481400,84191550000,14513030000
TCB,06/06/2025,1009400,1272201,30909375000,39024729000
TCB,05/06/2025,514600,126500,16030535000,3954235000
TCB,04/06/2025,315900,1006300,9916925000,31518095000
TCB,03/06/2025,1504600,138501,47416540000,4371894000
TCB,02/06/2025,932100,458700,28495200000,13992395000
TCB,30/05/2025,359300,2048900,10986500000,62550535000
TCB,29/05/2025,97800,2204000,2984740000,67273510000
TCB,28/05/2025,711900,943400,21778330000,28801605000
TCB,27/05/2025,1156300,1171500,35690935000,35976250000
TCB,26/05/2025,1136100,1199800,34163520000,35762940000
TCB,23/05/2025,786400,369300,23760600000,11176485000
TCB,22/05/2025,117500,4221530,3606035000,130534177000
TCB,21/05/2025,1081200,1407400,32233105000,43395020000
TCB,20/05/2025,2191000,6122000,66494660000,186005875000
TCB,19/05/2025,1688600,1564000,49959585000,46180650000
TCB,16/05/2025,486600,490100,14337020000,14483040000
TCB,15/05/2025,3315000,831000,98464370000,24814870000
TCB,14/05/2025,649500,2862500,19366690000,85247825000
TCB,13/05/2025,342800,2466600,10064580000,72668545000
TCB,12/05/2025,2086000,1710701,60146955000,48871046000
TCB,09/05/2025,298300,1109700,8221650000,30641270000
TCB,08/05/2025,571100,1848500,15611080000,50080185000
TCB,07/05/2025,505000,209300,13553780000,5618560000
TCB,06/05/2025,779000,1690800,21008445000,45314905000
TCB,05/05/2025,239220,953600,6307907000,25082905000
TCB,29/04/2025,1074800,711000,28286590000,18739165000
TCB,28/04/2025,337700,1093200,8759730000,28347580000
TCB,25/04/2025,1080800,904600,27804760000,23361205000
TCB,24/04/2025,328700,1114200,8518545000,28783290000
TCB,23/04/2025,2564800,492500,65722940000,12548365000
TCB,22/04/2025,2312600,1198700,57757895000,30263590000
TCB,21/04/2025,425500,1001600,10973775000,25968220000
TCB,18/04/2025,1052400,658900,27619100000,17258755000
TCB,17/04/2025,944400,1079300,24338655000,27839200000
TCB,16/04/2025,909700,1050000,23697150000,27267050000
TCB,15/04/2025,1400200,2220800,36483375000,57824425000
TCB,14/04/2025,979600,909900,25869485000,24069315000
TCB,11/04/2025,2349200,5548800,61434275000,144580335000
TCB,10/04/2025,284900,480000,7193725000,12120000000
TCB,09/04/2025,1409100,7568300,33468940000,181035300000
TCB,08/04/2025,3439500,5722600,82748880000,137811330000
TCB,04/04/2025,8638800,4650000,213537135000,117685070000
TCB,03/04/2025,5231800,2338900,137829355000,62156470000
TCB,02/04/2025,160600,818400,4494300000,22884185000
TCB,01/04/2025,657700,66400,18132305000,1827575000
TCB,31/03/2025,1058100,825100,28938410000,22536355000
TCB,28/03/2025,619600,932400,17076380000,25662715000
TCB,27/03/2025,390300,459200,10930460000,13273555000
TCB,26/03/2025,1303900,952900,36683740000,27244812000
TCB,25/03/2025,728300,523700,20365540000,14676890000
TCB,24/03/2025,1307800,1037100,36318590000,28960805000
TCB,21/03/2025,1356400,552400,37177475000,15137605000
TCB,20/03/2025,1486100,873400,40622895000,24030056000
TCB,19/03/2025,2556600,668500,69691620000,18256877000
TCB,18/03/2025,1204700,679500,32998750000,18661040000
TCB,17/03/2025,300500,680700,8214215000,18617135000
TCB,14/03/2025,433500,730200,11816710000,19977115000
TCB,13/03/2025,1382900,1712300,38044600000,47315535000
TCB,12/03/2025,865700,1033900,24166240000,29061032000
TCB,11/03/2025,1258500,301500,34770280000,8352145000
TCB,10/03/2025,935600,353900,26113785000,9887135000
TCB,07/03/2025,950500,2915500,26329920000,80668555000
TCB,06/03/2025,393400,633900,10828280000,17502125000
TCB,05/03/2025,841000,2213000,23039145000,60916200000
TCB,04/03/2025,759900,6284200,20387265000,167719245000
TCB,03/03/2025,5097900,727900,136272695000,19054175000
TCB,28/02/2025,3606700,1574300,94765365000,41173020000
TCB,27/02/2025,403500,454300,10581295000,11888065000
TCB,26/02/2025,13100,3315700,346355000,87537455000
TCB,25/02/2025,865600,668800,22917545000,17783150000
TCB,24/02/2025,587500,1148500,15577575000,30450845000
TCB,21/02/2025,370800,521900,9822745000,13844985000
TCB,20/02/2025,1204500,974000,31937475000,25655880000
TCB,19/02/2025,770500,590000,20074645000,15276920000
TCB,18/02/2025,794300,884300,20612045000,22808300000
TCB,17/02/2025,663200,565900,17184775000,14651355000
TCB,14/02/2025,765500,440300,19931775000,11435160000
TCB,13/02/2025,641500,317800,16545915000,8187810000
TCB,12/02/2025,574800,414900,14835750000,10699970000
TCB,11/02/2025,648600,842900,16770765000,21796200000
TCB,10/02/2025,1877700,1314700,48246805000,33997550000
TCB,07/02/2025,1103700,700200,28316010000,17874620000
TCB,06/02/2025,1215500,1023700,30682390000,25989910000
TCB,05/02/2025,627600,695600,15489500000,17145970000
TCB,04/02/2025,581200,1638300,14272705000,40325080000
TCB,03/02/2025,232800,623400,5680765000,15208295000
TCB,24/01/2025,2257600,74800,56057210000,1855060000
TCB,23/01/2025,4444100,631100,109532295000,15420675000
TCB,22/01/2025,513400,152700,12431785000,3700485000
TCB,21/01/2025,332100,22700,8058890000,552945000
TCB,20/01/2025,301600,81700,7361260000,1996480000
TCB,17/01/2025,891600,223600,21485330000,5397680000
TCB,16/01/2025,927500,2530600,22017730000,59932600000
TCB,15/01/2025,1243100,949400,29539265000,22587910000
TCB,14/01/2025,332600,911200,7845580000,21514260000
TCB,13/01/2025,386100,1029100,9058315000,24129670000
TCB,10/01/2025,165500,290500,3927725000,6812905000
TCB,09/01/2025,487000,291600,11634330000,6982420000
TCB,08/01/2025,1380900,645400,32949695000,15461530000
TCB,07/01/2025,632300,1131300,14996635000,26765310000
TCB,06/01/2025,1956900,783200,46355725000,18519835000
TCB,03/01/2025,652900,1287900,15583245000,31452245000
TCB,02/01/2025,4452800,4179100,102841980000,96182065000
TCB,31/12/2024,120000,315500,2928000000,7724750000
TCB,30/12/2024,600600,1325400,14697690000,32515930000
TCB,27/12/2024,2347950,695700,58327805000,17114780000
TCB,26/12/2024,5822750,4341600,136301605000,99525170000
TCB,25/12/2024,1931500,204900,46920880000,5001820000
TCB,24/12/2024,633200,0,15124385000,0
TCB,23/12/2024,504200,273600,12077905000,6548750000
TCB,20/12/2024,76400,776900,1823320000,18529705000
TCB,19/12/2024,121000,3894500,2898150000,93052030000
TCB,18/12/2024,304500,129000,7369890000,3123250000
TCB,17/12/2024,225700,4626800,5465000000,114252860000
TCB,16/12/2024,1173800,928000,28504570000,22561965000
TCB,13/12/2024,1566200,1037000,38143965000,25208575000
TCB,12/12/2024,1293200,830400,31518245000,20179490000
TCB,11/12/2024,413100,1827500,9989905000,44026605000
TCB,10/12/2024,270100,1748900,6499810000,42012710000
TCB,09/12/2024,1214200,1056700,29358600000,25417955000
TCB,06/12/2024,1878400,946300,45293640000,22800410000
TCB,05/12/2024,4083400,484600,97761820000,11405530000
TCB,04/12/2024,497900,1036000,11684645000,24314765000
TCB,03/12/2024,607200,1576700,14338055000,37092520000
TCB,02/12/2024,382000,1179600,9026020000,27791715000
TCB,29/11/2024,1252600,832800,29464185000,19564585000
TCB,28/11/2024,1116600,1214000,26303485000,28541700000
TCB,27/11/2024,835800,1143200,19583770000,26816445000
TCB,26/11/2024,1078900,221800,25435380000,5201495000
TCB,25/11/2024,1001300,1977200,23540450000,46441770000
TCB,22/11/2024,1569800,1070900,36835090000,25078465000
TCB,21/11/2024,2206900,3926200,50473790000,89450820000
TCB,20/11/2024,781000,1925500,17628780000,43297750000
TCB,19/11/2024,885500,1998500,19836850000,44692125000
TCB,18/11/2024,2071700,3152700,46421660000,70603300000
TCB,15/11/2024,2601100,1795500,58761465000,40514895000
TCB,14/11/2024,1683200,1674200,38451160000,38370345000
TCB,13/11/2024,3556900,1099600,81426755000,25152655000
