Ngay,KLGDRong,GTDGRong,ThayDoi,KLMua,GtMua,KLBan,GtBan,RoomConLai,DangSoHuu
05/10/2016,0,0,0(0.00 %),0,0,0,0,161697340,0.0
06/10/2016,0,0,0(0.00 %),0,0,0,0,161697340,0.0
07/10/2016,0,0,0(0.00 %),0,0,0,0,161697340,0.0
10/10/2016,0,0,0(0.00 %),0,0,0,0,161697340,0.0
11/10/2016,19000,445550000,0(0.00 %),19000,445550000,0,0,161678340,0.01
12/10/2016,7000,175350000,0(0.00 %),7000,175350000,0,0,161671340,0.01
13/10/2016,30100,806680000,26.8(6.99 %),30100,806680000,0,0,161641240,0.02
14/10/2016,13000,371700000,28.65(6.90 %),13000,371700000,0,0,161628240,0.02
17/10/2016,7390,226680000,30.65(6.98 %),11390,349080000,4000,122400000,161616850,0.02
18/10/2016,14050,460040000,32.75(6.85 %),14050,460040000,0,0,161602800,0.03
19/10/2016,3500,97890000,30.5(-6.87 %),10100,312600000,6600,214710000,161592700,0.03
20/10/2016,-1000,-28400000,28.4(-6.89 %),0,0,1000,28400000,161596700,0.03
21/10/2016,-11390,-302520000,29(2.11 %),11500,313830000,22890,616350000,161585200,0.03
24/10/2016,-43500,-1276580000,29.65(2.24 %),3000,88200000,46500,1364780000,161588800,0.03
25/10/2016,-2000,-58700000,28.45(-4.05 %),1000,28300000,3000,87000000,161588800,0.03
26/10/2016,-8000,-226280000,28.5(0.18 %),4800,128920000,12800,355200000,161606890,0.03
27/10/2016,-2000,-59600000,29.8(4.56 %),0,0,2000,59600000,161653390,0.01
28/10/2016,-10800,-316540000,30.2(1.34 %),0,0,10800,316540000,161656390,0.01
31/10/2016,-1800,-53250000,28.3(-6.29 %),0,0,1800,53250000,161669190,0.01
01/11/2016,-3020,-81840000,28.3(0.00 %),0,0,3020,81840000,161671190,0.01
02/11/2016,0,0,26.35(-6.89 %),0,0,0,0,161681990,0.0
03/11/2016,0,0,24.55(-6.83 %),0,0,0,0,161683790,0.0
04/11/2016,-500,-11850000,23.7(-3.46 %),0,0,500,11850000,161686810,0.0
07/11/2016,0,0,22.05(-6.96 %),0,0,0,0,161686810,0.0
08/11/2016,0,0,23.55(6.80 %),0,0,0,0,161686810,0.0
09/11/2016,8000,191200000,23.85(1.27 %),8000,191200000,0,0,161679310,0.01
10/11/2016,0,0,23.9(0.21 %),0,0,0,0,161679310,0.01
11/11/2016,0,0,22.25(-6.90 %),0,0,0,0,161679310,0.01
14/11/2016,0,0,21.85(-1.80 %),0,0,0,0,161679310,0.01
15/11/2016,0,0,22.3(2.06 %),0,0,0,0,161679310,0.01
16/11/2016,0,0,22.6(1.35 %),0,0,0,0,161679310,0.01
17/11/2016,0,0,22.3(-1.33 %),0,0,0,0,161679310,0.01
18/11/2016,0,0,23.3(4.48 %),0,0,0,0,161679310,0.01
21/11/2016,0,0,23.35(0.21 %),0,0,0,0,161679310,0.01
22/11/2016,0,0,23.45(0.43 %),0,0,0,0,161679310,0.01
23/11/2016,0,0,22.2(-5.33 %),0,0,0,0,161679310,0.01
24/11/2016,0,0,21.2(-4.50 %),0,0,0,0,161679310,0.01
25/11/2016,0,0,20.5(-3.30 %),0,0,0,0,161679310,0.01
28/11/2016,0,0,19.3(-5.85 %),0,0,0,0,161679310,0.01
29/11/2016,0,0,20.65(6.99 %),0,0,0,0,161679310,0.01
30/11/2016,0,0,20.75(0.48 %),0,0,0,0,161679310,0.01
01/12/2016,0,0,19.7(-5.06 %),0,0,0,0,161679310,0.01
02/12/2016,0,0,19.2(-2.54 %),0,0,0,0,161679310,0.01
05/12/2016,0,0,18.65(6.87 %),0,0,0,0,161679310,0.01
06/12/2016,0,0,18.7(0.27 %),0,0,0,0,161679310,0.01
07/12/2016,0,0,19.1(2.14 %),0,0,0,0,161679310,0.01
08/12/2016,0,0,19.8(3.66 %),0,0,0,0,161679310,0.01
09/12/2016,-8000,-154820000,19.8(0.00 %),0,0,8000,154820000,161679310,0.01
12/12/2016,0,0,18.65(-5.81 %),0,0,0,0,161679310,0.01
13/12/2016,0,0,17.5(-6.17 %),0,0,0,0,161679310,0.01
14/12/2016,0,0,17.55(0.29 %),0,0,0,0,161687310,0.0
15/12/2016,0,0,17.6(0.28 %),0,0,0,0,161687310,0.0
16/12/2016,0,0,17.7(0.57 %),0,0,0,0,161687310,0.0
19/12/2016,0,0,17.9(1.13 %),0,0,0,0,161687310,0.0
20/12/2016,0,0,17.85(-0.28 %),0,0,0,0,161687310,0.0
21/12/2016,0,0,17.85(0.00 %),0,0,0,0,161687310,0.0
22/12/2016,0,0,17.5(-1.96 %),0,0,0,0,161687310,0.0
23/12/2016,0,0,17.35(-0.86 %),0,0,0,0,161687310,0.0
26/12/2016,0,0,17.1(-1.44 %),0,0,0,0,177855233,0.0
27/12/2016,0,0,16.5(-3.51 %),0,0,0,0,177855233,0.0
28/12/2016,0,0,16.2(-1.82 %),0,0,0,0,177855233,0.0
29/12/2016,0,0,16(-1.23 %),0,0,0,0,177855233,0.0
30/12/2016,0,0,16.9(5.62 %),0,0,0,0,177855233,0.0
03/01/2017,0,0,16.9(0.00 %),0,0,0,0,177855233,0.0
04/01/2017,0,0,16.8(-0.59 %),0,0,0,0,177855233,0.0
05/01/2017,0,0,17.05(1.49 %),0,0,0,0,177855233,0.0
06/01/2017,0,0,16.95(-0.59 %),0,0,0,0,177855233,0.0
09/01/2017,0,0,17.2(1.47 %),0,0,0,0,177855233,0.0
10/01/2017,0,0,16.8(-2.33 %),0,0,0,0,177855233,0.0
11/01/2017,0,0,16.95(0.89 %),0,0,0,0,177855233,0.0
12/01/2017,0,0,16.8(-0.88 %),0,0,0,0,177855233,0.0
13/01/2017,0,0,16.7(-0.60 %),0,0,0,0,177855233,0.0
16/01/2017,0,0,16.5(-1.20 %),0,0,0,0,177855233,0.0
17/01/2017,0,0,16(-3.03 %),0,0,0,0,177855233,0.0
18/01/2017,0,0,15.8(-1.25 %),0,0,0,0,177855233,0.0
19/01/2017,0,0,15.65(-0.95 %),0,0,0,0,177855233,0.0
20/01/2017,0,0,16.7(6.71 %),0,0,0,0,177855233,0.0
23/01/2017,0,0,16.7(0.00 %),0,0,0,0,177855233,0.0
24/01/2017,0,0,16.55(-0.90 %),0,0,0,0,177855233,0.0
25/01/2017,0,0,16.85(1.81 %),0,0,0,0,177855233,0.0
02/02/2017,0,0,16.7(-0.89 %),0,0,0,0,177855233,0.0
03/02/2017,100,1670000,16.6(-0.60 %),100,1670000,0,0,177855133,0.0
06/02/2017,0,0,16.45(-0.90 %),0,0,0,0,177855133,0.0
07/02/2017,-7120,-115070000,16.35(-0.61 %),0,0,7120,115070000,177855133,0.0
08/02/2017,0,0,16.1(-1.53 %),0,0,0,0,177855133,0.0
09/02/2017,0,0,16.2(0.62 %),0,0,0,0,177855133,0.0
10/02/2017,0,0,16.2(0.00 %),0,0,0,0,177862253,0.0
13/02/2017,0,0,16.95(4.63 %),0,0,0,0,177862253,0.0
14/02/2017,0,0,17.35(2.36 %),0,0,0,0,177862253,0.0
15/02/2017,400,6680000,17(-2.02 %),400,6680000,0,0,177861853,0.0
16/02/2017,0,0,17.15(0.88 %),0,0,0,0,177861853,0.0
17/02/2017,0,0,17.15(0.00 %),0,0,0,0,177861853,0.0
20/02/2017,0,0,16.7(-2.62 %),0,0,0,0,177861853,0.0
21/02/2017,0,0,16.6(-0.60 %),0,0,0,0,177861853,0.0
22/02/2017,200,3220000,16.25(-2.11 %),200,3220000,0,0,177861653,0.0
23/02/2017,0,0,16.35(0.62 %),0,0,0,0,177861653,0.0
24/02/2017,-3350,-54940000,16.4(0.31 %),0,0,3350,54940000,177861653,0.0
27/02/2017,0,-290000,16.45(0.30 %),800,12670000,800,12960000,177864203,0.0
